EoS,rhoc,M,R,Lambda
./dat/AP4_LAL.csv/branch-AP4_LAL-0.csv,9.08565130376e+14,1.4,11.4338888277,262.37333753
./dat/APR4_EPP.csv/branch-APR4_EPP-0.csv,9.17754911139e+14,1.4,11.3252181853,249.651597003
./dat/APR_LAL.csv/branch-APR_LAL-0.csv,9.19103943879e+14,1.4,11.3544885617,247.946444538
./dat/BHF_BBB2_LAL.csv/branch-BHF_BBB2_LAL-0.csv,1.05190652282e+15,1.4,11.1766306505,216.265632317
./dat/H3_LAL.csv/branch-H3_LAL-0.csv,6.32881078528e+14,1.4,13.8652769887,836.00384575
./dat/H4_LAL.csv/branch-H4_LAL-0.csv,5.71635297057e+14,1.4,13.6985905211,897.497198862
./dat/HQC18_LAL.csv/branch-HQC18_LAL-0.csv,9.00697217746e+14,1.4,11.5057187019,259.553727126
./dat/KDE0V1_LAL.csv/branch-KDE0V1_LAL-0.csv,9.55014634671e+14,1.4,11.6487084383,266.851592145
./dat/KDE0V_LAL.csv/branch-KDE0V_LAL-0.csv,9.89573913529e+14,1.4,11.4312410388,242.230381502
./dat/MPA1_LAL.csv/branch-MPA1_LAL-0.csv,6.7289776213e+14,1.4,12.465004711,489.638984638
./dat/MS1B_LAL.csv/branch-MS1B_LAL-0.csv,4.49561209521e+14,1.4,14.5527900219,1297.45732097
./dat/MS1B_PP.csv/branch-MS1B_PP-0.csv,4.44978304052e+14,1.4,14.5304841806,1259.4346026
./dat/MS1_LAL.csv/branch-MS1_LAL-0.csv,4.409477039e+14,1.4,14.8987711309,1403.3443088
./dat/MS1_PP.csv/branch-MS1_PP-0.csv,4.31121904583e+14,1.4,14.9354874056,1437.88276774
./dat/RS_LAL.csv/branch-RS_LAL-0.csv,6.98516412919e+14,1.4,12.9564426735,591.414991578
./dat/SK255_LAL.csv/branch-SK255_LAL-0.csv,6.94898573624e+14,1.4,13.1691410419,587.106971576
./dat/SK272_LAL.csv/branch-SK272_LAL-0.csv,6.54433939742e+14,1.4,13.3367986557,642.223914797
./dat/SKA_LAL.csv/branch-SKA_LAL-0.csv,6.87735885935e+14,1.4,12.9369500987,564.92077412
./dat/SKB_LAL.csv/branch-SKB_LAL-0.csv,7.3377235859e+14,1.4,12.2200389,471.388303372
./dat/SKI2_LAL.csv/branch-SKI2_LAL-0.csv,6.253518393e+14,1.4,13.5034201908,771.08678946
./dat/SKI3_LAL.csv/branch-SKI3_LAL-0.csv,6.02102340961e+14,1.4,13.5800321,786.238935762
./dat/SKI4_LAL.csv/branch-SKI4_LAL-0.csv,7.33698787022e+14,1.4,12.400038,468.873543477
./dat/SKI5_LAL.csv/branch-SKI5_LAL-0.csv,5.5724035933e+14,1.4,14.0986479503,1008.76152581
./dat/SKI6_LAL.csv/branch-SKI6_LAL-0.csv,7.17631586607e+14,1.4,12.5049466322,491.62396657
./dat/SKMP_LAL.csv/branch-SKMP_LAL-0.csv,7.52151314481e+14,1.4,12.5206744549,477.869197869
./dat/SKOP_LAL.csv/branch-SKOP_LAL-0.csv,8.63379355482e+14,1.4,12.1431058427,361.801540731
./dat/SLY230A_LAL.csv/branch-SLY230A_LAL-0.csv,8.43178048623e+14,1.4,11.8475132211,330.869912771
./dat/SLY2_LAL.csv/branch-SLY2_LAL-0.csv,8.80511741529e+14,1.4,11.8014466459,309.981891874
./dat/SLY9_LAL.csv/branch-SLY9_LAL-0.csv,7.48249567713e+14,1.4,12.4913627411,450.863271548
./dat/SLY_LAL.csv/branch-SLY_LAL-0.csv,8.93813916682e+14,1.4,11.7235467552,297.746240419
./dat/WFF1_LAL.csv/branch-WFF1_LAL-0.csv,1.09950272577e+15,1.4,10.4200479,151.048989233
