rhoc,R,M,Lambda
224000000000000.0,19.999999999999915,0.11424640653647068,112797262.081055
235927436166059.22,19.999999999999915,0.12112422880724016,75968856.59170708
247854872332118.4,19.999999999999915,0.12870034879168335,51119395.73389322
259782308498177.62,19.999999999999915,0.13699228464093996,34642486.93244265
271709744664236.8,19.999999999999915,0.14601518691796747,23677391.395991985
283637180830296.0,19.980000099999916,0.15577202170594137,16388771.651039869
295564616996355.25,18.540007299999925,0.1662719607320507,11501262.05397613
307492053162414.44,17.38001309999993,0.17750932323086688,8169193.957021786
319419489328473.6,16.460017699999934,0.18942618214962445,5868824.193638675
331346925494532.9,15.700021499999936,0.2019982107677476,4260050.209318183
343274361660592.06,15.08002459999994,0.21535705321632642,3111307.618852281
355201797826651.25,14.540027299999942,0.22932829796506068,2294027.8153842497
367129233992710.5,14.100029499999943,0.24398681168442554,1703547.343342855
379056670158769.6,13.740031299999945,0.25925161608947345,1275693.0207628778
390984106324828.9,13.420032899999947,0.27520789302924775,961129.3155575993
402911542490888.06,13.140034299999948,0.29166029359010015,730601.0466616414
414838978656947.25,12.92003539999995,0.3086915246631372,559206.7199083839
426766414823006.5,12.72003639999995,0.32623889367563946,431123.2302169218
438693850989065.7,12.54003729999995,0.34434793715719453,334407.8740088987
450621287155124.9,12.380038099999952,0.3630623702273384,260738.84013939812
462548723321184.1,12.260038699999953,0.38251037855036607,203936.68873253604
474476159487243.3,12.140039299999954,0.4025667570972931,160244.353093368
486403595653302.5,12.040039799999953,0.42325496266879004,126466.86254440104
498331031819361.75,11.960040199999954,0.44459803322680325,100175.689059564
510258467985420.94,11.880040599999955,0.46660681962539347,79631.82380909167
522185904151480.1,11.800040999999954,0.4892377733745858,63539.57435426879
534113340317539.3,11.740041299999955,0.5124568597127699,50900.04061837295
546040776483598.56,11.700041499999955,0.5362535623051172,40925.04269147209
557968212649657.75,11.660041699999955,0.5606384068605028,33024.98801340784
569895648815717.0,11.620041899999956,0.5855830208156507,26743.045606213465
581823084981776.1,11.580042099999956,0.6110670019714028,21729.417660157447
593750521147835.4,11.540042299999955,0.6370727922447113,17715.441739845668
605677957313894.5,11.520042399999955,0.6635959498892376,14491.433136165193
617605393479953.8,11.500042499999957,0.690595207184906,11893.018842790789
629532829646013.0,11.480042599999956,0.7179830381372514,9796.782468863827
641460265812072.2,11.460042699999956,0.7456484433295012,8103.017421026554
653387701978131.4,11.460042699999956,0.7735168847676392,6730.401608800312
665315138144190.5,11.440042799999956,0.8018662055643218,5603.6718177640805
677242574310249.8,11.440042799999956,0.830450468664699,4682.054660015686
689170010476309.0,11.420042899999956,0.8591660508039064,3927.1148915329313
701097446642368.2,11.420042899999956,0.8879759958191693,3306.706459297877
713024882808427.5,11.420042899999956,0.9167946559721069,2795.46013532268
724952318974486.6,11.420042899999956,0.9460431475668633,2366.6381753003398
736879755140545.8,11.400042999999956,0.9752438598167029,2011.3768486997924
748807191306605.0,11.400042999999956,1.0042876991911494,1716.3278649190888
760734627472664.2,11.400042999999956,1.0332038912633696,1470.2774845447116
772662063638723.5,11.400042999999956,1.0624084051935039,1261.132441261408
784589499804782.6,11.400042999999956,1.0912973323219413,1086.213977024836
796516935970841.9,11.400042999999956,1.11982107000405,939.611629216944
808444372136901.0,11.400042999999956,1.1484801304734829,813.9987215226815
820371808302960.2,11.380043099999956,1.1768676029574117,707.5232590353353
832299244469019.5,11.380043099999956,1.2047570447041822,617.5606107957315
844226680635078.6,11.380043099999956,1.2327337478105942,539.7318469276297
856154116801137.9,11.380043099999956,1.260324735615656,473.2271067091624
868081552967197.1,11.380043099999956,1.2873011761526474,416.6787506233623
880008989133256.2,11.380043099999956,1.3144700889460879,366.98537742258804
891936425299315.5,11.360043199999957,1.3409651572852221,324.5671071039444
903863861465374.8,11.360043199999957,1.367075198765363,287.8140676874933
915791297631433.9,11.360043199999957,1.3930160834769303,255.62511387211956
927718733797493.1,11.340043299999957,1.4181622090518573,227.9774776663245
939646169963552.2,11.340043299999957,1.4433331854363511,203.41525732099518
951573606129611.5,11.340043299999957,1.4677588661282606,182.20411098365093
963501042295670.8,11.320043399999957,1.4918361458773899,163.52233768728462
975428478461729.9,11.320043399999957,1.5154736517941263,147.08458607488137
987355914627789.1,11.320043399999957,1.5384792587419693,132.6817992817524
999283350793848.4,11.300043499999957,1.5612768468075275,119.81047400625722
1011210786959907.5,11.300043499999957,1.5832157481592204,108.60959145654562
1023138223125966.8,11.280043599999956,1.6051635417303345,98.4468158060222
1035065659292026.0,11.280043599999956,1.6261592830655371,89.60033336287007
1046993095458085.1,11.260043699999956,1.6471027539521765,81.55271937634228
1058920531624144.4,11.240043799999958,1.667188302965666,74.5041461799325
1070847967790203.5,11.240043799999958,1.6870891170013076,68.09709054289036
1082775403956262.8,11.220043899999958,1.7061981419969685,62.443169491728085
1094702840122322.0,11.220043899999958,1.7250802256157667,57.287341099441086
1106630276288381.1,11.200043999999957,1.7432004087383817,52.71811956160879
1118557712454440.4,11.180044099999957,1.761113343180933,48.543852692790765
1130485148620499.5,11.160044199999957,1.7782410714207697,44.829411667716386
1142412584786558.8,11.160044199999957,1.7952185103806717,41.412507078472416
1154340020952618.0,11.140044299999957,1.8113637013629185,38.377411413931476
1166267457118677.2,11.120044399999957,1.8274389849182995,35.55863975141935
1178194893284736.5,11.100044499999958,1.8426824479468353,33.0572795803324
1190122329450795.5,11.100044499999958,1.8578023483581905,30.72461003404689
1202049765616855.0,11.080044599999958,1.872206785710019,28.636831244565442
1213977201782914.0,11.060044699999958,1.8863565577220684,26.705060405668313
1225904637948973.2,11.040044799999958,1.8999413978827402,24.950229118370448
1237832074115032.5,11.020044899999958,1.9131609797495954,23.340122270767694
1249759510281091.5,11.000044999999957,1.9259879883928972,21.85977747630195
1261686946447151.0,11.000044999999957,1.9382403189830595,20.51233688508622
1273614382613210.0,10.980045099999959,1.9503342738205638,19.25279386356256
1285541818779269.2,10.960045199999959,1.961765906605519,18.115971729498344
1297469254945328.5,10.940045299999959,1.973044882476329,17.044937462903604
1309396691111387.5,10.920045399999958,1.983789691725949,16.069468568105215
1321324127277447.0,10.900045499999958,1.9941815469578643,15.164515428071152
1333251563443506.0,10.880045599999958,2.0042692669292097,14.324784626092342
1345178999609565.2,10.860045699999958,2.013808709254588,13.558919373061514
1357106435775624.5,10.84004579999996,2.023244980761861,12.829482625714734
1369033871941683.8,10.82004589999996,2.032142400336914,12.16505713988545
1380961308107743.0,10.80004599999996,2.0407707914496505,11.543093670663966
1392888744273802.0,10.780046099999959,2.0491247341187258,10.96149849670594
1404816180439861.2,10.760046199999959,2.0569867006125806,10.431104956245381
