rhoc,R,M,Lambda
224000000000000.0,15.06002469999994,0.4288447034263166,415855.82320847904
255272727272727.3,14.88002559999994,0.5472237552417524,146610.97495664147
286545454545454.6,14.82002589999994,0.6735141851965568,57420.54143433658
317818181818181.94,14.82002589999994,0.8047660290248116,24730.622633614246
349090909090909.25,14.82002589999994,0.9441590819591272,11239.07209592819
380363636363636.5,14.860025699999941,1.0916369538296824,5332.436205428524
411636363636363.9,14.88002559999994,1.2473368326971226,2615.9841605347283
442909090909091.1,14.90002549999994,1.4102155531060876,1322.1997405153186
474181818181818.5,14.90002549999994,1.5738500453755975,699.3655669366508
505454545454545.75,14.90002549999994,1.7354783328179972,386.0851006359137
536727272727273.06,14.88002559999994,1.8878868187608306,225.36394406122406
568000000000000.4,14.84002579999994,2.027673263306803,139.01010716826323
599272727272727.8,14.80002599999994,2.152673121849083,90.42652546063223
630545454545455.0,14.74002629999994,2.2620822588078218,61.81356246856549
661818181818182.2,14.660026699999941,2.3562959459211306,44.177144071506206
693090909090909.6,14.580027099999942,2.4365055856485873,32.826741136962966
724363636363637.0,14.500027499999941,2.504150914352499,25.231131578467405
755636363636364.2,14.400027999999942,2.5607072313076373,19.97331118829249
786909090909091.5,14.300028499999943,2.607569996232613,16.219184940772987
818181818181818.9,14.220028899999942,2.6461478858339,13.462105884094498
849454545454546.1,14.120029399999943,2.6775669877252724,11.389617364764037
880727272727273.5,14.020029899999944,2.702901470632675,9.797798481910938
912000000000000.8,13.920030399999945,2.723025854315631,8.551564575437046
943272727272728.1,13.820030899999946,2.7387280544549952,7.5574802892650546
974545454545455.4,13.740031299999945,2.750582684131616,6.7574391450564555
1005818181818182.8,13.640031799999946,2.7592428350629206,6.100826395222264
1037090909090910.0,13.560032199999947,2.7650735956637718,5.558134893461144
1068363636363637.4,13.460032699999946,2.7685485716496574,5.102786317622919
1099636363636364.6,13.380033099999947,2.7700274606133957,4.718939279356335
