rhoc,R,M,Lambda
224000000000000.0,13.740031299999945,0.26309951762959805,2710584.1447537546
243697803419767.88,13.480032599999946,0.3105233980637238,1318614.4019492795
263395606839535.78,13.320033399999947,0.3587757414881324,696203.8360413499
283093410259303.6,13.240033799999948,0.4078950353647501,390782.34602807707
302791213679071.56,13.180034099999949,0.45779680030758435,230320.59013276256
322489017098839.44,13.160034199999949,0.5083442490260054,141336.22251613426
342186820518607.3,13.140034299999948,0.5593110929355336,89817.92004195316
361884623938375.2,13.120034399999948,0.6105515890199138,58830.01088626969
381582427358143.1,13.120034399999948,0.6618584823685878,39576.01116842223
401280230777911.0,13.120034399999948,0.713127926318866,27256.537542611655
420978034197678.9,13.120034399999948,0.7642116777868951,19170.15351464087
440675837617446.75,13.120034399999948,0.814945319937048,13744.642366964861
460373641037214.6,13.120034399999948,0.86514924875758,10030.56772078392
480071444456982.5,13.120034399999948,0.9147690864615818,7437.1805627346985
499769247876750.4,13.120034399999948,0.9636534732067593,5596.496138691844
519467051296518.3,13.120034399999948,1.0117580128492152,4267.892398289134
539164854716286.2,13.100034499999948,1.0589083406197375,3297.035601041946
558862658136054.06,13.100034499999948,1.105063682313467,2576.8780612167625
578560461555822.0,13.080034599999948,1.150207228327505,2035.886511424702
598258264975589.9,13.060034699999948,1.1942599794743645,1624.7166229607485
617956068395357.8,13.04003479999995,1.2371486428093437,1309.1422499912253
637653871815125.6,13.02003489999995,1.2789000668297485,1064.2194292242268
657351675234893.5,13.000034999999949,1.3194277919353365,872.3272648554213
677049478654661.4,12.980035099999949,1.3587071165816642,720.7931846221413
696747282074429.2,12.960035199999949,1.3967028598968565,600.1131866326689
716445085494197.2,12.92003539999995,1.4334137780266196,503.26600497299296
736142888913965.0,12.90003549999995,1.4689533739392082,424.6623866018504
755840692333733.0,12.86003569999995,1.503163420089665,360.75474629627143
775538495753500.8,12.84003579999995,1.5361542842079017,308.2438740532364
795236299173268.8,12.800035999999949,1.5678858922020866,264.9146840488889
814934102593036.6,12.76003619999995,1.59839404439045,228.8850300268644
834631906012804.5,12.72003639999995,1.6276951186301793,198.7920832322484
854329709432572.4,12.68003659999995,1.6558180633651851,173.47529320324082
874027512852340.2,12.660036699999951,1.682697763640045,152.14690018306243
893725316272108.1,12.62003689999995,1.7085443350496219,133.96404076195665
913423119691876.0,12.58003709999995,1.7332109104306916,118.50059585835686
933120923111643.9,12.54003729999995,1.7567690807742036,105.25598564808902
952818726531411.8,12.500037499999952,1.779312291737775,93.82554357457997
972516529951179.8,12.440037799999951,1.8008100642324572,83.95272197163449
992214333370947.6,12.400037999999952,1.8213028773028186,75.39527887208838
1011912136790715.5,12.360038199999952,1.8407881188409836,67.93756203197698
1031609940210483.4,12.320038399999952,1.8593181694899774,61.42935069323253
1051307743630251.2,12.280038599999951,1.8769868609972646,55.70045517223055
1071005547050019.1,12.240038799999953,1.8937692220352529,50.664463894134435
1090703350469787.0,12.200038999999952,1.9096784704179837,46.21783842479404
1110401153889554.9,12.140039299999954,1.9247860700027837,42.27208704604426
1130098957309322.8,12.100039499999953,1.9390666308265991,38.77027294689846
1149796760729090.5,12.060039699999953,1.952577401531703,35.65144385586078
1169494564148858.5,12.020039899999952,1.965367980546827,32.86448429163178
1189192367568626.5,11.980040099999954,1.9774238202752163,30.364229795802316
1208890170988394.5,11.940040299999954,1.9888068427337333,28.118554297269732
1228587974408162.2,11.880040599999955,1.9995173571879519,26.098841924391685
1248285777827930.0,11.840040799999954,2.009611451623981,24.273042255561652
1267983581247698.0,11.800040999999954,2.019076519735423,22.622703325331308
1287681384667466.0,11.760041199999954,2.02797656233485,21.125828262924504
1307379188087233.8,11.720041399999955,2.0362972205016674,19.766570443760788
1327076991507001.5,11.680041599999955,2.0440824812776537,18.52851403396789
1346774794926769.5,11.640041799999954,2.0513413923889576,17.399081892632434
1366472598346537.5,11.580042099999956,2.058104113074766,16.36561982590799
1386170401766305.2,11.540042299999955,2.0644355272067076,15.416693462314756
1405868205186073.2,11.500042499999957,2.0702774385187506,14.547512176184789
1425566008605841.0,11.460042699999956,2.075695285739111,13.749010155561821
1445263812025609.0,11.420042899999956,2.0806753748122575,13.014348011146618
1464961615445376.8,11.380043099999956,2.085272119357566,12.337654522460653
1484659418865144.8,11.340043299999957,2.089469077105942,11.711563225632002
1504357222284912.8,11.300043499999957,2.093332841400042,11.131181463192608
1524055025704680.5,11.260043699999956,2.0968103974429506,10.593783038897858
1543752829124448.5,11.220043899999958,2.0999624011482663,10.095998562223466
1563450632544216.2,11.180044099999957,2.102793705305562,9.634595031166906
1583148435963984.2,11.140044299999957,2.1053172947986267,9.20275643879355
1602846239383752.0,11.100044499999958,2.1075614186028404,8.800688985407778
1622544042803520.0,11.060044699999958,2.1095111867994136,8.427922177859731
1642241846223287.8,11.040044799999958,2.111194874688383,8.078543620759735
1661939649643055.8,11.000044999999957,2.112625230573658,7.751244390227101
1681637453062823.5,10.960045199999959,2.1138040711483512,7.445404040054567
1701335256482591.5,10.920045399999958,2.114770277623206,7.160019219845464
1721033059902359.5,10.880045599999958,2.115492297621662,6.890931929327444
1740730863322127.2,10.84004579999996,2.1160165723601323,6.637448585924261
1760428666741895.2,10.82004589999996,2.1163222936378934,6.400424876022812
1780126470161663.0,10.780046099999959,2.116446847922978,6.177495283894277
