rhoc,R,M,Lambda
224000000000000.0,13.900030499999945,0.1232084949866703,34032391.65577825
240465083946041.56,12.86003569999995,0.15082006557978073,15054880.060203742
256930167892083.12,12.280038599999951,0.18103727407710835,7164738.802879226
273395251838124.66,11.940040299999954,0.21359665071775946,3632743.647754728
289860335784166.25,11.760041199999954,0.2480069632319739,1954074.8098779884
306325419730207.75,11.660041699999955,0.2841856185702903,1103044.1785523505
322790503676249.3,11.600041999999956,0.32214822739123056,647311.3477930839
339255587622290.9,11.580042099999956,0.3616892857967923,393309.5847287351
355720671568332.44,11.600041999999956,0.4026733122471417,246357.13203002897
372185755514374.0,11.620041899999956,0.44497408916255493,158513.9781196956
388650839460415.56,11.660041699999955,0.48831118808325524,104600.26707667061
405115923406457.1,11.700041499999955,0.5326061380400577,70564.60335499198
421581007352498.6,11.740041299999955,0.5776221050527441,48604.536638110774
438046091298540.25,11.780041099999954,0.623295314981209,34097.158933100494
454511175244581.75,11.820040899999954,0.6693499177911472,24343.699786316996
470976259190623.3,11.880040599999955,0.7156807712703831,17662.44628762355
487441343136664.9,11.920040399999953,0.7621216383004914,13007.642568244833
503906427082706.44,11.960040199999954,0.8085658304789661,9711.93894636687
520371511028748.0,12.000039999999954,0.8548846681888655,7344.569139992619
536836594974789.56,12.040039799999953,0.9009504304469158,5622.419413294187
553301678920831.1,12.060039699999953,0.946618738632477,4352.891835821359
569766762866872.6,12.100039499999953,0.9917575748343356,3407.1134397723135
586231846812914.2,12.120039399999953,1.0363504385654894,2693.6354436033976
602696930758955.8,12.140039299999954,1.0803821067213983,2148.294794336032
619162014704997.2,12.160039199999952,1.123558335794117,1729.7061863244048
635627098651038.9,12.180039099999952,1.1660373463608633,1403.9417816517694
652092182597080.5,12.200038999999952,1.2076326745540482,1148.8001432032947
668557266543122.0,12.200038999999952,1.2483078056574617,947.2010187538065
685022350489163.5,12.220038899999953,1.2880845955226161,786.3596128171345
701487434435205.0,12.220038899999953,1.3268845443792918,657.3182396127575
717952518381246.6,12.220038899999953,1.3646061548538118,553.1493794217305
734417602327288.2,12.220038899999953,1.4014436085702513,468.0535148065002
750882686273329.8,12.220038899999953,1.4371341018699566,398.5508189445887
767347770219371.2,12.220038899999953,1.471740962083164,341.30430188421803
783812854165412.9,12.220038899999953,1.5054287407306428,293.64806323395635
800277938111454.4,12.200038999999952,1.5380034679602246,254.00273015781616
816743022057496.0,12.200038999999952,1.5694609267349664,220.78446447453635
833208106003537.5,12.180039099999952,1.5998298071170267,192.8364544354289
849673189949579.1,12.180039099999952,1.629278438295902,169.06586168391942
866138273895620.6,12.160039199999952,1.6576581880653567,148.88905443774354
882603357841662.2,12.140039299999954,1.6849862236728872,131.66108210898437
899068441787703.8,12.120039399999953,1.711303660097549,116.85606417124842
915533525733745.2,12.100039499999953,1.7366158541450447,104.13146662636362
931998609679786.9,12.080039599999953,1.7609666674191116,93.10321956426705
948463693625828.4,12.060039699999953,1.7843469850425382,83.53418855263382
964928777571870.0,12.040039799999953,1.8068005300165573,75.18045161693692
981393861517911.5,12.020039899999952,1.82834052691434,67.8899684166775
997858945463953.1,12.000039999999954,1.8489878590756568,61.48198407481105
1014324029409994.6,11.960040199999954,1.8687777155808194,55.839433441503914
1030789113356036.1,11.940040299999954,1.8877162199509125,50.86002442288796
1047254197302077.8,11.920040399999953,1.9058300358579472,46.44690975812154
1063719281248119.2,11.880040599999955,1.9231377895868977,42.52766667731138
1080184365194160.9,11.860040699999955,1.9396781666376044,39.03210864938955
1096649449140202.4,11.840040799999954,1.9554522015571338,35.914083017902215
1113114533086244.0,11.800040999999954,1.9704919803437415,33.12367467202286
1129579617032285.5,11.780041099999954,1.9848025817015211,30.617060386737876
1146044700978327.0,11.740041299999955,1.9984275449913407,28.364712199677914
1162509784924368.5,11.720041399999955,2.0113901609109854,26.33355176101944
1178974868870410.0,11.680041599999955,2.0237721598773923,24.488305636020847
1195439952816451.8,11.660041699999955,2.0355084242410872,22.816418569398255
1211905036762493.2,11.620041899999956,2.0466425814173737,21.301987436064458
1228370120708535.0,11.600041999999956,2.057173173595788,19.926345437815165
1244835204654576.5,11.560042199999955,2.0671363898804547,18.673133627742747
1261300288600618.0,11.540042299999955,2.0765875942915057,17.524181390275608
1277765372546659.5,11.500042499999957,2.0855390427741685,16.473789637758482
1294230456492701.0,11.480042599999956,2.093970656774818,15.510019026783214
1310695540438742.5,11.440042799999956,2.10190773823547,14.628199008384044
1327160624384784.0,11.400042999999956,2.1093772748655986,13.817431379523889
1343625708330825.8,11.380043099999956,2.1164532038053383,13.067122741459713
1360090792276867.2,11.340043299999957,2.12306292862054,12.375412916275664
1376555876222908.8,11.320043399999957,2.129244819697852,11.738116262744834
1393020960168950.5,11.280043599999956,2.135027435990116,11.147222576684552
1409486044114992.0,11.260043699999956,2.1404654713052635,10.600652560696137
1425951128061033.5,11.220043899999958,2.145508326256485,10.090942551407526
1442416212007075.0,11.200043999999957,2.1501708459419326,9.619715041277978
1458881295953116.5,11.160044199999957,2.1545636496221223,9.18011106459119
1475346379899158.2,11.120044399999957,2.1585810424434175,8.769663338035159
1491811463845199.8,11.100044499999958,2.1622814204457117,8.38964833928966
1508276547791241.2,11.060044699999958,2.1657095895521845,8.031909860401385
1524741631737282.8,11.040044799999958,2.168830132963775,7.6979002912266346
1541206715683324.5,11.000044999999957,2.171674739346227,7.38571011571883
1557671799629366.0,10.980045099999959,2.1742626102178266,7.093439742860069
1574136883575407.5,10.940045299999959,2.176583878949689,6.818275271578084
1590601967521449.0,10.920045399999958,2.1786552590194725,6.560342864412654
1607067051467490.5,10.880045599999958,2.1805009900424395,6.3174245709327845
1623532135413532.2,10.860045699999958,2.1821201932295033,6.090295257165501
1639997219359573.8,10.82004589999996,2.1835418512973512,5.874018979206804
1656462303305615.2,10.80004599999996,2.18471955205022,5.672490110717684
1672927387251656.8,10.780046099999959,2.1857211769503917,5.480866808701601
1689392471197698.2,10.740046299999959,2.186518317210329,5.300398605130304
1705857555143740.0,10.72004639999996,2.187143071097499,5.130175278035244
1722322639089781.5,10.68004659999996,2.187592158820988,4.968409410341099
1738787723035823.0,10.66004669999996,2.1878730730083036,4.815350466954948
1755252806981864.5,10.62004689999996,2.18798168851428,4.6707397571179525
