rhoc,R,M,Lambda
224000000000000.0,14.320028399999943,0.20313606618542404,6827650.850119906
242884029487846.12,13.740031299999945,0.2392783007068434,3355899.241953222
261768058975692.25,13.360033199999947,0.277006355967237,1766507.2675157562
280652088463538.4,13.120034399999948,0.3163667566950046,980065.4948811012
299536117951384.5,12.960035199999949,0.35725436712738107,567938.9201439482
318420147439230.6,12.86003569999995,0.3995565205643231,341459.1068999384
337304176927076.8,12.78003609999995,0.4430214248730544,212225.81192139853
356188206414922.94,12.74003629999995,0.48758020084105735,135710.5013910536
375072235902769.06,12.70003649999995,0.5329689446545317,89085.04958751136
393956265390615.2,12.68003659999995,0.5790483988599576,59865.25990016639
412840294878461.3,12.660036699999951,0.6256134862373584,41106.331107352766
431724324366307.5,12.660036699999951,0.6724818074549624,28789.059685707798
450608353854153.6,12.660036699999951,0.7196323388665032,20511.717292917565
469492383341999.75,12.660036699999951,0.7666781303768353,14872.450086155484
488376412829845.9,12.660036699999951,0.8137133065611841,10941.40700717737
507260442317692.0,12.660036699999951,0.8604115905476731,8168.68699338216
526144471805538.1,12.640036799999951,0.9066997680823856,6181.752070593801
545028501293384.25,12.640036799999951,0.9524904926740935,4736.0980123814925
563912530781230.4,12.640036799999951,0.9977144915144595,3670.0811894992694
582796560269076.5,12.640036799999951,1.042217679246184,2875.463308475219
601680589756922.6,12.640036799999951,1.0859539466668857,2275.956746739067
620564619244768.8,12.62003689999995,1.1288742755149515,1818.6252914069241
639448648732615.0,12.62003689999995,1.1708776980201803,1466.2665084873397
658332678220461.0,12.60003699999995,1.2118669777897777,1192.658069279918
677216707708307.2,12.58003709999995,1.2518227879743273,978.1185242897219
696100737196153.2,12.58003709999995,1.290817957705242,807.912373708618
714984766683999.5,12.56003719999995,1.3286894916333207,672.3309647938584
733868796171845.5,12.54003729999995,1.3654238930456832,563.4522865054964
752752825659691.8,12.520037399999952,1.40113758479441,475.05343782904094
771636855147537.9,12.500037499999952,1.4356257292851078,403.2463870564245
790520884635384.0,12.460037699999951,1.4691043953837541,344.0752488754499
809404914123230.1,12.440037799999951,1.501371823140855,295.36574507379737
828288943611076.2,12.42003789999995,1.5325344595341974,254.85603928371702
847172973098922.4,12.400037999999952,1.562619490288483,220.99380466020938
866057002586768.5,12.360038199999952,1.5915220483229326,192.62018967603188
884941032074614.6,12.340038299999952,1.6193843150566538,168.61115967364225
903825061562460.8,12.300038499999951,1.6461864277351967,148.24492597197352
922709091050306.9,12.260038699999953,1.671895318796968,130.90819718393146
941593120538153.0,12.240038799999953,1.6965407302713162,116.07591975741356
960477150025999.1,12.200038999999952,1.7202014759041848,103.30820197520536
979361179513845.2,12.180039099999952,1.7429016087572704,92.26813977123001
998245209001691.5,12.140039299999954,1.7646240499488643,82.70445521411867
1017129238489537.6,12.100039499999953,1.78538127607992,74.38709438348295
1036013267977383.8,12.060039699999953,1.8052027420259928,67.1278659666317
1054897297465229.9,12.020039899999952,1.8241229788914972,60.7680552248919
1073781326953076.0,12.000039999999954,1.842196078155263,55.17449626308746
1092665356440922.1,11.960040199999954,1.8594121722765884,50.24055940250874
1111549385928768.2,11.920040399999953,1.875808070258059,45.8723487031542
1130433415416614.5,11.880040599999955,1.8914198020835924,41.99498858565536
1149317444904460.5,11.840040799999954,1.9062644757616534,38.54291805811255
1168201474392306.5,11.800040999999954,1.920367726532392,35.46271723828445
1187085503880152.8,11.760041199999954,1.9337689977539179,32.70419041953342
1205969533367999.0,11.740041299999955,1.9464552026968207,30.231370224394524
1224853562855845.0,11.700041499999955,1.9585053906403351,28.004846825289285
1243737592343691.0,11.660041699999955,1.9698815544651136,25.9995171050018
1262621621831537.2,11.620041899999956,1.9806583751512148,24.187063317025064
1281505651319383.5,11.580042099999956,1.990819856840296,22.543056267109634
1300389680807229.5,11.540042299999955,2.0004141962212563,21.05439962626204
1319273710295075.8,11.500042499999957,2.0094310145672547,19.700576820431657
1338157739782922.0,11.460042699999956,2.0179208258730403,18.465952890374833
1357041769270768.0,11.420042899999956,2.025916931777402,17.33982355627436
1375925798758614.0,11.380043099999956,2.0334255195991755,16.305313647365352
1394809828246460.2,11.360043199999957,2.040460393253487,15.359696026167818
1413693857734306.2,11.320043399999957,2.047022145958062,14.491561234997159
1432577887222152.5,11.280043599999956,2.0531390058745753,13.693484770612772
1451461916709998.8,11.240043799999958,2.0588355964780582,12.959854249446686
1470345946197844.8,11.200043999999957,2.064156858985215,12.27898134070744
1489229975685691.0,11.160044199999957,2.0690881491020003,11.651130030518836
1508114005173537.0,11.120044399999957,2.073630336919965,11.071841172011517
1526998034661383.2,11.100044499999958,2.077809745032362,10.53519991450826
1545882064149229.2,11.060044699999958,2.0816659711127974,10.034905256574415
1564766093637075.5,11.020044899999958,2.085201557691526,9.570188266521138
1583650123124921.5,10.980045099999959,2.08840068061769,9.138954492204547
1602534152612767.8,10.960045199999959,2.091313713976156,8.73806023895256
1621418182100613.8,10.920045399999958,2.093937530884064,8.360509601728575
