rhoc,R,M,Lambda
2.800000000000000000e+12,2.000000000000054712e+01,2.051281386822219333e-02,5.532888068148464844e+12
8.457142857142857422e+12,2.000000000000054712e+01,4.421758195523297491e-02,2.261802066215948486e+11
1.411428571428571484e+13,2.000000000000054712e+01,5.546399259836796297e-02,7.410449578918051147e+10
1.977142857142857031e+13,2.000000000000054712e+01,6.200340384387610648e-02,3.954360227031726074e+10
2.542857142857142969e+13,2.000000000000054712e+01,6.628355263298021938e-02,2.576119012744451141e+10
3.108571428571428906e+13,2.000000000000054712e+01,6.929935219986793626e-02,1.864279975101762772e+10
3.674285714285714062e+13,2.000000000000054712e+01,7.153284919714969492e-02,1.438564046290438271e+10
4.240000000000000000e+13,2.000000000000054712e+01,7.324931046259487710e-02,1.158870443865716171e+10
4.805714285714285938e+13,2.000000000000054712e+01,7.461039355473254864e-02,9.567324182172740936e+09
5.371428571428571875e+13,2.000000000000054712e+01,7.572337307278040330e-02,8.003130596717336655e+09
5.937142857142857812e+13,2.000000000000054712e+01,7.669078111714731916e-02,6.781402144089199066e+09
6.502857142857142969e+13,2.000000000000054712e+01,7.782883389308963007e-02,5.559406182581541061e+09
7.068571428571428125e+13,2.000000000000054712e+01,7.917586380153840420e-02,4.479402777447515488e+09
7.634285714285714062e+13,2.000000000000054712e+01,8.071616188643754297e-02,3.595867887914044380e+09
8.200000000000000000e+13,2.000000000000054712e+01,8.244973580836119365e-02,2.881451228926689625e+09
8.765714285714285938e+13,2.000000000000054712e+01,8.433789724398323140e-02,2.315320738506065369e+09
9.331428571428571875e+13,2.000000000000054712e+01,8.635041741280921612e-02,1.869107578894073963e+09
9.897142857142857812e+13,2.000000000000054712e+01,8.843531141292639008e-02,1.521166236565054178e+09
1.046285714285714375e+14,2.000000000000054712e+01,9.056380470428887497e-02,1.248677242122316837e+09
1.102857142857142969e+14,2.000000000000054712e+01,9.273427429499840613e-02,1.032009648152969599e+09
1.159428571428571562e+14,2.000000000000054712e+01,9.487872780979875187e-02,8.627324099360828400e+08
1.216000000000000000e+14,2.000000000000054712e+01,9.697492415617416095e-02,7.290420707021371126e+08
1.272571428571428594e+14,2.000000000000054712e+01,9.913111044126476923e-02,6.168952878508741856e+08
1.329142857142857188e+14,2.000000000000054712e+01,1.015515381503329650e-01,5.149324533372369409e+08
1.385714285714285781e+14,2.000000000000054712e+01,1.040943477917119081e-01,4.292042351731680036e+08
1.442285714285714375e+14,2.000000000000054712e+01,1.067251368998205635e-01,3.581894227652660608e+08
1.498857142857142812e+14,2.000000000000054712e+01,1.094406461250902740e-01,2.993654340551924109e+08
1.555428571428571562e+14,2.000000000000054712e+01,1.122991704404228547e-01,2.496873142140864432e+08
1.612000000000000000e+14,2.000000000000054712e+01,1.153165701159780399e-01,2.077044895336031318e+08
1.668571428571428750e+14,2.000000000000054712e+01,1.184692447730341658e-01,1.726817011323518753e+08
1.725142857142857188e+14,2.000000000000054712e+01,1.220741705734722238e-01,1.410497935513529778e+08
1.781714285714285938e+14,2.000000000000054712e+01,1.257788781589203597e-01,1.156506045608757436e+08
1.838285714285714375e+14,2.000000000000054712e+01,1.295589081393875297e-01,9.529174181838500500e+07
1.894857142857142812e+14,2.000000000000054712e+01,1.336464356598915382e-01,7.799703628742794693e+07
1.951428571428571562e+14,2.000000000000054712e+01,1.378104134014679905e-01,6.419307543556234241e+07
2.008000000000000000e+14,2.000000000000054712e+01,1.424035924463172564e-01,5.229326036190557480e+07
2.064571428571428750e+14,2.000000000000054712e+01,1.470054370418041600e-01,4.299689664456893504e+07
2.121142857142857188e+14,2.000000000000054712e+01,1.522402241872052864e-01,3.479464728048811108e+07
2.177714285714285938e+14,2.000000000000054712e+01,1.574668808310465962e-01,2.847239298296911269e+07
2.234285714285714375e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.290857142857143125e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.347428571428571562e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.404000000000000000e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.460571428571428750e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.517142857142857188e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.573714285714285938e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.630285714285714375e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.686857142857143125e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.743428571428571562e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.800000000000000000e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
