rhoc,R,M,Lambda
2.800000000000000000e+12,2.000000000000054712e+01,3.403334369451109342e+00,7.785291503159711413e-01
8.457142857142857422e+12,2.000000000000054712e+01,3.544351875792396633e+00,-1.952189685866624891e-01
1.411428571428571484e+13,2.000000000000054712e+01,3.399341747701445815e+00,-1.937248800341518154e-02
1.977142857142857031e+13,2.000000000000054712e+01,3.349818270177652213e+00,9.257593601112557025e-02
2.542857142857142969e+13,2.000000000000054712e+01,3.335523710013483356e+00,1.455311803479602262e-01
3.108571428571428906e+13,2.000000000000054712e+01,3.335229495176391445e+00,1.638125896356215638e-01
3.674285714285714062e+13,0.000000000000000000e+00,0.000000000000000000e+00,nan
4.240000000000000000e+13,0.000000000000000000e+00,0.000000000000000000e+00,nan
4.805714285714285938e+13,0.000000000000000000e+00,0.000000000000000000e+00,nan
5.371428571428571875e+13,0.000000000000000000e+00,0.000000000000000000e+00,nan
5.937142857142857812e+13,0.000000000000000000e+00,0.000000000000000000e+00,nan
6.502857142857142969e+13,0.000000000000000000e+00,0.000000000000000000e+00,nan
7.068571428571428125e+13,0.000000000000000000e+00,0.000000000000000000e+00,nan
7.634285714285714062e+13,0.000000000000000000e+00,0.000000000000000000e+00,nan
8.200000000000000000e+13,0.000000000000000000e+00,0.000000000000000000e+00,nan
8.765714285714285938e+13,0.000000000000000000e+00,0.000000000000000000e+00,nan
9.331428571428571875e+13,0.000000000000000000e+00,0.000000000000000000e+00,nan
9.897142857142857812e+13,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.046285714285714375e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.102857142857142969e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.159428571428571562e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.216000000000000000e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.272571428571428594e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.329142857142857188e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.385714285714285781e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.442285714285714375e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.498857142857142812e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.555428571428571562e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.612000000000000000e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.668571428571428750e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.725142857142857188e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.781714285714285938e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.838285714285714375e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.894857142857142812e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.951428571428571562e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.008000000000000000e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.064571428571428750e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.121142857142857188e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.177714285714285938e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.234285714285714375e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.290857142857143125e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.347428571428571562e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.404000000000000000e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.460571428571428750e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.517142857142857188e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.573714285714285938e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.630285714285714375e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.686857142857143125e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.743428571428571562e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
2.800000000000000000e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
