rhoc,R,M,Lambda
2.800000000000000000e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
3.600000000000000000e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
4.400000000000000000e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
5.200000000000000000e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
6.000000000000000000e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
6.800000000000000000e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
7.600000000000000000e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
8.400000000000000000e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
9.200000000000000000e+14,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.000000000000000000e+15,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.080000000000000000e+15,2.880085599999994361e+00,5.266234272989198106e-02,3.877206978368072887e+05
1.160000000000000000e+15,4.400077999999987277e+00,1.931374131761326995e-01,1.001488222055979713e+04
1.240000000000000000e+15,5.240073799999983351e+00,3.342823610511172494e-01,1.962929615386432033e+03
1.320000000000000000e+15,5.780071099999981143e+00,4.603023699555052195e-01,7.222419499673239898e+02
1.400000000000000000e+15,6.140069299999979968e+00,5.713194643894689007e-01,3.552911206451842645e+02
1.480000000000000000e+15,6.420067899999978067e+00,6.650563696291708071e-01,2.104929354422462211e+02
1.560000000000000000e+15,6.620066899999977217e+00,7.466356156794475840e-01,1.385678737410867427e+02
1.640000000000000000e+15,6.780066099999976892e+00,8.164203506762782725e-01,9.876634600712444012e+01
1.720000000000000000e+15,6.880065599999976023e+00,8.753805489868471401e-01,7.487135755473052257e+01
1.800000000000000000e+15,6.960065199999975860e+00,9.256387462287306578e-01,5.934912644528046144e+01
1.880000000000000000e+15,7.040064799999975698e+00,9.711628526693077967e-01,4.812795822716697813e+01
1.960000000000000000e+15,7.080064599999975172e+00,1.009893057274771744e+00,4.022846754884669451e+01
2.040000000000000000e+15,7.120064399999974647e+00,1.043017997107147155e+00,3.443758165348095446e+01
2.120000000000000000e+15,7.140064299999974828e+00,1.071487664195992506e+00,3.005113414092942747e+01
2.200000000000000000e+15,7.160064199999975010e+00,1.096059507837519043e+00,2.663783586916441948e+01
2.280000000000000000e+15,7.180064099999974303e+00,1.118022830299614467e+00,2.383823378894141598e+01
2.360000000000000000e+15,7.180064099999974303e+00,1.137892968444339070e+00,2.148185976385150298e+01
2.440000000000000000e+15,7.180064099999974303e+00,1.155008693066205794e+00,1.956732077150731897e+01
2.520000000000000000e+15,7.180064099999974303e+00,1.169787500843222805e+00,1.798636039394374819e+01
2.600000000000000000e+15,7.160064199999975010e+00,1.182573476576930238e+00,1.666235137816516598e+01
2.680000000000000000e+15,7.160064199999975010e+00,1.193649699469300440e+00,1.553992494348909048e+01
2.760000000000000000e+15,7.140064299999974828e+00,1.203251452209574968e+00,1.457814551377948931e+01
2.840000000000000000e+15,7.140064299999974828e+00,1.211576805223555153e+00,1.374614550557159376e+01
2.920000000000000000e+15,7.120064399999974647e+00,1.218791817910987563e+00,1.302032234584498838e+01
3.000000000000000000e+15,7.100064499999975354e+00,1.225454711372240713e+00,1.233907402015346122e+01
3.080000000000000000e+15,7.100064499999975354e+00,1.231284188561792226e+00,1.172681838291250855e+01
3.160000000000000000e+15,7.080064599999975172e+00,1.236228302983635174e+00,1.118740729204558093e+01
3.240000000000000000e+15,7.060064699999974991e+00,1.240399733024932560e+00,1.070910509171521241e+01
3.320000000000000000e+15,7.040064799999975698e+00,1.243898172682179615e+00,1.028228632040201695e+01
3.400000000000000000e+15,7.020064899999975516e+00,1.246801571525695707e+00,9.899573488702765545e+00
3.480000000000000000e+15,7.000064999999975335e+00,1.249185849896462086e+00,9.554563115861956391e+00
3.560000000000000000e+15,6.980065099999976042e+00,1.251111103141362424e+00,9.242190671853801831e+00
3.640000000000000000e+15,6.960065199999975860e+00,1.252629536927525544e+00,8.958225391029358775e+00
3.720000000000000000e+15,6.960065199999975860e+00,1.253786103111486749e+00,8.699157905641277111e+00
3.800000000000000000e+15,6.940065299999975679e+00,1.254626684059520603e+00,8.461831179325535857e+00
3.880000000000000000e+15,6.920065399999975497e+00,1.255180313294562033e+00,8.243886343489400303e+00
3.960000000000000000e+15,6.900065499999976204e+00,1.255483529106044660e+00,8.043017645884340538e+00
4.040000000000000000e+15,6.880065599999976023e+00,1.255556478028042156e+00,7.846110507324704386e+00
4.120000000000000000e+15,6.860065699999975841e+00,1.255392511883589579e+00,7.656702254497983695e+00
4.200000000000000000e+15,6.840065799999976548e+00,1.255010120106281546e+00,7.482207822441312217e+00
