rhoc,R,M,Lambda
224000000000000.0,19.999999999999915,0.09476845762526472,361387455.3300718
236341409686421.7,19.999999999999915,0.09723167837391582,282232056.15323985
248682819372843.38,19.999999999999915,0.10006107319996822,217621778.80850416
261024229059265.06,19.999999999999915,0.10325527526350232,166104261.86665046
273365638745686.75,19.999999999999915,0.10676166525871583,125742133.78830063
285707048432108.44,19.999999999999915,0.11055342792618089,95366172.68953782
298048458118530.1,19.999999999999915,0.1145139468214248,72688528.88186279
310389867804951.8,19.999999999999915,0.11863045757530742,55911122.68855482
322731277491373.5,19.999999999999915,0.12296000575596895,43239253.82181342
335072687177795.2,19.999999999999915,0.12747022328699445,33667986.41655396
347414096864216.9,19.999999999999915,0.13224955831985843,26326423.421883963
359755506550638.56,19.18000409999992,0.1374072421518398,20595527.253806245
372096916237060.25,18.140009299999925,0.14292194956477702,16157585.563254476
384438325923482.0,17.20001399999993,0.14901259098637074,12600471.577750806
396779735609903.6,16.340018299999933,0.155723333531386,9770568.269978644
409121145296325.4,15.600021999999937,0.16309516821089676,7536629.642377448
421462554982747.0,14.90002549999994,0.1712975861408565,5763719.079521451
433803964669168.75,14.300028499999943,0.18033206182763084,4381650.640553311
446145374355590.4,13.760031199999945,0.19022137500720604,3317016.8149906904
458486784042012.1,13.280033599999948,0.20090935414580552,2508921.946478565
470828193728433.75,12.86003569999995,0.2124032038867064,1898100.937500261
483169603414855.5,12.500037499999952,0.22465530724250923,1439097.4878995495
495511013101277.1,12.200038999999952,0.237738978948135,1092489.3161168317
507852422787698.9,11.920040399999953,0.25144582391451886,834222.208923217
520193832474120.56,11.680041599999955,0.26576736437728815,640667.5940819512
532535242160542.25,11.480042599999956,0.2807331508587442,494441.992392948
544876651846963.94,11.320043399999957,0.29629964132000014,383697.08927622216
557218061533385.6,11.160044199999957,0.3123485218622841,299797.77218551934
569559471219807.2,11.040044799999958,0.3288943871287358,235661.19346793002
581900880906229.0,10.920045399999958,0.34602602378015695,186085.94961813831
594242290592650.8,10.82004589999996,0.363817930512605,147399.1939822671
606583700279072.4,10.740046299999959,0.3822866608487674,117111.42349589302
618925109965494.0,10.68004659999996,0.4013893440262931,93362.72987908943
631266519651915.8,10.60004699999996,0.4211200599951268,74677.51704513698
643607929338337.5,10.56004719999996,0.4415630874692522,59873.89454101498
655949339024759.1,10.50004749999996,0.46279785727904155,48074.96808391191
668290748711180.8,10.46004769999996,0.48507888222277673,38570.11191497247
680632158397602.5,10.44004779999996,0.5081564707584609,31002.12360418945
692973568084024.2,10.400047999999959,0.5320082475523599,24972.437537429236
705314977770445.9,10.38004809999996,0.5568199401744734,20124.630457005725
717656387456867.5,10.36004819999996,0.5821065094672747,16293.694482344446
729997797143289.2,10.34004829999996,0.6076931714977395,13266.625113002965
742339206829711.0,10.34004829999996,0.6335215432460195,10862.54567522421
754680616516132.6,10.34004829999996,0.6601650302367328,8902.633496591254
767022026202554.2,10.32004839999996,0.6870048283781696,7334.6962799953
779363435888976.0,10.32004839999996,0.7138049770223822,6082.4178597290265
791704845575397.8,10.32004839999996,0.7407148140561092,5068.5915565454
804046255261819.4,10.32004839999996,0.767484668359709,4249.94330782199
816387664948241.1,10.32004839999996,0.7940996659104884,3583.6716686450172
828729074634662.8,10.34004829999996,0.8205480011689105,3038.1505239585226
841070484321084.5,10.34004829999996,0.846852759822727,2587.7926958534595
853411894007506.1,10.34004829999996,0.8732460735150236,2210.914625966797
865753303693927.9,10.34004829999996,0.8997906834963507,1893.4951135987822
878094713380349.5,10.36004819999996,0.9262961288711379,1627.0146968232175
890436123066771.2,10.36004819999996,0.952379936072637,1405.3431098467456
902777532753192.9,10.36004819999996,0.9787780856431717,1214.8989771888332
915118942439614.6,10.38004809999996,1.0046760838739666,1055.6396477200524
927460352126036.2,10.38004809999996,1.0308797206017153,917.792346218047
939801761812458.0,10.38004809999996,1.0571084874502226,799.4760151150831
952143171498879.6,10.38004809999996,1.0832785697882663,697.9700474264565
964484581185301.4,10.400047999999959,1.110076906876134,608.5154705667779
976825990871723.0,10.400047999999959,1.1363365154007616,532.8827680112299
989167400558144.8,10.400047999999959,1.163539247501887,465.208211063023
1001508810244566.4,10.400047999999959,1.1899490100758032,408.37054421674776
1013850219930988.1,10.400047999999959,1.217105813926506,357.67166965554577
1026191629617409.9,10.42004789999996,1.2435464982211841,314.77007046904464
1038533039303831.5,10.42004789999996,1.2704053289152268,276.80770790975066
1050874448990253.2,10.42004789999996,1.2966310869484983,244.4189630369736
1063215858676674.9,10.42004789999996,1.3230274625500107,215.8595883747983
1075557268363096.6,10.42004789999996,1.3494821117071976,190.76463220452342
1087898678049518.2,10.42004789999996,1.3754000363426542,169.1385504354455
1100240087735940.0,10.42004789999996,1.4015631681296246,149.8995149510962
1112581497422361.6,10.42004789999996,1.4271926768834855,133.26031955959252
1124922907108783.4,10.42004789999996,1.4523763724704422,118.76943832389227
1137264316795205.0,10.42004789999996,1.4773644738358556,105.99737769042498
1149605726481626.8,10.42004789999996,1.5015573773476683,94.96612241585163
1161947136168048.5,10.400047999999959,1.5259237237729526,85.03670588108457
1174288545854470.0,10.400047999999959,1.5490816222041426,76.56721777181993
1186629955540891.8,10.400047999999959,1.5726155078308939,68.83255851927468
1198971365227313.5,10.400047999999959,1.5950776652660894,62.17246256514406
1211312774913735.0,10.38004809999996,1.6173645349938395,56.198120778168324
1223654184600157.0,10.38004809999996,1.6388818346771974,50.964126656058625
1235995594286578.5,10.38004809999996,1.6597570551475986,46.340544010071
1248337003973000.2,10.38004809999996,1.6801086745147722,42.221857820468976
1260678413659422.0,10.36004819999996,1.6995068804046858,38.62382668546827
1273019823345843.5,10.36004819999996,1.7186824535764,35.35095902162948
1285361233032265.2,10.34004829999996,1.7368481226831678,32.49247615510025
1297702642718687.0,10.34004829999996,1.754719161931521,29.88839040018546
1310044052405108.5,10.32004839999996,1.771870851671771,27.5706529015353
1322385462091530.5,10.32004839999996,1.7883505349031072,25.496488389162003
1334726871777952.0,10.30004849999996,1.8044763787882023,23.602382482479403
1347068281464373.8,10.30004849999996,1.8197328457689084,21.92441724708783
1359409691150795.5,10.28004859999996,1.8347213625706107,20.377723634169122
1371751100837217.0,10.28004859999996,1.8490180482791831,18.991375991174746
1384092510523638.8,10.26004869999996,1.8626856693407026,17.73914776465412
1396433920210060.5,10.26004869999996,1.8760116318434035,16.58542611337437
1408775329896482.2,10.240048799999961,1.8886090540838716,15.551081542292607
1421116739582904.0,10.240048799999961,1.9008579768187683,14.59590530197381
1433458149269325.5,10.220048899999961,1.9125905171351107,13.723386667386189
1445799558955747.2,10.20004899999996,1.9236895462190655,12.936011608299596
