rhoc,M,R,Lambda,I
2.240000000000000000e+14,1.181321650143445229e-01,2.000000000000101963e+01,9.559125890808494389e+07,6.049786510776753584e-02
2.300482412060301250e+14,1.215883141328404915e-01,2.000000000000101963e+01,7.898575942148843408e+07,6.135904651299578516e-02
2.360964824120602812e+14,1.252104608870217572e-01,2.000000000000101963e+01,6.518232681595216691e+07,6.238069078109383797e-02
2.421447236180904062e+14,1.290295486582295204e-01,2.000000000000101963e+01,5.377293641901025921e+07,6.357403894697183366e-02
2.481929648241205625e+14,1.330266679320891154e-01,2.000000000000101963e+01,4.442188761693818867e+07,6.493378881709799266e-02
2.542412060301506875e+14,1.372188773791442606e-01,2.000000000000101963e+01,3.673721550039430708e+07,6.646579237611917323e-02
2.602894472361808438e+14,1.415986574478877713e-01,2.000000000000101963e+01,3.042144886731204763e+07,6.816860323094044161e-02
2.663376884422109688e+14,1.461642740770052185e-01,2.000000000000101963e+01,2.525240129791899398e+07,7.004014668830894907e-02
2.723859296482411250e+14,1.509257243518505320e-01,2.000000000000101963e+01,2.101491903084196150e+07,7.208326557912719812e-02
2.784341708542712500e+14,1.558687621705437676e-01,1.938000310000095183e+01,1.754342867592994869e+07,7.429236370901234898e-02
2.844824120603013750e+14,1.610176642334348318e-01,1.869000655000087363e+01,1.467978283301327378e+07,7.667564941657885325e-02
2.905306532663315625e+14,1.663328959720178080e-01,1.808000960000080681e+01,1.232585103593443334e+07,7.921497803488034006e-02
2.965788944723616875e+14,1.718633067625543465e-01,1.752001240000074134e+01,1.036605153786170483e+07,8.193250774322453911e-02
3.026271356783918125e+14,1.775593193841527861e-01,1.703001485000068627e+01,8.743828785594392568e+06,8.480647168820582005e-02
3.086753768844219375e+14,1.834615145119593560e-01,1.658001710000063866e+01,7.387767825901967473e+06,8.785723388025223901e-02
3.147236180904521250e+14,1.895334201593013024e-01,1.617001915000059142e+01,6.258336471426635981e+06,9.106614711748188540e-02
3.207718592964822500e+14,1.957946685855224411e-01,1.580002100000054988e+01,5.311194360048742965e+06,9.444492105809688953e-02
3.268201005025123750e+14,2.022376520783061571e-01,1.546002270000051304e+01,4.517421833742802963e+06,9.799440672253756368e-02
3.328683417085425000e+14,2.088587060937659723e-01,1.515002425000047737e+01,3.849835171094921418e+06,1.017099031893128336e-01
3.389165829145726250e+14,2.156625809425065654e-01,1.487002565000044640e+01,3.287070006455062423e+06,1.055980027690101575e-01
3.449648241206028125e+14,2.226360615019685740e-01,1.461002695000041740e+01,2.812706548778628930e+06,1.096538813896618669e-01
3.510130653266329375e+14,2.297978936557612539e-01,1.438002810000039133e+01,2.410496540568105876e+06,1.138892452208603023e-01
3.570613065326630625e+14,2.371144878335259276e-01,1.416002920000036625e+01,2.071082737544762436e+06,1.182874516976495510e-01
3.631095477386932500e+14,2.446581151300205870e-01,1.396003020000034489e+01,1.780590633450780064e+06,1.228940274634622160e-01
3.691577889447233750e+14,2.523421701957060392e-01,1.378003110000032549e+01,1.534635481716900598e+06,1.276587135457926681e-01
3.752060301507535000e+14,2.601568799249610042e-01,1.361003195000030530e+01,1.326040744871455012e+06,1.325776489478110720e-01
3.812542713567836250e+14,2.681339093498953940e-01,1.345003275000028786e+01,1.147955863985751057e+06,1.376727418462055375e-01
3.873025125628137500e+14,2.763379267755263768e-01,1.331003345000027238e+01,9.944112658960158005e+05,1.429860568688507139e-01
3.933507537688438750e+14,2.846645135113468061e-01,1.317003415000025690e+01,8.635429580167556414e+05,1.484542246209449579e-01
3.993989949748740625e+14,2.931105995131478847e-01,1.305003475000024338e+01,7.516414367707596393e+05,1.540772656050845291e-01
4.054472361809041875e+14,3.017490319301800450e-01,1.294003530000023083e+01,6.550164107378078625e+05,1.599042594000510964e-01
4.114954773869343750e+14,3.105664096876813440e-01,1.283003585000021829e+01,5.715810814833824988e+05,1.659306096332963942e-01
4.175437185929645000e+14,3.194512631087138010e-01,1.273003635000020672e+01,5.002349495570543222e+05,1.720805678046163356e-01
4.235919597989946250e+14,3.283893770750694330e-01,1.264003680000019791e+01,4.390985503109992133e+05,1.783446542940022306e-01
4.296402010050247500e+14,3.375315642456618859e-01,1.256003720000018831e+01,3.856630619870797382e+05,1.848274033879947764e-01
4.356884422110548750e+14,3.468394640039105248e-01,1.248003760000017870e+01,3.391845252700677374e+05,1.915084688848389949e-01
4.417366834170850000e+14,3.562939709348840189e-01,1.241003795000017185e+01,2.987402878606369486e+05,1.983749186827959698e-01
4.477849246231151250e+14,3.658988838648250530e-01,1.234003830000016322e+01,2.634888811301788082e+05,2.054324224418856426e-01
4.538331658291453125e+14,3.757546301191148075e-01,1.228003860000015734e+01,2.323888029679966276e+05,2.127583333577316715e-01
4.598814070351754375e+14,3.857418463652969032e-01,1.222003890000014970e+01,2.052953934042638284e+05,2.202673145472320848e-01
4.659296482412056250e+14,3.958450241462480590e-01,1.216003920000014382e+01,1.816707670570237678e+05,2.279516079481147817e-01
4.719778894472357500e+14,4.061418245464485377e-01,1.211003945000013715e+01,1.608751393196790596e+05,2.358704776594828800e-01
4.780261306532658750e+14,4.166594559700476097e-01,1.206003970000013226e+01,1.425351503429827280e+05,2.440501607602289513e-01
4.840743718592960000e+14,4.273133673062367577e-01,1.201003995000012736e+01,1.264499979909034009e+05,2.524274082062388236e-01
4.901226130653261250e+14,4.381238096415649985e-01,1.197004015000012167e+01,1.123087077632982546e+05,2.610211974302842353e-01
4.961708542713562500e+14,4.491968043564797952e-01,1.193004035000011775e+01,9.974008505089819664e+04,2.699199747753397993e-01
5.022190954773864375e+14,4.604027821219433547e-01,1.189004055000011384e+01,8.870855520819948288e+04,2.790260551100399722e-01
5.082673366834165625e+14,4.717249868876819408e-01,1.186004070000011090e+01,7.900645002885673603e+04,2.883249368585231176e-01
5.143155778894466875e+14,4.831889514245224504e-01,1.183004085000010619e+01,7.045092633031794685e+04,2.978427043511573391e-01
5.203638190954768125e+14,4.949767573054839054e-01,1.180004100000010325e+01,6.277956124544831982e+04,3.077332076103198588e-01
5.264120603015070000e+14,5.068903544862156663e-01,1.177004115000010032e+01,5.602214613695704611e+04,3.178377517285915776e-01
5.324603015075371250e+14,5.189027886396807565e-01,1.174004130000009738e+01,5.006521639348605095e+04,3.281337348670313458e-01
5.385085427135672500e+14,5.310655435999949159e-01,1.172004140000009365e+01,4.478609388978713105e+04,3.386677190924400338e-01
5.445567839195973750e+14,5.434228716973714679e-01,1.170004150000009169e+01,4.008923940846399637e+04,3.494826206028603388e-01
5.506050251256275625e+14,5.558641666236424639e-01,1.168004160000008973e+01,3.594024241958931088e+04,3.604840375368679184e-01
5.566532663316576875e+14,5.683947956893291575e-01,1.166004170000008777e+01,3.226291489350670963e+04,3.716748756919017738e-01
5.627015075376878125e+14,5.811614097043615867e-01,1.164004180000008581e+01,2.897034994713111519e+04,3.831941191482792775e-01
5.687497487437180000e+14,5.941116177877605598e-01,1.162004190000008386e+01,2.602551871981201475e+04,3.949956110978549706e-01
5.747979899497481250e+14,6.071757724197943684e-01,1.161004195000008288e+01,2.340740256884102200e+04,4.070191042789320646e-01
5.808462311557782500e+14,6.203454887515965632e-01,1.159004205000007914e+01,2.107687634916467869e+04,4.192619553671857457e-01
5.868944723618083750e+14,6.337116585262677626e-01,1.158004210000007816e+01,1.898650194564312551e+04,4.318067861976183086e-01
5.929427135678385000e+14,6.471598650064411817e-01,1.157004215000007719e+01,1.712491926022264670e+04,4.445527399944109725e-01
5.989909547738687500e+14,6.606856371127046712e-01,1.155004225000007523e+01,1.546581407008223687e+04,4.574958662480398952e-01
6.050391959798987500e+14,6.743808050647821517e-01,1.154004230000007425e+01,1.397523498957301126e+04,4.707263194160495878e-01
6.110874371859290000e+14,6.882660433584196769e-01,1.154004230000007425e+01,1.263202811933797057e+04,4.842658862131631881e-01
6.171356783919590000e+14,7.022043133240419843e-01,1.153004235000007327e+01,1.143295045790994118e+04,4.979822797075800778e-01
