rhoc,M,R,Lambda,I
2.240000000000000000e+14,1.046238130485542955e-01,2.000000000000101963e+01,1.663073458654428422e+08,5.089198294770325148e-02
2.379497487437185938e+14,1.138432929949291378e-01,2.000000000000101963e+01,9.272716263269104064e+07,5.244837301597291002e-02
2.518994974874371875e+14,1.243633088522348162e-01,2.000000000000101963e+01,5.230301056548551470e+07,5.549576077810415564e-02
2.658492462311558125e+14,1.359936254303642789e-01,2.000000000000101963e+01,3.047659915012264252e+07,5.985802353797673586e-02
2.797989949748743750e+14,1.486616587758298469e-01,1.992000040000101180e+01,1.850291085087106749e+07,6.538514980103360408e-02
2.937487437185930000e+14,1.622658523995266777e-01,1.807000965000080583e+01,1.170612508408224210e+07,7.192623161685185451e-02
3.076984924623116250e+14,1.766987266141136492e-01,1.672001640000065237e+01,7.648973853556787595e+06,7.935837289072730782e-02
3.216482412060301875e+14,1.918897023203169627e-01,1.572002140000054204e+01,5.125887878333035856e+06,8.761067781232326213e-02
3.355979899497487500e+14,2.077768749864219444e-01,1.495002525000045601e+01,3.508997866909432225e+06,9.663393273474568668e-02
3.495477386934673750e+14,2.243756184604589476e-01,1.434002830000038742e+01,2.443731383746628650e+06,1.064346845695879340e-01
3.634974874371860000e+14,2.415660142833100932e-01,1.385003075000033235e+01,1.730727726271684514e+06,1.169423948459359791e-01
3.774472361809045625e+14,2.592746722236667356e-01,1.346003270000028884e+01,1.245364265525698662e+06,1.281147885238205497e-01
3.913969849246231875e+14,2.775902221885827581e-01,1.314003430000025396e+01,9.071608858254097868e+05,1.400114332759951619e-01
4.053467336683417500e+14,2.963378945464645309e-01,1.287003565000022220e+01,6.697542109830160625e+05,1.525214313495512897e-01
4.192964824120603750e+14,3.155879226568046314e-01,1.265003675000019889e+01,4.998958304131813347e+05,1.656966364565896910e-01
4.332462311557790000e+14,3.351844805660069149e-01,1.246003770000017674e+01,3.775853159095955780e+05,1.794318507579020228e-01
4.471959798994975625e+14,3.552792758150800090e-01,1.230003850000015930e+01,2.876844277258490911e+05,1.938373262760252069e-01
4.611457286432161250e+14,3.756509486764799677e-01,1.216003920000014382e+01,2.215010545903519087e+05,2.087556939151631874e-01
4.750954773869347500e+14,3.963237565132922136e-01,1.205003975000013128e+01,1.721095397031134053e+05,2.242003987702476386e-01
4.890452261306533750e+14,4.173900951125190661e-01,1.195004025000011971e+01,1.347114222462896723e+05,2.402456373396283373e-01
5.029949748743719375e+14,4.400310541528086872e-01,1.185004075000010815e+01,1.047722094124139549e+05,2.578179405660133705e-01
5.169447236180905625e+14,4.660515009913360207e-01,1.176004120000009934e+01,7.961501470583029732e+04,2.784582298050413685e-01
5.308944723618091250e+14,4.937209074291616928e-01,1.169004155000009071e+01,6.036575540489830018e+04,3.009657144433401377e-01
5.448442211055277500e+14,5.223353859488221174e-01,1.162004190000008386e+01,4.602158954460966197e+04,3.248580830346335380e-01
5.587939698492463750e+14,5.519826857569128942e-01,1.157004215000007719e+01,3.525023584491918155e+04,3.502761365999760845e-01
5.727437185929650000e+14,5.824177956321714422e-01,1.152004240000007229e+01,2.716569576834640611e+04,3.770545511925657567e-01
5.866934673366835000e+14,6.135767997151271302e-01,1.148004260000006838e+01,2.107021628495031473e+04,4.051779532170536879e-01
6.006432160804021250e+14,6.453709458100922447e-01,1.145004275000006366e+01,1.644653750088005836e+04,4.345867324993511471e-01
6.145929648241207500e+14,6.777465410100073084e-01,1.143004285000006170e+01,1.291988080303895003e+04,4.652661042371601940e-01
6.285427135678392500e+14,7.106204445453082608e-01,1.141004295000005975e+01,1.021166031910525817e+04,4.971509169451991950e-01
6.424924623115580000e+14,7.439073691432770419e-01,1.139004305000005779e+01,8.121708288995650946e+03,5.301591810791232984e-01
6.564422110552765000e+14,7.775451038538886417e-01,1.138004310000005681e+01,6.498899108222176437e+03,5.642519224680765388e-01
6.703919597989951250e+14,8.114479081432001140e-01,1.137004315000005583e+01,5.231889999615335910e+03,5.993339553103864681e-01
6.843417085427137500e+14,8.457619235739557428e-01,1.136004320000005485e+01,4.230512021036778606e+03,6.355581025374755777e-01
