rhoc,M,R,Lambda,I
2.240000000000000000e+14,1.142461981515699859e-01,2.000000000000101963e+01,1.144427405215702653e+08,5.764461061282521309e-02
2.299337496504515625e+14,1.175808750848807566e-01,2.000000000000101963e+01,9.386948566594435275e+07,5.831073842174169103e-02
2.358674993009031250e+14,1.210881960971905702e-01,2.000000000000101963e+01,7.715680687072068453e+07,5.914545263903105837e-02
2.418012489513546875e+14,1.247668038681477437e-01,2.000000000000101963e+01,6.329432239853850007e+07,6.014797812265568894e-02
2.477349986018062500e+14,1.286217429808903800e-01,2.000000000000101963e+01,5.198369752291639149e+07,6.132233415966208828e-02
2.536687482522578125e+14,1.326529607008527789e-01,2.000000000000101963e+01,4.279075431477369368e+07,6.266608202593580701e-02
2.596024979027093750e+14,1.368636455517416306e-01,2.000000000000101963e+01,3.526598106317587197e+07,6.417984378890612129e-02
2.655362475531609375e+14,1.412562658776844171e-01,2.000000000000101963e+01,2.913045577790301293e+07,6.586414641098220502e-02
2.714699972036125000e+14,1.458299101195974501e-01,2.000000000000101963e+01,2.412702636344209686e+07,6.771777653708671574e-02
2.774037468540640625e+14,1.505843513429806213e-01,2.000000000000101963e+01,2.004677943657311425e+07,6.973842657087589436e-02
2.833374965045156250e+14,1.555215577253627468e-01,2.000000000000101963e+01,1.671474974403476901e+07,7.192527123192862804e-02
2.892712461549671875e+14,1.606422495656523730e-01,1.924000380000093458e+01,1.398541038812740333e+07,7.427777095244718353e-02
2.952049958054187500e+14,1.659484541062340446e-01,1.857000715000085833e+01,1.173941576055024937e+07,7.679396553534433012e-02
3.011387454558703750e+14,1.714381852836573406e-01,1.796001020000079151e+01,9.883547939395507798e+06,7.947256199181089442e-02
3.070724951063218750e+14,1.771045097732978912e-01,1.742001290000073155e+01,8.345041372794610448e+06,8.231077383378453127e-02
3.130062447567735000e+14,1.829355376121409860e-01,1.693001535000067648e+01,7.066586325289621949e+06,8.530094965318454903e-02
3.189399944072250000e+14,1.889297470708260207e-01,1.649001755000062630e+01,6.000472219752550125e+06,8.844374563287632496e-02
3.248737440576766250e+14,1.950840250246664298e-01,1.609001955000058359e+01,5.108280337593805045e+06,9.173715860676154299e-02
3.308074937081281250e+14,2.014265797702819993e-01,1.573002135000054302e+01,4.356786204344846308e+06,9.519886360733312292e-02
3.367412433585797500e+14,2.079686988656337110e-01,1.540002300000050539e+01,3.720868599637928419e+06,9.883564165697276971e-02
3.426749930090312500e+14,2.146734317102672596e-01,1.509002455000047149e+01,3.185071986424377188e+06,1.026301464668993857e-01
3.486087426594828750e+14,2.215287777992159812e-01,1.482002590000044151e+01,2.732973638439934701e+06,1.065764747778328025e-01
3.545424923099344375e+14,2.285248529905319070e-01,1.457002715000041349e+01,2.351042484651093837e+06,1.106705673424569492e-01
3.604762419603860000e+14,2.357203259235179094e-01,1.434002830000038742e+01,2.024691059367400128e+06,1.149474393358718566e-01
3.664099916108375625e+14,2.430947634750663666e-01,1.412002940000036233e+01,1.746400084914450999e+06,1.194002320020700614e-01
3.723437412612891250e+14,2.505947979742976783e-01,1.393003035000034195e+01,1.510143514528544620e+06,1.239950177926612274e-01
3.782774909117406875e+14,2.582137235123940222e-01,1.375003125000032078e+01,1.309283779293007683e+06,1.287320363625576725e-01
3.842112405621922500e+14,2.660729499513642127e-01,1.358003210000030236e+01,1.135415630345906597e+06,1.336890299896960066e-01
3.901449902126438125e+14,2.740657892179721444e-01,1.343003285000028590e+01,9.866254147760334890e+05,1.387979910527649130e-01
3.960787398630953750e+14,2.821585828146726538e-01,1.329003355000027042e+01,8.597755480328535195e+05,1.440440046652341766e-01
4.020124895135469375e+14,2.904183616482149399e-01,1.316003420000025592e+01,7.502042302853722358e+05,1.494671494758821606e-01
4.079462391639985000e+14,2.988233831945172336e-01,1.304003480000024240e+01,6.557190259573601652e+05,1.550584625660556271e-01
4.138799888144500625e+14,3.072874398553129827e-01,1.292003540000022888e+01,5.748242492473878665e+05,1.607604335964845366e-01
4.198137384649016250e+14,3.159158959173525849e-01,1.282003590000021731e+01,5.045634119274902623e+05,1.666456657580216993e-01
4.257474881153531875e+14,3.247201493508395376e-01,1.272003640000020575e+01,4.433249379171197070e+05,1.727242188326842398e-01
4.316812377658047500e+14,3.335804428635539276e-01,1.263003685000019694e+01,3.905804345571881277e+05,1.789130004914724070e-01
4.376149874162563125e+14,3.427054610862829143e-01,1.255003725000018733e+01,3.440057758821332827e+05,1.853622234897913668e-01
4.435487370667078750e+14,3.519364282363192653e-01,1.247003765000017772e+01,3.035464658628314501e+05,1.919617529277664880e-01
4.494824867171594375e+14,3.612526042170426943e-01,1.240003800000017087e+01,2.684103888056626893e+05,1.986991370920583588e-01
4.554162363676110000e+14,3.708653751782959307e-01,1.233003835000016224e+01,2.371966023261531955e+05,2.057309630077610862e-01
4.613499860180625625e+14,3.804978378448972687e-01,1.226003870000015539e+01,2.102137079185778275e+05,2.128554835863210315e-01
4.672837356685141250e+14,3.903955137627480587e-01,1.220003900000014774e+01,1.862208900481331220e+05,2.202565098604186700e-01
