rhoc,M,R,Lambda,I
2.240000000000000000e+14,1.038970970155997237e-01,2.000000000000101963e+01,2.027207299268610477e+08,5.423104313648011154e-02
2.353869346733677812e+14,1.075113695421050647e-01,2.000000000000101963e+01,1.563318233315311074e+08,5.412162857974138486e-02
2.467738693467355312e+14,1.112087137364627942e-01,2.000000000000101963e+01,1.210008097342539728e+08,5.423494724365449798e-02
2.581608040201033125e+14,1.147332938530157831e-01,2.000000000000101963e+01,9.590579121208298206e+07,5.452196104851594199e-02
2.695477386934710625e+14,1.197914510579000669e-01,2.000000000000101963e+01,7.016405539127987623e+07,5.517580420020370968e-02
2.809346733668388438e+14,1.286697250800217240e-01,2.000000000000101963e+01,4.276261501284742355e+07,5.707690267471100809e-02
2.923216080402066250e+14,1.386958499293880764e-01,2.000000000000101963e+01,2.641446763695669919e+07,6.016446320729602892e-02
3.037085427135743750e+14,1.496071875180968735e-01,1.982000090000099846e+01,1.687215643116952479e+07,6.428891183088662753e-02
3.150954773869421250e+14,1.610858731953767886e-01,1.814000930000081269e+01,1.124173226807032712e+07,6.921020946253625405e-02
3.264824120603099375e+14,1.742667821194058553e-01,1.679001605000066277e+01,7.471992056829668581e+06,7.538652554239980152e-02
3.378693467336776875e+14,1.898205665568837575e-01,1.567002165000053537e+01,4.885075113685292192e+06,8.325040172345651857e-02
3.492562814070455000e+14,2.074833365674987884e-01,1.477002615000043484e+01,3.186505730020083487e+06,9.281782111634950816e-02
3.606432160804132500e+14,2.268274446742799266e-01,1.408002960000035841e+01,2.100247511077081785e+06,1.039726760618123053e-01
3.720301507537810000e+14,2.472043251226333227e-01,1.355003225000029943e+01,1.415603731547494419e+06,1.164042465487081235e-01
3.834170854271487500e+14,2.678558619424102338e-01,1.315003425000025494e+01,9.845649332219187636e+05,1.296442940106817820e-01
3.948040201005165000e+14,2.889168142045702714e-01,1.284003580000021927e+01,7.009312240320720011e+05,1.437492251976201507e-01
4.061909547738843125e+14,3.103008173125413327e-01,1.260003700000019222e+01,5.094272345926677808e+05,1.586440103972844851e-01
4.175778894472521250e+14,3.318226095451005109e-01,1.241003795000017185e+01,3.777091553646441316e+05,1.741729006299045646e-01
4.289648241206198750e+14,3.534364902437217015e-01,1.225003875000015441e+01,2.850046158892883686e+05,1.902757432866118703e-01
4.403517587939876250e+14,3.751200484401698843e-01,1.213003935000014089e+01,2.183672105322484858e+05,2.069078222212145379e-01
4.517386934673553750e+14,3.967936997648793818e-01,1.202003990000012834e+01,1.697148922980339848e+05,2.239802141530719271e-01
4.631256281407231250e+14,4.182811018233309475e-01,1.194004030000011873e+01,1.338056321136857441e+05,2.413196526627353622e-01
4.745125628140909375e+14,4.398454681948424927e-01,1.187004065000011188e+01,1.065466678926576860e+05,2.591118853300920510e-01
4.858994974874586875e+14,4.618349839927056721e-01,1.181004095000010423e+01,8.530253505084061180e+04,2.776344334710585948e-01
4.972864321608265000e+14,4.842464250257321190e-01,1.176004120000009934e+01,6.863455019375801203e+04,2.968902375051232223e-01
5.086733668341942500e+14,5.070615670673933595e-01,1.172004140000009365e+01,5.548544962970228516e+04,3.168724993764314157e-01
5.200603015075620000e+14,5.304392361777070519e-01,1.168004160000008973e+01,4.499355705223416589e+04,3.377326637536431919e-01
5.314472361809297500e+14,5.543184443387397797e-01,1.165004175000008679e+01,3.660642212670462322e+04,3.594245780932783241e-01
5.428341708542975625e+14,5.782414134320351673e-01,1.162004190000008386e+01,2.999163901278462436e+04,3.815432740877308104e-01
5.542211055276653125e+14,6.018560249444291355e-01,1.160004200000008190e+01,2.479393472418304009e+04,4.037417429161453963e-01
5.656080402010330000e+14,6.251486952577494094e-01,1.158004210000007816e+01,2.067045949887184543e+04,4.259737495166003307e-01
5.769949748744008750e+14,6.481801363740343769e-01,1.156004220000007621e+01,1.735821914393961197e+04,4.482723327700968707e-01
5.883819095477686250e+14,6.709235349047686370e-01,1.155004225000007523e+01,1.467607995295652290e+04,4.705804871458101890e-01
5.997688442211363750e+14,6.933470519156034184e-01,1.154004230000007425e+01,1.248955819305873956e+04,4.928418074515826808e-01
6.111557788945042500e+14,7.154369418079934428e-01,1.153004235000007327e+01,1.069398144305585811e+04,5.150215496125194470e-01
6.225427135678720000e+14,7.373190978334374091e-01,1.152004240000007229e+01,9.200911094743347348e+03,5.372155535521357939e-01
6.339296482412397500e+14,7.587972155710760447e-01,1.151004245000007131e+01,7.962235478065076677e+03,5.592101182412739790e-01
6.453165829146075000e+14,7.799103970514210671e-01,1.150004250000007033e+01,6.925792047524363625e+03,5.810153627865146664e-01
6.567035175879752500e+14,8.008466546315714529e-01,1.150004250000007033e+01,6.046138078386293273e+03,6.028085536787050058e-01
6.680904522613430000e+14,8.217928967127209328e-01,1.149004255000006935e+01,5.289996870600997681e+03,6.247736627452780134e-01
6.794773869347107500e+14,8.431805794483437921e-01,1.148004260000006838e+01,4.625607153472337814e+03,6.473609441642150797e-01
6.908643216080785000e+14,8.646847078499664274e-01,1.148004260000006838e+01,4.050457201896335391e+03,6.702270848455385011e-01
7.022512562814462500e+14,8.858969489235163364e-01,1.147004265000006562e+01,3.560259836763522344e+03,6.929362904261818779e-01
7.136381909548140000e+14,9.066772384241881255e-01,1.146004270000006464e+01,3.143244161961448299e+03,7.153184378297312573e-01
7.250251256281818750e+14,9.270356769198012659e-01,1.146004270000006464e+01,2.786674410348762194e+03,7.373722681948358115e-01
7.364120603015496250e+14,9.470334375048382602e-01,1.145004275000006366e+01,2.479363608134856804e+03,7.591448224343758655e-01
7.477989949749173750e+14,9.665886980472534473e-01,1.145004275000006366e+01,2.214452591733343525e+03,7.805286776335484955e-01
7.591859296482852500e+14,9.857770386115577432e-01,1.144004280000006268e+01,1.984444056411276506e+03,8.015963328213330241e-01
7.705728643216530000e+14,1.004577793311076661e+00,1.143004285000006170e+01,1.784013565745659434e+03,8.223101221952667794e-01
7.819597989950207500e+14,1.022909646740387757e+00,1.143004285000006170e+01,1.609595169556903102e+03,8.425670809216030399e-01
7.933467336683885000e+14,1.040841140479308313e+00,1.142004290000006073e+01,1.456661617407311496e+03,8.624274788853784068e-01
8.047336683417562500e+14,1.058853071009514757e+00,1.141004295000005975e+01,1.318686410681513280e+03,8.824193965623224889e-01
8.161206030151240000e+14,1.076647755529197781e+00,1.141004295000005975e+01,1.195942635775650615e+03,9.021973085632455369e-01
8.275075376884917500e+14,1.094513067748985380e+00,1.140004300000005877e+01,1.084890767752600141e+03,9.220845593185311717e-01
8.388944723618595000e+14,1.112374999808862563e+00,1.139004305000005779e+01,9.847695419816093363e+02,9.419925264094491935e-01
8.502814070352273750e+14,1.129888182257113849e+00,1.138004310000005681e+01,8.960908433347809705e+02,9.615343866791704608e-01
8.616683417085951250e+14,1.147335524473069412e+00,1.137004315000005583e+01,8.160875544802079276e+02,9.810243604596874389e-01
8.730552763819628750e+14,1.164424732847279653e+00,1.136004320000005485e+01,7.449666121361092337e+02,1.000124745454218367e+00
8.844422110553306250e+14,1.181206254874138439e+00,1.135004325000005387e+01,6.814583313393527533e+02,1.018887280418464325e+00
8.958291457286983750e+14,1.197852063582530713e+00,1.134004330000005112e+01,6.239929399779316554e+02,1.037498212368556549e+00
9.072160804020661250e+14,1.214046009566286166e+00,1.133004335000005014e+01,5.729273323720649387e+02,1.055607035651580983e+00
9.186030150754340000e+14,1.230074851238330380e+00,1.132004340000004916e+01,5.266294791918199962e+02,1.073518726125634926e+00
9.299899497488017500e+14,1.245567256088329078e+00,1.131004345000004818e+01,4.855485780803397802e+02,1.090822168717366702e+00
9.413768844221695000e+14,1.260625846092720215e+00,1.130004350000004720e+01,4.487639243453288600e+02,1.107617623772417792e+00
9.527638190955372500e+14,1.275310569303625519e+00,1.129004355000004622e+01,4.156203368986294890e+02,1.123971795488575731e+00
9.641507537689050000e+14,1.289656800384733071e+00,1.128004360000004525e+01,3.856290396033066372e+02,1.139918221000502996e+00
