rhoc,M,R,Lambda,I
2.240000000000000000e+14,2.888330549749923426e-01,1.571002145000054107e+01,1.933503340001297183e+06,2.085669717337728379e-01
2.333015075376884375e+14,3.153054352933720161e-01,1.537002315000050245e+01,1.322069134534364566e+06,2.358122343250493580e-01
2.426030150753769062e+14,3.429052161068798510e-01,1.509002455000047149e+01,9.171333151454428444e+05,2.652229248579664467e-01
2.519045226130653438e+14,3.718569770552901388e-01,1.487002565000044640e+01,6.427498490227261791e+05,2.971113719709417844e-01
2.612060301507538125e+14,4.014827811859807416e-01,1.470002650000042799e+01,4.582431501578981988e+05,3.307814973660086477e-01
2.705075376884422500e+14,4.315914566531011132e-01,1.457002715000041349e+01,3.322653429847848602e+05,3.660191264512895337e-01
2.798090452261306875e+14,4.620806728766641003e-01,1.446002770000040094e+01,2.447422714462647564e+05,4.026865159544605888e-01
2.891105527638191250e+14,4.929425238554042688e-01,1.438002810000039133e+01,1.827868187947755796e+05,4.407524810070205246e-01
2.984120603015076250e+14,5.241659162375853498e-01,1.431002845000038448e+01,1.382010406308780657e+05,4.801776341086664845e-01
3.077135678391960625e+14,5.558443760610488615e-01,1.426002870000037781e+01,1.055629772214840050e+05,5.210765296675224922e-01
3.170150753768845000e+14,5.877838287671810491e-01,1.421002895000037292e+01,8.149219050960883033e+04,5.631707450625829114e-01
3.263165829145730000e+14,6.202818748115592751e-01,1.418002910000036998e+01,6.337386418893792143e+04,6.068566914390198797e-01
3.356180904522613750e+14,6.532872238192417580e-01,1.415002925000036527e+01,4.962739331743074581e+04,6.520629428956572493e-01
3.449195979899498750e+14,6.869453925879112077e-01,1.413002935000036331e+01,3.907527566232264508e+04,6.990155572628197200e-01
3.542211055276383125e+14,7.211892284420939880e-01,1.411002945000036135e+01,3.093514240092810360e+04,7.476366640962328614e-01
3.635226130653267500e+14,7.558701172630898357e-01,1.410002950000036037e+01,2.463792697422535639e+04,7.977357755947713791e-01
3.728241206030152500e+14,7.907037796264406726e-01,1.409002955000035939e+01,1.976557489261067167e+04,8.488979847112348986e-01
3.821256281407036250e+14,8.252836839545955039e-01,1.408002960000035841e+01,1.600094446724905356e+04,9.004923584564923367e-01
3.914271356783921250e+14,8.593261803798930565e-01,1.407002965000035744e+01,1.308206521198201881e+04,9.520337525221195252e-01
4.007286432160805625e+14,8.925385987407720156e-01,1.407002965000035744e+01,1.080971833534299549e+04,1.002981706297191522e+00
4.100301507537690000e+14,9.246396195956116948e-01,1.407002965000035744e+01,9.032922807740163989e+03,1.052800305270617409e+00
4.193316582914575000e+14,9.555931703632555285e-01,1.406002970000035646e+01,7.627905285249737062e+03,1.101318479551724128e+00
4.286331658291459375e+14,9.856388656747204768e-01,1.406002970000035646e+01,6.495867563117124519e+03,1.148816209537875555e+00
4.379346733668343750e+14,1.014858290672068897e+00,1.406002970000035646e+01,5.572565405621344325e+03,1.195316323377715761e+00
4.472361809045228125e+14,1.043151997989127944e+00,1.405002975000035548e+01,4.816118385876741741e+03,1.240611355696460194e+00
4.565376884422112500e+14,1.070399148904282338e+00,1.405002975000035548e+01,4.193401922097564238e+03,1.284413566521256156e+00
4.658391959798997500e+14,1.096530321005692032e+00,1.405002975000035548e+01,3.678666458640842848e+03,1.326563948273405513e+00
4.751407035175881875e+14,1.121444108183881738e+00,1.404002980000035450e+01,3.251306122765389773e+03,1.366813270691126903e+00
4.844422110552766250e+14,1.145060046141906263e+00,1.404002980000035450e+01,2.895466998082411919e+03,1.404987137648082474e+00
4.937437185929651250e+14,1.167320411160077231e+00,1.403002985000035174e+01,2.598094438538749728e+03,1.440943296129454154e+00
5.030452261306535000e+14,1.188100325212367192e+00,1.402002990000035076e+01,2.349451704360050371e+03,1.474432758778888575e+00
5.123467336683420000e+14,1.207367291695169653e+00,1.402002990000035076e+01,2.141083188783703008e+03,1.505366206063165402e+00
5.216482412060304375e+14,1.225238394186492163e+00,1.401002995000034979e+01,1.964853389236766361e+03,1.533905581768394200e+00
5.309497487437188750e+14,1.241942711923388787e+00,1.400003000000034881e+01,1.813502080210250824e+03,1.560400906724455750e+00
5.402512562814073125e+14,1.257792504397525768e+00,1.399003005000034783e+01,1.680513859507827419e+03,1.585329559908233099e+00
5.495527638190958125e+14,1.273028563912792288e+00,1.398003010000034685e+01,1.561776501805911721e+03,1.609075521898032379e+00
5.588542713567842500e+14,1.287790360873894091e+00,1.397003015000034587e+01,1.454577117669050949e+03,1.631827447436716039e+00
5.681557788944727500e+14,1.302219246337068981e+00,1.396003020000034489e+01,1.356643251921292631e+03,1.653808584643500001e+00
5.774572864321611250e+14,1.316761833473076848e+00,1.395003025000034391e+01,1.264150913549228790e+03,1.675658482685496331e+00
5.867587939698496250e+14,1.331215426686808145e+00,1.394003030000034293e+01,1.178172571934098642e+03,1.697079093403408123e+00
5.960603015075380000e+14,1.345510487512743492e+00,1.392003040000034098e+01,1.098658399795541754e+03,1.717972617953323899e+00
6.053618090452265000e+14,1.359712862879875361e+00,1.391003045000034000e+01,1.024627616681313157e+03,1.738419412128491937e+00
6.146633165829150000e+14,1.373713681624395999e+00,1.389003055000033626e+01,9.562760536934648599e+02,1.758284790504509809e+00
6.239648241206033750e+14,1.387344064189888426e+00,1.387003065000033430e+01,8.938499556105831516e+02,1.777332207138766940e+00
6.332663316582918750e+14,1.400640763734577687e+00,1.386003070000033333e+01,8.366564051178698946e+02,1.795618691373775500e+00
6.425678391959802500e+14,1.413535362667120543e+00,1.384003080000033137e+01,7.844308190578028643e+02,1.813077903641800548e+00
6.518693467336687500e+14,1.425939925628624039e+00,1.382003090000032941e+01,7.370967471228601653e+02,1.829608726294715826e+00
6.611708542713572500e+14,1.437840557284328247e+00,1.380003100000032745e+01,6.941258094379845716e+02,1.845194441129659246e+00
6.704723618090456250e+14,1.449249699351315313e+00,1.378003110000032549e+01,6.550491539028355419e+02,1.859869816513386453e+00
6.797738693467341250e+14,1.460219230219560016e+00,1.377003115000032274e+01,6.193824567914259660e+02,1.873733378496933666e+00
6.890753768844225000e+14,1.470801742043788218e+00,1.375003125000032078e+01,5.866340587326338891e+02,1.886848986734446232e+00
6.983768844221110000e+14,1.481026404847112232e+00,1.373003135000031882e+01,5.564013460953457297e+02,1.899257036308120927e+00
7.076783919597995000e+14,1.490887596638698520e+00,1.371003145000031687e+01,5.285583633394676326e+02,1.910981092173531515e+00
7.169798994974880000e+14,1.500404153847459288e+00,1.369003155000031491e+01,5.028227148748427453e+02,1.922028576308096648e+00
7.262814070351763750e+14,1.509619598517699002e+00,1.367003165000031295e+01,4.789054780670774676e+02,1.932472666603168632e+00
7.355829145728647500e+14,1.518520684292025136e+00,1.365003175000031099e+01,4.567245934368639837e+02,1.942319904337273861e+00
7.448844221105532500e+14,1.527129783915961880e+00,1.364003180000030824e+01,4.360766029521728342e+02,1.951588911661189751e+00
7.541859296482417500e+14,1.535435712536917352e+00,1.362003190000030628e+01,4.168743151118204651e+02,1.960280865426303754e+00
7.634874371859302500e+14,1.543425025501452552e+00,1.360003200000030432e+01,3.990464507402871845e+02,1.968399027312675242e+00
7.727889447236186250e+14,1.551134318097096010e+00,1.358003210000030236e+01,3.824178824873359872e+02,1.975989963887526457e+00
7.820904522613070000e+14,1.558561995657147925e+00,1.356003220000030041e+01,3.668826684784238523e+02,1.983057786535850742e+00
7.913919597989955000e+14,1.565761400791389590e+00,1.354003230000029845e+01,3.523152179252754763e+02,1.989686067318050977e+00
8.006934673366840000e+14,1.572739891245214183e+00,1.352003240000029471e+01,3.385912174382470425e+02,1.995854557933552043e+00
8.099949748743723750e+14,1.579511690393593959e+00,1.350003250000029276e+01,3.256805071666769322e+02,2.001623989216260835e+00
8.192964824120608750e+14,1.586135961774856495e+00,1.348003260000029080e+01,3.133540671752186881e+02,2.007002752067664986e+00
8.285979899497493750e+14,1.592554390454011592e+00,1.346003270000028884e+01,3.017502344047895235e+02,2.011991503152295913e+00
8.378994974874377500e+14,1.598862009380241700e+00,1.344003280000028688e+01,2.906447089840957574e+02,2.016658809514535911e+00
8.472010050251262500e+14,1.604963933130898690e+00,1.342003290000028493e+01,2.801623224331863184e+02,2.020937317718707327e+00
8.565025125628146250e+14,1.610933231124564546e+00,1.340003300000028297e+01,2.701567386368898269e+02,2.024878548044633408e+00
8.658040201005031250e+14,1.616724713421217041e+00,1.338003310000027923e+01,2.606866730019128227e+02,2.028488149777547100e+00
8.751055276381916250e+14,1.622363075168880897e+00,1.336003320000027728e+01,2.516767415115203050e+02,2.031761539642771730e+00
8.844070351758800000e+14,1.627865638737141740e+00,1.334003330000027532e+01,2.430936766565252185e+02,2.034759042429352682e+00
8.937085427135685000e+14,1.633202077128416807e+00,1.332003340000027336e+01,2.349241489857571992e+02,2.037409987861240612e+00
9.030100502512568750e+14,1.638430344815717588e+00,1.330003350000027140e+01,2.271020724582406274e+02,2.039801790879280485e+00
9.123115577889453750e+14,1.643485788639623468e+00,1.328003360000026944e+01,2.196995077807281405e+02,2.041889986822489789e+00
9.216130653266338750e+14,1.648467340541256654e+00,1.326003370000026571e+01,2.125407644885063974e+02,2.043735901830466162e+00
9.309145728643222500e+14,1.653272726667178505e+00,1.324003380000026375e+01,2.057760517311320996e+02,2.045306698309963700e+00
9.402160804020107500e+14,1.657994192339807382e+00,1.321003395000026082e+01,1.992459072355682110e+02,2.046634384819330688e+00
9.495175879396992500e+14,1.662567843810327739e+00,1.319003405000025886e+01,1.930424851100346189e+02,2.047710131698849967e+00
9.588190954773876250e+14,1.667039430181962434e+00,1.317003415000025690e+01,1.870907605092838253e+02,2.048564480819076827e+00
9.681206030150761250e+14,1.671396709750516907e+00,1.315003425000025494e+01,1.813809029496681262e+02,2.049177743861099188e+00
9.774221105527645000e+14,1.675632375442181576e+00,1.313003435000025121e+01,1.759308685497052807e+02,2.049591853300171351e+00
9.867236180904530000e+14,1.679783147891204642e+00,1.311003445000024925e+01,1.706745345274609065e+02,2.049785181651807786e+00
9.960251256281415000e+14,1.683786790040693981e+00,1.309003455000024729e+01,1.656910922202316385e+02,2.049784639563408728e+00
1.005326633165829875e+15,1.687742105103385626e+00,1.306003470000024436e+01,1.608361722355753329e+02,2.049573336746875363e+00
1.014628140703518375e+15,1.691558166639267391e+00,1.304003480000024240e+01,1.562251108020110166e+02,2.049196251319899353e+00
1.023929648241206750e+15,1.695314811365051133e+00,1.302003490000024044e+01,1.517545976568115123e+02,2.048623279238891204e+00
1.033231155778895250e+15,1.698950978623421149e+00,1.300003500000023671e+01,1.474856865691339465e+02,2.047887462451146501e+00
1.042532663316583750e+15,1.702506123939382388e+00,1.298003510000023475e+01,1.433622745895792150e+02,2.046964500562466593e+00
1.051834170854272125e+15,1.705969332205484079e+00,1.296003520000023279e+01,1.394016398080119359e+02,2.045888732089468309e+00
1.061135678391960625e+15,1.709338802673794788e+00,1.294003530000023083e+01,1.356061930278673913e+02,2.044663479342361700e+00
1.070437185929649000e+15,1.712634201541340717e+00,1.291003545000022790e+01,1.319307407627785551e+02,2.043277968092377606e+00
1.079738693467337500e+15,1.715819006806648561e+00,1.289003555000022594e+01,1.284240483713644778e+02,2.041764092816777509e+00
1.089040201005026000e+15,1.718981865463997227e+00,1.287003565000022220e+01,1.249800089339751281e+02,2.040069075419000288e+00
1.098341708542714375e+15,1.722031778020178372e+00,1.285003575000022025e+01,1.216932700814147239e+02,2.038267752747472628e+00
1.107643216080402875e+15,1.725055453809027251e+00,1.283003585000021829e+01,1.184805850794810596e+02,2.036319280561344147e+00
1.116944723618091250e+15,1.727975326472788620e+00,1.280003600000021535e+01,1.153996145874936587e+02,2.034245264186113289e+00
1.126246231155779750e+15,1.730815069536818074e+00,1.278003610000021339e+01,1.124500353816799958e+02,2.032058986007394097e+00
1.135547738693468250e+15,1.733562393067055396e+00,1.276003620000021144e+01,1.096048069818654369e+02,2.029770185937102234e+00
1.144849246231156500e+15,1.736206448637958033e+00,1.274003630000020770e+01,1.068974425513515598e+02,2.027399652672710051e+00
1.154150753768845000e+15,1.738752808317460818e+00,1.272003640000020575e+01,1.043151677179323258e+02,2.024961220944497153e+00
1.163452261306533500e+15,1.741202480948077724e+00,1.270003650000020379e+01,1.018472559231752541e+02,2.022458022069931971e+00
1.172753768844222000e+15,1.743535308828773944e+00,1.268003660000020183e+01,9.951762830898363177e+01,2.019920878017788635e+00
1.182055276381910500e+15,1.745781883593984452e+00,1.266003670000019987e+01,9.728385309876917120e+01,2.017316093438297653e+00
1.191356783919599000e+15,1.747942016626636619e+00,1.264003680000019791e+01,9.514876227266159958e+01,2.014645167159335060e+00
1.200658291457287500e+15,1.750017619779323574e+00,1.262003690000019418e+01,9.309813633385431331e+01,2.011917459997503155e+00
1.209959798994976000e+15,1.752017586182184283e+00,1.260003700000019222e+01,9.113254125672833084e+01,2.009142420943198282e+00
1.219261306532664250e+15,1.753942003045590114e+00,1.258003710000019026e+01,8.923939433487356609e+01,2.006286663399232673e+00
1.228562814070352750e+15,1.755814573369552267e+00,1.256003720000018831e+01,8.740762052755886202e+01,2.003367043992885677e+00
1.237864321608041000e+15,1.757608815260459201e+00,1.254003730000018635e+01,8.564461850589759706e+01,2.000386796820209589e+00
1.247165829145729500e+15,1.759342763726521763e+00,1.252003740000018439e+01,8.394297006216288537e+01,1.997353682484493298e+00
1.256467336683418000e+15,1.761026216895597463e+00,1.250003750000018243e+01,8.229040904772998033e+01,1.994243558351778356e+00
1.265768844221106500e+15,1.762644512608974701e+00,1.249003755000017968e+01,8.070247040796414240e+01,1.991098351198300476e+00
1.275070351758795000e+15,1.764192211647847230e+00,1.247003765000017772e+01,7.916578455403774228e+01,1.987867986282307209e+00
1.284371859296483500e+15,1.765694763123035971e+00,1.245003775000017576e+01,7.767744594204668829e+01,1.984598811594391332e+00
1.293673366834172000e+15,1.767136802431586551e+00,1.243003785000017380e+01,7.624026000806274794e+01,1.981299011917232678e+00
