rhoc,M,R,Lambda,I
2.240000000000000000e+14,1.571981575797797848e-01,1.932000340000094241e+01,2.059562985526664928e+07,8.140571940921598193e-02
2.370909121608040625e+14,1.751646081493838103e-01,1.763001185000075566e+01,1.215629835557986796e+07,9.247121211137893093e-02
2.501818243216081250e+14,1.946594755329562609e-01,1.643001785000062043e+01,7.375949682980840094e+06,1.052414435136487247e-01
2.632727364824121562e+14,2.156301845354791635e-01,1.554002230000052087e+01,4.583576327602345496e+06,1.197305692393303284e-01
2.763636486432162188e+14,2.380086718335092943e-01,1.488002560000044738e+01,2.910336794806743041e+06,1.359491764343589426e-01
2.894545608040202500e+14,2.616583287824313930e-01,1.437002815000039035e+01,1.887922626579854637e+06,1.538599073353480173e-01
3.025454729648243125e+14,2.864766147307151734e-01,1.398003010000034685e+01,1.249611586666536750e+06,1.734353380866174854e-01
3.156363851256283750e+14,3.124011307758021161e-01,1.368003160000031393e+01,8.424981678334733006e+05,1.946706545129282262e-01
3.287272972864324375e+14,3.398002727791454847e-01,1.343003285000028590e+01,5.745158302629712271e+05,2.179360179808885190e-01
3.418182094472365000e+14,3.590157108293078325e-01,1.330003350000027140e+01,4.469181498912673560e+05,2.347189353327258088e-01
3.549091216080405625e+14,3.674128284341078854e-01,1.324003380000026375e+01,4.018141487985551357e+05,2.421099483614095327e-01
3.680000337688446250e+14,3.724473971463023725e-01,1.321003395000026082e+01,3.771434611262790859e+05,2.465119302127825041e-01
3.810909459296486250e+14,3.762859195818469837e-01,1.319003405000025886e+01,3.592915672338857548e+05,2.498179964153380284e-01
3.941818580904527500e+14,3.805343815180189937e-01,1.316003420000025592e+01,3.403378370593365398e+05,2.533975395100271921e-01
4.072727702512567500e+14,3.861173459083871440e-01,1.312003440000025023e+01,3.166496638258080930e+05,2.579508338295508629e-01
4.203636824120608125e+14,3.964193446345986582e-01,1.305003475000024338e+01,2.766568455648727831e+05,2.659768159636208829e-01
4.334545945728648750e+14,4.112650025940684517e-01,1.294003530000023083e+01,2.279794699447561579e+05,2.771628800556822370e-01
4.465455067336689375e+14,4.270850760108486632e-01,1.283003585000021829e+01,1.863814017452779517e+05,2.889434121179324522e-01
4.596364188944730000e+14,4.440404578961964499e-01,1.272003640000020575e+01,1.512349193775772874e+05,3.015995348606321236e-01
4.727273310552770000e+14,4.620174202206959180e-01,1.262003690000019418e+01,1.221871418397521775e+05,3.151592609783321897e-01
