rhoc,M,R,Lambda,I
2.240000000000000000e+14,1.488019850944486133e-01,2.000000000000101963e+01,3.264670344580865651e+07,8.080491548921650558e-02
2.343071497685265312e+14,1.583142003082549654e-01,2.000000000000101963e+01,2.291655643524283916e+07,8.537037028135663341e-02
2.446142995370530625e+14,1.684672155423904694e-01,2.000000000000101963e+01,1.624981898263708688e+07,9.061464373256761240e-02
2.549214493055795938e+14,1.792392921051003674e-01,1.935000325000094890e+01,1.165644607607734948e+07,9.651667129355501196e-02
2.652285990741061250e+14,1.906418848940972799e-01,1.828000860000082639e+01,8.453629244674259797e+06,1.030741774344515610e-01
2.755357488426326562e+14,2.026368741424520725e-01,1.740001300000072959e+01,6.195513997422810644e+06,1.102613574941201102e-01
2.858428986111591875e+14,2.152240881558993013e-01,1.667001665000064747e+01,4.580376044397566468e+06,1.180786395747248502e-01
2.961500483796857500e+14,2.284068939882478999e-01,1.606001970000058066e+01,3.414011796758008189e+06,1.265364415430316192e-01
3.064571981482122500e+14,2.421476809912961881e-01,1.555002225000052185e+01,2.564862180028141476e+06,1.356183100304286238e-01
3.167643479167388125e+14,2.564305324971934419e-01,1.511002445000047345e+01,1.941744622726579197e+06,1.453227948771220190e-01
3.270714976852653125e+14,2.712340447340591543e-01,1.473002635000043092e+01,1.480991835765864700e+06,1.556490770008226721e-01
3.373786474537918750e+14,2.865417132311717796e-01,1.441002795000039427e+01,1.137618011085819686e+06,1.665916830411520722e-01
3.476857972223183750e+14,3.023591830732859642e-01,1.413002935000036331e+01,8.795366263116081245e+05,1.781689141326958659e-01
3.579929469908449375e+14,3.186335124593541179e-01,1.389003055000033626e+01,6.846470820827105781e+05,1.903507390525672471e-01
3.683000967593715000e+14,3.353257236349724835e-01,1.368003160000031393e+01,5.365884916109218029e+05,2.031179008192626478e-01
3.786072465278980000e+14,3.524454743854216754e-01,1.349003255000029178e+01,4.231347493687639944e+05,2.164843568052343958e-01
3.889143962964245000e+14,3.699834091142314429e-01,1.333003335000027434e+01,3.356279267783217365e+05,2.304528749551533751e-01
3.992215460649510625e+14,3.878296595629649457e-01,1.319003405000025886e+01,2.680102795337530551e+05,2.449423642337204832e-01
4.095286958334776250e+14,4.061094139541678860e-01,1.306003470000024436e+01,2.150244363846086198e+05,2.600582183780816292e-01
4.198358456020041250e+14,4.246288893522388586e-01,1.295003525000023181e+01,1.736560337872698437e+05,2.756498991505031970e-01
4.301429953705306250e+14,4.435394520866054457e-01,1.285003575000022025e+01,1.408426343226151948e+05,2.918399202730361242e-01
4.404501451390571875e+14,4.626594475196637024e-01,1.276003620000021144e+01,1.149331182639865438e+05,3.084886708570513392e-01
4.507572949075837500e+14,4.820759845849221237e-01,1.268003660000020183e+01,9.421731804501367151e+04,3.256631916800684645e-01
4.610644446761102500e+14,5.017165697080702147e-01,1.261003695000019320e+01,7.762215411049262912e+04,3.433044602817236779e-01
4.713715944446368125e+14,5.215125287958356504e-01,1.255003725000018733e+01,6.428792473314767267e+04,3.613509112359925557e-01
4.816787442131633750e+14,5.415614191763064023e-01,1.249003755000017968e+01,5.345432234163903922e+04,3.798873705886982588e-01
4.919858939816898750e+14,5.617727016843014898e-01,1.244003780000017478e+01,4.464575446553351503e+04,3.988358455533258518e-01
5.022930437502163750e+14,5.820949164366023831e-01,1.239003805000016989e+01,3.746002719842377701e+04,4.181398924284527308e-01
5.126001935187429375e+14,6.025161931594275044e-01,1.235003825000016420e+01,3.156811549465155986e+04,4.377850916488985056e-01
5.229073432872694375e+14,6.231022756037570831e-01,1.232003840000016126e+01,2.669894194602529024e+04,4.578371973759443048e-01
5.332144930557960000e+14,6.437743308257246611e-01,1.228003860000015734e+01,2.266594230090383280e+04,4.782067715957678544e-01
5.435216428243225000e+14,6.644977905897041515e-01,1.225003875000015441e+01,1.931762582756682241e+04,4.988620921462353364e-01
5.538287925928490625e+14,6.852527897706823801e-01,1.222003890000014970e+01,1.652634927750784118e+04,5.197732296313719580e-01
5.641359423613756250e+14,7.060315684489418819e-01,1.219003905000014676e+01,1.418862928486551755e+04,5.409300590497447825e-01
5.744430921299021250e+14,7.268113270321554520e-01,1.217003915000014480e+01,1.222368377557119129e+04,5.622966802121631691e-01
5.847502418984287500e+14,7.475859933153296000e-01,1.215003925000014284e+01,1.056653008995283744e+04,5.838670065255462394e-01
5.950573916669552500e+14,7.683466451498411898e-01,1.213003935000014089e+01,9.163110063904277922e+03,6.056251760894010294e-01
6.053645414354817500e+14,7.890666576422330492e-01,1.211003945000013715e+01,7.970498838123360656e+03,6.275266207925548345e-01
6.156716912040082500e+14,8.097385394996198249e-01,1.209003955000013519e+01,6.953781776345907929e+03,6.495603544825996334e-01
6.259788409725347500e+14,8.303581742744281513e-01,1.207003965000013324e+01,6.084567302540295714e+03,6.717219461184388285e-01
6.362859907410612500e+14,8.509050455828660597e-01,1.205003975000013128e+01,5.338724927623945405e+03,6.939779753503364512e-01
6.465931405095878750e+14,8.713512981033925131e-01,1.204003980000013030e+01,4.697650580153502233e+03,7.162790327271895130e-01
6.569002902781143750e+14,8.916981410954836207e-01,1.202003990000012834e+01,4.144288117612492897e+03,7.386277777586373050e-01
6.672074400466410000e+14,9.119255877279724976e-01,1.201003995000012736e+01,3.665594068036371937e+03,7.609900625140080255e-01
6.775145898151675000e+14,9.320345103113707452e-01,1.199004005000012540e+01,3.250500515946496307e+03,7.833704233535183636e-01
6.878217395836940000e+14,9.519915717696094681e-01,1.198004010000012265e+01,2.889653510428507161e+03,8.057059971653786068e-01
6.981288893522205000e+14,9.717980230202286629e-01,1.197004015000012167e+01,2.575581270556493109e+03,8.280008195844096308e-01
7.084360391207470000e+14,9.914376234822708245e-01,1.195004025000011971e+01,2.300247182490078558e+03,8.502233032609289864e-01
7.187431888892736250e+14,1.010901062671372141e+00,1.194004030000011873e+01,2.059574409957249372e+03,8.723602347603534035e-01
7.290503386578001250e+14,1.030176134833006074e+00,1.193004035000011775e+01,1.848110754914316658e+03,8.943812554440334628e-01
7.393574884263267500e+14,1.049347820846404877e+00,1.191004045000011580e+01,1.661161851849263712e+03,9.163698360194492132e-01
7.496646381948532500e+14,1.068326058121127131e+00,1.190004050000011482e+01,1.496414310786237593e+03,9.382347714327788912e-01
7.599717879633797500e+14,1.087092221322647712e+00,1.189004055000011384e+01,1.350792054335923694e+03,9.599363778130159952e-01
7.702789377319062500e+14,1.105631722687740126e+00,1.188004060000011286e+01,1.221915220220405445e+03,9.814472791505448601e-01
