rhoc,M,R,Lambda,I
2.240000000000000000e+14,1.283318162178480049e-01,2.000000000000101963e+01,6.649843899330342561e+07,6.640492458619846883e-02
2.341726091353368125e+14,1.361056745972714366e-01,2.000000000000101963e+01,4.616453337846193463e+07,6.905729223568232711e-02
2.443452182706735938e+14,1.445587772061452669e-01,2.000000000000101963e+01,3.222512000728231668e+07,7.240682571276019219e-02
2.545178274060104062e+14,1.536524143453973090e-01,2.000000000000101963e+01,2.270694029536259174e+07,7.642456998030089377e-02
2.646904365413471875e+14,1.634192520109644664e-01,2.000000000000101963e+01,1.615680753878514655e+07,8.111584535453507383e-02
2.748630456766840000e+14,1.738166991952520557e-01,1.890000550000089774e+01,1.163486990047914721e+07,8.644719855901007721e-02
2.850356548120208125e+14,1.848294432486355665e-01,1.783001085000077879e+01,8.477043224338240921e+06,9.240122574994659443e-02
2.952082639473576250e+14,1.964510335376983829e-01,1.696001520000067941e+01,6.235906209765703417e+06,9.896813311170936378e-02
3.053808730826943750e+14,2.086649229062947919e-01,1.624001880000059828e+01,4.627466997344804928e+06,1.061412312761072924e-01
3.155534822180311875e+14,2.214555221298445398e-01,1.564002180000053244e+01,3.461803829850357026e+06,1.139181568479610135e-01
3.257260913533680000e+14,2.348011633247556185e-01,1.513002435000047541e+01,2.609742358301545028e+06,1.222932062779978346e-01
3.358987004887047500e+14,2.486793076702366045e-01,1.470002650000042799e+01,1.982245701571016805e+06,1.312619767312092345e-01
3.460713096240416250e+14,2.630647984059176214e-01,1.434002830000038742e+01,1.516578005102322903e+06,1.408168709993658785e-01
3.562439187593783750e+14,2.779311024718751910e-01,1.402002990000035076e+01,1.168802124324281700e+06,1.509532112398918879e-01
3.664165278947151875e+14,2.932779970649116441e-01,1.375003125000032078e+01,9.065771360305120470e+05,1.616763937140881513e-01
3.765891370300520000e+14,3.090982298400297701e-01,1.351003245000029374e+01,7.076479751186385984e+05,1.729969971762687908e-01
3.867617461653887500e+14,3.252943683478310977e-01,1.331003345000027238e+01,5.563080710364563856e+05,1.848487700241622511e-01
3.969343553007256250e+14,3.419458914094761770e-01,1.313003435000025121e+01,4.397432478068254422e+05,1.973015170251240791e-01
4.071069644360623750e+14,3.589408284646672387e-01,1.298003510000023475e+01,3.498676371803643415e+05,2.102773830378026620e-01
4.172795735713991875e+14,3.763205556584041100e-01,1.284003580000021927e+01,2.798961074329772382e+05,2.238130101148015083e-01
4.274521827067360000e+14,3.940054949982241261e-01,1.272003640000020575e+01,2.252753209124052664e+05,2.378549461071028936e-01
