rhoc,M,R,Lambda,I
2.240000000000000000e+14,1.166835271061877205e-01,2.000000000000101963e+01,9.189767859847654402e+07,5.731036264725640483e-02
2.313829145728643438e+14,1.226614674949854239e-01,2.000000000000101963e+01,6.664422477904421836e+07,5.906937533933708656e-02
2.387658291457286875e+14,1.290858960213414341e-01,2.000000000000101963e+01,4.864374747155083716e+07,6.132811522377160096e-02
2.461487437185930000e+14,1.361162304050708427e-01,2.000000000000101963e+01,3.555879421319637448e+07,6.413438829582054912e-02
2.535316582914573438e+14,1.437242925110451541e-01,2.000000000000101963e+01,2.613189454085317999e+07,6.748075640268430542e-02
2.609145728643216875e+14,1.519429142432868751e-01,1.951000245000096456e+01,1.932980005417568237e+07,7.138377421346081553e-02
2.682974874371860312e+14,1.608222431719374679e-01,1.837000815000083875e+01,1.437798569829932041e+07,7.587193788867491184e-02
2.756804020100503750e+14,1.702936970152817142e-01,1.744001280000073351e+01,1.077217618201359175e+07,8.091815151115157312e-02
2.830633165829146875e+14,1.803564738474326135e-01,1.665001675000064552e+01,8.121507081404456869e+06,8.653009895097789339e-02
2.904462311557790625e+14,1.910085828800950902e-01,1.600002000000057123e+01,6.158950400480647571e+06,9.271997523720251766e-02
2.978291457286433750e+14,2.022469619620177739e-01,1.544002280000050931e+01,4.696785943997917697e+06,9.950027100205913189e-02
3.052120603015077500e+14,2.140830485931021765e-01,1.497002515000045797e+01,3.599356200162336230e+06,1.068950854346509688e-01
3.125949748743720625e+14,2.265808590490865360e-01,1.456002720000041251e+01,2.768226916196431033e+06,1.149661272934295458e-01
3.199778894472363750e+14,2.397632484945914633e-01,1.421002895000037292e+01,2.135743367828635499e+06,1.237543136288909440e-01
3.273608040201007500e+14,2.536098669412718554e-01,1.391003045000034000e+01,1.653986342052651104e+06,1.332728496525063533e-01
3.347437185929650625e+14,2.681338326796237626e-01,1.364003180000030824e+01,1.285409362638861872e+06,1.435589187483013451e-01
3.421266331658294375e+14,2.833438310489638789e-01,1.342003290000028493e+01,1.002424013034943724e+06,1.546486825403948495e-01
