rhoc,M,R,Lambda,I
2.240000000000000000e+14,2.931719739350650555e-01,1.540002300000050539e+01,1.722519751762244152e+06,2.091256655255811225e-01
2.395577889447236250e+14,3.515023822758011063e-01,1.485002575000044445e+01,7.996844291254343698e+05,2.719279552400087341e-01
2.551155778894472812e+14,4.135421471307841323e-01,1.454002730000040877e+01,3.998001595379346982e+05,3.444039054998402349e-01
2.706733668341709062e+14,4.794525492719658999e-01,1.437002815000039035e+01,2.110646384432681953e+05,4.271039577685367683e-01
2.862311557788945625e+14,5.477096157212659744e-01,1.428002860000037977e+01,1.177522783119407541e+05,5.183479977413663065e-01
3.017889447236181875e+14,6.178255673527971448e-01,1.424002880000037585e+01,6.883000701566018688e+04,6.174634852682338026e-01
3.173467336683418125e+14,6.902625626792855407e-01,1.424002880000037585e+01,4.162239408157700382e+04,7.251113867681242553e-01
3.329045226130654375e+14,7.660693395914888182e-01,1.425002875000037683e+01,2.571505735788994207e+04,8.430802590200867641e-01
3.484623115577890625e+14,8.447799547864917047e-01,1.428002860000037977e+01,1.622324878808534777e+04,9.710182735133904286e-01
3.640201005025127500e+14,9.256830574337319151e-01,1.432002840000038546e+01,1.045874961088432246e+04,1.108033256949793932e+00
3.795778894472363750e+14,1.008801761360585969e+00,1.436002820000038938e+01,6.864623798960506974e+03,1.254361384771460308e+00
3.951356783919600000e+14,1.093778555651726991e+00,1.441002795000039427e+01,4.581886738224372493e+03,1.409528848494030706e+00
4.106934673366836250e+14,1.180257303071058805e+00,1.445002775000039996e+01,3.106920177603406046e+03,1.573019930875050543e+00
4.262512562814072500e+14,1.267895526400884432e+00,1.449002755000040388e+01,2.137943344670305123e+03,1.744249692614848746e+00
4.418090452261308750e+14,1.356544089558204602e+00,1.453002735000040779e+01,1.490340754613858280e+03,1.922952301104767336e+00
4.573668341708545000e+14,1.444470749965691692e+00,1.457002715000041349e+01,1.057274487671815223e+03,2.105472113072071050e+00
4.729246231155781250e+14,1.531220837347018415e+00,1.460002700000041642e+01,7.625533747039528407e+02,2.290450589942379267e+00
4.884824120603017500e+14,1.616917322088345710e+00,1.463002685000041936e+01,5.575949730185584485e+02,2.477730343663855361e+00
5.040402010050254375e+14,1.700848015321502649e+00,1.465002675000042132e+01,4.135989266439824519e+02,2.665314401938213784e+00
5.195979899497490625e+14,1.781623069939079596e+00,1.466002670000042230e+01,3.120790497077522900e+02,2.849466334386568267e+00
5.351557788944726875e+14,1.859469059917632228e+00,1.467002665000042327e+01,2.389209316743460079e+02,3.030024785160177814e+00
5.507135678391963125e+14,1.933501115079083732e+00,1.467002665000042327e+01,1.858514948906492350e+02,3.204193629870544680e+00
5.662713567839200000e+14,2.004142997908454848e+00,1.467002665000042327e+01,1.464797843162602931e+02,3.372315974557590135e+00
5.818291457286436250e+14,2.070842347124318028e+00,1.466002670000042230e+01,1.170534650737179305e+02,3.532421562711065555e+00
5.973869346733672500e+14,2.133192658053133517e+00,1.465002675000042132e+01,9.489823399080457023e+01,3.682956358404259500e+00
6.129447236180908750e+14,2.191714397670180059e+00,1.463002685000041936e+01,7.784675628098869993e+01,3.824599351463707109e+00
6.285025125628145000e+14,2.246238060074678078e+00,1.461002695000041740e+01,6.462964580201558817e+01,3.956501761199014755e+00
6.440603015075381250e+14,2.296833247466903316e+00,1.458002710000041446e+01,5.426206333304585883e+01,4.078413937834038272e+00
6.596180904522617500e+14,2.343640254122374866e+00,1.455002725000041153e+01,4.603985150220874090e+01,4.190373399867601378e+00
6.751758793969855000e+14,2.386787499741746199e+00,1.452002740000040681e+01,3.946367307409862946e+01,4.292518624431304275e+00
6.907336683417090000e+14,2.426566704475714431e+00,1.449002755000040388e+01,3.412938529040688707e+01,4.385325428634499367e+00
7.062914572864327500e+14,2.463200659703340012e+00,1.445002775000039996e+01,2.976054988588722949e+01,4.469228240117200990e+00
