rhoc,M,R,Lambda,I
2.240000000000000000e+14,2.710402305000774725e-01,1.611001945000058555e+01,2.378809214161825366e+06,1.855135845660381422e-01
2.379497487437185938e+14,3.193250681405970792e-01,1.536002320000050148e+01,1.171961399763933150e+06,2.336324076624472779e-01
2.518994974874371875e+14,3.724828470724646512e-01,1.488002560000044738e+01,6.030380747105898336e+05,2.909469959142298445e-01
2.658492462311558125e+14,4.298492089542598760e-01,1.458002710000041446e+01,3.240871140393986134e+05,3.574287126466295650e-01
2.797989949748743750e+14,4.914229594190508421e-01,1.440002800000039329e+01,1.805689646136506926e+05,4.337032203395480012e-01
2.937487437185930000e+14,5.569003623930359748e-01,1.429002855000038252e+01,1.039552968547172059e+05,5.199948920508469241e-01
3.076984924623116250e+14,6.257759343101779725e-01,1.424002880000037585e+01,6.173413271661858016e+04,6.161439058865533225e-01
3.216482412060301875e+14,6.976526662901175735e-01,1.422002890000037389e+01,3.771876635601960879e+04,7.219991301432931996e-01
3.355979899497487500e+14,7.721118838986082977e-01,1.423002885000037487e+01,2.365901010010457685e+04,8.372623432956259881e-01
3.495477386934673750e+14,8.491268456253261432e-01,1.425002875000037683e+01,1.517091350049629546e+04,9.621559503654680823e-01
3.634974874371860000e+14,9.278045333735317479e-01,1.429002855000038252e+01,9.953816354506994685e+03,1.095398227465123275e+00
3.774472361809045625e+14,1.007505376137599162e+00,1.433002835000038644e+01,6.678999425888403493e+03,1.235912817679454045e+00
3.913969849246231875e+14,1.088571563250814611e+00,1.437002815000039035e+01,4.558704615869064583e+03,1.384277645626077247e+00
4.053467336683417500e+14,1.169785071217469108e+00,1.442002790000039703e+01,3.172900966691120630e+03,1.538165720488395394e+00
4.192964824120603750e+14,1.251335559461647540e+00,1.446002770000040094e+01,2.244388317578627721e+03,1.697748527218053027e+00
4.332462311557790000e+14,1.332151643282064368e+00,1.450002750000040486e+01,1.615470922229775624e+03,1.860640508888735223e+00
4.471959798994975625e+14,1.412893152667327623e+00,1.454002730000040877e+01,1.177586843863911781e+03,2.027883175715207820e+00
4.611457286432161250e+14,1.492209945632550383e+00,1.457002715000041349e+01,8.722256926801643431e+02,2.196363163597962576e+00
4.750954773869347500e+14,1.570123478108943482e+00,1.460002700000041642e+01,6.548858221971104285e+02,2.365671808970772449e+00
4.890452261306533750e+14,1.646939133776049280e+00,1.462002690000041838e+01,4.970816147672713896e+02,2.536086388718008511e+00
5.029949748743719375e+14,1.718964399146392097e+00,1.464002680000042034e+01,3.858532063631976712e+02,2.698833113137980799e+00
5.169447236180905625e+14,1.783064439241345278e+00,1.465002675000042132e+01,3.089939170768680583e+02,2.845736263855929149e+00
5.308944723618091250e+14,1.843169017254039366e+00,1.466002670000042230e+01,2.513332636364029327e+02,2.984755663384496049e+00
5.448442211055277500e+14,1.900660840006652252e+00,1.466002670000042230e+01,2.064292243075451552e+02,3.118540323764274813e+00
5.587939698492463750e+14,1.955821798192841410e+00,1.465002675000042132e+01,1.709981672475487926e+02,3.247397782749216866e+00
5.727437185929650000e+14,2.008408800957381501e+00,1.465002675000042132e+01,1.428224159895666503e+02,3.370388752517244679e+00
5.866934673366835000e+14,2.058511215707325537e+00,1.464002680000042034e+01,1.202513442102529098e+02,3.487515588749603435e+00
6.006432160804021250e+14,2.106162898924173632e+00,1.462002690000041838e+01,1.019833417782465546e+02,3.598542614080088686e+00
6.145929648241207500e+14,2.151470054231586992e+00,1.460002700000041642e+01,8.708010057935206305e+01,3.703643751862144562e+00
6.285427135678392500e+14,2.194473486744301205e+00,1.458002710000041446e+01,7.483071024279472283e+01,3.802706369613719772e+00
6.424924623115580000e+14,2.235242888259445504e+00,1.456002720000041251e+01,6.470524163097434212e+01,3.895791259158734920e+00
6.564422110552765000e+14,2.273836301132455162e+00,1.453002735000040779e+01,5.625893704189263644e+01,3.982928544882909261e+00
6.703919597989951250e+14,2.310346043649766923e+00,1.450002750000040486e+01,4.918700376772272875e+01,4.064318784450213329e+00
6.843417085427137500e+14,2.344991469949727847e+00,1.447002765000040192e+01,4.319945788983612545e+01,4.140344944332587040e+00
6.982914572864322500e+14,2.377671048055181036e+00,1.443002785000039800e+01,3.812341697233523519e+01,4.210744453671154908e+00
7.122412060301510000e+14,2.408435746633347918e+00,1.439002805000039231e+01,3.379728983112003249e+01,4.275590807605498256e+00
7.261909547738695000e+14,2.437396269588348652e+00,1.436002820000038938e+01,3.010054852914848667e+01,4.335275590487267294e+00
7.401407035175881250e+14,2.464564417823043030e+00,1.432002840000038546e+01,2.692354823751895765e+01,4.389709885733702244e+00
7.540904522613067500e+14,2.490032008928331653e+00,1.428002860000037977e+01,2.418517409515919780e+01,4.439213603703154654e+00
7.680402010050252500e+14,2.513978432173892497e+00,1.423002885000037487e+01,2.179585715280212810e+01,4.484094093538446124e+00
7.819899497487438750e+14,2.536497709435233006e+00,1.419002905000037096e+01,1.970719884371115427e+01,4.524681983179609013e+00
7.959396984924625000e+14,2.557485965105768866e+00,1.415002925000036527e+01,1.788683123237509420e+01,4.560786958676922964e+00
8.098894472361811250e+14,2.577002023447363843e+00,1.410002950000036037e+01,1.629186713249976748e+01,4.592593540985545175e+00
8.238391959798997500e+14,2.595167074296257148e+00,1.405002975000035548e+01,1.488725152511869965e+01,4.620379024747809815e+00
8.377889447236182500e+14,2.612233562468276205e+00,1.401002995000034979e+01,1.363712751505078202e+01,4.644754179399718907e+00
8.517386934673368750e+14,2.627975159726799070e+00,1.396003020000034489e+01,1.253122662576177859e+01,4.665269119333797398e+00
8.656884422110555000e+14,2.642493467437184940e+00,1.391003045000034000e+01,1.155210717317004487e+01,4.682356640869858921e+00
