rhoc,M,R,Lambda,I
2.240000000000000000e+14,4.288439681885640176e-01,1.505002475000046580e+01,4.187000814402050455e+05,3.902940094327859710e-01
2.395577889447236250e+14,4.884266273379229140e-01,1.494002530000045503e+01,2.417778815040027839e+05,4.736010323839334180e-01
2.551155778894472812e+14,5.466107772108862450e-01,1.487002565000044640e+01,1.483957840755480865e+05,5.584303091830190580e-01
2.706733668341709062e+14,6.084410117640124405e-01,1.483002585000044249e+01,9.203864981045255263e+04,6.516788073759237632e-01
2.862311557788945625e+14,6.722147354942283881e-01,1.481002595000044053e+01,5.835863636496699473e+04,7.509451267974929234e-01
3.017889447236181875e+14,7.367992545722721331e-01,1.481002595000044053e+01,3.799206888760346919e+04,8.544317713972674477e-01
3.173467336683418125e+14,8.027214099032718986e-01,1.481002595000044053e+01,2.521688630952063249e+04,9.629207238581105610e-01
3.329045226130654375e+14,8.708909802682637258e-01,1.481002595000044053e+01,1.693284419855327360e+04,1.078008368690780872e+00
3.484623115577890625e+14,9.412175457382802035e-01,1.482002590000044151e+01,1.149636978972756697e+04,1.199763604421825391e+00
3.640201005025127500e+14,1.013510615210815979e+00,1.483002585000044249e+01,7.891056149791857024e+03,1.328099345900231487e+00
3.795778894472363750e+14,1.087932226262064317e+00,1.484002580000044347e+01,5.464739923881083996e+03,1.463557072757518229e+00
3.951356783919600000e+14,1.164274859207198531e+00,1.486002570000044543e+01,3.818334671382220222e+03,1.606009181796222762e+00
4.106934673366836250e+14,1.242500558297248592e+00,1.487002565000044640e+01,2.689000014922502942e+03,1.755635066139943579e+00
4.262512562814072500e+14,1.322639529896473709e+00,1.488002560000044738e+01,1.906809798444215630e+03,1.912779372676293832e+00
4.418090452261308750e+14,1.404503847185307519e+00,1.489002555000044836e+01,1.361199329606149604e+03,2.077365535130514029e+00
4.573668341708545000e+14,1.486265829907628344e+00,1.489002555000044836e+01,9.842234328179076783e+02,2.245787726395006345e+00
4.729246231155781250e+14,1.567439521175127304e+00,1.490002550000044934e+01,7.206772749590254534e+02,2.416854545089434758e+00
4.884824120603017500e+14,1.648424861778624573e+00,1.490002550000044934e+01,5.327912404903836432e+02,2.591266061173274071e+00
5.040402010050254375e+14,1.728382831761884564e+00,1.489002555000044836e+01,3.982599845909549572e+02,2.766958767637905048e+00
5.195979899497490625e+14,1.805752197032659545e+00,1.489002555000044836e+01,3.022156035538482683e+02,2.940112797655707322e+00
5.351557788944726875e+14,1.880517584282944021e+00,1.487002565000044640e+01,2.324335687197004177e+02,3.110126961997008888e+00
5.507135678391963125e+14,1.951897289692248627e+00,1.486002570000044543e+01,1.814233865812880708e+02,3.274624953179902320e+00
5.662713567839200000e+14,2.020253514166670872e+00,1.484002580000044347e+01,1.433158315611019873e+02,3.433826364403509857e+00
5.818291457286436250e+14,2.084957165650795918e+00,1.482002590000044151e+01,1.147200332858337930e+02,3.585722874923237047e+00
5.973869346733672500e+14,2.145493980342170204e+00,1.479002605000043680e+01,9.313101138997018325e+01,3.728552443268479788e+00
6.129447236180908750e+14,2.202374891694134806e+00,1.476002620000043386e+01,7.649720417819814600e+01,3.863064252797966613e+00
6.285025125628145000e+14,2.255385134936848335e+00,1.473002635000043092e+01,6.356796790109885364e+01,3.988179526559940236e+00
6.440603015075381250e+14,2.304629541583844698e+00,1.470002650000042799e+01,5.341936095818483210e+01,4.103925309649723019e+00
6.596180904522617500e+14,2.350185886134495306e+00,1.466002670000042230e+01,4.536273531382648372e+01,4.210111726950089839e+00
6.751758793969855000e+14,2.392174237735428033e+00,1.462002690000041838e+01,3.891195726673348787e+01,4.306849503830762593e+00
6.907336683417090000e+14,2.430872977160058124e+00,1.458002710000041446e+01,3.367623612012546630e+01,4.394596764215185303e+00
7.062914572864327500e+14,2.466491668961137584e+00,1.454002730000040877e+01,2.938690781194107160e+01,4.473743017540078526e+00
7.218492462311562500e+14,2.499144584197152685e+00,1.449002755000040388e+01,2.584765448149653366e+01,4.544550178489132009e+00
7.374070351758800000e+14,2.529041239139358854e+00,1.445002775000039996e+01,2.290145557657176667e+01,4.607461088762829782e+00
7.529648241206035000e+14,2.556281651500470264e+00,1.440002800000039329e+01,2.043303722261035205e+01,4.662677627103129829e+00
7.685226130653272500e+14,2.581103340557161729e+00,1.436002820000038938e+01,1.834878462479186112e+01,4.710873507032371066e+00
7.840804020100508750e+14,2.603676695832322974e+00,1.431002845000038448e+01,1.657490336061289327e+01,4.752443670328158731e+00
7.996381909547745000e+14,2.624180250790518087e+00,1.426002870000037781e+01,1.505489243800041521e+01,4.787933133236185412e+00
8.151959798994981250e+14,2.642769526873898656e+00,1.422002890000037389e+01,1.374324793452941407e+01,4.817744616044488559e+00
8.307537688442217500e+14,2.659552882269201390e+00,1.417002915000036900e+01,1.260679794367224282e+01,4.842227489353476244e+00
8.463115577889453750e+14,2.674662404803551219e+00,1.412002940000036233e+01,1.161669555549062594e+01,4.861749044424210631e+00
8.618693467336690000e+14,2.688282588941682594e+00,1.407002965000035744e+01,1.074656122143893278e+01,4.876839330269712391e+00
8.774271356783926250e+14,2.700504712483152936e+00,1.402002990000035076e+01,9.981477418516416122e+00,4.887906653218689890e+00
8.929849246231162500e+14,2.711373381425868700e+00,1.398003010000034685e+01,9.304945380013183609e+00,4.894963025965653358e+00
9.085427135678398750e+14,2.721049460367119810e+00,1.393003035000034195e+01,8.704265075988583789e+00,4.898613917105035576e+00
9.241005025125636250e+14,2.729595479653616152e+00,1.388003060000033528e+01,8.167475932468876820e+00,4.898964420956142263e+00
9.396582914572872500e+14,2.737109614579133154e+00,1.384003080000033137e+01,7.686851282349715930e+00,4.896352396469223045e+00
9.552160804020108750e+14,2.743678871195414981e+00,1.379003105000032647e+01,7.256169339643669502e+00,4.891264215702967988e+00
9.707738693467345000e+14,2.749336113493874745e+00,1.374003130000031980e+01,6.867193092798054010e+00,4.883555315409919828e+00
9.863316582914581250e+14,2.754204425192130934e+00,1.370003150000031589e+01,6.514808924767010012e+00,4.873645100073638936e+00
1.001889447236181750e+15,2.758293567344075825e+00,1.365003175000031099e+01,6.196084586743834777e+00,4.861715770204808607e+00
1.017447236180905375e+15,2.761674828224490064e+00,1.361003195000030530e+01,5.905934368306240856e+00,4.847949107314089900e+00
1.033005025125629000e+15,2.764452759343338339e+00,1.356003220000030041e+01,5.640276104683195513e+00,4.832580103792779802e+00
1.048562814070352625e+15,2.766617030339911132e+00,1.352003240000029471e+01,5.398094058949443053e+00,4.815700335600535453e+00
1.064120603015076250e+15,2.768218047342876798e+00,1.348003260000029080e+01,5.175978204417092776e+00,4.797495448594983003e+00
1.079678391959799875e+15,2.769318236916664233e+00,1.343003285000028590e+01,4.971751108240528794e+00,4.778026900350292649e+00
1.095236180904523500e+15,2.769941571799038993e+00,1.339003305000028021e+01,4.783194619316481599e+00,4.757454797217488540e+00
1.110793969849247125e+15,2.770126358289027202e+00,1.335003325000027630e+01,4.609759346516956846e+00,4.735966441325955678e+00
1.126351758793971000e+15,2.769902802539134345e+00,1.331003345000027238e+01,4.449457495090726411e+00,4.713579841214771804e+00
1.141909547738694500e+15,2.769293088906037426e+00,1.327003365000026847e+01,4.300307993326878631e+00,4.690308332308342543e+00
1.157467336683418000e+15,2.768338537963928481e+00,1.323003385000026277e+01,4.161888626829695070e+00,4.666399925437098695e+00
1.173025125628141750e+15,2.767103333974342050e+00,1.319003405000025886e+01,4.034007467850546647e+00,4.642148903910466196e+00
1.188582914572865500e+15,2.765507869924118456e+00,1.315003425000025494e+01,3.913957124863108650e+00,4.616951424504509127e+00
1.204140703517589000e+15,2.763678174995924497e+00,1.311003445000024925e+01,3.802286330193938912e+00,4.591545499574539058e+00
1.219698492462312500e+15,2.761598155539212840e+00,1.307003465000024534e+01,3.698484797474197894e+00,4.565789522917074628e+00
1.235256281407036250e+15,2.759256098551642999e+00,1.303003485000024142e+01,3.600766557923486211e+00,4.539535907994440400e+00
1.250814070351760000e+15,2.756732089347109671e+00,1.300003500000023671e+01,3.509828803497905714e+00,4.513161827617968136e+00
1.266371859296483500e+15,2.753976489199982058e+00,1.296003520000023279e+01,3.424266324548723706e+00,4.486438482053604737e+00
1.281929648241207000e+15,2.751058246257470419e+00,1.292003540000022888e+01,3.343811037694182975e+00,4.459630522074823133e+00
1.297487437185930750e+15,2.747953433252363187e+00,1.289003555000022594e+01,3.268386863281250942e+00,4.432568994482448232e+00
1.313045226130654500e+15,2.744712637838471636e+00,1.285003575000022025e+01,3.197449512424801910e+00,4.405528431335487660e+00
1.328603015075378000e+15,2.741314449801697695e+00,1.282003590000021731e+01,3.130677944147898906e+00,4.378372929035220906e+00
1.344160804020101750e+15,2.737779490061103438e+00,1.279003605000021437e+01,3.067646591221020902e+00,4.351120319598516417e+00
1.359718592964825250e+15,2.734112950628296623e+00,1.275003625000020868e+01,3.007941615207562425e+00,4.323813527701301673e+00
1.375276381909549000e+15,2.730367235516081070e+00,1.272003640000020575e+01,2.952042214606223069e+00,4.296713656193413833e+00
1.390834170854272500e+15,2.726494360491785063e+00,1.269003655000020281e+01,2.898889642564617120e+00,4.269505257590019198e+00
1.406391959798996250e+15,2.722523649208461460e+00,1.265003675000019889e+01,2.848585266502628777e+00,4.242341707773231718e+00
1.421949748743720000e+15,2.718470016484324958e+00,1.262003690000019418e+01,2.800903021891114619e+00,4.215287232525201766e+00
1.437507537688443500e+15,2.714363526045751485e+00,1.259003705000019124e+01,2.756191866388328471e+00,4.188465011101164315e+00
1.453065326633167250e+15,2.710157888056595077e+00,1.256003720000018831e+01,2.713326711535393621e+00,4.161589907954233780e+00
1.468623115577890750e+15,2.705894452251165649e+00,1.253003735000018537e+01,2.673185528568197356e+00,4.134897330632643531e+00
1.484180904522614500e+15,2.701566766034226852e+00,1.250003750000018243e+01,2.634577595559483232e+00,4.108314065680985117e+00
1.499738693467338000e+15,2.697201731684737869e+00,1.247003765000017772e+01,2.598244571032438888e+00,4.081982068283815934e+00
1.515296482412061750e+15,2.692776007309579445e+00,1.244003780000017478e+01,2.563484187433352268e+00,4.055720737964690237e+00
1.530854271356785250e+15,2.688339135467327612e+00,1.241003795000017185e+01,2.530646872656586055e+00,4.029813595853716457e+00
1.546412060301509000e+15,2.683824189055291409e+00,1.238003810000016891e+01,2.499306386716095396e+00,4.003877221068785630e+00
1.561969849246232500e+15,2.679315935928829440e+00,1.236003820000016518e+01,2.469773731580051646e+00,3.978353961033527675e+00
1.577527638190956250e+15,2.674732165600791856e+00,1.233003835000016224e+01,2.441540257034614303e+00,3.952777941729946232e+00
1.593085427135679750e+15,2.670182553308688256e+00,1.230003850000015930e+01,2.414714429275961471e+00,3.927719793242862245e+00
1.608643216080403500e+15,2.665558990154019092e+00,1.227003865000015637e+01,2.388989260136760606e+00,3.902596004409219166e+00
1.624201005025127250e+15,2.660948621401920899e+00,1.225003875000015441e+01,2.364532744182478829e+00,3.877862834287194360e+00
1.639758793969850750e+15,2.656300302165360172e+00,1.222003890000014970e+01,2.341228452384346514e+00,3.853219350771950324e+00
1.655316582914574500e+15,2.651664936294169994e+00,1.220003900000014774e+01,2.319277635086662848e+00,3.828946503208220609e+00
1.670874371859298000e+15,2.647001419344192197e+00,1.217003915000014480e+01,2.298032231325165764e+00,3.804785252687241659e+00
1.686432160804021750e+15,2.642335967211829395e+00,1.215003925000014284e+01,2.277965062433906951e+00,3.780892616147023322e+00
1.701989949748745250e+15,2.637658540492727965e+00,1.212003940000013991e+01,2.258894755998348991e+00,3.757197226504640497e+00
1.717547738693469000e+15,2.632992554414591790e+00,1.210003950000013617e+01,2.240475009722346034e+00,3.733794422688246240e+00
1.733105527638192500e+15,2.628332948815161885e+00,1.207003965000013324e+01,2.223150210799113680e+00,3.710658829932332647e+00
1.748663316582916250e+15,2.623670550948690838e+00,1.205003975000013128e+01,2.206824628399959742e+00,3.687738255700653056e+00
1.764221105527639750e+15,2.619019246985284877e+00,1.203003985000012932e+01,2.190810164939887006e+00,3.665090239304790387e+00
1.779778894472363500e+15,2.614358105621756856e+00,1.200004000000012638e+01,2.175698756065988171e+00,3.642605391669439641e+00
1.795336683417087000e+15,2.609723914198120998e+00,1.198004010000012265e+01,2.161454427426601210e+00,3.620456830063570663e+00
1.810894472361810750e+15,2.605078475136731075e+00,1.196004020000012069e+01,2.147903812702173898e+00,3.598439003834883465e+00
1.826452261306534500e+15,2.600469031329335490e+00,1.194004030000011873e+01,2.134947436695117773e+00,3.576791922237982924e+00
1.842010050251258000e+15,2.595830623747362953e+00,1.191004045000011580e+01,2.122473544415028890e+00,3.555188573499109328e+00
1.857567839195981750e+15,2.591243706427615923e+00,1.189004055000011384e+01,2.110409137492290199e+00,3.534001811489646094e+00
1.873125628140705250e+15,2.586638394297525956e+00,1.187004065000011188e+01,2.099150492196402595e+00,3.512903579989795855e+00
1.888683417085429000e+15,2.582080651139996963e+00,1.185004075000010815e+01,2.088569647010107833e+00,3.492189089155928627e+00
