rhoc,M,R,Lambda,I
2.240000000000000000e+14,3.570510865067609285e-01,1.584002080000055557e+01,8.989823483472738881e+05,2.969392223637691286e-01
2.379497487437185938e+14,4.124585633695353470e-01,1.543002285000050833e+01,4.772135657631822978e+05,3.636309313288202394e-01
2.518994974874371875e+14,4.718121304406593386e-01,1.517002415000047932e+01,2.633769255312869791e+05,4.396934123429079300e-01
2.658492462311558125e+14,5.343416153354790810e-01,1.500002500000046091e+01,1.511265876186000824e+05,5.245765613113168024e-01
2.797989949748743750e+14,5.999612810746804969e-01,1.489002555000044836e+01,8.957290560894734517e+04,6.185016787915850189e-01
2.937487437185930000e+14,6.683100889398390088e-01,1.483002585000044249e+01,5.468803731784728006e+04,7.212564535324064163e-01
3.076984924623116250e+14,7.388444474454806121e-01,1.480002600000043778e+01,3.433638116071955301e+04,8.322156687446329304e-01
3.216482412060301875e+14,8.111854212704818767e-01,1.479002605000043680e+01,2.211357620560015494e+04,9.509008060188914868e-01
3.355979899497487500e+14,8.849159829403625555e-01,1.480002600000043778e+01,1.458145079660570991e+04,1.076648909699949863e+00
3.495477386934673750e+14,9.600057240981346718e-01,1.481002595000044053e+01,9.807844758150622511e+03,1.209400819648841718e+00
3.634974874371860000e+14,1.035666642119457581e+00,1.483002585000044249e+01,6.733284687095065237e+03,1.347678455524782937e+00
3.774472361809045625e+14,1.111368561209260086e+00,1.485002575000044445e+01,4.715081833799476954e+03,1.490322077099549780e+00
3.913969849246231875e+14,1.187434729656504873e+00,1.488002560000044738e+01,3.352725893608298065e+03,1.637737793157179711e+00
4.053467336683417500e+14,1.262858761288630838e+00,1.490002550000044934e+01,2.425803104992744011e+03,1.787731566693306018e+00
4.192964824120603750e+14,1.337840941784949500e+00,1.491002545000045032e+01,1.780138319934967967e+03,1.940407985704278859e+00
4.332462311557790000e+14,1.411556127204875999e+00,1.493002535000045405e+01,1.326868643668050709e+03,2.093771817092494825e+00
4.471959798994975625e+14,1.484570920044614661e+00,1.494002530000045503e+01,1.000147685990851642e+03,2.248649940106325129e+00
4.611457286432161250e+14,1.555824930717176313e+00,1.495002525000045601e+01,7.644429045002095791e+02,2.402444926723917629e+00
4.750954773869347500e+14,1.625409254949250926e+00,1.496002520000045699e+01,5.913034972337754880e+02,2.554991496768445725e+00
