rhoc,M,R,Lambda,I
2.240000000000000000e+14,2.631002822550752573e-01,1.373003135000031882e+01,2.735020840535328723e+06,1.792937542994187394e-01
2.337994097414925625e+14,2.866368401796696719e-01,1.358003210000030236e+01,1.886685737121330108e+06,2.019832718599272048e-01
2.435988194829851250e+14,3.102859445351590084e-01,1.347003265000028982e+01,1.334576771204738878e+06,2.254543232778087325e-01
2.533982292244776875e+14,3.341591496507427261e-01,1.338003310000027923e+01,9.627255674242828973e+05,2.497717610582479431e-01
2.631976389659702500e+14,3.582844867463746974e-01,1.332003340000027336e+01,7.062598224194376962e+05,2.749323186571419053e-01
2.729970487074628125e+14,3.826190264009088349e-01,1.327003365000026847e+01,5.260626999722672626e+05,3.008689103805993748e-01
2.827964584489553750e+14,4.071536878057103181e-01,1.323003385000026277e+01,3.971365611216161633e+05,3.275418941091205460e-01
2.925958681904480000e+14,4.318887164879584573e-01,1.320003400000025984e+01,3.034521050706099486e+05,3.549348325910483548e-01
3.023952779319405000e+14,4.568001787743593556e-01,1.318003410000025788e+01,2.344177097169564804e+05,3.829993623632765298e-01
3.121946876734331250e+14,4.818697008530513082e-01,1.316003420000025592e+01,1.829071393245663494e+05,4.116954088665029099e-01
3.219940974149256250e+14,5.070778555675968802e-01,1.315003425000025494e+01,1.440501874244248029e+05,4.409878342091552716e-01
3.317935071564182500e+14,5.323833540346444293e-01,1.314003430000025396e+01,1.144326691407424223e+05,4.708044246839387936e-01
3.415929168979108125e+14,5.577604190418965491e-01,1.313003435000025121e+01,9.166110246178641682e+04,5.011003459167218121e-01
3.513923266394033750e+14,5.832059385690725462e-01,1.313003435000025121e+01,7.396207231243098795e+04,5.318573924699692146e-01
3.611917363808959375e+14,6.087515260260022432e-01,1.312003440000025023e+01,6.008152930654992815e+04,5.630947720011976187e-01
3.709911461223885000e+14,6.342633046521705120e-01,1.312003440000025023e+01,4.914578672087758605e+04,5.946338280266360021e-01
3.807905558638810625e+14,6.598091396765620731e-01,1.312003440000025023e+01,4.044807428119554243e+04,6.265389329019442899e-01
3.905899656053736250e+14,6.853467350980589901e-01,1.312003440000025023e+01,3.348172637098550331e+04,6.587490865641099091e-01
4.003893753468661875e+14,7.108350481736593895e-01,1.312003440000025023e+01,2.787436892846196497e+04,6.911973426985859037e-01
4.101887850883587500e+14,7.362795148925156408e-01,1.312003440000025023e+01,2.332540617143202689e+04,7.238561188723150464e-01
4.199881948298513125e+14,7.616680423674394573e-01,1.312003440000025023e+01,1.961779321221732971e+04,7.567198541312287752e-01
4.297876045713438750e+14,7.869203591782083507e-01,1.312003440000025023e+01,1.658296330677417063e+04,7.896576006681621518e-01
4.395870143128365000e+14,8.121533873091207889e-01,1.312003440000025023e+01,1.407267767676319090e+04,8.227993869217563594e-01
4.493864240543290000e+14,8.372073896067265819e-01,1.312003440000025023e+01,1.200110229740781688e+04,8.559336208914142263e-01
4.591858337958216250e+14,8.621064096802494303e-01,1.312003440000025023e+01,1.027670591854088525e+04,8.890640529156795813e-01
4.689852435373141250e+14,8.869340909884838586e-01,1.312003440000025023e+01,8.832041396634924240e+03,9.222939067936629653e-01
4.787846532788067500e+14,9.115609830282740411e-01,1.312003440000025023e+01,7.620393552515170086e+03,9.554367625898457783e-01
4.885840630202992500e+14,9.359819173788823665e-01,1.312003440000025023e+01,6.600511364839700036e+03,9.884693977561065381e-01
