rhoc,M,R,Lambda,I
2.240000000000000000e+14,2.958253167722911248e-01,1.554002230000052087e+01,2.055591389152345248e+06,2.294150124788163214e-01
2.334567666919917500e+14,3.153842427427911432e-01,1.529002355000049285e+01,1.525340029592166888e+06,2.489385283767680812e-01
2.429135333839835312e+14,3.353031241898601911e-01,1.508002460000047051e+01,1.144857244702780619e+06,2.691468012669111509e-01
2.523703000759752812e+14,3.555284913892156062e-01,1.490002550000044934e+01,8.687878901147977449e+05,2.899800254289116586e-01
2.618270667679670625e+14,3.760904602873637592e-01,1.475002625000043288e+01,6.656510787363327108e+05,3.114761390626981652e-01
2.712838334599588125e+14,3.970055800495300713e-01,1.461002695000041740e+01,5.144010425465705921e+05,3.336523677307801639e-01
2.807406001519505625e+14,4.182272884081283393e-01,1.450002750000040486e+01,4.008261401104872348e+05,3.564602138332240155e-01
2.901973668439423125e+14,4.397510723640282171e-01,1.439002805000039231e+01,3.147720197094600881e+05,3.799017332266965696e-01
2.996541335359341250e+14,4.615659788611962133e-01,1.430002850000038350e+01,2.489680072368716937e+05,4.039665261265028562e-01
3.091109002279258750e+14,4.836423288332952208e-01,1.422002890000037389e+01,1.982977532823756628e+05,4.286220916566486072e-01
3.185676669199176250e+14,5.059995036106522681e-01,1.415002925000036527e+01,1.589204620566727244e+05,4.538939216471005178e-01
3.280244336119093750e+14,5.286227005252450706e-01,1.408002960000035841e+01,1.281116603713108052e+05,4.797696309273387083e-01
3.374812003039011250e+14,5.514576264023828278e-01,1.403002985000035174e+01,1.038981623802496470e+05,5.061858683505610079e-01
3.469379669958928750e+14,5.744478061016444759e-01,1.397003015000034587e+01,8.475939505231352814e+04,5.330722985010131199e-01
3.563947336878846250e+14,5.976912081640043395e-01,1.393003035000034195e+01,6.947355675553086621e+04,5.605473940940722821e-01
3.658515003798764375e+14,6.210756799673543549e-01,1.388003060000033528e+01,5.725074874197458848e+04,5.884794999292337625e-01
3.753082670718681875e+14,6.445793926808783825e-01,1.384003080000033137e+01,4.741408097694892786e+04,6.168315137710261853e-01
3.847650337638599375e+14,6.682488470584683204e-01,1.381003095000032843e+01,3.944280763515735453e+04,6.456667963359951079e-01
3.942218004558517500e+14,6.919769088710745475e-01,1.378003110000032549e+01,3.296804985595206381e+04,6.748319972671608102e-01
4.036785671478435000e+14,7.158063889181225381e-01,1.374003130000031980e+01,2.767463871226989431e+04,7.043972342061513014e-01
4.131353338398352500e+14,7.397125332277409981e-01,1.372003140000031784e+01,2.332429818844768306e+04,7.343068154043715934e-01
4.225921005318270000e+14,7.635802737374990379e-01,1.369003155000031491e+01,1.974899308141692018e+04,7.644173636522950677e-01
4.320488672238187500e+14,7.875792001524650754e-01,1.366003170000031197e+01,1.677549871390702174e+04,7.949397023181974387e-01
4.415056339158105000e+14,8.115332810443077749e-01,1.364003180000030824e+01,1.430754249007307226e+04,8.256330164861210852e-01
4.509624006078022500e+14,8.354225877914263076e-01,1.362003190000030628e+01,1.225133680774430286e+04,8.564738206149412614e-01
4.604191672997940000e+14,8.593246829554135324e-01,1.360003200000030432e+01,1.052460344480805179e+04,8.875412808227570727e-01
4.698759339917858125e+14,8.831977768281730201e-01,1.358003210000030236e+01,9.070804737868702432e+03,9.187830911379838428e-01
4.793327006837775625e+14,9.069605191688342449e-01,1.356003220000030041e+01,7.845759387667965711e+03,9.500686369290285427e-01
4.887894673757693125e+14,9.306128714294865656e-01,1.354003230000029845e+01,6.808501497334725173e+03,9.813977441348925579e-01
4.982462340677611250e+14,9.541547791374808130e-01,1.352003240000029471e+01,5.927886222647301111e+03,1.012764053482595461e+00
5.077030007597528750e+14,9.776094104222194936e-01,1.350003250000029276e+01,5.175355865544655899e+03,1.044180252773056150e+00
5.171597674517446250e+14,1.000948206225296788e+00,1.348003260000029080e+01,4.531180777808373023e+03,1.075592475262986403e+00
5.266165341437363750e+14,1.024138345224234081e+00,1.347003265000028982e+01,3.978616959852537548e+03,1.106963099938718997e+00
5.360733008357281250e+14,1.047151404983925005e+00,1.345003275000028786e+01,3.503277555133827263e+03,1.138219854080742222e+00
5.455300675277198750e+14,1.069986529435991818e+00,1.343003285000028590e+01,3.093147873313953824e+03,1.169363311213751144e+00
5.549868342197116875e+14,1.092636028415496785e+00,1.342003290000028493e+01,2.738098496062609229e+03,1.200373611117806050e+00
5.644436009117035000e+14,1.115096397093909619e+00,1.340003300000028297e+01,2.430073432170015167e+03,1.231243113704743042e+00
5.739003676036952500e+14,1.137333909276069921e+00,1.338003310000027923e+01,2.162032096972970976e+03,1.261889364403524061e+00
5.833571342956870000e+14,1.159352319577298562e+00,1.337003315000027825e+01,1.928160462236576905e+03,1.292314788061536213e+00
5.928139009876787500e+14,1.181150698336777882e+00,1.335003325000027630e+01,1.723586360158372599e+03,1.322522699053453099e+00
6.022706676796705000e+14,1.202712759039553214e+00,1.333003335000027434e+01,1.544194234565992019e+03,1.352470443075411310e+00
6.117274343716622500e+14,1.224018138582786408e+00,1.332003340000027336e+01,1.386586708611213453e+03,1.382110107684056732e+00
6.211842010636540000e+14,1.245079854850841716e+00,1.330003350000027140e+01,1.247764418692249137e+03,1.411470355155483691e+00
6.306409677556457500e+14,1.265878505832044532e+00,1.328003360000026944e+01,1.125164430524404452e+03,1.440498602042542098e+00
6.400977344476375000e+14,1.286405151397851832e+00,1.326003370000026571e+01,1.016779443278350072e+03,1.469180206196057936e+00
6.495545011396292500e+14,1.306667558266191964e+00,1.325003375000026473e+01,9.205323381700834489e+02,1.497498123948512783e+00
6.590112678316210000e+14,1.326706985009114215e+00,1.323003385000026277e+01,8.348792459248784326e+02,1.525535101928920501e+00
6.684680345236127500e+14,1.346455685578171746e+00,1.321003395000026082e+01,7.586671431798288268e+02,1.553163717335077854e+00
6.779248012156045000e+14,1.365926903235247236e+00,1.319003405000025886e+01,6.906398209819358271e+02,1.580403787740656485e+00
6.873815679075962500e+14,1.385084939093685907e+00,1.318003410000025788e+01,6.298952669006657743e+02,1.607193254588720865e+00
6.968383345995880000e+14,1.403925118387391091e+00,1.316003420000025592e+01,5.755684466727207109e+02,1.633511750242951699e+00
7.062951012915798750e+14,1.422453421151567143e+00,1.314003430000025396e+01,5.269017801345972885e+02,1.659371595925796861e+00
7.157518679835716250e+14,1.440792280957393423e+00,1.312003440000025023e+01,4.828958430279366212e+02,1.684927139276150676e+00
7.252086346755633750e+14,1.458824370652181734e+00,1.310003450000024827e+01,4.432995667995124336e+02,1.710022696432091038e+00
7.346654013675551250e+14,1.476520734575835325e+00,1.308003460000024631e+01,4.076701165040741444e+02,1.734593340920958848e+00
7.441221680595468750e+14,1.493884663689219794e+00,1.306003470000024436e+01,3.755308481362470161e+02,1.758648409689498315e+00
7.535789347515386250e+14,1.510979737158420821e+00,1.304003480000024240e+01,3.464356011099023362e+02,1.782296872460850556e+00
7.630357014435305000e+14,1.527827078857656895e+00,1.302003490000024044e+01,3.199590471653926897e+02,1.805499972549506449e+00
7.724924681355222500e+14,1.544343254784583452e+00,1.300003500000023671e+01,2.959510787055220362e+02,1.828178285607382714e+00
7.819492348275140000e+14,1.560515055362773795e+00,1.298003510000023475e+01,2.742027029296665432e+02,1.850300672347905184e+00
7.914060015195057500e+14,1.576430299850295702e+00,1.296003520000023279e+01,2.543418495398308607e+02,1.872017014092713261e+00
8.008627682114975000e+14,1.592086763532368998e+00,1.294003530000023083e+01,2.361975782574942855e+02,1.893259297925166340e+00
8.103195349034892500e+14,1.607396210155207283e+00,1.292003540000022888e+01,2.196778203734287445e+02,1.913938349421699936e+00
8.197763015954810000e+14,1.622371735840438811e+00,1.290003550000022692e+01,2.046342685287882261e+02,1.934090139604028202e+00
8.292330682874727500e+14,1.637164276321347423e+00,1.288003560000022496e+01,1.907317187296568477e+02,1.953866832904459949e+00
8.386898349794645000e+14,1.651614988345927904e+00,1.286003570000022123e+01,1.780470365206884367e+02,1.973083923552028773e+00
8.481466016714562500e+14,1.665719038011625575e+00,1.284003580000021927e+01,1.664372246866941225e+02,1.991710113557908945e+00
8.576033683634480000e+14,1.679645147868995547e+00,1.282003590000021731e+01,1.556859905720041866e+02,2.010021853722625540e+00
8.670601350554397500e+14,1.693245283809029500e+00,1.280003600000021535e+01,1.458223993995094645e+02,2.027760185248937308e+00
8.765169017474315000e+14,1.706486955574286313e+00,1.278003610000021339e+01,1.368051859204809659e+02,2.044899911918567348e+00
8.859736684394233750e+14,1.719554621131152317e+00,1.276003620000021144e+01,1.283908007800378925e+02,2.061684225338266341e+00
8.954304351314151250e+14,1.732318883121006570e+00,1.273003635000020672e+01,1.206548235582237822e+02,2.077970485949054424e+00
9.048872018234068750e+14,1.744747068278241997e+00,1.271003645000020477e+01,1.135258998875081176e+02,2.093683394593759406e+00
9.143439685153986250e+14,1.757017255268488176e+00,1.269003655000020281e+01,1.068756323645389443e+02,2.109053230778453525e+00
9.238007352073903750e+14,1.768939532722747954e+00,1.267003665000020085e+01,1.007420741216523936e+02,2.123843157593363618e+00
9.332575018993821250e+14,1.780600002921365110e+00,1.265003675000019889e+01,9.506613299888715574e+01,2.138160995189589020e+00
9.427142685913738750e+14,1.792044434860843083e+00,1.263003685000019694e+01,8.976214650348686064e+01,2.152075233881895588e+00
9.521710352833656250e+14,1.803150847004319379e+00,1.260003700000019222e+01,8.486925824534532126e+01,2.165430840715042216e+00
9.616278019753573750e+14,1.814096352994328809e+00,1.258003710000019026e+01,8.027932139554670243e+01,2.178432218549663624e+00
9.710845686673491250e+14,1.824731247782712007e+00,1.256003720000018831e+01,7.602885631436041081e+01,2.190903867860980458e+00
9.805413353593410000e+14,1.835117657728285501e+00,1.254003730000018635e+01,7.206254182118193796e+01,2.202929090212708996e+00
9.899981020513327500e+14,1.845304365754487197e+00,1.251003745000018341e+01,6.834772011118172941e+01,2.214579768643376134e+00
9.994548687433245000e+14,1.855164272818530691e+00,1.249003755000017968e+01,6.490913028085969927e+01,2.225687873329938338e+00
1.008911635435316250e+15,1.864903111970602767e+00,1.247003765000017772e+01,6.166184071947614598e+01,2.236510863256219395e+00
1.018368402127308000e+15,1.874312273091374381e+00,1.245003775000017576e+01,5.864625439813258367e+01,2.246790920107005096e+00
1.027825168819299750e+15,1.883547730962597200e+00,1.243003785000017380e+01,5.580065895179038193e+01,2.256707065305568527e+00
1.037281935511291500e+15,1.892532519776693123e+00,1.240003800000017087e+01,5.315115404764004836e+01,2.266224447973114842e+00
1.046738702203283250e+15,1.901282531712201740e+00,1.238003810000016891e+01,5.065696130977352141e+01,2.275273093788760193e+00
1.056195468895275000e+15,1.909848739994687961e+00,1.236003820000016518e+01,4.831361566550786790e+01,2.284007926556969714e+00
1.065652235587266750e+15,1.918146571772200604e+00,1.234003830000016322e+01,4.612159174938929596e+01,2.292253134834631556e+00
1.075109002279258500e+15,1.926292952615692222e+00,1.231003845000016028e+01,4.405191798640537115e+01,2.300210296445856173e+00
1.084565768971250375e+15,1.934171963195307375e+00,1.229003855000015832e+01,4.211157200812482415e+01,2.307735163786651444e+00
