rhoc,M,R,Lambda,I
2.240000000000000000e+14,2.301718672856293557e-01,1.545002275000051206e+01,4.776367342284752056e+06,1.475258852545330013e-01
2.319131753228595000e+14,2.452943172047515885e-01,1.512002440000047443e+01,3.585706293979015667e+06,1.603955192337706559e-01
2.398263506457190312e+14,2.608140183704343862e-01,1.485002575000044445e+01,2.718167820049053989e+06,1.738946426964159964e-01
2.477395259685785312e+14,2.767447627208911021e-01,1.461002695000041740e+01,2.078566479677233845e+06,1.880453198444159979e-01
2.556527012914380625e+14,2.930708016687712525e-01,1.441002795000039427e+01,1.602590821830319474e+06,2.028417586669158668e-01
2.635658766142975625e+14,3.097747300869890252e-01,1.424002880000037585e+01,1.245154884461041074e+06,2.182741517575505219e-01
2.714790519371570625e+14,3.268569266356607939e-01,1.409002955000035939e+01,9.744869634340717457e+05,2.343563705228625671e-01
2.793922272600165938e+14,3.443045140632353118e-01,1.397003015000034587e+01,7.678660818557088496e+05,2.510824381571982733e-01
2.873054025828761250e+14,3.621617241101995344e-01,1.386003070000033333e+01,6.085470371008412912e+05,2.685043529070874624e-01
2.952185779057356250e+14,3.803253123971579996e-01,1.376003120000032176e+01,4.854549353487842018e+05,2.865273972249817724e-01
3.031317532285951250e+14,3.988459685257003118e-01,1.367003165000031295e+01,3.894296818971161265e+05,3.052136353083922948e-01
3.110449285514546250e+14,4.177052981170861212e-01,1.360003200000030432e+01,3.140744840398677043e+05,3.245489673388888829e-01
3.189581038743141250e+14,4.368401203500099639e-01,1.354003230000029845e+01,2.547614524752730795e+05,3.444768596670752525e-01
3.268712791971736875e+14,4.563092728191912584e-01,1.348003260000029080e+01,2.076014356721847143e+05,3.650632723382303269e-01
3.347844545200331875e+14,4.760431459025520340e-01,1.343003285000028590e+01,1.700358323055388173e+05,3.862381640299096253e-01
3.426976298428926875e+14,4.960196631409120038e-01,1.339003305000028021e+01,1.399500416242396750e+05,4.079831417302025587e-01
3.506108051657521875e+14,5.162949532558683829e-01,1.335003325000027630e+01,1.156532219988808647e+05,4.303627022519390111e-01
