rhoc,M,R,Lambda,I
2.240000000000000000e+14,1.232086465707801504e-01,1.389003055000033626e+01,3.804981607021220028e+07,4.793972668316418689e-02
2.321911724153674062e+14,1.366107963615983967e-01,1.329003355000027042e+01,2.503252034347127751e+07,5.575156706784543253e-02
2.403823448307348125e+14,1.506744707417732865e-01,1.285003575000022025e+01,1.680066401963314041e+07,6.433646711959653541e-02
2.485735172461022188e+14,1.653846795116295509e-01,1.253003735000018537e+01,1.148109254100997932e+07,7.371436238396408824e-02
2.567646896614696250e+14,1.807187536981278153e-01,1.228003860000015734e+01,7.977261635825991631e+06,8.389822284928609430e-02
2.649558620768370312e+14,1.966620396711958596e-01,1.209003955000013519e+01,5.627936665031862445e+06,9.490546587431697434e-02
2.731470344922044375e+14,2.130863014596662830e-01,1.194004030000011873e+01,4.035278525306562427e+06,1.066676677113441302e-01
2.813382069075718438e+14,2.299628200487806584e-01,1.184004080000010717e+01,2.936376773261887953e+06,1.191764468933346199e-01
2.895293793229392500e+14,2.472995531599981867e-01,1.175004125000009836e+01,2.164776438995475415e+06,1.324511283245122240e-01
2.977205517383066875e+14,2.650604391696483875e-01,1.169004155000009071e+01,1.615699345571955899e+06,1.464745029742135496e-01
3.059117241536740625e+14,2.832673777405115834e-01,1.165004175000008679e+01,1.218851643631324172e+06,1.612753517400338787e-01
3.141028965690415000e+14,3.019451987741921806e-01,1.162004190000008386e+01,9.280540955906435847e+05,1.768852178506803430e-01
3.222940689844088750e+14,3.209649960837022142e-01,1.160004200000008190e+01,7.138861828538749833e+05,1.932082600545343698e-01
3.304852413997763125e+14,3.404789985728641777e-01,1.158004210000007816e+01,5.532696691954408307e+05,2.103844962556841724e-01
3.386764138151436875e+14,3.602648807658194730e-01,1.158004210000007816e+01,4.328086445939954137e+05,2.282253330560701787e-01
3.468675862305111250e+14,3.805051633967672098e-01,1.158004210000007816e+01,3.407423625322082080e+05,2.469033985168287426e-01
3.550587586458785000e+14,4.010208326384119837e-01,1.159004205000007914e+01,2.704388060397372465e+05,2.662610625159474442e-01
3.632499310612459375e+14,4.218705835760088729e-01,1.160004200000008190e+01,2.160464896022485336e+05,2.863558693987753867e-01
3.714411034766133750e+14,4.430506449370915645e-01,1.161004195000008288e+01,1.736663911035914789e+05,3.071930737651155097e-01
3.796322758919807500e+14,4.644360884990806904e-01,1.163004185000008484e+01,1.405476085855584242e+05,3.286433862569540509e-01
3.878234483073481250e+14,4.860828804706807671e-01,1.164004180000008581e+01,1.144013465419123822e+05,3.507674017779230380e-01
3.960146207227155625e+14,5.080242253825135723e-01,1.166004170000008777e+01,9.359682084640779067e+04,3.736049633645019408e-01
4.042057931380830000e+14,5.301492981432344154e-01,1.168004160000008973e+01,7.700870602253091056e+04,3.970421791733981243e-01
4.123969655534503750e+14,5.524327684318586229e-01,1.171004145000009267e+01,6.369971251509353897e+04,4.210402779451628552e-01
4.205881379688177500e+14,5.748670832934965613e-01,1.173004135000009640e+01,5.295725724956025078e+04,4.455919575291558687e-01
4.287793103841851875e+14,5.975122431568845593e-01,1.175004125000009836e+01,4.421240276603568054e+04,4.707619336736073024e-01
4.369704827995526250e+14,6.202823782334448977e-01,1.177004115000010032e+01,3.708020385709289985e+04,4.964468388676170907e-01
4.451616552149200000e+14,6.431539009828438624e-01,1.180004100000010325e+01,3.123625524775671147e+04,5.226215319585568730e-01
4.533528276302873750e+14,6.661057295964222247e-01,1.182004090000010521e+01,2.642644111269035784e+04,5.492500528025574535e-01
4.615440000456548125e+14,6.891280830732865459e-01,1.184004080000010717e+01,2.244612769317893617e+04,5.763180116540409514e-01
4.697351724610222500e+14,7.121979271140064238e-01,1.186004070000011090e+01,1.913963952317004077e+04,6.037888208601713824e-01
4.779263448763896250e+14,7.353010841077938231e-01,1.189004055000011384e+01,1.638134074061003048e+04,6.316337819016912825e-01
4.861175172917570000e+14,7.584190845777383227e-01,1.191004045000011580e+01,1.407128456095433103e+04,6.598299044600185459e-01
4.943086897071244375e+14,7.815287331887300626e-01,1.193004035000011775e+01,1.212941863428836587e+04,6.883277880308926733e-01
5.024998621224918750e+14,8.046332352452609804e-01,1.195004025000011971e+01,1.049103741321000234e+04,7.171418913089167013e-01
5.106910345378592500e+14,8.277015347554148583e-01,1.197004015000012167e+01,9.101778098653545385e+03,7.461985425110708725e-01
5.188822069532266875e+14,8.507314655289103245e-01,1.199004005000012540e+01,7.922536248646532840e+03,7.755074019616478020e-01
5.270733793685940625e+14,8.736881984287222513e-01,1.200004000000012638e+01,6.916436445158093193e+03,8.049930473728597047e-01
5.352645517839615000e+14,8.965716796295245539e-01,1.202003990000012834e+01,6.056346983788823309e+03,8.346631301836363592e-01
5.434557241993288750e+14,9.193551366195173991e-01,1.204003980000013030e+01,5.318166567119282263e+03,8.644605240745942831e-01
5.516468966146963125e+14,9.420267644982289745e-01,1.206003970000013226e+01,4.683091733544557428e+03,8.943636505476609821e-01
5.598380690300636875e+14,9.645685973654261058e-01,1.207003965000013324e+01,4.135299630631961918e+03,9.243358584356549112e-01
5.680292414454311250e+14,9.869541665261923891e-01,1.209003955000013519e+01,3.661501676505834439e+03,9.543184054377281678e-01
5.762204138607985000e+14,1.009294257242496551e+00,1.210003950000013617e+01,3.248493643100641748e+03,9.844606367409046710e-01
5.844115862761660000e+14,1.031490270186206315e+00,1.211003945000013715e+01,2.889145188987459278e+03,1.014626896005108136e+00
5.926027586915332500e+14,1.053498353521994391e+00,1.212003940000013991e+01,2.575621907225235191e+03,1.044724450112642478e+00
6.007939311069007500e+14,1.075330067258993161e+00,1.214003930000014186e+01,2.301980654802448953e+03,1.074786278991232802e+00
6.089851035222681250e+14,1.096937808908515999e+00,1.215003925000014284e+01,2.062225270383337374e+03,1.104699985226073267e+00
6.171762759376355000e+14,1.118344831600833755e+00,1.216003920000014382e+01,1.851602194997935158e+03,1.134508650258839069e+00
6.253674483530030000e+14,1.139686873078056717e+00,1.217003915000014480e+01,1.665158165741730045e+03,1.164397523168321902e+00
6.335586207683703750e+14,1.160772715218608253e+00,1.217003915000014480e+01,1.500596288088322581e+03,1.194053297862688989e+00
6.417497931837377500e+14,1.181617943035073282e+00,1.218003910000014578e+01,1.355290741405596236e+03,1.223522677943637005e+00
6.499409655991052500e+14,1.202198620335789725e+00,1.219003905000014676e+01,1.226836595767669223e+03,1.252747070717138200e+00
6.581321380144725000e+14,1.222635001782703457e+00,1.219003905000014676e+01,1.112259403652398987e+03,1.281880322984578990e+00
6.663233104298400000e+14,1.242873922798094943e+00,1.220003900000014774e+01,1.010072361654870861e+03,1.310844755026039143e+00
6.745144828452073750e+14,1.262827176630324955e+00,1.221003895000014872e+01,9.190765211036660958e+02,1.339503351999403513e+00
6.827056552605747500e+14,1.282478844098614568e+00,1.221003895000014872e+01,8.379799378853942926e+02,1.367815556279006861e+00
6.908968276759422500e+14,1.302041488298904426e+00,1.221003895000014872e+01,7.649517813506254242e+02,1.396102006371127580e+00
6.990880000913096250e+14,1.321317139935188401e+00,1.222003890000014970e+01,6.994971693561362827e+02,1.424037838973671644e+00
7.072791725066770000e+14,1.340269218884547309e+00,1.222003890000014970e+01,6.408875310247319703e+02,1.451571793974976599e+00
