rhoc,R,M,Lambda
2.240000000000000000e+14,1.392003039999994485e+01,3.167903769678893644e-01,1.386008213364251424e+06
2.432674026560084062e+14,1.376003119999994517e+01,3.728186703176846750e-01,6.810130567906498909e+05
2.625348053120168438e+14,1.368003159999994622e+01,4.296243196679653265e-01,3.623964638805113500e+05
2.818022079680252500e+14,1.364003179999994586e+01,4.870143694744114016e-01,2.051698854176762106e+05
3.010696106240336875e+14,1.362003189999994568e+01,5.447012928075863902e-01,1.222003828316427825e+05
3.203370132800421250e+14,1.362003189999994568e+01,6.024659003003893787e-01,7.592196580550838553e+04
3.396044159360505000e+14,1.362003189999994568e+01,6.600138125406200817e-01,4.892213413052742544e+04
3.588718185920589375e+14,1.364003179999994586e+01,7.171586487351061523e-01,3.253001531144163891e+04
3.781392212480673750e+14,1.364003179999994586e+01,7.737096847929328947e-01,2.223695433748688811e+04
3.974066239040757500e+14,1.364003179999994586e+01,8.295074299963065556e-01,1.557512586722478773e+04
4.166740265600841875e+14,1.366003169999994604e+01,8.844223777503625872e-01,1.114829141626549608e+04
4.359414292160926250e+14,1.366003169999994604e+01,9.382880077173991751e-01,8.138857926315847180e+03
4.552088318721010000e+14,1.366003169999994604e+01,9.910944680569453435e-01,6.045143864042584028e+03
4.744762345281094375e+14,1.364003179999994586e+01,1.042688713511722209e+00,4.562886562638214855e+03
4.937436371841178750e+14,1.364003179999994586e+01,1.093038584439560257e+00,3.494137160493669398e+03
5.130110398401262500e+14,1.362003189999994568e+01,1.142036503040714024e+00,2.712351672662911824e+03
5.322784424961346875e+14,1.362003189999994568e+01,1.189696493549953882e+00,2.131191999086387568e+03
5.515458451521431250e+14,1.360003199999994550e+01,1.235999613641933781e+00,1.693294950173131156e+03
5.708132478081515000e+14,1.358003209999994532e+01,1.280888423478818927e+00,1.359601181777944021e+03
5.900806504641600000e+14,1.356003219999994691e+01,1.324336246274697926e+00,1.102392233856867279e+03
6.093480531201683750e+14,1.352003239999994655e+01,1.366328115002573895e+00,9.019901602564237919e+02
6.286154557761767500e+14,1.350003249999994637e+01,1.406866632522293603e+00,7.443919565670590828e+02
6.478828584321852500e+14,1.346003269999994600e+01,1.446038488537345845e+00,6.189798776668282017e+02
6.671502610881936250e+14,1.344003279999994760e+01,1.483817028044843722e+00,5.184699633025006733e+02
6.864176637442020000e+14,1.340003299999994724e+01,1.520132556056223772e+00,4.374396831991078898e+02
7.056850664002105000e+14,1.336003319999994687e+01,1.555027835819051463e+00,3.715000997926811692e+02
7.249524690562188750e+14,1.334003329999994669e+01,1.588652680096944048e+00,3.173494071857683707e+02
7.442198717122272500e+14,1.330003349999994811e+01,1.620840590802936187e+00,2.727920352048176937e+02
7.634872743682357500e+14,1.326003369999994774e+01,1.651776875884948703e+00,2.356897003592155215e+02
7.827546770242441250e+14,1.322003389999994738e+01,1.681375746628624102e+00,2.047616175878245315e+02
8.020220796802525000e+14,1.316003419999994861e+01,1.709784803391854791e+00,1.787448859257858089e+02
8.212894823362610000e+14,1.312003439999994825e+01,1.736849580745774002e+00,1.568090644789707540e+02
8.405568849922693750e+14,1.308003459999994789e+01,1.762852765130692223e+00,1.381155772868803240e+02
8.598242876482777500e+14,1.304003479999994930e+01,1.787602009350204524e+00,1.222075442418523323e+02
8.790916903042862500e+14,1.300003499999994894e+01,1.811216687186864682e+00,1.085848554316727643e+02
8.983590929602946250e+14,1.294003529999994839e+01,1.833787116963903285e+00,9.681964541626554421e+01
9.176264956163030000e+14,1.290003549999994981e+01,1.855258511385717179e+00,8.666506605979910205e+01
9.368938982723115000e+14,1.286003569999994944e+01,1.875675216636747411e+00,7.786314431854046347e+01
9.561613009283198750e+14,1.280003599999994890e+01,1.895122735844036566e+00,7.017602090121661718e+01
9.754287035843282500e+14,1.276003619999995031e+01,1.913625580810145665e+00,6.344948019953746154e+01
9.946961062403367500e+14,1.272003639999994995e+01,1.931171283556172069e+00,5.754958795297005736e+01
1.013963508896345125e+15,1.266003669999995118e+01,1.947818991053041682e+00,5.235558083303300947e+01
1.033230911552353500e+15,1.262003689999995082e+01,1.963577840792942730e+00,4.776978127252212403e+01
1.052498314208362000e+15,1.256003719999995027e+01,1.978498194959779077e+00,4.370618821214557670e+01
1.071765716864370375e+15,1.252003739999995169e+01,1.992614373775234649e+00,4.009230896428405799e+01
1.091033119520378750e+15,1.248003759999995133e+01,2.005944180426513679e+00,3.687071578873677424e+01
1.110300522176387250e+15,1.242003789999995078e+01,2.018557942543036443e+00,3.398683587358968339e+01
1.129567924832395500e+15,1.238003809999995219e+01,2.030446690506751750e+00,3.140032705101265620e+01
1.148835327488404000e+15,1.232003839999995165e+01,2.041631972507031989e+00,2.907858486385639196e+01
1.168102730144412500e+15,1.228003859999995129e+01,2.052158853922060100e+00,2.698741033579621984e+01
1.187370132800421000e+15,1.224003879999995270e+01,2.062039399113734905e+00,2.509846332034798166e+01
1.206637535456429500e+15,1.218003909999995216e+01,2.071302143309147414e+00,2.339023062337113146e+01
1.225904938112437750e+15,1.214003929999995357e+01,2.079966310258262840e+00,2.183971857892416324e+01
1.245172340768446000e+15,1.210003949999995321e+01,2.088106137315257627e+00,2.042793086096337873e+01
1.264439743424454500e+15,1.204003979999995266e+01,2.095682427668303927e+00,1.914399037623753230e+01
1.283707146080463000e+15,1.200003999999995408e+01,2.102740458795671064e+00,1.797170724624691118e+01
1.302974548736471500e+15,1.196004019999995371e+01,2.109293535810413012e+00,1.690014867193175263e+01
1.322241951392480000e+15,1.192004039999995335e+01,2.115375543688073012e+00,1.591829453888660950e+01
1.341509354048488250e+15,1.186004069999995458e+01,2.120990072889317180e+00,1.501796045636766408e+01
1.360776756704496750e+15,1.182004089999995422e+01,2.126161015282662881e+00,1.419073316157073705e+01
1.380044159360505000e+15,1.178004109999995386e+01,2.130900613790812415e+00,1.343163546222259441e+01
1.399311562016513500e+15,1.174004129999995527e+01,2.135269499932060278e+00,1.272683044450803891e+01
1.418578964672522000e+15,1.168004159999995473e+01,2.139252809752065776e+00,1.207714905197991939e+01
1.437846367328530250e+15,1.164004179999995436e+01,2.142863639726243274e+00,1.147523878348896886e+01
1.457113769984538750e+15,1.160004199999995578e+01,2.146104654817191371e+00,1.091953505847492956e+01
1.476381172640547250e+15,1.156004219999995541e+01,2.149012221120551125e+00,1.040457772673372183e+01
1.495648575296555500e+15,1.152004239999995505e+01,2.151606895531504193e+00,9.923170057965812418e+00
1.514915977952564000e+15,1.148004259999995647e+01,2.153899451131719545e+00,9.476486032957719630e+00
1.534183380608572500e+15,1.144004279999995610e+01,2.155894187439197918e+00,9.060848376428440432e+00
1.553450783264580750e+15,1.140004299999995574e+01,2.157600959808147145e+00,8.673476059050852172e+00
1.572718185920589250e+15,1.136004319999995715e+01,2.159048557147758007e+00,8.310969169791665223e+00
1.591985588576597750e+15,1.132004339999995679e+01,2.160223891389760453e+00,7.972230455869556920e+00
1.611252991232606000e+15,1.128004359999995643e+01,2.161168736554567538e+00,7.655528419807762219e+00
1.630520393888614500e+15,1.124004379999995784e+01,2.161883958100005554e+00,7.359642187120371659e+00
1.649787796544623000e+15,1.120004399999995748e+01,2.162362643748903412e+00,7.079795582225527184e+00
1.669055199200631250e+15,1.116004419999995712e+01,2.162651662775951333e+00,6.817708332422894202e+00
1.688322601856639750e+15,1.112004439999995675e+01,2.162724693814837451e+00,6.573493380984900547e+00
1.707590004512648250e+15,1.108004459999995817e+01,2.162590469938624693e+00,6.341548619381828900e+00
1.726857407168656500e+15,1.104004479999995780e+01,2.162290090115991603e+00,6.123186557099053573e+00
1.746124809824665000e+15,1.100004499999995744e+01,2.161811297508634322e+00,5.918383324953965463e+00
1.765392212480673500e+15,1.098004509999995904e+01,2.161151507029174468e+00,5.724308811107921002e+00
1.784659615136681750e+15,1.094004529999995867e+01,2.160348238650993125e+00,5.541228536711703789e+00
1.803927017792690250e+15,1.090004549999995831e+01,2.159396327671864402e+00,5.369046090911666624e+00
1.823194420448698750e+15,1.086004569999995795e+01,2.158280239601620742e+00,5.204905366839334135e+00
1.842461823104707000e+15,1.082004589999995936e+01,2.157047982994727331e+00,5.050828026458245468e+00
1.861729225760715500e+15,1.080004599999995918e+01,2.155675199192725877e+00,4.904018582766471290e+00
1.880996628416724000e+15,1.076004619999995882e+01,2.154169911630596346e+00,4.764356945056402282e+00
1.900264031072732250e+15,1.072004639999996023e+01,2.152565943224578948e+00,4.632547876607197246e+00
1.919531433728740750e+15,1.070004649999996005e+01,2.150829463899913474e+00,4.507120559831901296e+00
1.938798836384749250e+15,1.066004669999995969e+01,2.149008101735899512e+00,4.388374809895498885e+00
1.958066239040757500e+15,1.062004689999995932e+01,2.147073612789056618e+00,4.275290630292143845e+00
1.977333641696766000e+15,1.060004699999995914e+01,2.145035539190192964e+00,4.167110923987514148e+00
1.996601044352774500e+15,1.056004719999996055e+01,2.142923483550961627e+00,4.065717849257887373e+00
2.015868447008782750e+15,1.054004729999996037e+01,2.140714148972062247e+00,3.967675089815605904e+00
2.035135849664791250e+15,1.050004749999996001e+01,2.138425912630198766e+00,3.874383329238082929e+00
2.054403252320799750e+15,1.048004759999995983e+01,2.136055771472537224e+00,3.786037837201246425e+00
2.073670654976808000e+15,1.044004779999995947e+01,2.133616470772168316e+00,3.701346941965068638e+00
2.092938057632816500e+15,1.042004789999995928e+01,2.131117282141765656e+00,3.620569837321635731e+00
2.112205460288825000e+15,1.038004809999996070e+01,2.128524821209054618e+00,3.543191444967394688e+00
2.131472862944833500e+15,1.036004819999996052e+01,2.125913376907923258e+00,3.469864085642702101e+00
