rhoc,M,R,Lambda,I
2.240000000000000000e+14,2.776072290971606793e-01,1.467002665000042327e+01,2.242398129701321479e+06,1.948512281036857141e-01
2.322639563207704375e+14,3.002179998956042151e-01,1.445002775000039996e+01,1.598740752549195662e+06,2.174481131122652788e-01
2.405279126415409062e+14,3.233215802019224760e-01,1.428002860000037977e+01,1.158367413817313500e+06,2.412368261962427596e-01
2.487918689623113438e+14,3.468932260462185280e-01,1.415002925000036527e+01,8.515547938634771854e+05,2.661916099335453478e-01
2.570558252830818125e+14,3.708998656800832072e-01,1.404002980000035450e+01,6.342883985302119981e+05,2.922776288752226836e-01
2.653197816038522500e+14,3.953205964871039924e-01,1.395003025000034391e+01,4.781334870412794407e+05,3.194718211909107763e-01
2.735837379246226875e+14,4.200889582376009512e-01,1.388003060000033528e+01,3.645576622427338734e+05,3.476932373328756043e-01
2.818476942453931250e+14,4.452239564383571047e-01,1.383003085000033039e+01,2.807360449348142138e+05,3.769580068320450561e-01
2.901116505661636250e+14,4.706885767611517779e-01,1.379003105000032647e+01,2.182485942291685205e+05,4.072256143021749097e-01
2.983756068869340625e+14,4.963833960984844196e-01,1.375003125000032078e+01,1.712740961538362317e+05,4.383626642652873606e-01
3.066395632077045000e+14,5.222866291050511922e-01,1.372003140000031784e+01,1.355754267917466932e+05,4.703320445412884077e-01
3.149035195284750000e+14,5.484543713139554688e-01,1.370003150000031589e+01,1.081063634247904556e+05,5.031869507419605148e-01
3.231674758492453750e+14,5.747054168992004053e-01,1.369003155000031491e+01,8.692394631257977744e+04,5.367006499314693757e-01
3.314314321700158750e+14,6.011766419774492443e-01,1.367003165000031295e+01,7.033602558729893644e+04,5.710182582866524248e-01
3.396953884907863125e+14,6.276489991195123297e-01,1.366003170000031197e+01,5.734518642541866575e+04,6.058460785518381408e-01
3.479593448115567500e+14,6.543010250458390908e-01,1.366003170000031197e+01,4.701694138636179559e+04,6.414034018471146403e-01
3.562233011323272500e+14,6.808883346288462368e-01,1.365003175000031099e+01,3.881293889368085365e+04,6.773430305955341346e-01
3.644872574530976875e+14,7.075682821070650164e-01,1.365003175000031099e+01,3.220685274419992493e+04,7.138621914750994391e-01
3.727512137738681250e+14,7.342255660075173163e-01,1.365003175000031099e+01,2.687785178384387837e+04,7.507868608139413036e-01
3.810151700946385625e+14,7.607721269850858947e-01,1.365003175000031099e+01,2.255714943563652923e+04,7.879654695069108206e-01
3.892791264154090000e+14,7.873284747844497833e-01,1.365003175000031099e+01,1.901644361863305312e+04,8.255485934718918006e-01
3.975430827361795000e+14,8.138095501285015354e-01,1.365003175000031099e+01,1.610915418274127660e+04,8.634021887231013714e-01
4.058070390569499375e+14,8.401531300713185324e-01,1.365003175000031099e+01,1.371192574071574927e+04,9.014199512708072071e-01
4.140709953777203750e+14,8.663339198093737981e-01,1.365003175000031099e+01,1.172522209977684543e+04,9.395330579521867786e-01
4.223349516984908125e+14,8.923937492184662590e-01,1.365003175000031099e+01,1.006713857807179375e+04,9.777864139661844867e-01
4.305989080192612500e+14,9.183476620690856906e-01,1.365003175000031099e+01,8.675435983507473793e+03,1.016177799982816321e+00
4.388628643400317500e+14,9.441095447680825092e-01,1.365003175000031099e+01,7.505383205015374187e+03,1.054565202337901075e+00
4.471268206608021875e+14,9.696599067561778584e-01,1.365003175000031099e+01,6.517649618980665764e+03,1.092896581092114516e+00
4.553907769815726250e+14,9.949917436036236351e-01,1.365003175000031099e+01,5.680951043560669859e+03,1.131144791597274324e+00
4.636547333023431250e+14,1.020099438954412685e+00,1.365003175000031099e+01,4.968592890610028007e+03,1.169280379754103150e+00
4.719186896231135000e+14,1.044976370568500901e+00,1.365003175000031099e+01,4.359674281833758869e+03,1.207266248008764586e+00
4.801826459438840000e+14,1.069621110315199797e+00,1.365003175000031099e+01,3.837660797680208361e+03,1.245097278384864170e+00
4.884466022646544375e+14,1.094007836628740904e+00,1.365003175000031099e+01,3.387956896154143124e+03,1.282696056572141474e+00
4.967105585854248750e+14,1.118133628727792317e+00,1.365003175000031099e+01,3.000019238822868829e+03,1.320052251067142191e+00
5.049745149061953750e+14,1.141989710912703293e+00,1.364003180000030824e+01,2.663880615648966341e+03,1.357133374653131552e+00
5.132384712269658125e+14,1.165581236980617996e+00,1.364003180000030824e+01,2.371981990211028915e+03,1.393949673852985960e+00
5.215024275477362500e+14,1.188864587984924448e+00,1.364003180000030824e+01,2.117514580330535864e+03,1.430369395522916642e+00
5.297663838685066875e+14,1.211866391573170665e+00,1.363003185000030726e+01,1.895152489780164160e+03,1.466453977711346779e+00
5.380303401892771250e+14,1.234580264624123735e+00,1.363003185000030726e+01,1.700267316752222769e+03,1.502182036394962727e+00
5.462942965100476250e+14,1.256991761819974851e+00,1.362003190000030628e+01,1.529108164289036949e+03,1.537506398866587354e+00
5.545582528308180625e+14,1.279082849189624893e+00,1.362003190000030628e+01,1.378253705720070002e+03,1.572371680205661315e+00
5.628222091515885000e+14,1.300866132923384377e+00,1.361003195000030530e+01,1.245253890602466981e+03,1.606818874216822346e+00
5.710861654723590000e+14,1.322298228170118328e+00,1.360003200000030432e+01,1.127425573929178427e+03,1.640707102111258031e+00
5.793501217931293750e+14,1.343449652810260631e+00,1.359003205000030334e+01,1.022835011840702123e+03,1.674216637227195603e+00
5.876140781138998750e+14,1.364340166066029258e+00,1.359003205000030334e+01,9.296368625204927412e+02,1.707314612246451535e+00
5.958780344346702500e+14,1.384883811547462207e+00,1.358003210000030236e+01,8.465350558582208578e+02,1.739845165621160650e+00
6.041419907554407500e+14,1.405099650621145502e+00,1.357003215000030139e+01,7.724342371120397956e+02,1.771864098504721596e+00
6.124059470762112500e+14,1.424977966989315892e+00,1.356003220000030041e+01,7.062144029651236679e+02,1.803338694156508826e+00
6.206699033969816250e+14,1.444502155673212718e+00,1.355003225000029943e+01,6.468100787191197014e+02,1.834210232899324167e+00
6.289338597177521250e+14,1.463761825864946298e+00,1.354003230000029845e+01,5.933064652363764253e+02,1.864634604579084254e+00
6.371978160385225000e+14,1.482738118093756441e+00,1.353003235000029747e+01,5.450581817119076504e+02,1.894572613447218057e+00
6.454617723592930000e+14,1.501355476114755394e+00,1.351003245000029374e+01,5.016273803445569683e+02,1.923878391057563420e+00
6.537257286800635000e+14,1.519624360790705175e+00,1.350003250000029276e+01,4.624406950122940998e+02,1.952586207956198416e+00
6.619896850008340000e+14,1.537560358068728927e+00,1.349003255000029178e+01,4.269631236742721399e+02,1.980683142229147542e+00
6.702536413216043750e+14,1.555277054355477917e+00,1.348003260000029080e+01,3.947254110097015314e+02,2.008380636823924981e+00
6.785175976423747500e+14,1.572633468818632974e+00,1.346003270000028884e+01,3.654205841545191333e+02,2.035426900586398968e+00
6.867815539631452500e+14,1.589631541068764697e+00,1.345003275000028786e+01,3.388581613741573051e+02,2.061835524319749702e+00
6.950455102839157500e+14,1.606349068010331615e+00,1.344003280000028688e+01,3.146122223848710178e+02,2.087699700962923899e+00
7.033094666046862500e+14,1.622800221723116776e+00,1.342003290000028493e+01,2.924392798642498406e+02,2.113053015329663165e+00
7.115734229254566250e+14,1.638896470903751013e+00,1.341003295000028395e+01,2.722404529293684163e+02,2.137766723847124961e+00
7.198373792462270000e+14,1.654656912339783847e+00,1.339003305000028021e+01,2.538147007311797552e+02,2.161854933958839542e+00
7.281013355669975000e+14,1.670205537592412082e+00,1.338003310000027923e+01,2.367907352436917847e+02,2.185471798962909329e+00
7.363652918877680000e+14,1.685408161140558914e+00,1.336003320000027728e+01,2.212400547622804652e+02,2.208468632740952398e+00
7.446292482085385000e+14,1.700252852553509886e+00,1.334003330000027532e+01,2.070096145415207616e+02,2.230790624972690317e+00
7.528932045293088750e+14,1.714933626843223591e+00,1.333003335000027434e+01,1.938034423573376444e+02,2.252736121923319956e+00
7.611571608500792500e+14,1.729251136745657114e+00,1.331003345000027238e+01,1.817052578642075105e+02,2.274001284344248308e+00
7.694211171708497500e+14,1.743246473761654647e+00,1.329003355000027042e+01,1.705579118778256316e+02,2.294654349090092804e+00
7.776850734916202500e+14,1.757061407166992550e+00,1.328003360000026944e+01,1.602023904725742227e+02,2.314897498940350129e+00
7.859490298123907500e+14,1.770512336172197942e+00,1.326003370000026571e+01,1.506732120124786434e+02,2.334447730943408850e+00
7.942129861331611250e+14,1.783722534408616722e+00,1.324003380000026375e+01,1.418485930057721589e+02,2.353541352418433430e+00
8.024769424539316250e+14,1.796686995674104947e+00,1.322003390000026180e+01,1.336515932612717279e+02,2.372103336463451395e+00
8.107408987747020000e+14,1.809289412492728344e+00,1.321003395000026082e+01,1.260897457162719490e+02,2.389979196611073942e+00
8.190048550954725000e+14,1.821731718895895247e+00,1.319003405000025886e+01,1.190170764530114980e+02,2.407488926855281708e+00
8.272688114162428750e+14,1.833857208317841936e+00,1.317003415000025690e+01,1.124633944401178951e+02,2.424381166262744802e+00
8.355327677370133750e+14,1.845712005825351332e+00,1.315003425000025494e+01,1.063873218142459223e+02,2.440750284061881104e+00
8.437967240577838750e+14,1.857371474360727914e+00,1.313003435000025121e+01,1.006900703492758282e+02,2.456685293364236244e+00
8.520606803785542500e+14,1.868679717374853277e+00,1.311003445000024925e+01,9.542910613927627139e+01,2.471964428456816076e+00
8.603246366993247500e+14,1.879844435211506015e+00,1.309003455000024729e+01,9.046026852798662787e+01,2.486865010172321089e+00
8.685885930200952500e+14,1.890698832068669288e+00,1.307003465000024534e+01,8.585808898664045330e+01,2.501204233208381922e+00
8.768525493408656250e+14,1.901336947532404675e+00,1.305003475000024338e+01,8.154289331883980196e+01,2.515076555858389629e+00
8.851165056616361250e+14,1.911737170545396491e+00,1.304003480000024240e+01,7.750187570382681201e+01,2.528462881566162501e+00
8.933804619824065000e+14,1.921868744280817776e+00,1.302003490000024044e+01,7.373108777611479070e+01,2.541328208080642526e+00
9.016444183031770000e+14,1.931840701618463552e+00,1.300003500000023671e+01,7.017585536535814583e+01,2.553836294377214156e+00
9.099083746239475000e+14,1.941465813225353276e+00,1.298003510000023475e+01,6.687137888870230995e+01,2.565661811765456157e+00
9.181723309447178750e+14,1.951011427178724222e+00,1.296003520000023279e+01,6.373154027722206649e+01,2.577285260598271677e+00
9.264362872654883750e+14,1.960219292739409758e+00,1.294003530000023083e+01,6.081845052253048323e+01,2.588290945760243655e+00
9.347002435862587500e+14,1.969303826584882122e+00,1.292003540000022888e+01,5.804500373829714732e+01,2.598953599076370136e+00
9.429641999070292500e+14,1.978088612101418065e+00,1.290003550000022692e+01,5.546219093527754751e+01,2.609074267402931468e+00
9.512281562277997500e+14,1.986742802224365834e+00,1.287003565000022220e+01,5.300517803015313945e+01,2.618884620222367676e+00
9.594921125485701250e+14,1.995134463391021518e+00,1.285003575000022025e+01,5.070970078804414527e+01,2.628212998601817674e+00
9.677560688693406250e+14,2.003358291736542007e+00,1.283003585000021829e+01,4.853184536558578088e+01,2.637135179747207570e+00
9.760200251901110000e+14,2.011346385376213686e+00,1.281003595000021633e+01,4.648958873579346118e+01,2.645634358374506334e+00
9.842839815108815000e+14,2.019174643783035350e+00,1.279003605000021437e+01,4.454532809894229928e+01,2.653764167870339197e+00
9.925479378316520000e+14,2.026778241551596693e+00,1.277003615000021242e+01,4.272115925394746938e+01,2.661485064809532286e+00
1.000811894152422375e+15,2.034227572477955714e+00,1.275003625000020868e+01,4.098543779556795386e+01,2.668853210919992947e+00
1.009075850473192875e+15,2.041458061419836323e+00,1.273003635000020672e+01,3.935125752408391264e+01,2.675835496877366548e+00
1.017339806793963250e+15,2.048536103385579565e+00,1.271003645000020477e+01,3.779908426149615508e+01,2.682428082076415254e+00
1.025603763114733750e+15,2.055400016393912566e+00,1.269003655000020281e+01,3.633095092019171091e+01,2.688668127125676488e+00
1.033867719435504250e+15,2.062129725129919766e+00,1.267003665000020085e+01,3.492939412537722887e+01,2.694567608924685498e+00
1.042131675756274625e+15,2.068626566118754173e+00,1.265003675000019889e+01,3.361304227709086945e+01,2.700064596816415197e+00
1.050395632077045125e+15,2.075020205264813900e+00,1.263003685000019694e+01,3.235147607721311402e+01,2.705286261402265691e+00
1.058659588397815625e+15,2.081179307043381943e+00,1.261003695000019320e+01,3.116854103731888870e+01,2.710143172772757847e+00
1.066923544718586000e+15,2.087238295813567568e+00,1.258003710000019026e+01,3.002539339796614826e+01,2.714665082360403936e+00
1.075187501039356500e+15,2.093087684543434523e+00,1.256003720000018831e+01,2.895539417455394826e+01,2.718917959916359539e+00
