rhoc,M,R,Lambda,I
2.240000000000000000e+14,2.031372013730283754e-01,1.432002840000038546e+01,6.929565404196780175e+06,1.166353406884236554e-01
2.333945674336520938e+14,2.209127904708967360e-01,1.399003005000034783e+01,4.818723027465650812e+06,1.308680714861266692e-01
2.427891348673041875e+14,2.390918909034413231e-01,1.374003130000031980e+01,3.415742596045503393e+06,1.458669617894942372e-01
2.521837023009562812e+14,2.576573670431274721e-01,1.353003235000029747e+01,2.462944561504225247e+06,1.616142571086657542e-01
2.615782697346083750e+14,2.766227364463149097e-01,1.337003315000027825e+01,1.802011752217157278e+06,1.781209521005080176e-01
2.709728371682604688e+14,2.959913653524322563e-01,1.323003385000026277e+01,1.335781231146690669e+06,1.953890662567272507e-01
2.803674046019125625e+14,3.157554762034870954e-01,1.313003435000025121e+01,1.001735095870303106e+06,2.134173902452485561e-01
2.897619720355646875e+14,3.359034634732512292e-01,1.304003480000024240e+01,7.593285175227217842e+05,2.321947011637428282e-01
2.991565394692167500e+14,3.564310595304951423e-01,1.296003520000023279e+01,5.811964510147025576e+05,2.517233703175429937e-01
3.085511069028688750e+14,3.772959640627245315e-01,1.290003550000022692e+01,4.490373280920567922e+05,2.719624253565403604e-01
3.179456743365209375e+14,3.984824728907777058e-01,1.285003575000022025e+01,3.499387195641708677e+05,2.929001221408507605e-01
3.273402417701730625e+14,4.199577568677608230e-01,1.281003595000021633e+01,2.749459837486615288e+05,3.145018761850981726e-01
3.367348092038251250e+14,4.416790024138531057e-01,1.278003610000021339e+01,2.177611794706184010e+05,3.367264631754311455e-01
3.461293766374772500e+14,4.637322246951546822e-01,1.275003625000020868e+01,1.735905224199690856e+05,3.596608306194748472e-01
3.555239440711293750e+14,4.859886168645826121e-01,1.273003635000020672e+01,1.393641945274145692e+05,3.831685511299832148e-01
3.649185115047814375e+14,5.084367908945230941e-01,1.271003645000020477e+01,1.126311897964900418e+05,4.072335762969256368e-01
3.743130789384335000e+14,5.311267810075124274e-01,1.269003655000020281e+01,9.154806413368365611e+04,4.319113877760785702e-01
3.837076463720856250e+14,5.539311424881063761e-01,1.268003660000020183e+01,7.487817271521047223e+04,4.570522813151991492e-01
3.931022138057377500e+14,5.769434600360503484e-01,1.267003665000020085e+01,6.156205767708295753e+04,4.827583419334959824e-01
4.024967812393898125e+14,6.000403237325719896e-01,1.266003670000019987e+01,5.089906609210718307e+04,5.088849268892849942e-01
4.118913486730418750e+14,6.232429271164138251e-01,1.266003670000019987e+01,4.229570812386346370e+04,5.354526897409698227e-01
4.212859161066940000e+14,6.465793207504014761e-01,1.266003670000019987e+01,3.530450579871949594e+04,5.624799952207993892e-01
4.306804835403461250e+14,6.699113550327473465e-01,1.265003675000019889e+01,2.962191150955849298e+04,5.898004127392612039e-01
4.400750509739981875e+14,6.933178750452378969e-01,1.265003675000019889e+01,2.496267789558624281e+04,6.175076332485575081e-01
4.494696184076503125e+14,7.167870071710163993e-01,1.265003675000019889e+01,2.111913642359553342e+04,6.455630189912247019e-01
4.588641858413023750e+14,7.402306770278234138e-01,1.265003675000019889e+01,1.794631881832677755e+04,6.738675410638640395e-01
4.682587532749545000e+14,7.636308663153993370e-01,1.265003675000019889e+01,1.531381751099130815e+04,7.023811022215549205e-01
4.776533207086066250e+14,7.870093949153444957e-01,1.265003675000019889e+01,1.311657186893058861e+04,7.311145987295250004e-01
4.870478881422586875e+14,8.103956134780585518e-01,1.265003675000019889e+01,1.127234243215928291e+04,7.601015554034914468e-01
4.964424555759107500e+14,8.337050483589512062e-01,1.265003675000019889e+01,9.722574987681688071e+03,7.892243900915302257e-01
5.058370230095628750e+14,8.569176556307011028e-01,1.265003675000019889e+01,8.415769870947415257e+03,8.184484225352338660e-01
5.152315904432149375e+14,8.800275748111741070e-01,1.264003680000019791e+01,7.309123763463794603e+03,8.477583525308722834e-01
5.246261578768670625e+14,9.030242847473175516e-01,1.264003680000019791e+01,6.368748054021944881e+03,8.771194457954026857e-01
5.340207253105191875e+14,9.258995665803410047e-01,1.264003680000019791e+01,5.565973458978029157e+03,9.065145737169955087e-01
5.434152927441712500e+14,9.486461283545013501e-01,1.264003680000019791e+01,4.879485347676435595e+03,9.359331352311466290e-01
5.528098601778233750e+14,9.712384728184694227e-01,1.264003680000019791e+01,4.290055447329608796e+03,9.653147424184591596e-01
5.622044276114754375e+14,9.936701721677883015e-01,1.264003680000019791e+01,3.782012683894964084e+03,9.946400916317108543e-01
5.715989950451275000e+14,1.015939484405542270e+00,1.264003680000019791e+01,3.343159046898137603e+03,1.023907546148675296e+00
5.809935624787796250e+14,1.038025705789388686e+00,1.263003685000019694e+01,2.962933940971990523e+03,1.053060659890044048e+00
5.903881299124317500e+14,1.059939349726108704e+00,1.263003685000019694e+01,2.632665579779704785e+03,1.082131753667221696e+00
5.997826973460837500e+14,1.081640346119400631e+00,1.263003685000019694e+01,2.345064786779366841e+03,1.111030392761403807e+00
6.091772647797360000e+14,1.103133492097392976e+00,1.262003690000019418e+01,2.093747102975238704e+03,1.139762940932976587e+00
6.185718322133880000e+14,1.124414935092191037e+00,1.262003690000019418e+01,1.873818653447210181e+03,1.168310987265641865e+00
6.279663996470401250e+14,1.145470130945737575e+00,1.262003690000019418e+01,1.680678087583846263e+03,1.196638372516440896e+00
6.373609670806922500e+14,1.166286345956719428e+00,1.261003695000019320e+01,1.510906285723012843e+03,1.224731418871539912e+00
6.467555345143442500e+14,1.186853437046482274e+00,1.260003700000019222e+01,1.361277474099222445e+03,1.252560561425458019e+00
6.561501019479963750e+14,1.207156063738005214e+00,1.260003700000019222e+01,1.229056475702305306e+03,1.280091455904184050e+00
6.655446693816485000e+14,1.227197388108810516e+00,1.259003705000019124e+01,1.111908389186189652e+03,1.307303157281563655e+00
6.749392368153006250e+14,1.247054534383609470e+00,1.258003710000019026e+01,1.007667587350170948e+03,1.334322205412731055e+00
6.843338042489527500e+14,1.266668540712513780e+00,1.258003710000019026e+01,9.148126836888961861e+02,1.361053024848345228e+00
6.937283716826047500e+14,1.285993824068816016e+00,1.257003715000018929e+01,8.321870877100765256e+02,1.387414432282503940e+00
7.031229391162568750e+14,1.305029101512348744e+00,1.256003720000018831e+01,7.584629050366862657e+02,1.413398271740106793e+00
7.125175065499090000e+14,1.323767169097447960e+00,1.255003725000018733e+01,6.926003087453505032e+02,1.438991212450642099e+00
7.219120739835610000e+14,1.342262304340419377e+00,1.254003730000018635e+01,6.334720926332333875e+02,1.464265159185309306e+00
7.313066414172132500e+14,1.360543338246205325e+00,1.253003735000018537e+01,5.801328155355404306e+02,1.489232390118372829e+00
7.407012088508652500e+14,1.378512563855481154e+00,1.252003740000018439e+01,5.322519696825069104e+02,1.513756965556106504e+00
7.500957762845173750e+14,1.396179298547039149e+00,1.251003745000018341e+01,4.892137456802920497e+02,1.537875544463219279e+00
7.594903437181695000e+14,1.413519746076029149e+00,1.250003750000018243e+01,4.503766892568895628e+02,1.561502606887452904e+00
7.688849111518215000e+14,1.430709778200970339e+00,1.249003755000017968e+01,4.150291449841204212e+02,1.584917120805860558e+00
7.782794785854736250e+14,1.447574756758308823e+00,1.248003760000017870e+01,3.831108718065223684e+02,1.607846557022803324e+00
7.876740460191257500e+14,1.464101659058605565e+00,1.247003765000017772e+01,3.542307829666358998e+02,1.630259864529571168e+00
7.970686134527778750e+14,1.480383241573686171e+00,1.246003770000017674e+01,3.279213999659046408e+02,1.652307015078120500e+00
8.064631808864298750e+14,1.496450581462161145e+00,1.244003780000017478e+01,3.039095583357030250e+02,1.674027938097419899e+00
8.158577483200820000e+14,1.512163811484247056e+00,1.243003785000017380e+01,2.821146067057502478e+02,1.695189531141677586e+00
8.252523157537341250e+14,1.527560205420280814e+00,1.242003790000017283e+01,2.622644524169404008e+02,1.715871616367269814e+00
8.346468831873862500e+14,1.542805884579272035e+00,1.240003800000017087e+01,2.439912514518254625e+02,1.736286883139521509e+00
8.440414506210383750e+14,1.557699783375595448e+00,1.239003805000016989e+01,2.273341348222488705e+02,1.756143315781665937e+00
8.534360180546903750e+14,1.572246312377443944e+00,1.238003810000016891e+01,2.121434495694952602e+02,1.775454369793466158e+00
8.628305854883425000e+14,1.586685842980250616e+00,1.236003820000016518e+01,1.980691334554998662e+02,1.794578049817177723e+00
8.722251529219946250e+14,1.600759797348761726e+00,1.235003825000016420e+01,1.851974474953084666e+02,1.813101528341776403e+00
8.816197203556467500e+14,1.614540680164574082e+00,1.233003835000016224e+01,1.734084202368023000e+02,1.831190800459015389e+00
8.910142877892987500e+14,1.628134559205386633e+00,1.232003840000016126e+01,1.624441670668570907e+02,1.848893707298743028e+00
9.004088552229508750e+14,1.641398946743822584e+00,1.230003850000015930e+01,1.524202275316753514e+02,1.866097245897970991e+00
9.098034226566030000e+14,1.654411768717135134e+00,1.229003855000015832e+01,1.431546270114254185e+02,1.882880361101713973e+00
9.191979900902551250e+14,1.667205491566262632e+00,1.227003865000015637e+01,1.345452322921934183e+02,1.899263184208502153e+00
9.285925575239071250e+14,1.679660041185212282e+00,1.225003875000015441e+01,1.266359940254385066e+02,1.915112595885114954e+00
9.379871249575592500e+14,1.691946855180032072e+00,1.224003880000015343e+01,1.192544188322962384e+02,1.930628976379447970e+00
9.473816923912113750e+14,1.703938837717073884e+00,1.222003890000014970e+01,1.124410684401858731e+02,1.945671154709079920e+00
9.567762598248635000e+14,1.715657592817284360e+00,1.221003895000014872e+01,1.061244845457567578e+02,1.960257831881680790e+00
9.661708272585155000e+14,1.727190310318025279e+00,1.219003905000014676e+01,1.002293564818809415e+02,1.974489515331157241e+00
9.755653946921676250e+14,1.738385557281451277e+00,1.217003915000014480e+01,9.478449263030583438e+01,1.988189972289079011e+00
9.849599621258197500e+14,1.749445324853129424e+00,1.215003925000014284e+01,8.966911212864535230e+01,2.001587907210179651e+00
9.943545295594718750e+14,1.760203941763717417e+00,1.214003930000014186e+01,8.493680739708031524e+01,2.014519956168590475e+00
1.003749096993124000e+15,1.770752337141489718e+00,1.212003940000013991e+01,8.050190543539042665e+01,2.027059735142176855e+00
1.013143664426776000e+15,1.781067931247747982e+00,1.210003950000013617e+01,7.636984140088746642e+01,2.039197020328072263e+00
1.022538231860428125e+15,1.791117582734220059e+00,1.209003955000013519e+01,7.251795073879000597e+01,2.050895587542204801e+00
