rhoc,M,R,Lambda,I
2.240000000000000000e+14,1.999770150707331495e-01,1.587002065000055850e+01,7.946335400371614844e+06,1.173200699352545118e-01
2.367624647161717188e+14,2.203262510486795056e-01,1.524002380000048795e+01,5.123320190577818081e+06,1.330348231265737202e-01
2.495249294323434062e+14,2.412661509506774105e-01,1.476002620000043386e+01,3.392374489394905046e+06,1.497127841255886382e-01
2.622873941485151250e+14,2.628192738157402175e-01,1.438002810000039133e+01,2.296579985147599597e+06,1.673689514604334849e-01
2.750498588646868125e+14,2.849728583006730376e-01,1.408002960000035841e+01,1.585183315851263236e+06,1.859946282281961516e-01
2.878123235808585000e+14,3.076881320534626818e-01,1.384003080000033137e+01,1.113500078763282392e+06,2.055655758480994799e-01
3.005747882970302500e+14,3.310067484788284387e-01,1.364003180000030824e+01,7.938917208178221481e+05,2.261223577812952745e-01
3.133372530132019375e+14,3.548004936503930118e-01,1.348003260000029080e+01,5.744866598321171477e+05,2.475567177492336013e-01
3.260997177293736250e+14,3.791199642982586160e-01,1.334003330000027532e+01,4.210037547021541977e+05,2.699213482442224810e-01
3.388621824455453750e+14,4.038613345947608124e-01,1.323003385000026277e+01,3.124107678255111678e+05,2.931245921617879890e-01
3.516246471617170625e+14,4.289853442325434196e-01,1.313003435000025121e+01,2.345283332102868299e+05,3.171259575867894087e-01
3.643871118778887500e+14,4.545284251438723722e-01,1.305003475000024338e+01,1.778594541944265657e+05,3.419645249352510352e-01
3.771495765940605000e+14,4.803909707027330112e-01,1.298003510000023475e+01,1.362434557319249725e+05,3.675412842244394906e-01
3.899120413102321250e+14,5.065235247713902877e-01,1.292003540000022888e+01,1.053715212051955459e+05,3.938015334296198211e-01
4.026745060264038750e+14,5.328932471011879057e-01,1.287003565000022220e+01,8.222352868957062310e+04,4.207067053326016270e-01
4.154369707425755625e+14,5.594779548754384990e-01,1.282003590000021731e+01,6.470204273966045002e+04,4.482279461545689569e-01
4.281994354587472500e+14,5.862556396887305121e-01,1.278003610000021339e+01,5.130634644585490605e+04,4.763312597621560673e-01
4.409619001749190000e+14,6.131410903868047546e-01,1.275003625000020868e+01,4.099978374863748468e+04,5.049180380824045411e-01
4.537243648910906875e+14,6.400827991742426004e-01,1.272003640000020575e+01,3.300840801542399277e+04,5.339182619274169816e-01
4.664868296072623750e+14,6.670881732540214770e-01,1.269003655000020281e+01,2.675534786909769900e+04,5.633311698890701713e-01
4.792492943234341250e+14,6.941416846797979767e-01,1.266003670000019987e+01,2.182319735964622305e+04,5.931201426918619735e-01
4.920117590396058125e+14,7.210912705070309237e-01,1.264003680000019791e+01,1.792272658174832759e+04,6.231031005939172696e-01
5.047742237557775000e+14,7.480971165709432436e-01,1.262003690000019418e+01,1.479434445890231473e+04,6.534414411753561858e-01
5.175366884719491875e+14,7.749212971512071668e-01,1.260003700000019222e+01,1.229167977734500346e+04,6.838549699512610491e-01
5.302991531881209375e+14,8.017299287252612761e-01,1.258003710000019026e+01,1.026017143426374969e+04,7.145105526329257328e-01
5.430616179042926250e+14,8.282951593595854201e-01,1.257003715000018929e+01,8.615880234424190348e+03,7.451307294050829588e-01
5.558240826204643125e+14,8.547957003444834889e-01,1.255003725000018733e+01,7.266660975049323497e+03,7.759108881944435376e-01
5.685865473366360000e+14,8.810669684885028552e-01,1.253003735000018537e+01,6.159400499420127744e+03,8.066311899606962710e-01
5.813490120528077500e+14,9.070653131005599334e-01,1.252003740000018439e+01,5.247108418259383143e+03,8.372304147123734719e-01
5.941114767689795000e+14,9.329319572964971385e-01,1.250003750000018243e+01,4.486406375698979900e+03,8.678403319286502882e-01
6.068739414851511250e+14,9.585158784774180374e-01,1.249003755000017968e+01,3.853644355595060006e+03,8.982966102445659740e-01
6.196364062013228750e+14,9.837830420177100521e-01,1.247003765000017772e+01,3.323915517441530028e+03,9.285034714929245592e-01
6.323988709174945000e+14,1.008757804584817563e+00,1.246003770000017674e+01,2.878527615619468634e+03,9.584984727634067170e-01
6.451613356336662500e+14,1.033508551673121501e+00,1.244003780000017478e+01,2.501064457930244316e+03,9.883365639545013126e-01
6.579238003498380000e+14,1.057921865594677158e+00,1.243003785000017380e+01,2.181374409191815175e+03,1.017873709894194789e+00
6.706862650660097500e+14,1.081982736533495526e+00,1.241003795000017185e+01,1.909349393131189117e+03,1.047062282677597489e+00
6.834487297821813750e+14,1.105687430558044859e+00,1.239003805000016989e+01,1.676945582225965154e+03,1.075880095113831425e+00
6.962111944983530000e+14,1.129052674297891024e+00,1.238003810000016891e+01,1.477562770439682026e+03,1.104356410710935377e+00
7.089736592145247500e+14,1.152052277604039388e+00,1.236003820000016518e+01,1.306086178868299157e+03,1.132424920730060069e+00
7.217361239306965000e+14,1.174680720713257021e+00,1.234003830000016322e+01,1.157914531654376333e+03,1.160066959342622717e+00
7.344985886468682500e+14,1.196948816275147820e+00,1.233003835000016224e+01,1.029594089354772223e+03,1.187302544867322007e+00
7.472610533630400000e+14,1.218822971516375864e+00,1.231003845000016028e+01,9.180645376826053052e+02,1.214041090598745543e+00
7.600235180792116250e+14,1.240328504165191692e+00,1.229003855000015832e+01,8.207919594265085834e+02,1.240334886343184007e+00
7.727859827953832500e+14,1.261451441587938982e+00,1.228003860000015734e+01,7.357905047508453436e+02,1.266144851172940733e+00
7.855484475115550000e+14,1.282186479870681906e+00,1.226003870000015539e+01,6.612144629512390566e+02,1.291447069769046330e+00
7.983109122277267500e+14,1.302531149105582431e+00,1.224003880000015343e+01,5.956492032194977355e+02,1.316233347977383339e+00
8.110733769438983750e+14,1.322482948535006253e+00,1.222003890000014970e+01,5.378799680383914392e+02,1.340495833012901539e+00
8.238358416600701250e+14,1.342038877369850836e+00,1.220003900000014774e+01,4.868732640197102342e+02,1.364219885052007530e+00
8.365983063762418750e+14,1.361180670751952704e+00,1.218003910000014578e+01,4.416101091351887362e+02,1.387357983308781018e+00
8.493607710924135000e+14,1.379937925773113472e+00,1.216003920000014382e+01,4.014737318554736021e+02,1.409975037299552758e+00
8.621232358085852500e+14,1.398297898233506809e+00,1.214003930000014186e+01,3.657648641189427963e+02,1.432032586496966076e+00
8.748857005247570000e+14,1.416242964114109881e+00,1.212003940000013991e+01,3.339269639862867507e+02,1.453483490261511912e+00
8.876481652409286250e+14,1.433786166670689921e+00,1.210003950000013617e+01,3.054440068323402215e+02,1.474354325085855288e+00
9.004106299571003750e+14,1.450942289488792447e+00,1.208003960000013421e+01,2.799534884076865637e+02,1.494679332467801824e+00
9.131730946732721250e+14,1.467725143188211678e+00,1.206003970000013226e+01,2.570519146718550019e+02,1.514445114608937715e+00
9.259355593894437500e+14,1.484152559156880935e+00,1.204003980000013030e+01,2.364166748535872102e+02,1.533663951787084256e+00
9.386980241056155000e+14,1.500185233784889105e+00,1.202003990000012834e+01,2.178160058241138017e+02,1.552296907880082122e+00
9.514604888217872500e+14,1.515822882182180420e+00,1.200004000000012638e+01,2.010590345079988879e+02,1.570349415152299866e+00
9.642229535379588750e+14,1.531062213696689600e+00,1.197004015000012167e+01,1.859136921669073672e+02,1.587801352618236628e+00
9.769854182541306250e+14,1.545930009651319104e+00,1.195004025000011971e+01,1.721745704529939758e+02,1.604695895757212165e+00
9.897478829703022500e+14,1.560506724859609173e+00,1.193004035000011775e+01,1.596552218319174585e+02,1.621114141668649200e+00
1.002510347686474000e+15,1.574694233255614861e+00,1.191004045000011580e+01,1.482860443487245448e+02,1.636946860697318762e+00
1.015272812402645750e+15,1.588486764371352944e+00,1.189004055000011384e+01,1.379521647415950270e+02,1.652166505699230292e+00
1.028035277118817375e+15,1.601905878857646792e+00,1.186004070000011090e+01,1.285380383429936728e+02,1.666834502226120618e+00
1.040797741834989125e+15,1.615063877085382460e+00,1.184004080000010717e+01,1.198875283513193182e+02,1.681046448726775777e+00
1.053560206551160875e+15,1.627865840850632351e+00,1.182004090000010521e+01,1.119864577206092235e+02,1.694740400841064254e+00
1.066322671267332500e+15,1.640281594625228712e+00,1.179004105000010227e+01,1.047646768139753135e+02,1.707834032268257474e+00
1.079085135983504250e+15,1.652368907522162145e+00,1.177004115000010032e+01,9.813142748923128522e+01,1.720397996751997116e+00
1.091847600699676000e+15,1.664182762102293545e+00,1.175004125000009836e+01,9.200844818712889150e+01,1.732513878795682638e+00
1.104610065415847625e+15,1.675647800073634341e+00,1.172004140000009365e+01,8.639177782827579222e+01,1.744121885528456151e+00
1.117372530132019375e+15,1.686757820928488361e+00,1.170004150000009169e+01,8.123585869376358914e+01,1.755179472938677376e+00
1.130134994848191000e+15,1.697645672704487740e+00,1.168004160000008973e+01,7.643703243433580496e+01,1.765831214709571162e+00
1.142897459564362750e+15,1.708177253215696467e+00,1.165004175000008679e+01,7.202042249981073496e+01,1.775945032026613912e+00
1.155659924280534500e+15,1.718380867653942490e+00,1.163004185000008484e+01,6.795498826370132406e+01,1.785570483543265974e+00
1.168422388996706000e+15,1.728372090764832336e+00,1.161004195000008288e+01,6.415432021664878448e+01,1.794808814413358933e+00
1.181184853712878000e+15,1.738038227737614294e+00,1.158004210000007816e+01,6.063867258182105502e+01,1.803567020386113828e+00
1.193947318429049500e+15,1.747403817742910537e+00,1.156004220000007621e+01,5.739137783634954815e+01,1.811874345743385017e+00
1.206709783145221250e+15,1.756546642860080665e+00,1.154004230000007425e+01,5.434473892742066425e+01,1.819777278425750655e+00
1.219472247861393000e+15,1.765362981103835605e+00,1.151004245000007131e+01,5.153144862124548808e+01,1.827201684790967784e+00
1.232234712577564750e+15,1.773940433260146943e+00,1.149004255000006935e+01,4.890640231861542020e+01,1.834247269077914577e+00
1.244997177293736500e+15,1.782271938487927088e+00,1.146004270000006464e+01,4.645207765087529594e+01,1.840885943678408410e+00
1.257759642009908000e+15,1.790301388640298530e+00,1.144004280000006268e+01,4.417348598098709545e+01,1.847103263158739850e+00
1.270522106726080000e+15,1.798154718230454918e+00,1.142004290000006073e+01,4.202775664475236539e+01,1.852985732405121988e+00
1.283284571442251500e+15,1.805714551756473218e+00,1.139004305000005779e+01,4.003369736953786884e+01,1.858439273143181580e+00
1.296047036158423250e+15,1.813052959489862559e+00,1.137004315000005583e+01,3.816595592497598233e+01,1.863554615575435891e+00
1.308809500874595000e+15,1.820173482962403666e+00,1.135004325000005387e+01,3.640673219440789410e+01,1.868310815139375247e+00
1.321571965590766500e+15,1.827014596662531520e+00,1.132004340000004916e+01,3.477130248446385963e+01,1.872680041046943744e+00
1.334334430306938500e+15,1.833710938387083544e+00,1.130004350000004720e+01,3.321682271463653535e+01,1.876761138769725390e+00
1.347096895023110000e+15,1.840125376887705055e+00,1.127004365000004427e+01,3.177086746568667763e+01,1.880452365460767661e+00
1.359859359739281750e+15,1.846360990016716164e+00,1.125004375000004231e+01,3.040233116960919091e+01,1.883838135408368863e+00
1.372621824455453500e+15,1.852379620890656664e+00,1.123004385000004035e+01,2.912040541782525693e+01,1.886919977784689006e+00
