rhoc,M,R,Lambda,I
2.240000000000000000e+14,1.073006929923032426e-01,2.000000000000101963e+01,1.412011373287947178e+08,5.038247136796155518e-02
2.343972652408475000e+14,1.156763519613112356e-01,2.000000000000101963e+01,8.685315467960038781e+07,5.246174145758469853e-02
2.447945304816949688e+14,1.251161647232683083e-01,2.000000000000101963e+01,5.394709602006937563e+07,5.565622727877315296e-02
2.551917957225424688e+14,1.355741003218895180e-01,2.000000000000101963e+01,3.413021156584416330e+07,5.991563094646165655e-02
2.655890609633899688e+14,1.470347383599547031e-01,2.000000000000101963e+01,2.207804344486286119e+07,6.520168382115913708e-02
2.759863262042374375e+14,1.594394739809988359e-01,1.861000695000086580e+01,1.464016451149511337e+07,7.145649246140639566e-02
2.863835914450849375e+14,1.728138445499529385e-01,1.727001365000071331e+01,9.903849986980548128e+06,7.867183757802996558e-02
2.967808566859324375e+14,1.870769961860304642e-01,1.624001880000059828e+01,6.813209936673042364e+06,8.680408393633233521e-02
3.071781219267799375e+14,2.022019032920303605e-01,1.545002275000051206e+01,4.753573912357037887e+06,9.584876380111598260e-02
3.175753871676273750e+14,2.181722772259977183e-01,1.481002595000044053e+01,3.358072067377571482e+06,1.058176731822355471e-01
3.279726524084748750e+14,2.349551479781671337e-01,1.430002850000038350e+01,2.399688319278652314e+06,1.167145636590328495e-01
3.383699176493223750e+14,2.525111511406090137e-01,1.389003055000033626e+01,1.733613031964193331e+06,1.285390742799932540e-01
3.487671828901698750e+14,2.708011723162038198e-01,1.355003225000029943e+01,1.265778640986898448e+06,1.412906258467390708e-01
3.591644481310173750e+14,2.898120741081044449e-01,1.328003360000026944e+01,9.331446364418795565e+05,1.549853494155558897e-01
3.695617133718648750e+14,3.095530073971187179e-01,1.305003475000024338e+01,6.939563521864584181e+05,1.696565222096771131e-01
3.799589786127123750e+14,3.299171011638395434e-01,1.286003570000022123e+01,5.210152874377835542e+05,1.852501635365231547e-01
3.903562438535598750e+14,3.508614378152112856e-01,1.270003650000020379e+01,3.947654526100392104e+05,2.017536877138398910e-01
4.007535090944073750e+14,3.724734042524349698e-01,1.256003720000018831e+01,3.012884794496727409e+05,2.192538470235992631e-01
4.111507743352548125e+14,3.945362621400462788e-01,1.245003775000017576e+01,2.320389398635092948e+05,2.375922560208246492e-01
4.215480395761023125e+14,4.171933173566698128e-01,1.236003820000016518e+01,1.799152664401632792e+05,2.569070053897424821e-01
4.319453048169498125e+14,4.402338083086140830e-01,1.228003860000015734e+01,1.406765691170965729e+05,2.770268797625626833e-01
4.423425700577972500e+14,4.638190822040997863e-01,1.221003895000014872e+01,1.106570952145029441e+05,2.981081605387009281e-01
4.527398352986447500e+14,4.877027947011066122e-01,1.216003920000014382e+01,8.772794580446704640e+04,3.199361199669274458e-01
4.631371005394922500e+14,5.120468166320990555e-01,1.211003945000013715e+01,6.994104899814174860e+04,3.426677775861671216e-01
4.735343657803397500e+14,5.366835031258548883e-01,1.207003965000013324e+01,5.613230809661318926e+04,3.661496581880109291e-01
4.839316310211872500e+14,5.615533026558541252e-01,1.204003980000013030e+01,4.535720949704863597e+04,3.903325904681226866e-01
4.943288962620347500e+14,5.867791216520674702e-01,1.202003990000012834e+01,3.682750413417413802e+04,4.153279342623192871e-01
5.047261615028822500e+14,6.122117631233017221e-01,1.199004005000012540e+01,3.007840369469347934e+04,4.409936420548435931e-01
5.151234267437297500e+14,6.377964457703602097e-01,1.198004010000012265e+01,2.470702680411093024e+04,4.672674274984072174e-01
5.255206919845771875e+14,6.635126815267000655e-01,1.196004020000012069e+01,2.040413719735756968e+04,4.941231058851558444e-01
5.359179572254246875e+14,6.894276280194902018e-01,1.195004025000011971e+01,1.692830692297301721e+04,5.216304791262300622e-01
5.463152224662721875e+14,7.154570612093769100e-01,1.194004030000011873e+01,1.410984408068854827e+04,5.496867949390609187e-01
5.567124877071196875e+14,7.415327657685867324e-01,1.193004035000011775e+01,1.181768476779468256e+04,5.782152446064960927e-01
5.671097529479672500e+14,7.676279801687677651e-01,1.193004035000011775e+01,9.943592576637220191e+03,6.071724594908317618e-01
5.775070181888147500e+14,7.937212691963021483e-01,1.192004040000011678e+01,8.403941648278178036e+03,6.365237326097684667e-01
5.879042834296622500e+14,8.197881785474224747e-01,1.192004040000011678e+01,7.132407305798535162e+03,6.662264785705968029e-01
5.983015486705096250e+14,8.458226417287074694e-01,1.192004040000011678e+01,6.078172237762555596e+03,6.962730106720257384e-01
6.086988139113571250e+14,8.717815753563390446e-01,1.192004040000011678e+01,5.199556355809820161e+03,7.265801993166014494e-01
6.190960791522046250e+14,8.976594766463353858e-01,1.192004040000011678e+01,4.465103074049809948e+03,7.571421151429770235e-01
6.294933443930521250e+14,9.234273614781027817e-01,1.191004045000011580e+01,3.848107416510205439e+03,7.879054200584386658e-01
