rhoc,R,M,Lambda
2.240000000000000000e+14,1.999999999999991473e+01,1.286675170368244137e-01,5.313048808001223952e+07
2.427952205528790312e+14,1.999999999999991473e+01,1.469565381090478240e-01,2.512197266701835394e+07
2.615904411057580625e+14,1.838000809999992313e+01,1.678679944706828187e-01,1.257907495980087854e+07
2.803856616586370625e+14,1.654001729999993131e+01,1.913415984776062340e-01,6.622091735936474986e+06
2.991808822115161250e+14,1.532002339999993801e+01,2.172228795329229356e-01,3.626186883308121935e+06
3.179761027643951250e+14,1.446002769999994264e+01,2.453832410159444422e-01,2.053998500959604280e+06
3.367713233172741250e+14,1.384003079999994412e+01,2.757318123693448531e-01,1.198919215275403112e+06
3.555665438701531250e+14,1.338003309999994705e+01,3.080469269662456377e-01,7.202768753392989747e+05
3.743617644230321875e+14,1.306003469999994770e+01,3.421796492714905269e-01,4.443606754994729999e+05
3.931569849759112500e+14,1.280003599999994890e+01,3.779887460345071615e-01,2.809370141396966646e+05
4.119522055287902500e+14,1.260003699999995064e+01,4.152794879398924444e-01,1.817781615693162021e+05
4.307474260816692500e+14,1.246003769999995114e+01,4.538572892681784765e-01,1.202004411588246585e+05
4.495426466345482500e+14,1.234003829999995183e+01,4.935306611075269689e-01,8.111769226000811614e+04
4.683378671874273125e+14,1.226003869999995288e+01,5.342157697217507772e-01,5.575442915783852368e+04
4.871330877403063125e+14,1.220003899999995234e+01,5.756142447091771031e-01,3.902297139874150162e+04
5.059283082931853750e+14,1.214003929999995357e+01,6.176070353461983187e-01,2.776766799625520071e+04
5.247235288460643750e+14,1.210003949999995321e+01,6.601320644936412574e-01,2.005457428984045328e+04
5.435187493989433750e+14,1.208003959999995303e+01,7.029018657804978476e-01,1.470072950701492664e+04
5.623139699518224375e+14,1.204003979999995266e+01,7.458017139521582184e-01,1.092391082683858258e+04
5.811091905047015000e+14,1.202003989999995248e+01,7.887293594240950556e-01,8.221612017962364916e+03
5.999044110575805000e+14,1.202003989999995248e+01,8.315458423165207336e-01,6.262729579943488716e+03
6.186996316104595000e+14,1.200003999999995408e+01,8.741121186963063394e-01,4.825307151909040840e+03
6.374948521633385000e+14,1.198004009999995390e+01,9.163101610140659270e-01,3.758061052683024627e+03
6.562900727162175000e+14,1.198004009999995390e+01,9.581281569653404828e-01,2.955597867551102354e+03
6.750852932690965000e+14,1.196004019999995371e+01,9.994637515700810493e-01,2.346305039670939550e+03
6.938805138219755000e+14,1.196004019999995371e+01,1.040134852143780986e+00,1.879998958662761652e+03
7.126757343748546250e+14,1.194004029999995353e+01,1.080122314954529372e+00,1.519233901782027942e+03
7.314709549277336250e+14,1.192004039999995335e+01,1.119449946692966158e+00,1.237154837296869800e+03
7.502661754806126250e+14,1.192004039999995335e+01,1.157852379451829616e+00,1.015932373439968273e+03
7.690613960334917500e+14,1.190004049999995317e+01,1.195600407361361306e+00,8.396095982175568224e+02
7.878566165863707500e+14,1.188004059999995476e+01,1.232306373883548689e+00,6.991665617410744744e+02
8.066518371392497500e+14,1.188004059999995476e+01,1.268269571282403474e+00,5.856454587708661848e+02
8.254470576921287500e+14,1.186004069999995458e+01,1.303190248713981259e+00,4.938220977123095281e+02
8.442422782450077500e+14,1.184004079999995440e+01,1.337167117646122616e+00,4.188861199061378215e+02
8.630374987978867500e+14,1.182004089999995422e+01,1.370241464780626695e+00,3.572144434122811845e+02
8.818327193507658750e+14,1.180004099999995404e+01,1.402249617658552161e+00,3.064113135100534464e+02
9.006279399036448750e+14,1.178004109999995386e+01,1.433268346738388654e+00,2.641933905548578423e+02
9.194231604565238750e+14,1.176004119999995368e+01,1.463386747337127813e+00,2.288070029067908138e+02
9.382183810094028750e+14,1.174004129999995527e+01,1.492483427229269299e+00,1.991305422707572461e+02
9.570136015622818750e+14,1.172004139999995509e+01,1.520554817506124978e+00,1.741062865332429794e+02
9.758088221151610000e+14,1.168004159999995473e+01,1.547637084150269571e+00,1.529141143212416978e+02
9.946040426680400000e+14,1.166004169999995455e+01,1.573793103318800846e+00,1.348207781462889443e+02
1.013399263220919000e+15,1.164004179999995436e+01,1.599019471275013426e+00,1.193243515078971342e+02
1.032194483773798000e+15,1.162004189999995596e+01,1.623279085464127691e+00,1.060159679963336714e+02
1.050989704326677000e+15,1.158004209999995560e+01,1.646613847150457444e+00,9.454952293892024784e+01
1.069784924879556000e+15,1.156004219999995541e+01,1.669030476036466037e+00,8.460940769460123079e+01
1.088580145432435125e+15,1.152004239999995505e+01,1.690553574084314059e+00,7.597321625176846283e+01
1.107375365985314125e+15,1.150004249999995665e+01,1.711194855863830577e+00,6.843863630111627572e+01
1.126170586538193000e+15,1.146004269999995628e+01,1.730993528558166794e+00,6.184248487556892115e+01
1.144965807091072000e+15,1.144004279999995610e+01,1.749935177966698729e+00,5.605052772721380450e+01
1.163761027643951000e+15,1.140004299999995574e+01,1.768090162836864376e+00,5.094437915823266394e+01
1.182556248196830250e+15,1.138004309999995556e+01,1.785443756410768801e+00,4.643108274748603037e+01
1.201351468749709250e+15,1.134004329999995697e+01,1.802027475130450362e+00,4.243115364497551667e+01
1.220146689302588250e+15,1.132004339999995679e+01,1.817878448138974035e+00,3.887584035360995927e+01
1.238941909855467250e+15,1.128004359999995643e+01,1.832976404626554645e+00,3.570747410079334827e+01
1.257737130408346250e+15,1.126004369999995625e+01,1.847383755253550808e+00,3.287522969619891455e+01
1.276532350961225250e+15,1.122004389999995766e+01,1.861108275612839869e+00,3.034051794531621127e+01
1.295327571514104500e+15,1.118004409999995730e+01,1.874142465437055316e+00,2.805989332412136861e+01
1.314122792066983500e+15,1.116004419999995712e+01,1.886558349388750777e+00,2.601031752948513898e+01
1.332918012619862500e+15,1.112004439999995675e+01,1.898383167356222812e+00,2.415664297996702103e+01
1.351713233172741500e+15,1.110004449999995835e+01,1.909611732744359580e+00,2.247602440638242527e+01
1.370508453725620500e+15,1.106004469999995798e+01,1.920243857345909522e+00,2.095564690773150218e+01
1.389303674278499500e+15,1.102004489999995762e+01,1.930324711808603544e+00,1.957591167461730919e+01
1.408098894831378500e+15,1.100004499999995744e+01,1.939840134548123984e+00,1.832028391989060268e+01
1.426894115384257500e+15,1.096004519999995885e+01,1.948822241598441085e+00,1.717878903643537214e+01
1.445689335937136500e+15,1.092004539999995849e+01,1.957368406474592204e+00,1.613127431524106825e+01
1.464484556490015500e+15,1.090004549999995831e+01,1.965413167337680900e+00,1.517021356505697049e+01
1.483279777042894500e+15,1.086004569999995795e+01,1.972974654855280008e+00,1.429333875367796658e+01
1.502074997595773500e+15,1.084004579999995954e+01,1.980074263265727996e+00,1.348748418810273719e+01
1.520870218148652500e+15,1.080004599999995918e+01,1.986747717834482341e+00,1.274519623757886322e+01
1.539665438701531750e+15,1.076004619999995882e+01,1.993049518525783492e+00,1.206038208342430984e+01
1.558460659254410750e+15,1.074004629999995863e+01,1.998912939222257323e+00,1.142853627938946204e+01
1.577255879807289750e+15,1.070004649999996005e+01,2.004391080440185213e+00,1.084707146264888777e+01
1.596051100360168750e+15,1.068004659999995987e+01,2.009524202823109285e+00,1.030633085097576895e+01
1.614846320913047750e+15,1.064004679999995950e+01,2.014304223042140407e+00,9.804995871629298421e+00
1.633641541465926750e+15,1.060004699999995914e+01,2.018719255391337786e+00,9.340201485148275751e+00
1.652436762018805750e+15,1.058004709999996074e+01,2.022822883064423483e+00,8.909312346823563544e+00
1.671231982571684750e+15,1.054004729999996037e+01,2.026619039664364852e+00,8.505397752959211743e+00
1.690027203124563750e+15,1.052004739999996019e+01,2.030085248033792311e+00,8.131729381224587883e+00
1.708822423677442750e+15,1.048004759999995983e+01,2.033266025900749341e+00,7.782570976476262281e+00
1.727617644230322000e+15,1.046004769999995965e+01,2.036201119725169040e+00,7.454762986139362724e+00
1.746412864783201000e+15,1.042004789999995928e+01,2.038851720953987368e+00,7.150567939910755122e+00
1.765208085336080000e+15,1.040004799999995910e+01,2.041246281969814280e+00,6.864726425458094639e+00
1.784003305888959000e+15,1.036004819999996052e+01,2.043399695089244350e+00,6.595613589004003963e+00
1.802798526441838000e+15,1.034004829999996034e+01,2.045319242400288839e+00,6.345103092501426900e+00
