rhoc,M,R,Lambda,I
2.240000000000000000e+14,1.606112240176835737e-01,1.974000130000099062e+01,1.912835457275997102e+07,8.378544517696231986e-02
2.331724680900803438e+14,1.734439631472240173e-01,1.842000790000084365e+01,1.314912793797942251e+07,9.177364520504738277e-02
2.423449361801606875e+14,1.870282185424823607e-01,1.739001305000072861e+01,9.183581607470851392e+06,1.006246332055895920e-01
2.515174042702410312e+14,2.013814626685121456e-01,1.658001710000063866e+01,6.495468921088447794e+06,1.103575706475748153e-01
2.606898723603213750e+14,2.164592799598700767e-01,1.593002035000056438e+01,4.649550596422151662e+06,1.209627061678076876e-01
2.698623404504017188e+14,2.322422498392447687e-01,1.540002300000050539e+01,3.364647539706806652e+06,1.324450583749397503e-01
2.790348085404820625e+14,2.487113390280855929e-01,1.496002520000045699e+01,2.460023806922779419e+06,1.448128973128348096e-01
2.882072766305624375e+14,2.658597697404896931e-01,1.460002700000041642e+01,1.815671702013449743e+06,1.580854150741529407e-01
2.973797447206427500e+14,2.836537174994650523e-01,1.429002855000038252e+01,1.352358805035322439e+06,1.722577281980266217e-01
3.065522128107231250e+14,3.020577848554175660e-01,1.404002980000035450e+01,1.016344500470918603e+06,1.873240157946760298e-01
3.157246809008034375e+14,3.210338685309194195e-01,1.382003090000032941e+01,7.704850924181859009e+05,2.032723042491753618e-01
3.248971489908838125e+14,3.406333400753280838e-01,1.364003180000030824e+01,5.883804231508404482e+05,2.201687542346371929e-01
3.340696170809641250e+14,3.607714976360290593e-01,1.349003255000029178e+01,4.528288154276985442e+05,2.379552291607730796e-01
3.432420851710445000e+14,3.813734987412430999e-01,1.336003320000027728e+01,3.513501902957924758e+05,2.565875836285796407e-01
3.524145532611248750e+14,4.025062285873662327e-01,1.325003375000026473e+01,2.744182965715921018e+05,2.761333835047263263e-01
3.615870213512051875e+14,4.240655577863219339e-01,1.315003425000025494e+01,2.158732539175437414e+05,2.965117248770070546e-01
3.707594894412855000e+14,4.460538830487760786e-01,1.307003465000024534e+01,1.709358836878661532e+05,3.177356798174317820e-01
3.799319575313658750e+14,4.684370480686168015e-01,1.300003500000023671e+01,1.362262097079662781e+05,3.397827237007404744e-01
3.891044256214462500e+14,4.911910974984227685e-01,1.294003530000023083e+01,1.092354821025042475e+05,3.626384688931179046e-01
3.982768937115265625e+14,5.142152935332177099e-01,1.289003555000022594e+01,8.815176019234603154e+04,3.861971623772693651e-01
4.074493618016068750e+14,5.376337704333256085e-01,1.284003580000021927e+01,7.149454044352975325e+04,4.105979197517589108e-01
4.166218298916872500e+14,5.612558301228898205e-01,1.281003595000021633e+01,5.833880801096638606e+04,4.356408888910503485e-01
4.257942979817676250e+14,5.851299832531544620e-01,1.277003615000021242e+01,4.785442113721004716e+04,4.613809574481331222e-01
4.349667660718479375e+14,6.092666222692123545e-01,1.275003625000020868e+01,3.944003054337181675e+04,4.878230833528469645e-01
4.441392341619283125e+14,6.335383746530325322e-01,1.272003640000020575e+01,3.267911053949200141e+04,5.148307208294724546e-01
4.533117022520086250e+14,6.579269873052621120e-01,1.270003650000020379e+01,2.721427312715093285e+04,5.423700121474784863e-01
