rhoc,M,R,Lambda,I
2.240000000000000000e+14,1.234992233708372134e-01,2.000000000000101963e+01,6.800017771673175693e+07,6.039431151940011233e-02
2.333015075376884375e+14,1.316434993582733526e-01,2.000000000000101963e+01,4.609876387009919435e+07,6.344426181896854755e-02
2.426030150753769062e+14,1.404198497577125448e-01,2.000000000000101963e+01,3.165973015473710373e+07,6.719241706283743398e-02
2.519045226130653438e+14,1.497755042514175572e-01,2.000000000000101963e+01,2.211011122066801041e+07,7.159192999483707243e-02
2.612060301507538125e+14,1.597415770452598194e-01,1.956000220000096945e+01,1.568896247913939133e+07,7.663298410328837906e-02
2.705075376884422500e+14,1.704053742066614641e-01,1.832000840000083031e+01,1.127015979976474494e+07,8.234762380900614853e-02
2.798090452261306875e+14,1.817151177287604225e-01,1.733001335000072274e+01,8.189511478334088810e+06,8.870645051925631075e-02
2.891105527638191250e+14,1.936485958699749321e-01,1.651001745000062826e+01,6.010710136681841686e+06,9.569958651041697573e-02
2.984120603015076250e+14,2.061768506791803457e-01,1.584002080000055557e+01,4.453647024830603972e+06,1.033204842290540715e-01
3.077135678391960625e+14,2.193003625733526696e-01,1.529002355000049285e+01,3.327397650583337992e+06,1.115777652077721699e-01
3.170150753768845000e+14,2.328933354775364895e-01,1.482002590000044151e+01,2.510839615761250723e+06,1.204016948213768173e-01
3.263165829145730000e+14,2.470398062542711881e-01,1.443002785000039800e+01,1.908965378488114104e+06,1.298605068901949322e-01
3.356180904522613750e+14,2.616507093643010151e-01,1.410002950000036037e+01,1.463415859976614127e+06,1.399020298800167372e-01
3.449195979899498750e+14,2.767339700360843535e-01,1.382003090000032941e+01,1.130291321497184923e+06,1.505449494295031387e-01
3.542211055276383125e+14,2.923023496728062165e-01,1.357003215000030139e+01,8.787686454742578790e+05,1.618070122673228584e-01
3.635226130653267500e+14,3.083870502761609789e-01,1.336003320000027728e+01,6.870825145418944303e+05,1.737266158308099773e-01
3.728241206030152500e+14,3.249778956598591839e-01,1.318003410000025788e+01,5.401761529801414581e+05,1.863125632392031439e-01
3.821256281407036250e+14,3.419834655214258889e-01,1.302003490000024044e+01,4.273237820472507738e+05,1.995041136737100151e-01
3.914271356783921250e+14,3.593816362421170529e-01,1.288003560000022496e+01,3.401479461786872707e+05,2.132970705171321479e-01
4.007286432160805625e+14,3.771413791351319045e-01,1.276003620000021144e+01,2.723759999564391328e+05,2.276739068591843995e-01
4.100301507537690000e+14,3.952333556582757201e-01,1.266003670000019987e+01,2.194187196193976561e+05,2.426194887866187366e-01
4.193316582914575000e+14,4.136371848093264303e-01,1.257003715000018929e+01,1.777520772737132211e+05,2.581199182572763706e-01
4.286331658291459375e+14,4.323463988987127360e-01,1.249003755000017968e+01,1.447639657688180450e+05,2.741749647654798117e-01
4.379346733668343750e+14,4.513553289788730383e-01,1.242003790000017283e+01,1.184732434970060276e+05,2.907844948900499271e-01
4.472361809045228125e+14,4.706376303929621918e-01,1.236003820000016518e+01,9.742900196539360331e+04,3.079303822365418997e-01
