rhoc,M,R,Lambda,I
2.240000000000000000e+14,9.476862882011183320e-02,2.000000000000101963e+01,3.616988647311103344e+08,5.228345322369729736e-02
2.301396962761595312e+14,9.594988647526214720e-02,2.000000000000101963e+01,3.208145770306734443e+08,5.158159308794182246e-02
2.362793925523190625e+14,9.721858779475045509e-02,2.000000000000101963e+01,2.828127646130751967e+08,5.095109401724130099e-02
2.424190888284785938e+14,9.857644734017395605e-02,2.000000000000101963e+01,2.486838224013045132e+08,5.039655971264382639e-02
2.485587851046381250e+14,1.000303546916235103e-01,2.000000000000101963e+01,2.183864475628440976e+08,4.991989862961947882e-02
2.546984813807976875e+14,1.015768744745409735e-01,2.000000000000101963e+01,1.916660579753623605e+08,4.952164666214325245e-02
2.608381776569571875e+14,1.032045374389083808e-01,2.000000000000101963e+01,1.669499613625386357e+08,4.920736461943309853e-02
2.669778739331167500e+14,1.049060168635507773e-01,2.000000000000101963e+01,1.453991078055127859e+08,4.898103682528384684e-02
2.731175702092762812e+14,1.066871283965186851e-01,2.000000000000101963e+01,1.265754832248714566e+08,4.883813128042654300e-02
2.792572664854358125e+14,1.085438263804182901e-01,2.000000000000101963e+01,1.101249949190833718e+08,4.877627000826579434e-02
2.853969627615953750e+14,1.104553363606208122e-01,2.000000000000101963e+01,9.610218711757424474e+07,4.879172528277257725e-02
2.915366590377548750e+14,1.124077025729208756e-01,2.000000000000101963e+01,8.388076381727282703e+07,4.887891444208224828e-02
2.976763553139143750e+14,1.143930530559862657e-01,2.000000000000101963e+01,7.334714943747395277e+07,4.903282700083668594e-02
3.038160515900739375e+14,1.164159608268675039e-01,2.000000000000101963e+01,6.430498461890173703e+07,4.924893896765135393e-02
3.099557478662335000e+14,1.184839872343983330e-01,2.000000000000101963e+01,5.647997491550074518e+07,4.952258828778781374e-02
3.160954441423930000e+14,1.206096237972903440e-01,2.000000000000101963e+01,4.966596335645069182e+07,4.985431841477374476e-02
3.222351404185525625e+14,1.227843601026700621e-01,2.000000000000101963e+01,4.372930686865155399e+07,5.023793386690768303e-02
3.283748366947120625e+14,1.249977673392523303e-01,2.000000000000101963e+01,3.857210042927054316e+07,5.067166403289431742e-02
3.345145329708716250e+14,1.272613184402150710e-01,2.000000000000101963e+01,3.408789042196351290e+07,5.115411172170281073e-02
3.406542292470311250e+14,1.295894735468365311e-01,2.000000000000101963e+01,3.015598903184312582e+07,5.168742400164403478e-02
3.467939255231906875e+14,1.319950498340782541e-01,2.000000000000101963e+01,2.669564685179381818e+07,5.227347011037610652e-02
3.529336217993502500e+14,1.345179585095845620e-01,1.982000090000099846e+01,2.360611419339953735e+07,5.292271474566170170e-02
3.590733180755097500e+14,1.371150004288800850e-01,1.924000380000093458e+01,2.090024413408574089e+07,5.362372011812198414e-02
3.652130143516692500e+14,1.397951287753479432e-01,1.870000650000087461e+01,1.852425490845758468e+07,5.437945228101784267e-02
3.713527106278288125e+14,1.425709330282544374e-01,1.819000905000081758e+01,1.642281476811032183e+07,5.519277118936943838e-02
3.774924069039883750e+14,1.455282341825785419e-01,1.770001150000076251e+01,1.451511103422475792e+07,5.609096423361396855e-02
3.836321031801478750e+14,1.485979461308063743e-01,1.724001380000071038e+01,1.282765219417505711e+07,5.705517437992948387e-02
3.897717994563074375e+14,1.518316381685747563e-01,1.681001595000066473e+01,1.131479183701162413e+07,5.810369349747573214e-02
3.959114957324670000e+14,1.552219136643188668e-01,1.640001800000061749e+01,9.967184913416799158e+06,5.923617813975833035e-02
4.020511920086265000e+14,1.587723375297336315e-01,1.601001995000057221e+01,8.769116166795877740e+06,6.045729842537950899e-02
4.081908882847860000e+14,1.625266713863412482e-01,1.564002180000053244e+01,7.696553012396269478e+06,6.178462339901472783e-02
4.143305845609455625e+14,1.664583086827412794e-01,1.529002355000049285e+01,6.746309453979143873e+06,6.321228019246556695e-02
4.204702808371051250e+14,1.706055391809779276e-01,1.495002525000045601e+01,5.900803734568189830e+06,6.475755711728890807e-02
4.266099771132646250e+14,1.748857110832039430e-01,1.464002680000042034e+01,5.165123203420775943e+06,6.639283964199288457e-02
4.327496733894241250e+14,1.795330863042369218e-01,1.434002830000038742e+01,4.493335412454650737e+06,6.821173236673198914e-02
4.388893696655836875e+14,1.843132343200037659e-01,1.406002970000035646e+01,3.914188770793296862e+06,7.012810182630206668e-02
4.450290659417432500e+14,1.893131699539811197e-01,1.379003105000032647e+01,3.406129958223628812e+06,7.217958011855225842e-02
4.511687622179027500e+14,1.945303876337805271e-01,1.355003225000029943e+01,2.961925781883188058e+06,7.436863016491178369e-02
4.573084584940623125e+14,1.998354437871806555e-01,1.332003340000027336e+01,2.582751926838414744e+06,7.664306499292740382e-02
4.634481547702218750e+14,2.054287262481453158e-01,1.310003450000024827e+01,2.247041871013862547e+06,7.909126830362861460e-02
4.695878510463813750e+14,2.112124644620749503e-01,1.290003550000022692e+01,1.955654318413284607e+06,8.167466821787253139e-02
4.757275473225408750e+14,2.171679355117468457e-01,1.271003645000020477e+01,1.703704221619508229e+06,8.438776513760565257e-02
4.818672435987004375e+14,2.233477431601695595e-01,1.254003730000018635e+01,1.483871193908995949e+06,8.725768249950620337e-02
4.880069398748600000e+14,2.297380356751052288e-01,1.237003815000016793e+01,1.292660930367425317e+06,9.028144717596761626e-02
4.941466361510195000e+14,2.362535583863825672e-01,1.222003890000014970e+01,1.128455776641926263e+06,9.342149888109814448e-02
5.002863324271790000e+14,2.429235038194601792e-01,1.208003960000013421e+01,9.864965474630966783e+05,9.669277933828028526e-02
5.064260287033385625e+14,2.498336749283499025e-01,1.195004025000011971e+01,8.621301197685645893e+05,1.001411320955484935e-01
5.125657249794981250e+14,2.567539866305836860e-01,1.183004085000010619e+01,7.565832288252271246e+05,1.036525947905557465e-01
5.187054212556576250e+14,2.640102726705712000e-01,1.171004145000009267e+01,6.625984458033667179e+05,1.073954380641807815e-01
5.248451175318171875e+14,2.712389787088457793e-01,1.161004195000008288e+01,5.829503877614361700e+05,1.111835819997290947e-01
