rhoc,R,M,Lambda
2.800000000000000000e+14,1.504000000024826100e+01,4.738166997579886242e-01,2.345790136968083098e+05
3.314285714285714375e+14,1.458000000027123377e+01,6.498683793841046885e-01,5.330503506048725103e+04
3.828571428571428750e+14,1.440000000028022420e+01,8.349173470461345170e-01,1.564286125616569552e+04
4.342857142857142500e+14,1.432000000028421915e+01,1.021899190713404071e+00,5.533533939645950340e+03
4.857142857142857500e+14,1.428000000028621663e+01,1.194499646751912003e+00,2.369905528839824001e+03
5.371428571428571250e+14,1.422000000028921285e+01,1.338116779552752877e+00,1.229786609707975458e+03
5.885714285714285000e+14,1.414000000029320780e+01,1.452602104932624982e+00,7.399195399718814770e+02
6.400000000000000000e+14,1.406000000029720454e+01,1.547354287554332020e+00,4.853214038607035263e+02
6.914285714285715000e+14,1.396000000030219823e+01,1.630104803481333242e+00,3.332738820097518442e+02
7.428571428571428750e+14,1.384000000030819066e+01,1.697856236145133479e+00,2.424707368836126591e+02
7.942857142857142500e+14,1.372000000031418487e+01,1.760671423514138079e+00,1.782310363401880977e+02
8.457142857142857500e+14,1.360000000032017731e+01,1.811723193748937311e+00,1.370242966096568011e+02
8.971428571428571250e+14,1.346000000032716848e+01,1.855568242407225510e+00,1.078478915022712528e+02
9.485714285714286250e+14,1.334000000033316269e+01,1.894267769548786617e+00,8.604357793560535583e+01
1.000000000000000000e+15,1.320000000034015386e+01,1.925129801385482065e+00,7.089295041344219328e+01
1.051428571428571500e+15,1.308000000034614629e+01,1.952224621756885714e+00,5.892425864518293110e+01
1.102857142857142875e+15,1.294000000035313924e+01,1.974603172241446991e+00,4.982869594625871912e+01
1.154285714285714250e+15,1.282000000035913168e+01,1.992584926077423324e+00,4.290503539192810933e+01
1.205714285714285750e+15,1.272000000036412537e+01,2.006667257275786653e+00,3.761353558900970029e+01
1.257142857142857000e+15,1.260000000037011958e+01,2.019141788502390344e+00,3.288667887522451849e+01
1.308571428571428500e+15,1.248000000037611201e+01,2.029077233020070370e+00,2.900710195208022668e+01
1.360000000000000000e+15,1.236000000038210622e+01,2.036481391929541918e+00,2.592236277570640723e+01
1.411428571428571500e+15,1.226000000038709992e+01,2.041920661368030299e+00,2.337731368956742983e+01
1.462857142857143000e+15,1.216000000039209361e+01,2.045686052822349943e+00,2.124907457449799608e+01
1.514285714285714250e+15,1.204000000039808604e+01,2.048180591665724304e+00,1.930547643374169553e+01
1.565714285714285750e+15,1.193566772045846491e+01,2.049341775921411202e+00,1.764688651277043263e+01
1.617142857142857250e+15,1.184000000040807521e+01,2.049346839165318901e+00,1.626854729004296374e+01
1.668571428571428500e+15,1.176000000041207016e+01,2.048433218295253599e+00,1.510819083743218982e+01
1.720000000000000000e+15,1.166000000041706564e+01,2.046577635287532448e+00,1.403115278170024283e+01
1.771428571428571500e+15,1.156000000042205933e+01,2.044002307575868649e+00,1.310279296920933412e+01
1.822857142857143000e+15,1.148000000042605429e+01,2.040628976221134483e+00,1.225623469954716072e+01
1.874285714285714250e+15,1.138000000043104798e+01,2.036683625222272198e+00,1.151161598800226393e+01
1.925714285714285750e+15,1.130000000043504471e+01,2.032364409525269089e+00,1.086803790679024928e+01
1.977142857142857250e+15,1.122000000043903967e+01,2.027747077638675233e+00,1.030798310223777570e+01
2.028571428571428500e+15,1.116000000044203588e+01,2.022897963344512995e+00,9.816517170844779372e+00
2.080000000000000000e+15,1.108000000044603084e+01,2.017012147145988532e+00,9.313497396602283374e+00
2.131428571428571500e+15,1.100000000045002757e+01,2.010968729901004171e+00,8.872833266984420320e+00
2.182857142857143000e+15,1.092000000045402253e+01,2.004736686021407532e+00,8.478429525332906280e+00
2.234285714285714250e+15,1.084000000045801748e+01,1.998316331868658313e+00,8.121893676630023151e+00
2.285714285714286000e+15,1.078000000046101370e+01,1.991870092102462131e+00,7.804792555488128336e+00
2.337142857142857000e+15,1.072000000046400991e+01,1.985399792048616163e+00,7.520321420749320751e+00
2.388571428571428500e+15,1.066000000046700791e+01,1.978930609339915048e+00,7.264353748346648487e+00
2.440000000000000000e+15,1.060000000047000412e+01,1.972532548815675524e+00,7.034557606734694879e+00
2.491428571428571500e+15,1.052000000047399908e+01,1.965215014078449673e+00,6.797193777022403793e+00
2.542857142857143000e+15,1.046000000047699707e+01,1.957650892134592091e+00,6.574103180629053078e+00
2.594285714285714500e+15,1.040000000047999684e+01,1.950190297442282672e+00,6.373558151817951156e+00
2.645714285714286000e+15,1.033702150350013582e+01,1.942873631276423874e+00,6.192752712686155903e+00
2.697142857142857000e+15,1.030000000048499587e+01,1.935690886752792883e+00,6.029230592788724863e+00
2.748571428571428500e+15,1.024000000048799741e+01,1.928648876351511943e+00,5.881028703652576795e+00
2.800000000000000000e+15,1.018000000049099718e+01,1.921623848363729126e+00,5.743456820039614996e+00
