rhoc,R,M,Lambda
2.800000000000000000e+14,1.510000000024526301e+01,6.255678022775364999e-01,7.824688607929987484e+04
3.314285714285714375e+14,1.502000000024925974e+01,8.965630801119574000e-01,1.452205579231564843e+04
3.828571428571428750e+14,1.510000000024526301e+01,1.184277092063557024e+00,3.628701067360565503e+03
4.342857142857142500e+14,1.516000000024226679e+01,1.466487508959916752e+00,1.152342242413057193e+03
4.857142857142857500e+14,1.518000000024126805e+01,1.729353722690153639e+00,4.400643433395454167e+02
5.371428571428571250e+14,1.516000000024226679e+01,1.957243894131435846e+00,1.993490420527248830e+02
5.885714285714285000e+14,1.508000000024626353e+01,2.145300428408222881e+00,1.041748878308503947e+02
6.400000000000000000e+14,1.496000000025225596e+01,2.306162192349499929e+00,5.883431970469806060e+01
6.914285714285715000e+14,1.479100853210370303e+01,2.436100295231687252e+00,3.609943164370057644e+01
7.428571428571428750e+14,1.462000000026923630e+01,2.540544159680121261e+00,2.356383248372755901e+01
7.942857142857142500e+14,1.444000000027822495e+01,2.621934074142090676e+00,1.627799302970603534e+01
8.457142857142857500e+14,1.426000000028721537e+01,2.685047263142654739e+00,1.171856751794753748e+01
8.971428571428571250e+14,1.406000000029720454e+01,2.731840436436907549e+00,8.788210273485052682e+00
9.485714285714286250e+14,1.390000000030519445e+01,2.761438094808453148e+00,7.038793699605339071e+00
1.000000000000000000e+15,1.376000000031218562e+01,2.776214668232341864e+00,6.083883372013303870e+00
1.051428571428571500e+15,1.364702299080764014e+01,2.783547952139278525e+00,5.434100552894516767e+00
1.102857142857142875e+15,1.356000000032217478e+01,2.785874604439923186e+00,4.950862528461922096e+00
1.154285714285714250e+15,1.345353298979000733e+01,2.784663570341029182e+00,4.593810655165485812e+00
1.205714285714285750e+15,1.337501041227552889e+01,2.781156909799648691e+00,4.338085998133188959e+00
1.257142857142857000e+15,1.332000000033416143e+01,2.776089353723424580e+00,4.143065413382954532e+00
1.308571428571428500e+15,1.323869702230877188e+01,2.769693335901326048e+00,3.987549173628891275e+00
1.360000000000000000e+15,1.318000000034115260e+01,2.762281563867793110e+00,3.860826741950723395e+00
1.411428571428571500e+15,1.311703747139975640e+01,2.754099254359374083e+00,3.756664898209190362e+00
1.462857142857143000e+15,1.308000000034614629e+01,2.745328595645817771e+00,3.670590644714359918e+00
1.514285714285714250e+15,1.302000000034914429e+01,2.735889360135076220e+00,3.597203455319715637e+00
1.565714285714285750e+15,1.296000000035214050e+01,2.726043014968283273e+00,3.535778164155829906e+00
1.617142857142857250e+15,1.289888592926187449e+01,2.715622977333643107e+00,3.483351353151937779e+00
1.668571428571428500e+15,1.286000000035713420e+01,2.704982829417825752e+00,3.440014171687985289e+00
1.720000000000000000e+15,1.280000000036013041e+01,2.694308677170947242e+00,3.404800531500151273e+00
1.771428571428571500e+15,1.276000000036212789e+01,2.683697633772095692e+00,3.376744036251907666e+00
1.822857142857143000e+15,1.270916158141488594e+01,2.673145930429317474e+00,3.354384041420015450e+00
1.874285714285714250e+15,1.266697840319822532e+01,2.662720229548092288e+00,3.336840553421143163e+00
1.925714285714285750e+15,1.262654783395478120e+01,2.652415092271621422e+00,3.323634915447863492e+00
1.977142857142857250e+15,1.260000000037011958e+01,2.642147790548992070e+00,3.314278367815721715e+00
2.028571428571428500e+15,1.254999234501001126e+01,2.632067031199671447e+00,3.307880992828595712e+00
2.080000000000000000e+15,1.251255682390223178e+01,2.621731933181266960e+00,3.304652001764054603e+00
2.131428571428571500e+15,1.248000000037611201e+01,2.611285991262239481e+00,3.303989332715682181e+00
2.182857142857143000e+15,1.246000000037711075e+01,2.601082900289864330e+00,3.306062920021606732e+00
2.234285714285714250e+15,1.242000000037910823e+01,2.591118399889150048e+00,3.310366893672727961e+00
2.285714285714286000e+15,1.238000000038110571e+01,2.581404634698236222e+00,3.316712545049608440e+00
2.337142857142857000e+15,1.236000000038210622e+01,2.571921276320657146e+00,3.324864370444818640e+00
2.388571428571428500e+15,1.232000000038410370e+01,2.562674886533098828e+00,3.334675270093154342e+00
2.440000000000000000e+15,1.228516574274998341e+01,2.553650616339681267e+00,3.345983247975299779e+00
2.491428571428571500e+15,1.225785143085479767e+01,2.544858276689316856e+00,3.358417323055566062e+00
2.542857142857143000e+15,1.224000000038809866e+01,2.536285100165065920e+00,3.371981536026890325e+00
2.594285714285714500e+15,1.222000000038909739e+01,2.527922003297655262e+00,3.386592840552532735e+00
2.645714285714286000e+15,1.220000000039009613e+01,2.519789385851981756e+00,3.402135757189546528e+00
2.697142857142857000e+15,1.215786831012571056e+01,2.511450247701104477e+00,3.419437303101615200e+00
2.748571428571428500e+15,1.213372754447741286e+01,2.503089534096744284e+00,3.438068426865309668e+00
2.800000000000000000e+15,1.212000000039409109e+01,2.494971276206749522e+00,3.457407207193758936e+00
