rhoc,R,M,Lambda
2.800000000000000000e+14,9.940000000502996258e+00,1.798939952112725282e-01,5.869588000957544893e+06
3.314285714285714375e+14,1.006000000049699672e+01,2.624147158375957911e-01,1.187926447741976008e+06
3.828571428571428750e+14,1.028000000048599638e+01,3.571036489711494344e-01,3.123959054137597559e+05
4.342857142857142500e+14,1.050000000047499782e+01,4.624404595630867143e-01,9.859972849098220468e+04
4.857142857142857500e+14,1.072000000046400991e+01,5.759798938204352403e-01,3.585650817848326551e+04
5.371428571428571250e+14,1.083513979376942338e+01,6.935686082681216114e-01,1.476862921325363277e+04
5.885714285714285000e+14,1.097872161912320443e+01,8.118242210369976952e-01,6.760044657291685326e+03
6.400000000000000000e+14,1.111720031728664893e+01,9.282096662285003186e-01,3.384784001845727289e+03
6.914285714285715000e+14,1.121744823926287715e+01,1.044344689339044896e+00,1.792021893487115904e+03
7.428571428571428750e+14,1.127958824141249927e+01,1.154805172723285533e+00,1.015292382764536455e+03
7.942857142857142500e+14,1.131937448639766863e+01,1.259347474495734254e+00,6.074459804840314519e+02
8.457142857142857500e+14,1.135232751946455387e+01,1.358308100060086732e+00,3.792558571111320589e+02
8.971428571428571250e+14,1.135254823403524860e+01,1.449585004498009200e+00,2.473853948210570479e+02
9.485714285714286250e+14,1.133489019956818034e+01,1.533248454661295890e+00,1.675412263242942004e+02
1.000000000000000000e+15,1.129902629241019874e+01,1.608766788727074015e+00,1.175955800888913814e+02
1.051428571428571500e+15,1.125767185791304570e+01,1.675118340322947486e+00,8.575286584314164884e+01
1.102857142857142875e+15,1.121686400795736205e+01,1.735621007632013324e+00,6.384989676560580563e+01
1.154285714285714250e+15,1.115674775601170232e+01,1.789024568323401398e+00,4.875119182290220010e+01
1.205714285714285750e+15,1.109696981708840724e+01,1.835625215642686214e+00,3.813980548189341846e+01
1.257142857142857000e+15,1.103530646575234364e+01,1.876057204607516571e+00,3.049654110200801327e+01
1.308571428571428500e+15,1.095765924844306660e+01,1.913102608185389686e+00,2.452912094927221887e+01
1.360000000000000000e+15,1.087861982171590647e+01,1.944274837275129730e+00,2.016632875712161876e+01
1.411428571428571500e+15,1.081296622539924890e+01,1.970844620099640565e+00,1.686534827772387146e+01
1.462857142857143000e+15,1.073336041510636640e+01,1.994613666260347307e+00,1.416316733054041244e+01
1.514285714285714250e+15,1.065334774435771159e+01,2.014221451304680333e+00,1.209001597052647625e+01
1.565714285714285750e+15,1.057448588165551229e+01,2.030786677396470896e+00,1.042140070620111381e+01
1.617142857142857250e+15,1.049558281568855200e+01,2.043951442226553450e+00,9.121708580679550593e+00
1.668571428571428500e+15,1.039844529799997019e+01,2.055757350071384160e+00,7.943172174855651413e+00
1.720000000000000000e+15,1.033373205642211978e+01,2.064621639777221684e+00,7.040275429401554597e+00
1.771428571428571500e+15,1.025385448089450513e+01,2.071358323159817161e+00,6.289346552370348675e+00
1.822857142857143000e+15,1.017623287623442785e+01,2.076091871527277810e+00,5.686153650933961856e+00
1.874285714285714250e+15,1.009664649739676001e+01,2.079698959418712967e+00,5.108802439379742211e+00
1.925714285714285750e+15,1.001523833121879470e+01,2.081629462662939467e+00,4.636045609230911246e+00
1.977142857142857250e+15,9.937603827331630058e+00,2.082218118280862562e+00,4.245360494395770345e+00
2.028571428571428500e+15,9.874539544548261105e+00,2.081708634581822537e+00,3.924538885465337135e+00
2.080000000000000000e+15,9.799753554728487970e+00,2.080259227920213227e+00,3.638647801928014403e+00
2.131428571428571500e+15,9.734512035794105955e+00,2.077583365507789992e+00,3.362558539695871929e+00
2.182857142857143000e+15,9.657615877165397933e+00,2.074163430111764850e+00,3.128828662215902945e+00
2.234285714285714250e+15,9.595882418937337732e+00,2.070211997416272709e+00,2.935310859996727917e+00
2.285714285714286000e+15,9.535728887283415389e+00,2.065847709186108272e+00,2.769930889089672110e+00
2.337142857142857000e+15,9.475930975282880198e+00,2.061182516127125997e+00,2.627445157955148325e+00
2.388571428571428500e+15,9.399460239762042590e+00,2.055130548915803157e+00,2.475811826984450903e+00
2.440000000000000000e+15,9.337272320733898567e+00,2.048692344716822156e+00,2.346332460824204880e+00
2.491428571428571500e+15,9.277780986537395691e+00,2.042156801225075924e+00,2.235052349849079079e+00
2.542857142857143000e+15,9.232003013979088735e+00,2.035530558846120552e+00,2.140721056787174170e+00
2.594285714285714500e+15,9.176638410166749082e+00,2.028888015903421049e+00,2.055847713864646487e+00
2.645714285714286000e+15,9.119109001414102522e+00,2.022272802297191863e+00,1.980494636088852456e+00
2.697142857142857000e+15,9.073232122260804999e+00,2.014433973961202273e+00,1.906325424683400716e+00
2.748571428571428500e+15,9.014910304955417786e+00,2.006447497548705883e+00,1.836784149139836675e+00
2.800000000000000000e+15,8.958193972100529479e+00,1.998602993915160830e+00,1.775377416486135562e+00
