rhoc,R,M,Lambda
2.800000000000000000e+14,2.000000000000054712e+01,1.440420888457702997e-01,2.132458979225748777e+07
3.314285714285714375e+14,1.480000000026024587e+01,2.126615461530293738e-01,3.169425518414682243e+06
3.828571428571428750e+14,1.292000000035413798e+01,3.066769530300716418e-01,6.124586030800838489e+05
4.342857142857142500e+14,1.222000000038909739e+01,4.243980895551573429e-01,1.444286399064401048e+05
4.857142857142857500e+14,1.198000000040108404e+01,5.588458823280867405e-01,4.159479494384382269e+04
5.371428571428571250e+14,1.192000000040408025e+01,7.049982810546115974e-01,1.407216361426803815e+04
5.885714285714285000e+14,1.194000000040308151e+01,8.551196013090816006e-01,5.514359158800571095e+03
6.400000000000000000e+14,1.198000000040108404e+01,1.003940465959680894e+00,2.440648573264213155e+03
6.914285714285715000e+14,1.202000000039908656e+01,1.146923106752479882e+00,1.198290388114675579e+03
7.428571428571428750e+14,1.204000000039808604e+01,1.282184593729307931e+00,6.389800980436129976e+02
7.942857142857142500e+14,1.204000000039808604e+01,1.407543147067517708e+00,3.659325389448482042e+02
8.457142857142857500e+14,1.202000000039908656e+01,1.522646795078751891e+00,2.220815526871638212e+02
8.971428571428571250e+14,1.198000000040108404e+01,1.626311236235535196e+00,1.421509073717761851e+02
9.485714285714286250e+14,1.194000000040308151e+01,1.718503698039662630e+00,9.534488950082148051e+01
1.000000000000000000e+15,1.188000000040607773e+01,1.799750596046602036e+00,6.659614831660726963e+01
1.051428571428571500e+15,1.182000000040907395e+01,1.872454832958221793e+00,4.781528279671698556e+01
1.102857142857142875e+15,1.174000000041306890e+01,1.936647238714100050e+00,3.524593696857959202e+01
1.154285714285714250e+15,1.166000000041706564e+01,1.992086414232910219e+00,2.670364342842043470e+01
1.205714285714285750e+15,1.158000000042106059e+01,2.039328023914839694e+00,2.076542101229709303e+01
1.257142857142857000e+15,1.148000000042605429e+01,2.080410143278538015e+00,1.641817640162338776e+01
1.308571428571428500e+15,1.138000000043104798e+01,2.115501288097235921e+00,1.320021771443041736e+01
1.360000000000000000e+15,1.128000000043604345e+01,2.144416342673975517e+00,1.083278065277136548e+01
1.411428571428571500e+15,1.118000000044103714e+01,2.169317943731866372e+00,8.961695441959372843e+00
1.462857142857143000e+15,1.108000000044603084e+01,2.189729264753247140e+00,7.511450477433362138e+00
1.514285714285714250e+15,1.098000000045102631e+01,2.205939822272654727e+00,6.388799672784152506e+00
1.565714285714285750e+15,1.088000000045602000e+01,2.219134269536764847e+00,5.460065367017144844e+00
1.617142857142857250e+15,1.078000000046101370e+01,2.228632342675224365e+00,4.750392982615572635e+00
1.668571428571428500e+15,1.068000000046600739e+01,2.235899938729850600e+00,4.131385382662798200e+00
1.720000000000000000e+15,1.058000000047100286e+01,2.240294272078411808e+00,3.657076712967252341e+00
1.771428571428571500e+15,1.048000000047599656e+01,2.242794840569565018e+00,3.220500669675787186e+00
1.822857142857143000e+15,1.037781150490523352e+01,2.243166176514460819e+00,2.884221385552639738e+00
1.874285714285714250e+15,1.028000000048599638e+01,2.241688247727633421e+00,2.575670307889551758e+00
1.925714285714285750e+15,1.020000000048999667e+01,2.238795355948275390e+00,2.332393069116124096e+00
1.977142857142857250e+15,1.010000000049499747e+01,2.234204547478746417e+00,2.110860702119944587e+00
2.028571428571428500e+15,1.000000000049999649e+01,2.228534336690901618e+00,1.927243260879820896e+00
2.080000000000000000e+15,9.900000000504997288e+00,2.221655580638939309e+00,1.766864961178495896e+00
2.131428571428571500e+15,9.820000000508997573e+00,2.213372612971598041e+00,1.621000461908124635e+00
2.182857142857143000e+15,9.720000000513996596e+00,2.204952218000772124e+00,1.504457183561593858e+00
2.234285714285714250e+15,9.620000000518997396e+00,2.194416791817918710e+00,1.388109590508895375e+00
2.285714285714286000e+15,9.540000000522997681e+00,2.183906460218816292e+00,1.293238981373553642e+00
2.337142857142857000e+15,9.460000000526996189e+00,2.172912082236090114e+00,1.210897031599059481e+00
2.388571428571428500e+15,9.360000000531996989e+00,2.160070294866635709e+00,1.130364510485857288e+00
2.440000000000000000e+15,9.280000000535997273e+00,2.147971082753419303e+00,1.065992651093929711e+00
2.491428571428571500e+15,9.200000000539997558e+00,2.134608887603588023e+00,1.005225506537645863e+00
2.542857142857143000e+15,9.100000000544996581e+00,2.119867809293008332e+00,9.476482501161243022e-01
2.594285714285714500e+15,9.020000000548996866e+00,2.106336749779344153e+00,9.019850126282490388e-01
2.645714285714286000e+15,8.940000000552997150e+00,2.091069735748042557e+00,8.572273840564144098e-01
2.697142857142857000e+15,8.840000000557997950e+00,2.074199214773112310e+00,8.143814270287161872e-01
2.748571428571428500e+15,8.780000000560997719e+00,2.059194202900112014e+00,7.811045831368558234e-01
2.800000000000000000e+15,8.700000000564998004e+00,2.043249489385763784e+00,7.501947039941279094e-01
