pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,7.817163039782004219e+00,7.851800182599983913e+00
1.123526358428377595e-11,7.856945019890977377e+00,7.901599833999974010e+00
5.828855344038835842e-11,7.976226210431467400e+00,8.025134340370764008e+00
1.123526420087277427e-10,8.105582141961894749e+00,8.150600199199967477e+00
1.583105147782967134e-10,8.286906446026163664e+00,8.332528745728749797e+00
2.125295637602496826e-10,8.472200696675662002e+00,8.518518097012101720e+00
2.732036314847512389e-10,8.661553399982473422e+00,8.708658893774611442e+00
3.379757351432666278e-10,8.855055153536994794e+00,8.903043799921066537e+00
4.043811665629867938e-10,9.052798699908603197e+00,9.101767547696196559e+00
4.703022703846413621e-10,9.254878981582180586e+00,9.304926983851308009e+00
5.343408711919969230e-10,9.461393197410856715e+00,9.512621116842158386e+00
5.960590506024637792e-10,9.672440860630592496e+00,9.724951165080321758e+00
6.560911236109130151e-10,9.888123858482892103e+00,9.942020606260875581e+00
7.161721520665027059e-10,1.010854651349317024e+01,1.016393522779182668e+01
7.791543483050681342e-10,1.033381564645437933e+01,1.039080317834917899e+01
8.490959676282093460e-10,1.056404064116468966e+01,1.062273502058200947e+01
9.315189153211676902e-10,1.079933351097425920e+01,1.085984378499470360e+01
1.033957307451122378e-09,1.103980896719301086e+01,1.110224502503193023e+01
1.166981507988921832e-09,1.128558448941515024e+01,1.135005687339224423e+01
1.346015897725496100e-09,1.153678039782002074e+01,1.160340009960004792e+01
1.574674940014277122e-09,1.178964950724848038e+01,1.185857878744763738e+01
1.854727262622979651e-09,1.204786170519168920e+01,1.211936929270845731e+01
2.196027379840742324e-09,1.231155514881725033e+01,1.238589502888128280e+01
2.609661284591818316e-09,1.258087269945747089e+01,1.265828212353958548e+01
3.107702049450652567e-09,1.285596209957486913e+01,1.293665947801860128e+01
3.702743150573708636e-09,1.313697615686434972e+01,1.322115882841553081e+01
4.407140782785895400e-09,1.342407293581839056e+01,1.351191480793018940e+01
5.231901107241289666e-09,1.371741595709934991e+01,1.380906501057767777e+01
6.185168519218536913e-09,1.401717440507652057e+01,1.411275005630171009e+01
7.270312811768806004e-09,1.432352334391138982e+01,1.442311365751996100e+01
8.483681385368203400e-09,1.463664394258337076e+01,1.474030268713288017e+01
9.812178417921290898e-09,1.495672370927453976e+01,1.506446724802801818e+01
1.123095015372640029e-08,1.528395673555620959e+01,1.539576074411347228e+01
1.270157805546026771e-08,1.561854395083001990e+01,1.573433995291225784e+01
1.417128146123208323e-08,1.596069338751654065e+01,1.608036509975438832e+01
1.557367003643074980e-08,1.631062045749301959e+01,1.643399993359993516e+01
1.703356527439561768e-08,1.668866324304227078e+01,1.681585860678253042e+01
1.857573922802434310e-08,1.707556225641531000e+01,1.720659010744922313e+01
2.020022469146677441e-08,1.747152476475044125e+01,1.760640060367501292e+01
2.190682476826517870e-08,1.787676282811186823e+01,1.801550105403447333e+01
2.369514658299327761e-08,1.829149340765987120e+01,1.843410731891269450e+01
2.556464037605083706e-08,1.871593847616851036e+01,1.886244027440415749e+01
2.751464350773931925e-08,1.915032513093361999e+01,1.930072592885663951e+01
2.954442885515767786e-08,1.959488570912511918e+01,1.974919554212378614e+01
3.165325706392084321e-08,2.004985790562708914e+01,2.020808574758863330e+01
3.384043211657457300e-08,2.051548489342216897e+01,2.067763867702245051e+01
3.610535970046311714e-08,2.099201544656616036e+01,2.115810208834406581e+01
3.844760789890888954e-08,2.147970406580758862e+01,2.164972949634948662e+01
4.086696978961657869e-08,2.197881110690677176e+01,2.215278030647729679e+01
4.336352761174784936e-08,2.248960291170565995e+01,2.266751995168330680e+01
4.593771825646666757e-08,2.301235194200245004e+01,2.319422003249520259e+01
4.859039994316102085e-08,2.354733691629316894e+01,2.373315846032179977e+01
5.132292006347110699e-08,2.409484294943088045e+01,2.428461960409128295e+01
5.413718430617584410e-08,2.465516169526296864e+01,2.484889444029855454e+01
5.703572731690265107e-08,2.522859149230535891e+01,2.542628070653714900e+01
6.002178529663363211e-08,2.581543751251442842e+01,2.601708305859967751e+01
6.309937110205219433e-08,2.641601191321696973e+01,2.662161323122830581e+01
6.627335257908744854e-08,2.703063399226153862e+01,2.724019020260072210e+01
6.954953503965505652e-08,2.765963034644801866e+01,2.787314036263688521e+01
7.293474898231513031e-08,2.830333503331387135e+01,2.852079768521893044e+01
7.643694436277793151e-08,2.896208973632820971e+01,2.918350390441025866e+01
8.006529294353681024e-08,2.963624393356533915e+01,2.986160869477069113e+01
8.383030049770951214e-08,3.032615506992821963e+01,3.055546985586081377e+01
8.774393091601817477e-08,3.103218873298889946e+01,3.126545350103379306e+01
9.181974457465622394e-08,3.175471883251298877e+01,3.199193425061388396e+01
9.607305367390251950e-08,3.249412778374407651e+01,3.273529542956261196e+01
1.005210976628310597e-07,3.325080669451548232e+01,3.349592926974022333e+01
1.051832423362720145e-07,3.402515555626983712e+01,3.427423711686450503e+01
1.100812067411992222e-07,3.481758343905421782e+01,3.507062964227962709e+01
1.152393226777616123e-07,3.562850869056860859e+01,3.588552705964534795e+01
1.206848323469689128e-07,3.645835913934894279e+01,3.671935934666161927e+01
1.264482306068888189e-07,3.730757230215851905e+01,3.757256647194358123e+01
1.325636593835795076e-07,3.817659559567088223e+01,3.844559862717118648e+01
1.390693630778803709e-07,3.906588655252240727e+01,3.933891646463002445e+01
1.460082153603880397e-07,3.997591304181847960e+01,4.025299134027313386e+01
1.534283296085691561e-07,4.090715349417843782e+01,4.118830556243035801e+01
1.613837674795189168e-07,4.186009713140097688e+01,4.214535264629687816e+01
1.699353628114916654e-07,4.283524420083862339e+01,4.312463757433337719e+01
1.791516813083325619e-07,4.383310621457138012e+01,4.412667706272028312e+01
1.891101404082724305e-07,4.485420619345958926e+01,4.515199983399986650e+01
1.997668081636813975e-07,4.590056272873920307e+01,4.620251001664502155e+01
2.110152075202848233e-07,4.697156497227469885e+01,4.727746145655190446e+01
2.228874723003539069e-07,4.806779041802766272e+01,4.837742280604507528e+01
2.354174274298791305e-07,4.918982982822384287e+01,4.950297594775982901e+01
2.486406741487752406e-07,5.033828752711532672e+01,5.065471630246281620e+01
2.625946792596057021e-07,5.151378170084114316e+01,5.183325314402812722e+01
2.773188685896054675e-07,5.271694470352200312e+01,5.303920992174817428e+01
2.928547248472753200e-07,5.394842336969635710e+01,5.427322459013666389e+01
3.092458900616796818e-07,5.520887933321562713e+01,5.553594994641189686e+01
3.265382727989251182e-07,5.649898935271730238e+01,5.682805397582466611e+01
3.447801603581817443e-07,5.781944564380638241e+01,5.815022020502809141e+01
3.640223361557411985e-07,5.917095621805017203e+01,5.950314806366124998e+01
3.843182025141387607e-07,6.055424522893750350e+01,6.088755325435336374e+01
4.057239090797663646e-07,6.197005332489499096e+01,6.230416813132855225e+01
4.282984871012383915e-07,6.341913800952872293e+01,6.375374208782717744e+01
4.521039898075611022e-07,6.490227400918216460e+01,6.523704195253306182e+01
4.772056391342981118e-07,6.642025364797586917e+01,6.675485239523200676e+01
5.036719790530952431e-07,6.797388723044508652e+01,6.830797634190014378e+01
5.315750357692026780e-07,6.956400343190271940e+01,6.989723539945835284e+01
5.609904850593860178e-07,7.119144969669331147e+01,7.152347029040016935e+01
5.919978270320371809e-07,7.285709264446389000e+01,7.318754129754096027e+01
6.246805685991556920e-07,7.456181848456688499e+01,7.489032871910512767e+01
6.591264139599166689e-07,7.630653343879531292e+01,7.663273333441128443e+01
6.954274634034089002e-07,7.809216417253773557e+01,7.841567688038198014e+01
7.336804207485784738e-07,7.991965823454019358e+01,8.024010253915034241e+01
7.739868097471528631e-07,8.178998450539987175e+01,8.210697543700072742e+01
8.164531997863279944e-07,8.370413365496558811e+01,8.401728315492856325e+01
8.611914412358447671e-07,8.566311860876255935e+01,8.597203625106807579e+01
9.083189107952035703e-07,8.766797502363941419e+01,8.797226879528594168e+01
9.579587672043225685e-07,8.971976177275962527e+01,9.001903891620143838e+01
1.010240217692717486e-06,9.181956144010823095e+01,9.211342936094519018e+01
