pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,1.000000083977528931e+01,9.999999999999998224e+00
2.265851616830698303e-07,1.025234691365180950e+01,1.025234604707891783e+01
2.357101097235596668e-07,1.051106084117797046e+01,1.051105994690547440e+01
2.452025340635705431e-07,1.077630331263254071e+01,1.077630238972658994e+01
2.550772335633381079e-07,1.104823907325033083e+01,1.104823812074405076e+01
2.653496030569458857e-07,1.132703702554741021e+01,1.132703604243969053e+01
2.760356573531491561e-07,1.161287033422846982e+01,1.161286931948270151e+01
2.871520562027485796e-07,1.190591653374148962e+01,1.190591548628425400e+01
2.987161302714421449e-07,1.220635763854649980e+01,1.220635655726620783e+01
3.107459081586443799e-07,1.251438025616690020e+01,1.251437913991240514e+01
3.232601445043969933e-07,1.283017570309367983e+01,1.283017455067278512e+01
3.362783492281912955e-07,1.315394012361434051e+01,1.315393893379230761e+01
3.472936179437591598e-07,1.344498455797278957e+01,1.344498333596102135e+01
3.587126161534016644e-07,1.374246864948361946e+01,1.374246739430117792e+01
3.705511510560500618e-07,1.404653488218077939e+01,1.404653359281623537e+01
3.828262572365195200e-07,1.435732889270090062e+01,1.435732756811450272e+01
3.955555731985765096e-07,1.467499954004746954e+01,1.467499817916375449e+01
4.087568128479072358e-07,1.499969897688971976e+01,1.499969757858922215e+01
4.224492324245993467e-07,1.533158272242103948e+01,1.533158128554918953e+01
4.366528710533256683e-07,1.567080973685759027e+01,1.567080826022307605e+01
4.513877296790011863e-07,1.601754249758456083e+01,1.601754097994707493e+01
4.666756349248580021e-07,1.637194707695597984e+01,1.637194551703561274e+01
4.825393104109936375e-07,1.673419322184707880e+01,1.673419161832344315e+01
4.990013543931943316e-07,1.710445443497152951e+01,1.710445278646827205e+01
5.160865138169065408e-07,1.748290805795531000e+01,1.748290636305222634e+01
5.338205634490504166e-07,1.786973535629044108e+01,1.786973361352200484e+01
5.522290526915699143e-07,1.826512160617036074e+01,1.826511981400836149e+01
5.713400467436626751e-07,1.866925618319968905e+01,1.866925434006665796e+01
5.911827885243888654e-07,1.908233265311325155e+01,1.908233075738083073e+01
6.117861821853071663e-07,1.950454886450467029e+01,1.950454691447426825e+01
6.331820637247481524e-07,1.993610704355435104e+01,1.993610503747205343e+01
6.554036185106073434e-07,2.037721389090548030e+01,2.037721182695985789e+01
6.784835658993188480e-07,2.082808068068496965e+01,2.082807855698601784e+01
7.024580273904400964e-07,2.128892336165854005e+01,2.128892117625407820e+01
7.273646702888047467e-07,2.175996266068053941e+01,2.175996041155434568e+01
7.532405545489933784e-07,2.224142418843765867e+01,2.224142187348388333e+01
7.801266726238972939e-07,2.273353854746164870e+01,2.273353616450592440e+01
8.080657874329545641e-07,2.323654144260525101e+01,2.323653898939983264e+01
8.370998990885542795e-07,2.375067379395744993e+01,2.375067126815521945e+01
8.672755369908664747e-07,2.427618185218803148e+01,2.427617925136379284e+01
8.986412577898933875e-07,2.481331731651745898e+01,2.481331463816437832e+01
9.312446860134639834e-07,2.536233745529951022e+01,2.536233469679761043e+01
9.651386457019685827e-07,2.592350522918571087e+01,2.592350238782811189e+01
1.000378281466618460e-06,2.649708941710574095e+01,2.649708649009308914e+01
1.037017623222087444e-06,2.708336474503104085e+01,2.708336172943681319e+01
1.075116651756136183e-06,2.768261201749646006e+01,2.768260891029554216e+01
1.114738003288926112e-06,2.829511825212728127e+01,2.829511505019172901e+01
1.155943004516289826e-06,2.892117681714682931e+01,2.892117351720514407e+01
1.198799773985388776e-06,2.956108757181689839e+01,2.956108417048548276e+01
1.243379467748372223e-06,3.021515701009381871e+01,3.021515350387394250e+01
1.289751726737792940e-06,3.088369840747261108e+01,3.088369479270259532e+01
1.337993923692697637e-06,3.156703197094909896e+01,3.156702824384182904e+01
1.388186904568291382e-06,3.226548499242952772e+01,3.226548114906778153e+01
1.440409785889186422e-06,3.297939200554065309e+01,3.297938804182305716e+01
1.494750465263727156e-06,3.370909494576113019e+01,3.370909085744614941e+01
1.551300810153781850e-06,3.445494331424892209e+01,3.445493909694591395e+01
1.610150738278104930e-06,3.521729434528843683e+01,3.521728999439979901e+01
1.671400118493376365e-06,3.599651317728603317e+01,3.599650868805593262e+01
1.735153355337838261e-06,3.679297302771622213e+01,3.679296839522105245e+01
1.801512680780490539e-06,3.760705537193663162e+01,3.760705059101793069e+01
1.871170556958933303e-06,3.843915012677383203e+01,3.843914519109799244e+01
1.943711380008600675e-06,3.928965583439835285e+01,3.928965073839675881e+01
2.017380381912460560e-06,4.015897985306448703e+01,4.015897459402130210e+01
2.091630548708020307e-06,4.104753855636896986e+01,4.104753313236141565e+01
2.166920845363255240e-06,4.195575753216395043e+01,4.195575194051763646e+01
2.242753389451536906e-06,4.288407178331026159e+01,4.288406602214204355e+01
2.318163425265736560e-06,4.383292593674541138e+01,4.383292000578903469e+01
2.393977549102423704e-06,4.480277446030576982e+01,4.480276835787658740e+01
