pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,1.000000083977493937e+01,9.999999999999998224e+00
2.265851616830633452e-07,1.025234691365145068e+01,1.025234604707891783e+01
2.357101097235529964e-07,1.051106084117759920e+01,1.051105994690547440e+01
2.452025340635635021e-07,1.077630331263216057e+01,1.077630238972658994e+01
2.550772335633308552e-07,1.104823907324994003e+01,1.104823812074405076e+01
2.653496030569384741e-07,1.132703702554701053e+01,1.132703604243969053e+01
2.760356573531411622e-07,1.161287033422805948e+01,1.161286931948270151e+01
2.871520562027403740e-07,1.190591653374107040e+01,1.190591548628425400e+01
2.987161302714336746e-07,1.220635763854606992e+01,1.220635655726620783e+01
3.107459081586354861e-07,1.251438025616645966e+01,1.251437913991240514e+01
3.232601445043877818e-07,1.283017570309321975e+01,1.283017455067278512e+01
3.362783492281817134e-07,1.315394012361386977e+01,1.315393893379230761e+01
3.473322312468226153e-07,1.344599764470794057e+01,1.344599642258374317e+01
3.587926826688734237e-07,1.374453973214965963e+01,1.374453847673541063e+01
3.706756779771689415e-07,1.404971036306188914e+01,1.404970907333900065e+01
3.829984346326844428e-07,1.436165671129499977e+01,1.436165538621630056e+01
3.957787828418994940e-07,1.468052921841406011e+01,1.468052785689597606e+01
4.090346313185675242e-07,1.500648166625157032e+01,1.500648026716626227e+01
4.227854513569453536e-07,1.533967125105538010e+01,1.533966981323961321e+01
4.370515087196277342e-07,1.568025865930968088e+01,1.568025718156282622e+01
4.518530328619089633e-07,1.602840814523916890e+01,1.602840662631099278e+01
4.672121037281018103e-07,1.638428761000118072e+01,1.638428604860194326e+01
4.831517119589823749e-07,1.674806868267137006e+01,1.674806707746958168e+01
4.996947237617282358e-07,1.711992680302621039e+01,1.711992515263445824e+01
5.168661841834837707e-07,1.750004130612699882e+01,1.750003960911339718e+01
5.346921822801540888e-07,1.788859550882024863e+01,1.788859376370646714e+01
5.531985815545919550e-07,1.828577679815969148e+01,1.828577500340466955e+01
5.724137976751061017e-07,1.869177672174825133e+01,1.869177487576077468e+01
5.923674431377411018e-07,1.910679108012940119e+01,1.910678918126642856e+01
6.130887901840770917e-07,1.953102002123231884e+01,1.953101806777983640e+01
6.346100864817550549e-07,1.996466813686274122e+01,1.996466612705141586e+01
6.569649515999491363e-07,2.040794456138996082e+01,2.040794249339130673e+01
6.801865361324823444e-07,2.086106307262140902e+01,2.086106094452750170e+01
7.043114447277630671e-07,2.132424219486435035e+01,2.132424000470481573e+01
7.293778543805571674e-07,2.179770530433302156e+01,2.179770305007144771e+01
7.554233301248491956e-07,2.228168073689526096e+01,2.228167841640606284e+01
7.824894310004853646e-07,2.277640189814992056e+01,2.277639950923674661e+01
8.106195177424475495e-07,2.328210737601218838e+01,2.328210491640508195e+01
8.398561818687186530e-07,2.379904105580066087e+01,2.379903852312842716e+01
8.702466167115228765e-07,2.432745223780656119e+01,2.432744962961907120e+01
9.018400795555649955e-07,2.486759575754912177e+01,2.486759307131293184e+01
9.346848872274452293e-07,2.541973210870001054e+01,2.541972934176778054e+01
9.688346412125793568e-07,2.598412756865672080e+01,2.598412471829204051e+01
1.004345306654387039e-06,2.656105432698738866e+01,2.656105139036073481e+01
1.041271723649940989e-06,2.715079061673137062e+01,2.715078759088395444e+01
1.079674782735407572e-06,2.775362084851586175e+01,2.775361773038934743e+01
1.119618080404688400e-06,2.836983574775398864e+01,2.836983253418432582e+01
1.161163891228016805e-06,2.899973249488412108e+01,2.899972918256253607e+01
1.204381397636302824e-06,2.964361486862114958e+01,2.964361145412552290e+01
1.249342878746836520e-06,3.030179339249471937e+01,3.030178987228457643e+01
1.296119084142846549e-06,3.097458548464527084e+01,3.097458185501531602e+01
1.344788629941352994e-06,3.166231561082143031e+01,3.166231186793947927e+01
1.395433674720045750e-06,3.236531544090168211e+01,3.236531158080310888e+01
1.448134631320911880e-06,3.308392400889795226e+01,3.308392002743033089e+01
1.502980849671664660e-06,3.381848787635964015e+01,3.381848376922825139e+01
1.560065730487035992e-06,3.456936129956270065e+01,3.456935706232260230e+01
1.619480706780038372e-06,3.533690640040777708e+01,3.533690202840262629e+01
1.681327342854489353e-06,3.612149334095033026e+01,3.612148882936240568e+01
1.745711833195197801e-06,3.692350050197480726e+01,3.692349584581658917e+01
1.812738180484060940e-06,3.774331466553603320e+01,3.774330985958145135e+01
1.883185158860874077e-06,3.858133120250207071e+01,3.858132624020703361e+01
1.956561661964898199e-06,3.943795425993746306e+01,3.943794913565130145e+01
2.030841760755395812e-06,4.031359695582578695e+01,4.031359166718630149e+01
2.105209101748301580e-06,4.120868158275359860e+01,4.120867612863494855e+01
2.180354536391869790e-06,4.212363981187697703e+01,4.212363419002861775e+01
2.256282545041498684e-06,4.305891289764309704e+01,4.305890710578647429e+01
2.332295405715521607e-06,4.401495189049421697e+01,4.401494592752018065e+01
2.408981719052324618e-06,4.499221785780306249e+01,4.499221172155986892e+01
2.488487757615606533e-06,4.599118210655497307e+01,4.599117579131195299e+01
2.571702836527872200e-06,4.701232640593003254e+01,4.701231990455313792e+01
2.658022741905942836e-06,4.805614321945404299e+01,4.805613652577186912e+01
2.747569191475409003e-06,4.912313594610102285e+01,4.912312905366626126e+01
2.840474798863434057e-06,5.021381916176925841e+01,5.021381206391915697e+01
2.936877619478042118e-06,5.132871886751286183e+01,5.132871155736016533e+01
3.036915192556009514e-06,5.246837274329129031e+01,5.246836521363729844e+01
3.140737920839664790e-06,5.363333040711974320e+01,5.363332265052490300e+01
3.248502445286881357e-06,5.482415368021319324e+01,5.482414568898470009e+01
3.360364285827423269e-06,5.604141685802022721e+01,5.604140862411406943e+01
3.476494066206448137e-06,5.728570698701024355e+01,5.728569850210995895e+01
3.597069561611006639e-06,5.855762414787697878e+01,5.855761540338237836e+01
3.722266736420822019e-06,5.985778174503842308e+01,5.985777273195194681e+01
3.852279202144358230e-06,6.118680680225922686e+01,6.118679751127729816e+01
3.987308768255382517e-06,6.254534026514807721e+01,6.254533068664672157e+01
4.127554655438680511e-06,6.393403731037801663e+01,6.393402743428364943e+01
4.273236610997529148e-06,6.535356766142440677e+01,6.535355747731969700e+01
4.424583778738331705e-06,6.680461591167407676e+01,6.680460540877834319e+01
4.581821845313222042e-06,6.828788185470479277e+01,6.828787102173230039e+01
4.745200276004827719e-06,6.980408082151660665e+01,6.980406964679092141e+01
4.914979304372083626e-06,7.135394402564313054e+01,7.135393249708120322e+01
5.091414747269338156e-06,7.293821891594230067e+01,7.293820702088602559e+01
5.274789864572520960e-06,7.455766953676437936e+01,7.455765726211717492e+01
5.465400253502294960e-06,7.621307689658286222e+01,7.621306422878741671e+01
5.663536044729383412e-06,7.790523934481268498e+01,7.790522626966311748e+01
5.869518932484427403e-06,7.963497295649192154e+01,7.963495945928546860e+01
6.083684741974587961e-06,8.140311192601997448e+01,8.140309799153435222e+01
6.306362694667591423e-06,8.321050896965597587e+01,8.321049458193319026e+01
6.537918200395608925e-06,8.505803573636306680e+01,8.505802087888601193e+01
6.778732849077999072e-06,8.694658322838263587e+01,8.694656788404563486e+01
7.029180407774033261e-06,8.887706223114861359e+01,8.887704638201201135e+01
7.289676013971437498e-06,9.085040375208417629e+01,9.085038737957788157e+01
7.560653324879297249e-06,9.286755946983470267e+01,9.286754255472048669e+01
7.842536882142793283e-06,9.492950219346630547e+01,9.492948471556520929e+01
8.135798395609247395e-06,9.703722633112363383e+01,9.703720826953947665e+01
8.440930764747285652e-06,9.919174836985868637e+01,9.919172970294354741e+01
8.758416418976080028e-06,1.013941073661310952e+02,1.013940880711657115e+02
9.088791433988376345e-06,1.036453654463326046e+02,1.036453454997893999e+02
9.432616120334791614e-06,1.059466083193205037e+02,1.059465876968195630e+02
9.790438918116791694e-06,1.082989458003326035e+02,1.082989244762814280e+02
1.016286914356521928e-05,1.107035123455635954e+02,1.107034902934527452e+02
1.055054381947755364e-05,1.131614675996164010e+02,1.131614447919712916e+02
1.095408667250088257e-05,1.156739969551232008e+02,1.156739733630937934e+02
1.137455236221675160e-05,1.182423121243205060e+02,1.182422877173716245e+02
1.181233107190014628e-05,1.208676517218952000e+02,1.208676264690201378e+02
1.226696286116416969e-05,1.235512818626105940e+02,1.235512557332580315e+02
1.274667127983478990e-05,1.262944967868357935e+02,1.262944697369192966e+02
1.324514341202759884e-05,1.290986194463374090e+02,1.290985914426135821e+02
1.373723151804648828e-05,1.319650021378270992e+02,1.319649731867449987e+02
1.420551513555480334e-05,1.348950271942960910e+02,1.348949973317056674e+02
1.466598415376688782e-05,1.378901076957857867e+02,1.378900769325402962e+02
1.514319316937779556e-05,1.409516881134335904e+02,1.409516564184171443e+02
1.564689140534158903e-05,1.440812449629638081e+02,1.440812122892294838e+02
1.616930227876732157e-05,1.472802875140617971e+02,1.472802538276641258e+02
1.671115825948894858e-05,1.505503585616623923e+02,1.505503238270746635e+02
1.727325588570718381e-05,1.538930351550517912e+02,1.538929993355276054e+02
1.785642421334621317e-05,1.573099293588404919e+02,1.573098924163574566e+02
1.846149065839423282e-05,1.608026890308613019e+02,1.608026509256085319e+02
1.908935848733592268e-05,1.643729986159613929e+02,1.643729593067498058e+02
1.974096824182810839e-05,1.680225799588181133e+02,1.680225394030219377e+02
2.041725521536367192e-05,1.717531931348623004e+02,1.717531512878270235e+02
2.111924398698071366e-05,1.755666372980325889e+02,1.755665941135552544e+02
2.184800186748728955e-05,1.794647515490088949e+02,1.794647069792584091e+02
2.260458678172697002e-05,1.834494158227271043e+02,1.834493698175816121e+02
2.339016121315535846e-05,1.875225517938173141e+02,1.875225043014017388e+02
2.420593663183344589e-05,1.916861238039786883e+02,1.916860747705843551e+02
2.505311043083101622e-05,1.959421398099987073e+02,1.959420891793150474e+02
2.593300187548052164e-05,2.002926523507360912e+02,2.002926000644801832e+02
2.684698638322378445e-05,2.047397595377244102e+02,2.047397055355311295e+02
2.779642003280521513e-05,2.092856060677709991e+02,2.092855502863374113e+02
2.878280035134754360e-05,2.139323842557153910e+02,2.139323266295007215e+02
2.980768922173114427e-05,2.186823350925189118e+02,2.186822755536387888e+02
3.087262334622171132e-05,2.235377493269000126e+02,2.235376878041334692e+02
3.197930295724640040e-05,2.285009685682950931e+02,2.285009049878927385e+02
3.312950202930862136e-05,2.335743864170707127e+02,2.335743207026272330e+02
3.432496293444547032e-05,2.387604496198713093e+02,2.387603816911974377e+02
3.556761642919218920e-05,2.440616592475599873e+02,2.440615890216098478e+02
3.685947774497300432e-05,2.494805719024693929e+02,2.494804992931924232e+02
3.820252352121917129e-05,2.550198009525117016e+02,2.550197258695619951e+02
3.959894670200403085e-05,2.606820177891614208e+02,2.606819401389626591e+02
4.105103697129168684e-05,2.664699531170198838e+02,2.664698728025928745e+02
4.256103789056361279e-05,2.723863982720337162e+02,2.723863151915239200e+02
4.413144063457009262e-05,2.784342065649860274e+02,2.784341206128810882e+02
4.576484712567439482e-05,2.846162946589636249e+02,2.846162057258918026e+02
4.746380513622449877e-05,2.909356439774308001e+02,2.909355519484977890e+02
4.923114510461426791e-05,2.973953021390415188e+02,2.973952068951954288e+02
5.106982420596975849e-05,3.039983844289732247e+02,3.039982858468026734e+02
5.298273700517276718e-05,3.107480753030388883e+02,3.107479732528489649e+02
5.497309992271350590e-05,3.176476299199476898e+02,3.176475242673441244e+02
5.704427435702187415e-05,3.247003757129891142e+02,3.247002663186277687e+02
