pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,9.987187148277598681e+00,9.999999999999998224e+00
1.468227921978423627e-07,1.021982214767971087e+01,1.023293345021969891e+01
1.522776675851813327e-07,1.045787599451185912e+01,1.047129269966252352e+01
1.579352067759120084e-07,1.070147491186147981e+01,1.071520413334179977e+01
1.638029392944118622e-07,1.095074806297411030e+01,1.096479708020056698e+01
1.698886744078461809e-07,1.120582761973953012e+01,1.122020388168557226e+01
1.762005115193912101e-07,1.146684883277310085e+01,1.148155996191852068e+01
1.827468509475948167e-07,1.173395010312965958e+01,1.174900389950192547e+01
1.895364051062194642e-07,1.200727305568772962e+01,1.202267750099749399e+01
1.965782100994487843e-07,1.228696261424322955e+01,1.230272587611610646e+01
2.038816377478871905e-07,1.257316707835225955e+01,1.258929751465919722e+01
2.114564080613594724e-07,1.286603820196386927e+01,1.288254436525238411e+01
2.193126021751094095e-07,1.316573127388443964e+01,1.318262191591304244e+01
2.274606757666145143e-07,1.347240520011630949e+01,1.348968927649459104e+01
2.359114729708720946e-07,1.378622258811443935e+01,1.380390926305114618e+01
2.446762408126801071e-07,1.410734983300567968e+01,1.412544848416746568e+01
2.537666441751038696e-07,1.443595720581595998e+01,1.445447742929924217e+01
2.631947813240903119e-07,1.477221894375352029e+01,1.479117055917218693e+01
2.729732000098369140e-07,1.511631334259421067e+01,1.513570639828579267e+01
2.831149141663853653e-07,1.546842285121920035e+01,1.548826762957230230e+01
2.936334212316495729e-07,1.582873416835468916e+01,1.584904119126054134e+01
3.045427201109294658e-07,1.619743834156507134e+01,1.621821837599598481e+01
3.158573298078209562e-07,1.657473086855188882e+01,1.659599493226971489e+01
3.275923087473145560e-07,1.696081180081244000e+01,1.698257116820993318e+01
3.397632748168015847e-07,1.735588584971291937e+01,1.737815205779120831e+01
3.523864261516602432e-07,1.776016249503240019e+01,1.778294734951760603e+01
3.654785626930827893e-07,1.817385609603508101e+01,1.819717167763745280e+01
3.790571085468363169e-07,1.859718600512989894e+01,1.862104467594868495e+01
3.931401351727148340e-07,1.903037668417749018e+01,1.905479109425505868e+01
4.077463854355420625e-07,1.947365782350653873e+01,1.949864091753511275e+01
4.228952985497384630e-07,1.992726446370221893e+01,1.995282948788675270e+01
4.386070359506447959e-07,2.039143712023160049e+01,2.041759762931263822e+01
4.549025081270420471e-07,2.086642191097201149e+01,2.089319177541198513e+01
4.718034024505695764e-07,2.135247068670991055e+01,2.137986410004683435e+01
4.893322120390872671e-07,2.184984116467951054e+01,2.187787265105206203e+01
5.075122656923875285e-07,2.235879706521204113e+01,2.238748148705974117e+01
5.263677589401095740e-07,2.287960825156793021e+01,2.290896081751078839e+01
5.459237862431605308e-07,2.341255087302620908e+01,2.344258714592785608e+01
5.662063743915183363e-07,2.395790751130695995e+01,2.398864341652555154e+01
5.872425171428488586e-07,2.451596733040436860e+01,2.454741916423569492e+01
6.090602111480484421e-07,2.508702622990994868e+01,2.511921066822715787e+01
