pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,1.000000044692066936e+01,1.000000000000000000e+01
2.708124134424788340e-07,1.023320937652420959e+01,1.023320891297942836e+01
2.808858268291833381e-07,1.047185694645541965e+01,1.047185646566816075e+01
2.913339411240534852e-07,1.071606999066277943e+01,1.071606949199166792e+01
3.021706940823652602e-07,1.096597830097578985e+01,1.096597778375560495e+01
3.134105419022865499e-07,1.122171469608545991e+01,1.122171415962622198e+01
3.250684785094036256e-07,1.148341509213337019e+01,1.148341453571945436e+01
3.371600555585766419e-07,1.175121857494704081e+01,1.175121799783618037e+01
3.497014031798043112e-07,1.202526747395980955e+01,1.202526687538214922e+01
3.627092514957716989e-07,1.230570743785465027e+01,1.230570681701169100e+01
3.762009529397866080e-07,1.259268751197203962e+01,1.259268686803557635e+01
3.901945054038781325e-07,1.288636021752303940e+01,1.288635954963405972e+01
4.047085762479343770e-07,1.318688163264974023e+01,1.318688093991728572e+01
4.197625272019069289e-07,1.349441147537604024e+01,1.349441075687601099e+01
4.353764401943061040e-07,1.380911318849300073e+01,1.380911244326690479e+01
4.515711441414373303e-07,1.413115402642367080e+01,1.413115325347740026e+01
4.683682427331161545e-07,1.446070514411388963e+01,1.446070434241632263e+01
4.857901432519309981e-07,1.479794168799583076e+01,1.479794085647749746e+01
5.038600864644947705e-07,1.514304288907312035e+01,1.514304202662479426e+01
5.226021776245646573e-07,1.549619215817672035e+01,1.549619126364788535e+01
5.420414186293808009e-07,1.585757718344219036e+01,1.585757625563955386e+01
5.622037413721275238e-07,1.622739003006028113e+01,1.622738906774615941e+01
5.831160423350083452e-07,1.660582724235382912e+01,1.660582624424448639e+01
6.048062184690774423e-07,1.699308994823507035e+01,1.699308891299905611e+01
6.273032044086915851e-07,1.738938396609908921e+01,1.738938289235537127e+01
6.506370110702360430e-07,1.779491991421006958e+01,1.779491880052628971e+01
6.748387656866006651e-07,1.820991332263858098e+01,1.820991216752910091e+01
6.999407533308207726e-07,1.863458474780923879e+01,1.863458354973312936e+01
7.259764599842758553e-07,1.906915988971984888e+01,1.906915864707888275e+01
7.529806172068961865e-07,1.951386971189414155e+01,1.951386842303063673e+01
7.809892484689629470e-07,1.996895056413186964e+01,1.996894922732649391e+01
8.100397172063222426e-07,2.043464430812165133e+01,2.043464292159111650e+01
8.401707766630984667e-07,2.091119844598314970e+01,2.091119700787780644e+01
8.714226215884178360e-07,2.139886625180696100e+01,2.139886476020838302e+01
9.038369418560906874e-07,2.189790690626217895e+01,2.189790535918059433e+01
9.374569780787836208e-07,2.240858563434307982e+01,2.240858402971468877e+01
9.723275792908808331e-07,2.293117384632826017e+01,2.293117218201247809e+01
1.008495262776967152e-06,2.346594928202696906e+01,2.346594755580360925e+01
1.046008276125755779e-06,2.401319615838944088e+01,2.401319436795571960e+01
1.084916661592239680e-06,2.457320532055969053e+01,2.457320346352718232e+01
1.125272322853917442e-06,2.514627439645092011e+01,2.514627247034233548e+01
1.167129094250152856e-06,2.573270795492571139e+01,2.573270595717163900e+01
1.210542812597036012e-06,2.633281766766531007e+01,2.633281559560076346e+01
1.255571391673541941e-06,2.694692247481372149e+01,2.694692032567454376e+01
1.302274899478340374e-06,2.757534875448466138e+01,2.757534652540392983e+01
1.350715638360351341e-06,2.821843049622184907e+01,2.821842818422596366e+01
1.400958228129893029e-06,2.887650947850433170e+01,2.887650708050909998e+01
1.453069692261336421e-06,2.954993545039141978e+01,2.954993296319792506e+01
1.507119547302228777e-06,3.023906631740383943e+01,3.023906373769417044e+01
1.563179895608169592e-06,3.094426833173967140e+01,3.094426565607249913e+01
1.621325521527164486e-06,3.166591628692642146e+01,3.166591351173242330e+01
1.681633991161724082e-06,3.240439371701253890e+01,3.240439083858960601e+01
1.744185755841829898e-06,3.316009310040408309e+01,3.316009011491240699e+01
1.809064259446791687e-06,3.393341606845530123e+01,3.393341297191226147e+01
1.876356049719140147e-06,3.472477361892364200e+01,3.472477040719844155e+01
1.946150893719079465e-06,3.553458633440253323e+01,3.553458300321072727e+01
2.018541897573487966e-06,3.636328460584851285e+01,3.636328115074633871e+01
2.093625630679243096e-06,3.721130886132110049e+01,3.721130527769942375e+01
2.171502254526515898e-06,3.807910980005691925e+01,3.807910608313520129e+01
2.252275656313920376e-06,3.896714863200291745e+01,3.896714477682282762e+01
2.336053587533755111e-06,3.987589732293562150e+01,3.987589332435432965e+01
2.422947807712177268e-06,4.080583884529651328e+01,4.080583469797993246e+01
2.513074233496120054e-06,4.175746743487773216e+01,4.175746313329334924e+01
2.606553093285755194e-06,4.273128885349321138e+01,4.273128439190274719e+01
2.703509087618848694e-06,4.372782065777609262e+01,4.372781603022779251e+01
2.804071555520939044e-06,4.474759247424447750e+01,4.474758767456518171e+01
2.908374647043222409e-06,4.579114628078190918e+01,4.579114130256886028e+01
3.016557502218359428e-06,4.685903669468252275e+01,4.685903153129479648e+01
3.128764436672878914e-06,4.795183126741334689e+01,4.795182591196302013e+01
3.245145134143821214e-06,4.907011078625087208e+01,4.907010523159379289e+01
3.365854846156437387e-06,5.021446958295214102e+01,5.021446382167839317e+01
3.491054599129276362e-06,5.138551584962419128e+01,5.138550987404825321e+01
3.620911409182977028e-06,5.258387196195980806e+01,5.258386576411027846e+01
3.755598504939323711e-06,5.381017481001173763e+01,5.381016838162071281e+01
3.895295558607726638e-06,5.506507613668048151e+01,5.506506946917250644e+01
4.040188925667440191e-06,5.634924288409607840e+01,5.634923596857670702e+01
4.190471893465289121e-06,5.766335754807806779e+01,5.766335037532201824e+01
4.346344939060403471e-06,5.900811854086129671e+01,5.900811110130013049e+01
4.508015996660073166e-06,6.038424056228107162e+01,6.038423284599043939e+01
4.675700735003426876e-06,6.179245497961507994e+01,6.179244697630147698e+01
4.849622845062873438e-06,6.323351021628266722e+01,6.323350191526967023e+01
5.030014338447277694e-06,6.470817214960983677e+01,6.470816353982391433e+01
5.217115856904787375e-06,6.621722451786992281e+01,6.621721558782570582e+01
5.411176993338234486e-06,6.776146933681701512e+01,6.776146007460178566e+01
5.612456624761399016e-06,6.934172732593344790e+01,6.934171771919147886e+01
5.821223257640207234e-06,7.095883834461750439e+01,7.095882838053340436e+01
6.037755386079597989e-06,7.261366183854347867e+01,7.261365150382518152e+01
6.262341863333892851e-06,7.430707729643152959e+01,7.430706657729257358e+01
6.495282287136241970e-06,7.603998471746956511e+01,7.603997359961063296e+01
6.736887399361121020e-06,7.781330508963563375e+01,7.781329355822553850e+01
6.987479500553191479e-06,7.962798087917600753e+01,7.962796891883189687e+01
7.247392879875244606e-06,8.148497653149716768e+01,8.148496412626393237e+01
7.516974261049066821e-06,8.338527898374015024e+01,8.338526611706924996e+01
7.796583264883924077e-06,8.532989818930811055e+01,8.532988484403549023e+01
8.086592889009660136e-06,8.731986765462612254e+01,8.731985381294917659e+01
8.387390005454547953e-06,8.935624498841923469e+01,8.935623063187324533e+01
8.699375876731470797e-06,9.144011246379973556e+01,9.144009757323307497e+01
9.022966691120978570e-06,9.357257759346299508e+01,9.357256214901173053e+01
9.358594117865323147e-06,9.575477371829755668e+01,9.575475769935879100e+01
9.706705883014017566e-06,9.798786060972189205e+01,9.798784399492642194e+01
1.006776636668908137e-05,1.002730250860681025e+02,1.002730078532518121e+02
1.044225722256692847e-05,1.026114816433408947e+02,1.026114637695152965e+02
1.083067802040292406e-05,1.050044731006856011e+02,1.050044545620070124e+02
1.123354691245608068e-05,1.074532712609094034e+02,1.074532520326473843e+02
1.165140132470273759e-05,1.099591775864070939e+02,1.099591576429111228e+02
1.208479867376130523e-05,1.125235238908493045e+02,1.125235032055147570e+02
1.253431711048448677e-05,1.151476730470015042e+02,1.151476515922343111e+02
1.300055629121086423e-05,1.178330197110507953e+02,1.178329974582302242e+02
1.348413817770480605e-05,1.205809910638235039e+02,1.205809679832644434e+02
1.398570786685170702e-05,1.233930475692898057e+02,1.233930236302028902e+02
1.450593445121543270e-05,1.262706837507568025e+02,1.262706589212072714e+02
1.504551191160595879e-05,1.292154289851629017e+02,1.292154032320282511e+02
1.560516004284787808e-05,1.322288483158966130e+02,1.322288216048222864e+02
1.618562541398449819e-05,1.353125432845700971e+02,1.353125155799234562e+02
1.678768236419903685e-05,1.384681527821909128e+02,1.384681240470141290e+02
1.741213403578083862e-05,1.416973539201840140e+02,1.416973241161444719e+02
1.805981344551507972e-05,1.450018629217273940e+02,1.450018320090665043e+02
1.873158459592459032e-05,1.483834360338719875e+02,1.483834039713524362e+02
1.942834362784707440e-05,1.518438704609366141e+02,1.518438372057870822e+02
2.015102001588429237e-05,1.553850053196676981e+02,1.553849708275258479e+02
2.090057780831863708e-05,1.590087226166751861e+02,1.590086868415286574e+02
2.167801691315084011e-05,1.627169482486636980e+02,1.627169111427884616e+02
2.248437443197450752e-05,1.665116530259892897e+02,1.665116145398863239e+02
2.332072604346679297e-05,1.703948537200872124e+02,1.703948138024159960e+02
2.418818743834050670e-05,1.743686141353248900e+02,1.743685727328353323e+02
2.508791580767263588e-05,1.784350462058538085e+02,1.784350032633153376e+02
2.602111138659387449e-05,1.825963111180398073e+02,1.825962665781671603e+02
2.698901905539917746e-05,1.868546204590697926e+02,1.868545742624467039e+02
2.799293000021417703e-05,1.912122373923440080e+02,1.912121894773444524e+02
2.903418343543431946e-05,1.956714778602818114e+02,1.956714281629873255e+02
3.011416839023280481e-05,2.002347118151751886e+02,2.002346602692896624e+02
3.123432556152170366e-05,2.049043644787489029e+02,2.049043110155104728e+02
3.239614923583763567e-05,2.096829176310941989e+02,2.096828621791828482e+02
3.360118928271595135e-05,2.145729109296619015e+02,2.145728534151049018e+02
3.485105322221220957e-05,2.195769432590149108e+02,2.195768836050881418e+02
3.614740836932939152e-05,2.246976741120583085e+02,2.246976122391834849e+02
3.749198405821161669e-05,2.299378250034818905e+02,2.299377608291209185e+02
3.888657394907095503e-05,2.353001809161648907e+02,2.353001143547092795e+02
4.033303842092514797e-05,2.407875917813119031e+02,2.407875227439687649e+02
4.183330705333808202e-05,2.464029739931077927e+02,2.464029023877816087e+02
4.338938120047363328e-05,2.521493119586953924e+02,2.521492376898646910e+02
