pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,9.988973720171975046e+00,9.999999999999998224e+00
1.409328776112337309e-07,1.022165033467491035e+01,1.023293345021969891e+01
1.461689262780678799e-07,1.045974676595776920e+01,1.047129269966252352e+01
1.515995087265586534e-07,1.070338925968722066e+01,1.071520413334179977e+01
1.572318524281473687e-07,1.095270700221395010e+01,1.096479708020056698e+01
1.630734533749561237e-07,1.120783218907108036e+01,1.122020388168557226e+01
1.691320860560781104e-07,1.146890009506802954e+01,1.148155996191852068e+01
1.754158138045153581e-07,1.173604914601727067e+01,1.174900389950192547e+01
1.819329995285337244e-07,1.200942099213163061e+01,1.202267750099749399e+01
1.886923168417181477e-07,1.228916058313143012e+01,1.230272587611610646e+01
1.957027616065398014e-07,1.257541624510104050e+01,1.258929751465919722e+01
2.029736639067992181e-07,1.286833975913570960e+01,1.288254436525238411e+01
2.105147004648785480e-07,1.316808644182033028e+01,1.318262191591304244e+01
2.183359075203304442e-07,1.347481522758281081e+01,1.348968927649459104e+01
2.264476941869409579e-07,1.378868875296575958e+01,1.380390926305114618e+01
2.348608563060480469e-07,1.410987344286126088e+01,1.412544848416746568e+01
2.435865908145357252e-07,1.443853959875374926e+01,1.445447742929924217e+01
2.526365106466662021e-07,1.477486148901950003e+01,1.479117055917218693e+01
2.620226601895296312e-07,1.511901744132832981e+01,1.513570639828579267e+01
2.717575313127201007e-07,1.547118993719831970e+01,1.548826762957230230e+01
2.818540799935559615e-07,1.583156570875281055e+01,1.584904119126054134e+01
2.923257435599741571e-07,1.620033583773118124e+01,1.621821837599598481e+01
3.031864585740448357e-07,1.657769585680608060e+01,1.659599493226971489e+01
3.144506793799092998e-07,1.696384585326041972e+01,1.698257116820993318e+01
3.261333973408247336e-07,1.735899057507963050e+01,1.737815205779120831e+01
3.382501607909199256e-07,1.776333953951493072e+01,1.778294734951760603e+01
3.508170957282121824e-07,1.817710714417555096e+01,1.819717167763745280e+01
3.638509272764294075e-07,1.860051278070855929e+01,1.862104467594868495e+01
3.773690019441977637e-07,1.903378095112678992e+01,1.905479109425505868e+01
3.913893107112200000e-07,1.947714138684629859e+01,1.949864091753511275e+01
4.059305129721697703e-07,1.993082917049671110e+01,1.995282948788675270e+01
4.210119613701681175e-07,2.039508486056890035e+01,2.041759762931263822e+01
4.366537275528929768e-07,2.087015461896613999e+01,2.089319177541198513e+01
4.528766288856000116e-07,2.135629034152628947e+01,2.137986410004683435e+01
4.697022561566051241e-07,2.185374979158440922e+01,2.187787265105206203e+01
4.871530023121050145e-07,2.236279673664630963e+01,2.238748148705974117e+01
5.052520922585750379e-07,2.288370108824591043e+01,2.290896081751078839e+01
5.240236137724080544e-07,2.341673904506011894e+01,2.344258714592785608e+01
5.434925495579351365e-07,2.396219323935753920e+01,2.398864341652555154e+01
5.636848104964876808e-07,2.452035288685825876e+01,2.454741916423569492e+01
5.846272701307578637e-07,2.509151394008457103e+01,2.511921066822715787e+01
6.063478004303468283e-07,2.567597924528362086e+01,2.570432110900171807e+01
6.288753088861031133e-07,2.627405870300530921e+01,2.630306072914920890e+01
6.522397769826201091e-07,2.688606943242069036e+01,2.691574699784710134e+01
6.764723001000997072e-07,2.751233593946795963e+01,2.754270477919220994e+01
7.016051288986443085e-07,2.815319028891424935e+01,2.818426650445220005e+01
7.276717122401663655e-07,2.880897228042724834e+01,2.884077234833156567e+01
7.547067417048904919e-07,2.948002962874613075e+01,2.951257040934133613e+01
7.827461977618047170e-07,3.016671814805028973e+01,3.020001689437130565e+01
8.118273976544656894e-07,3.086940194062241005e+01,3.090347630756122399e+01
8.419890450658947306e-07,3.158845358990613050e+01,3.162332164357151854e+01
8.732712816286629551e-07,3.232425435806077729e+01,3.235993458535596545e+01
9.057157403487181623e-07,3.307719438811758295e+01,3.311370570654104739e+01
9.393656010140597981e-07,3.384767291084502006e+01,3.388503467851947448e+01
9.742656476619934519e-07,3.463609845643266283e+01,3.467433048236765103e+01
1.010462328181459906e-06,3.544288907110571785e+01,3.548201162569925771e+01
1.048003816129754899e-06,3.626847253878555222e+01,3.630850636457020642e+01
1.086940074845910650e-06,3.711328660791306788e+01,3.715425293055255906e+01
1.127322923946069761e-06,3.797777922355587776e+01,3.801969976309744936e+01
1.169206108289343373e-06,3.886240876492180263e+01,3.890530574731099023e+01
1.212645369505952664e-06,3.976764428840498056e+01,3.981154045726834312e+01
1.257698520182826103e-06,4.069396577629329670e+01,4.073888440499561625e+01
1.304425520805409102e-06,4.164186439126906691e+01,4.168782929525131919e+01
1.352888559558073269e-06,4.261184273683780788e+01,4.265887828624261147e+01
1.403152135089327966e-06,4.360441512382340790e+01,4.365254625641428277e+01
1.455283142351995031e-06,4.462010784307074829e+01,4.466936007745244552e+01
1.509350961632590666e-06,4.565945944450052707e+01,4.570985889364716570e+01
1.565427550888377541e-06,4.672302102266419155e+01,4.677459440776245003e+01
1.623587541515015112e-06,4.781135650895041778e+01,4.786413117356517688e+01
1.683908337672239597e-06,4.892504297059811336e+01,4.897904689516784771e+01
1.746470219299759026e-06,5.006467091667423830e+01,5.011993273334424259e+01
1.811356448960490173e-06,5.123084461117915822e+01,5.128739361897996929e+01
1.878653382653327937e-06,5.242418239344539188e+01,5.248204857382481947e+01
1.948450584742822862e-06,5.364531700599780351e+01,5.370453103871472678e+01
2.020840947159021307e-06,5.489489593005446721e+01,5.495548920944261795e+01
2.095920813025695302e-06,5.617358172883869116e+01,5.623558638044929125e+01
2.173790104881823918e-06,5.748205239888979179e+01,5.754550129652189838e+01
2.254552457666824776e-06,5.882100172955681217e+01,5.888592851268400352e+01
2.338315356646566009e-06,6.019113967086590833e+01,6.025757876246903066e+01
2.425190280463712829e-06,6.159319270995673179e+01,6.166117933477174518e+01
2.515292849502784018e-06,6.302790425628712256e+01,6.309747445947814981e+01
2.608742979767398144e-06,6.449603503581067798e+01,6.456722570207772094e+01
2.705665042474469550e-06,6.599836349433599025e+01,6.607121236746762349e+01
2.806188029577792944e-06,6.753568621028129826e+01,6.761023191316292014e+01
2.910445725441270571e-06,6.910881831704395495e+01,6.918510037213161468e+01
3.018576884890294090e-06,7.071859393520789183e+01,7.079665278547930996e+01
3.130725417878216599e-06,7.236586661481884164e+01,7.244574364521209020e+01
3.247040581013708097e-06,7.405150978796172012e+01,7.413324734731320120e+01
3.367677176203886936e-06,7.577641723187990408e+01,7.586005865537320858e+01
3.492795756677579453e-06,7.754150354288206870e+01,7.762709317501969508e+01
3.622562840662941493e-06,7.934770462128817314e+01,7.943528783939805749e+01
3.757151133003777215e-06,8.119597816767108611e+01,8.128560140596064798e+01
3.896739755009540770e-06,8.308730419065773276e+01,8.317901496482802770e+01
4.041514482844878932e-06,8.502268552655827705e+01,8.511653245899137232e+01
4.191667994776038644e-06,8.700314837109952748e+01,8.709918121663235979e+01
4.347400127603141049e-06,8.902974282354392699e+01,8.912801249584248353e+01
4.508918142619649594e-06,9.110354344348317568e+01,9.120410204203059834e+01
4.676437001452957319e-06,9.322564982060112015e+01,9.332855065831458319e+01
4.850179652153221530e-06,9.539718715770862900e+01,9.550248478919908734e+01
5.030377325911207506e-06,9.761930686735918528e+01,9.772705711784938387e+01
5.217269844800005137e-06,9.989318718236154382e+01,1.000034471772772093e+02
5.411105940950292730e-06,1.022200337805142993e+02,1.023328619757646152e+02
5.612143587583519146e-06,1.046010804238887033e+02,1.047165366368517283e+02
5.820650342344528628e-06,1.070375896130097999e+02,1.071557350542396847e+02
6.036903703389302429e-06,1.095308532562686992e+02,1.096517505619409150e+02
6.261191478702690995e-06,1.120821933549308937e+02,1.122059066200431801e+02
6.493812169137251497e-06,1.146929627041003954e+02,1.148195575164467925e+02
6.735075365683038478e-06,1.173645456100113051e+02,1.174940890849473192e+02
6.985302161497086750e-06,1.200983586240279948e+02,1.202309194400450991e+02
7.244825579240920953e-06,1.228958512937417993e+02,1.230314997288707701e+02
7.513991014294854907e-06,1.257585069315642983e+02,1.258973149006257444e+02
7.793156694438933336e-06,1.286878434012230912e+02,1.288298844939456274e+02
8.082694156612302440e-06,1.316854139225777089e+02,1.318307634426036543e+02
8.382988741385507311e-06,1.347528078951825989e+02,1.349015428999819619e+02
8.694440105803815879e-06,1.378916517410335985e+02,1.380438510827473522e+02
9.017462755284117882e-06,1.411036097669446008e+02,1.412593541341792047e+02
9.352486595273238007e-06,1.443903850470123871e+02,1.445497570076072975e+02
9.699957503401927285e-06,1.477537203256360954e+02,1.479168043704273998e+02
1.006033792289594590e-05,1.511953989415723925e+02,1.513622815291750214e+02
1.043410747803403124e-05,1.547172457735138948e+02,1.548880153761466829e+02
1.082176361247181516e-05,1.583211282076931070e+02,1.584958753580714585e+02
1.122382225128130848e-05,1.620089571280265943e+02,1.621877744673461450e+02
1.164081848758693310e-05,1.657826879293214972e+02,1.659656702563595161e+02
1.207330729471201979e-05,1.696443215540834046e+02,1.698315658754433457e+02
1.252186426478353881e-05,1.735959055534752054e+02,1.737875111350015231e+02
1.298708637477806037e-05,1.776395351729892127e+02,1.778356035923786465e+02
1.346959278102841344e-05,1.817773544634081020e+02,1.819779896640460493e+02
1.397002564324850256e-05,1.860115574176437008e+02,1.862168657636952958e+02
1.448905097917295148e-05,1.903443891340571099e+02,1.905544794668389557e+02
1.502735955094899996e-05,1.947781470068759120e+02,1.949931307025418619e+02
1.558566778446042312e-05,1.993151819443419015e+02,1.995351729729117380e+02
1.616471872280610976e-05,2.039578996152262107e+02,2.041830146009882299e+02
1.676528301520477713e-05,2.087087617243948898e+02,2.089391200077149335e+02
1.738815994263837779e-05,2.135702873180713937e+02,2.138060110186414420e+02
1.803417848160201282e-05,2.185450541195110077e+02,2.187862682010697881e+02
1.870419840737493007e-05,2.236356998957859048e+02,2.238825322323465912e+02
1.939911143828100201e-05,2.288449238564070072e+02,2.290975053000269099e+02
2.011984242246181760e-05,2.341754880845250000e+02,2.344339525346530877e+02
2.086735056874157283e-05,2.396302190014681059e+02,2.398947034759068799e+02
2.164263072322208765e-05,2.452120088653948073e+02,2.454826535729144155e+02
2.244671469330684996e-05,2.509238173048539124e+02,2.512007657194971841e+02
