pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,9.990195864417373173e+00,9.999999999999998224e+00
1.432137854834098975e-07,1.022290094680004913e+01,1.023293345021969891e+01
1.485345762262287857e-07,1.046102650907674914e+01,1.047129269966252352e+01
1.540530491546928617e-07,1.070469881236033061e+01,1.071520413334179977e+01
1.597765487122145414e-07,1.095404705880750029e+01,1.096479708020056698e+01
1.657126922087216674e-07,1.120920346012557012e+01,1.122020388168557226e+01
1.718693799584068879e-07,1.147030330767493034e+01,1.148155996191852068e+01
1.782548057941248187e-07,1.173748504420449912e+01,1.174900389950192547e+01
1.848774679724262705e-07,1.201089033725810040e+01,1.202267750099749399e+01
1.917461804837469149e-07,1.229066415429072912e+01,1.230272587611610646e+01
1.988700847827992033e-07,1.257695483953457050e+01,1.258929751465919722e+01
2.062586619547816348e-07,1.286991419265537040e+01,1.288254436525238411e+01
2.139217453335975499e-07,1.316969754924111058e+01,1.318262191591304244e+01
2.218695335888735979e-07,1.347646386316542966e+01,1.348968927649459104e+01
2.301126042991997079e-07,1.379037579086964982e+01,1.380390926305114618e+01
2.386619280296539883e-07,1.411159977760805972e+01,1.412544848416746568e+01
2.475288829323341559e-07,1.444030614570159976e+01,1.445447742929924217e+01
2.567252698893652062e-07,1.477666918484841929e+01,1.479117055917218693e+01
2.662633282184864896e-07,1.512086724453689079e+01,1.513570639828579267e+01
2.761557519621572166e-07,1.547308282861184026e+01,1.548826762957230230e+01
2.864157067818464902e-07,1.583350269204344940e+01,1.584904119126054134e+01
2.970568474799905808e-07,1.620231793995013092e+01,1.621821837599598481e+01
3.080933361729425079e-07,1.657972412892810965e+01,1.659599493226971489e+01
3.195398611390959257e-07,1.696592137074119933e+01,1.698257116820993318e+01
3.314116563672689856e-07,1.736111443842591839e+01,1.737815205779120831e+01
3.437245218313656951e-07,1.776551287486815056e+01,1.778294734951760603e+01
3.564948445182977467e-07,1.817933110390886142e+01,1.819717167763745280e+01
3.697396202371501393e-07,1.860278854403794924e+01,1.862104467594868495e+01
3.834764762386215344e-07,1.903610972473629914e+01,1.905479109425505868e+01
3.977236946748356987e-07,1.947952440552785092e+01,1.949864091753511275e+01
4.125002369307540844e-07,1.993326769780487950e+01,1.995282948788675270e+01
4.278257688595640464e-07,2.039758018949085994e+01,2.041759762931263822e+01
4.437206869556368705e-07,2.087270807260726002e+01,2.089319177541198513e+01
4.602061454998794666e-07,2.135890327381171971e+01,2.137986410004683435e+01
4.773040847136139925e-07,2.185642358797695906e+01,2.187787265105206203e+01
4.950372599584511061e-07,2.236553281488109945e+01,2.238748148705974117e+01
5.134292720210225291e-07,2.288650089908205842e+01,2.290896081751078839e+01
5.325045985228707255e-07,2.341960407305005987e+01,2.344258714592785608e+01
5.522886264973089480e-07,2.396512500363413878e+01,2.398864341652555154e+01
5.728076861765985102e-07,2.452335294194034887e+01,2.454741916423569492e+01
5.940890860344148042e-07,2.509458387670118995e+01,2.511921066822715787e+01
6.161611491302390634e-07,2.567912069121750918e+01,2.570432110900171807e+01
6.390532508040448393e-07,2.627727332395600968e+01,2.630306072914920890e+01
6.627958577714473653e-07,2.688935893288775958e+01,2.691574699784710134e+01
6.874205686713535954e-07,2.751570206365477134e+01,2.754270477919220994e+01
7.129601561200319634e-07,2.815663482165286879e+01,2.818426650445220005e+01
7.394486103276867734e-07,2.881249704812476153e+01,2.884077234833156567e+01
7.669211843354289594e-07,2.948363650035312844e+01,2.951257040934133613e+01
7.954144409329676287e-07,3.017040903605183999e+01,3.020001689437130565e+01
8.249663013194167434e-07,3.087317880205213072e+01,3.090347630756122399e+01
8.556160955719846772e-07,3.159231842738395102e+01,3.162332164357151854e+01
8.874046149897167858e-07,3.232820922085468140e+01,3.235993458535596545e+01
9.203741663819534139e-07,3.308124137323034120e+01,3.311370570654104739e+01
9.545686283737571558e-07,3.385181416412604705e+01,3.388503467851947448e+01
9.900335098032391754e-07,3.464033617371583773e+01,3.467433048236765103e+01
1.026816010288514150e-06,3.544722549937375788e+01,3.548201162569925771e+01
1.064965083044881355e-06,3.627290997736135125e+01,3.630850636457020642e+01
1.104531500035842086e-06,3.711782740967900907e+01,3.715425293055255906e+01
1.145567919544656454e-06,3.798242579620134762e+01,3.801969976309744936e+01
1.188128956256374755e-06,3.886716357221988716e+01,3.890530574731099023e+01
1.232271253943606404e-06,3.977250985151888329e+01,3.981154045726834312e+01
1.278053560852772214e-06,4.069894467511313252e+01,4.073888440499561625e+01
