pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,9.989669460545401947e+00,9.999999999999998224e+00
1.453070821318644201e-07,1.022236228126896052e+01,1.023293345021969891e+01
1.507056446715216378e-07,1.046047529627323946e+01,1.047129269966252352e+01
1.563047788355417122e-07,1.070413476001830944e+01,1.071520413334179977e+01
1.621119364180276427e-07,1.095346986785309085e+01,1.096479708020056698e+01
1.681348460679748311e-07,1.120861282451851970e+01,1.122020388168557226e+01
1.743815235751997949e-07,1.146969891424635968e+01,1.148155996191852068e+01
1.808602825384216646e-07,1.173686657249085918e+01,1.174900389950192547e+01
1.875797454296915201e-07,1.201025745933126032e+01,1.202267750099749399e+01
1.945488550698960544e-07,1.229001653458409038e+01,1.230272587611610646e+01
2.017768865306093945e-07,1.257629213466515061e+01,1.258929751465919722e+01
2.092734594781295264e-07,1.286923605124174053e+01,1.288254436525238411e+01
2.170485509761327682e-07,1.316900361171706990e+01,1.318262191591304244e+01
2.251125087639802029e-07,1.347575376158940053e+01,1.348968927649459104e+01
2.334760650283516915e-07,1.378964914872953962e+01,1.380390926305114618e+01
2.421503506865361189e-07,1.411085620962166054e+01,1.412544848416746568e+01
2.511469102003722975e-07,1.443954525761230911e+01,1.445447742929924217e+01
2.604777169405971995e-07,1.477589057321617005e+01,1.479117055917218693e+01
2.701551891219932818e-07,1.512007049652427071e+01,1.513570639828579267e+01
2.801922063305867731e-07,1.547226752176520037e+01,1.548826762957230230e+01
2.906021266648725340e-07,1.583266839406888060e+01,1.584904119126054134e+01
3.013988045138849777e-07,1.620146420848431035e+01,1.621821837599598481e+01
3.125966089957721551e-07,1.657885051130369902e+01,1.659599493226971489e+01
3.242104430814158887e-07,1.696502740374688045e+01,1.698257116820993318e+01
3.362557634285456829e-07,1.736019964806076032e+01,1.737815205779120831e+01
3.487486009527473705e-07,1.776457677609030128e+01,1.778294734951760603e+01
3.617055821627397409e-07,1.817837320037839888e+01,1.819717167763745280e+01
3.751439512883178871e-07,1.860180832785367144e+01,1.862104467594868495e+01
3.890815932304103743e-07,1.903510667616643914e+01,1.905479109425505868e+01
