pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,9.987771759738784283e+00,9.999999999999998224e+00
1.461384996267219193e-07,1.022042037668171943e+01,1.023293345021969891e+01
1.515679516404275348e-07,1.045848815825216960e+01,1.047129269966252352e+01
1.571991229084325354e-07,1.070210133492616933e+01,1.071520413334179977e+01
1.630395078624866079e-07,1.095138907750991919e+01,1.096479708020056698e+01
1.690968793733386189e-07,1.120648356562996995e+01,1.122020388168557226e+01
1.753792990955200090e-07,1.146752005781869954e+01,1.148155996191852068e+01
1.818951281964664496e-07,1.173463696323235084e+01,1.174900389950192547e+01
1.886530384842560093e-07,1.200797591503956951e+01,1.202267750099749399e+01
1.956620239487730915e-07,1.228768184551950071e+01,1.230272587611610646e+01
2.029314127316597986e-07,1.257390306290906956e+01,1.258929751465919722e+01
2.104708795409835490e-07,1.286679133004033915e+01,1.288254436525238411e+01
2.182904585271444415e-07,1.316650194480966007e+01,1.318262191591304244e+01
2.264005566371581619e-07,1.347319382252103992e+01,1.348968927649459104e+01
2.348119674650884913e-07,1.378702958014778979e+01,1.380390926305114618e+01
2.435358856170631555e-07,1.410817562255681068e+01,1.412544848416746568e+01
2.525839216099779508e-07,1.443680223074096958e+01,1.445447742929924217e+01
2.619681173237555350e-07,1.477308365210759966e+01,1.479117055917218693e+01
2.717009620276712164e-07,1.511719819286923006e+01,1.513570639828579267e+01
2.817954090021164353e-07,1.546932831258678043e+01,1.548826762957230230e+01
2.922648927779015680e-07,1.582966072091500997e+01,1.584904119126054134e+01
3.031233470160498403e-07,1.619838647660139941e+01,1.621821837599598481e+01
3.143852230518741314e-07,1.657570108879107096e+01,1.659599493226971489e+01
3.260655091280162404e-07,1.696180462069147055e+01,1.698257116820993318e+01
3.381797503420498186e-07,1.735690179565171931e+01,1.737815205779120831e+01
3.507440693351904383e-07,1.776120210571291125e+01,1.778294734951760603e+01
3.637751877496499962e-07,1.817491992268691092e+01,1.819717167763745280e+01
3.772904484831899409e-07,1.859827461182254993e+01,1.862104467594868495e+01
3.913078387704951233e-07,1.903149064811951874e+01,1.905479109425505868e+01
4.058460141220830616e-07,1.947479773535154024e+01,1.949864091753511275e+01
4.209243231526119889e-07,1.992843092786203840e+01,1.995282948788675270e+01
4.365628333316282676e-07,2.039263075519679091e+01,2.041759762931263822e+01
4.527823576910259249e-07,2.086764334963978840e+01,2.089319177541198513e+01
4.696044825247639917e-07,2.135372057671969870e+01,2.137986410004683435e+01
4.870515961177043630e-07,2.185112016875638119e+01,2.187787265105206203e+01
5.051469185418046087e-07,2.236010586151805057e+01,2.238748148705974117e+01
5.239145325593260964e-07,2.288094753406173965e+01,2.290896081751078839e+01
5.433794156741772741e-07,2.341392135183103917e+01,2.344258714592785608e+01
5.635674733740588040e-07,2.395930991308707902e+01,2.398864341652555154e+01
5.845055736076419207e-07,2.451740239875040928e+01,2.454741916423569492e+01
6.062215825426747983e-07,2.508849472573317030e+01,2.511921066822715787e+01
6.287444016525973090e-07,2.567288970384291957e+01,2.570432110900171807e+01
6.521040061810306302e-07,2.627089719634118126e+01,2.630306072914920890e+01
6.763314850353277942e-07,2.688283428424210086e+01,2.691574699784710134e+01
7.014590821622884301e-07,2.750902543443816839e+01,2.754270477919220994e+01
7.275202394610576744e-07,2.814980267174136941e+01,2.818426650445220005e+01
7.545496412904382917e-07,2.880550575493354870e+01,2.884077234833156567e+01
7.825832606296923173e-07,2.947648235691569951e+01,2.951257040934133613e+01
8.116584069543865298e-07,3.016308824905453889e+01,3.020001689437130565e+01
8.418137758909497272e-07,3.086568748982282884e+01,3.090347630756122399e+01
8.730895007160354681e-07,3.158465261783388911e+01,3.162332164357151854e+01
9.055272057692295385e-07,3.232036484937241738e+01,3.235993458535596545e+01
9.391700618501877955e-07,3.307321428052659229e+01,3.311370570654104739e+01
9.740628436739323592e-07,3.384360009402833214e+01,3.388503467851947448e+01
1.010251989460770782e-06,3.463193077091175098e+01,3.467433048236765103e+01
1.047785662740148640e-06,3.543862430710174038e+01,3.548201162569925771e+01
1.086713816450686372e-06,3.626410843504760351e+01,3.630850636457020642e+01
1.127088259421709382e-06,3.710882085051935775e+01,3.715425293055255906e+01
1.168962725324753006e-06,3.797320944468685866e+01,3.801969976309744936e+01
1.212392944186811692e-06,3.885773254160473300e+01,3.890530574731099023e+01
1.257436716560493362e-06,3.976285914122929910e+01,3.981154045726834312e+01
1.304153990449819715e-06,4.068906916809606145e+01,4.073888440499561625e+01
1.352606941094013941e-06,4.163685372578971311e+01,4.168782929525131919e+01
1.402860053715489138e-06,4.260671535734166326e+01,4.265887828624261147e+01
1.454980209342158893e-06,4.359916831169307017e+01,4.365254625641428277e+01
1.509036773818273808e-06,4.461473881636469940e+01,4.466936007745244552e+01
1.565101690122268619e-06,4.565396535647818155e+01,4.570985889364716570e+01
1.623249574114466362e-06,4.671739896027653316e+01,4.677459440776245003e+01
1.683557813842083340e-06,4.780560349129554254e+01,4.786413117356517688e+01
1.746106672533686192e-06,4.891915594734074801e+01,4.897904689516784771e+01
1.810979395420183621e-06,5.005864676642851663e+01,5.011993273334424259e+01
1.878262320524511372e-06,5.122468013985365332e+01,5.128739361897996929e+01
1.948044993567486107e-06,5.241787433254962281e+01,5.248204857382481947e+01
2.020420287142624008e-06,5.363886201090934946e+01,5.370453103871472678e+01
2.095484524318851015e-06,5.488829057824563762e+01,5.495548920944261795e+01
2.173337606835181953e-06,5.616682251806194159e+01,5.623558638044929125e+01
2.254083148058295358e-06,5.747513574532089820e+01,5.754550129652189838e+01
2.337828610879835255e-06,5.881392396589473037e+01,5.888592851268400352e+01
2.424685450736969275e-06,6.018389704438843069e+01,6.025757876246903066e+01
2.514769263946581803e-06,6.158578138053078987e+01,6.166117933477174518e+01
2.608199941550466774e-06,6.302032029433286198e+01,6.309747445947814981e+01
2.705101828876321239e-06,6.448827442021801915e+01,6.456722570207772094e+01
2.805603891026861224e-06,6.599042211033265914e+01,6.607121236746762349e+01
2.909839884517318085e-06,6.752755984725128258e+01,6.761023191316292014e+01
3.017948535289758458e-06,6.910050266629504279e+01,6.918510037213161468e+01
3.130073723341112425e-06,7.071008458768727678e+01,7.079665278547930996e+01
3.246364674210665910e-06,7.235715905877553666e+01,7.244574364521209020e+01
3.366976157581836170e-06,7.404259940655452965e+01,7.413324734731320120e+01
3.492068693262547846e-06,7.576729930072953323e+01,7.586005865537320858e+01
3.621808764818378055e-06,7.753217322756647434e+01,7.762709317501969508e+01
3.756369041142744508e-06,7.933815697477932360e+01,7.943528783939805749e+01
3.895928606259044750e-06,8.118620812771226269e+01,8.128560140596064798e+01
4.040673197660602889e-06,8.307730657707945454e+01,8.317901496482802770e+01
4.190795453505586438e-06,8.501245503853203900e+01,8.511653245899137232e+01
4.346495168995916840e-06,8.699267958432733394e+01,8.709918121663235979e+01
4.507979562281363226e-06,8.901903018738245521e+01,8.912801249584248353e+01
4.675463550242719494e-06,9.109258127800092097e+01,9.120410204203059834e+01
4.849170034521082409e-06,9.321443231356705894e+01,9.332855065831458319e+01
5.029330198173925432e-06,9.538570836151068022e+01,9.550248478919908734e+01
5.216183813352777120e-06,9.760756069585093542e+01,9.772705711784938387e+01
5.409979560411947115e-06,9.988116740763554446e+01,1.000034471772772093e+02
