pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,9.991509102350983440e+00,9.999999999999998224e+00
1.445569066965427659e-07,1.022424477446866931e+01,1.023293345021969891e+01
1.499275981307874343e-07,1.046240163901875952e+01,1.047129269966252352e+01
1.554978257002540300e-07,1.070610597371157979e+01,1.071520413334179977e+01
1.612750027277422538e-07,1.095548699768787948e+01,1.096479708020056698e+01
1.672668179616275411e-07,1.121067694003465043e+01,1.122020388168557226e+01
1.734812458086876917e-07,1.147181110989678032e+01,1.148155996191852068e+01
1.799265569471079555e-07,1.173902796822197026e+01,1.174900389950192547e+01
1.866113293337882402e-07,1.201246920117671024e+01,1.202267750099749399e+01
1.935444596206024321e-07,1.229227979527247072e+01,1.230272587611610646e+01
2.007351749948041974e-07,1.257860811424179026e+01,1.258929751465919722e+01
2.081930454593359299e-07,1.287160597770500914e+01,1.288254436525238411e+01
2.159279965693853790e-07,1.317142874166949973e+01,1.318262191591304244e+01
2.239503226421427120e-07,1.347823538090394990e+01,1.348968927649459104e+01
2.322707004573332841e-07,1.379218857323142977e+01,1.380390926305114618e+01
2.409002034667693525e-07,1.411345478578603085e+01,1.412544848416746568e+01
2.498503165318113949e-07,1.444220436327819002e+01,1.445447742929924217e+01
2.591329512083931099e-07,1.477861161831702042e+01,1.479117055917218693e+01
2.687604615999027309e-07,1.512285492383555940e+01,1.513570639828579267e+01
2.787456607990549473e-07,1.547511680766946007e+01,1.548826762957230230e+01
2.891018379406218902e-07,1.583558404933845942e+01,1.584904119126054134e+01
2.998427758877203582e-07,1.620444777908245015e+01,1.621821837599598481e+01
3.109827695751948044e-07,1.658190357920427971e+01,1.659599493226971489e+01
3.225366450345064092e-07,1.696815158777314991e+01,1.698257116820993318e+01
3.345197791254508729e-07,1.736339660474375890e+01,1.737815205779120831e+01
3.469481200009647998e-07,1.776784820054716008e+01,1.778294734951760603e+01
3.598382083322546915e-07,1.818172082721113014e+01,1.819717167763745280e+01
3.732071993225012254e-07,1.860523393206891996e+01,1.862104467594868495e+01
3.870728855384317074e-07,1.903861207411663869e+01,1.905479109425505868e+01
4.014537205901498039e-07,1.948208504308098910e+01,1.949864091753511275e+01
4.163688436907381107e-07,1.993588798126051032e+01,1.995282948788675270e+01
4.318381051283147869e-07,2.040026150820485995e+01,2.041759762931263822e+01
4.478820926844523609e-07,2.087545184829836131e+01,2.089319177541198513e+01
4.645221590341116346e-07,2.136171096131538150e+01,2.137986410004683435e+01
4.817804501635593172e-07,2.185929667601673998e+01,2.187787265105206203e+01
4.996799348440920592e-07,2.236847282685805993e+01,2.238748148705974117e+01
5.182444352007898034e-07,2.288950939388250916e+01,2.290896081751078839e+01
5.374986584169843056e-07,2.342268264587212911e+01,2.344258714592785608e+01
5.574682296166365011e-07,2.396827528683359176e+01,2.398864341652555154e+01
5.781797259683858371e-07,2.452657660589614963e+01,2.454741916423569492e+01
5.996607120566595687e-07,2.509788263070119996e+01,2.511921066822715787e+01
6.219397765669184144e-07,2.568249628436475973e+01,2.570432110900171807e+01
6.450465703338596451e-07,2.628072754609618045e+01,2.630306072914920890e+01
6.690118458032179999e-07,2.689289361555820079e+01,2.691574699784710134e+01
6.938674979596888371e-07,2.751931908105565938e+01,2.754270477919220994e+01
