pressurec2,energy_densityc2,baryon_density
1.112594075392044764e-21,9.999999679577417311e+00,9.999999999999998224e+00
2.265851471164626008e-07,1.025234572417680035e+01,1.025234604707891783e+01
2.357100945703319610e-07,1.051105962168703023e+01,1.051105994690547440e+01
2.452025183000980299e-07,1.077630206236823085e+01,1.077630238972658994e+01
2.550772171650451057e-07,1.104823779143609030e+01,1.104823812074405076e+01
2.653495859982674578e-07,1.132703571138709009e+01,1.132703604243969053e+01
2.760356396074902679e-07,1.161286898690583946e+01,1.161286931948270151e+01
2.871520377424435999e-07,1.190591515241971088e+01,1.190591548628425400e+01
2.987161110677110646e-07,1.220635622236759943e+01,1.220635655726620783e+01
3.107458881815482371e-07,1.251437880425129023e+01,1.251437913991240514e+01
3.232601237227911276e-07,1.283017421453955009e+01,1.283017455067278512e+01
3.362783276096767498e-07,1.315393859749712924e+01,1.315393893379230761e+01
3.489717359437191919e-07,1.346033319347484003e+01,1.346033353183869252e+01
3.621442789763157905e-07,1.377386463678450035e+01,1.377386497689212241e+01
3.758140424771655019e-07,1.409469916597067041e+01,1.409469950747507205e+01
3.899997948946242531e-07,1.442300689177032069e+01,1.442300723430217246e+01
4.047210131246925232e-07,1.475896188731027969e+01,1.475896223047608657e+01
4.199979092525869593e-07,1.510274228040083955e+01,1.510274262378243826e+01
4.358514583037089275e-07,1.545453034798337022e+01,1.545453069113647437e+01
4.523034270420990040e-07,1.581451261277426035e+01,1.581451295522772149e+01
4.693764038560966364e-07,1.618287994216339953e+01,1.618288028341778784e+01
4.870938297718785948e-07,1.655982764941343888e+01,1.655982798893986541e+01
5.054800306377910868e-07,1.694555559721776916e+01,1.694555593445677388e+01
5.245602505234885302e-07,1.734026830367103145e+01,1.734026863803123675e+01
5.443606863797896011e-07,1.774417505070661960e+01,1.774417538156301788e+01
5.649085240068277077e-07,1.815748999506099892e+01,1.815749032175417099e+01
5.862319753798739944e-07,1.858043228182237172e+01,1.858043260365656835e+01
6.083603173841385616e-07,1.901322616062482140e+01,1.901322647686669143e+01
6.313239320115484345e-07,1.945610110454756025e+01,1.945610141442465135e+01
6.551543480750277265e-07,1.990929193178530099e+01,1.990929223448431173e+01
6.798842844972035752e-07,2.037303893015285894e+01,2.037303922481751428e+01
7.055476952330414927e-07,2.084758798448584116e+01,2.084758827021659400e+01
7.321798158885663604e-07,2.133319070701667997e+01,2.133319098286716908e+01
7.598172120986313570e-07,2.183010457077827127e+01,2.183010483575484884e+01
7.884978297315237120e-07,2.233859304612322916e+01,2.233859329918221803e+01
8.182610469879800822e-07,2.285892574041740133e+01,2.285892598046286039e+01
8.491477284672313880e-07,2.339137854098898828e+01,2.339137876687221151e+01
8.812002812736249836e-07,2.393623376140926950e+01,2.393623397192524038e+01
9.144627132411645129e-07,2.449378029117826117e+01,2.449378048506351035e+01
9.489806933558112151e-07,2.506431374889764996e+01,2.506431392482866372e+01
9.848016144585978343e-07,2.564813663901167828e+01,2.564813679560198167e+01
1.021974658315446605e-06,2.624555851219981051e+01,2.624555864799775762e+01
1.060550863143277540e-06,2.685689612950299932e+01,2.685689624298953504e+01
1.100583193685031558e-06,2.748247363027778079e+01,2.748247371986259679e+01
1.142126613929564363e-06,2.812262270405420850e+01,2.812262276807526717e+01
1.185238162576888141e-06,2.877768276640845002e+01,2.877768280312670512e+01
1.229977031351475987e-06,2.944800113891956883e+01,2.944800114651803113e+01
1.276404646272153473e-06,3.013393323332854123e+01,3.013393320990736868e+01
1.324584751989246016e-06,3.083584273997875158e+01,3.083584268355462044e+01
1.374583499305333041e-06,3.155410182065268998e+01,3.155410172915305367e+01
1.426469535999809469e-06,3.228909130589431697e+01,3.228909117715647170e+01
1.480314101081387001e-06,3.304120089693294204e+01,3.304120072869838509e+01
1.536191122598723955e-06,3.381082937230649321e+01,3.381082916221892987e+01
1.594177319142766464e-06,3.459838479929989319e+01,3.459838454490051163e+01
1.654352305180582009e-06,3.540428475030665112e+01,3.540428444903127314e+01
1.716798700365429459e-06,3.622895652423348878e+01,3.622895617340832075e+01
1.781602242972484349e-06,3.707283737305827032e+01,3.707283696989512123e+01
1.848851907616754677e-06,3.793637473366707269e+01,3.793637427526068961e+01
1.918640027414304751e-06,3.882002646509202748e+01,3.882002594841397780e+01
1.991062420754700354e-06,3.972426109127381721e+01,3.972426051316917039e+01
2.066218522858703653e-06,4.064955804947849316e+01,4.064955740666091799e+01
2.144211522301801462e-06,4.159640794450289292e+01,4.159640723355048664e+01
2.225148502691169206e-06,4.256531280843252318e+01,4.256531202614883824e+01
2.309140589690350707e-06,4.355678636718673857e+01,4.355678551060162107e+01
2.396303103593667781e-06,4.457135431328112674e+01,4.457135337927467589e+01
2.486755717659590739e-06,4.560955458418143138e+01,4.560955356948068129e+01
2.580622622421608126e-06,4.667193764753525898e+01,4.667193654870339969e+01
2.678032696199683827e-06,4.775906679303034252e+01,4.775906560645998411e+01
2.779119682049796886e-06,4.887151843106438065e+01,4.887151715296746346e+01
2.884022371391003310e-06,5.000988239835967875e+01,5.000988102476005537e+01
2.992884794565185139e-06,5.117476227070677197e+01,5.117476079743139650e+01
3.105856418589297626e-06,5.236677568298941310e+01,5.236677410565560109e+01
3.223092352371429770e-06,5.358655465665871276e+01,5.358655297066636791e+01
3.344753559674884859e-06,5.483474593484292825e+01,5.483474413536453795e+01
3.471007080118644910e-06,5.611201132526039714e+01,5.611200940722645214e+01
3.602026258521970236e-06,5.741902805111443797e+01,5.741902600920677457e+01
3.737990982904727476e-06,5.875648911017353271e+01,5.875648693880738449e+01
3.879087931471844151e-06,6.012510364220201353e+01,6.012510133551747060e+01
4.025510828920534799e-06,6.152559730495718782e+01,6.152559485680548335e+01
4.177460712422594923e-06,6.295871265894530211e+01,6.295871006287354987e+01
4.335146207646503631e-06,6.442520956113840214e+01,6.442520681037454722e+01
4.498783815197710483e-06,6.592586556785190055e+01,6.592586265529428147e+01
4.668598207872958538e-06,6.746147634703227425e+01,6.746147326522633136e+01
4.844822539132415278e-06,6.903285610011214146e+01,6.903285284124125099e+01
5.027698763218249065e-06,7.064083799372767203e+01,7.064083454959096287e+01
5.217477967354663530e-06,7.228627460146415729e+01,7.228627096346028225e+01
5.414420716488042983e-06,7.397003835590604126e+01,7.397003451501694826e+01
5.618797411041137346e-06,7.569302201121502094e+01,7.569301795798261878e+01
5.830888658168148413e-06,7.745613911647538430e+01,7.745613484098454649e+01
6.050985657027896313e-06,7.926032450007856767e+01,7.926031999193293132e+01
6.279390598595171467e-06,8.110653476537355289e+01,8.110653001367472825e+01
6.516417080567666344e-06,8.299574879787543580e+01,8.299574379120234369e+01
6.762390537930895689e-06,8.492896828428381184e+01,8.492896301066585352e+01
7.017648689779013938e-06,8.690721824359272318e+01,8.690721269048604825e+01
7.282542002997661502e-06,8.893154757056589688e+01,8.893154172482699948e+01
7.557434173453335455e-06,9.100302959188088892e+01,9.100302343973930874e+01
7.842702625343094073e-06,9.312276263521378894e+01,9.312275616224677321e+01
8.138739029394025874e-06,9.529187061159927907e+01,9.529186380269609913e+01
8.445949840624830215e-06,9.751150361133100830e+01,9.751149645067131644e+01
8.764756856402086235e-06,9.978283851376764346e+01,9.978283098478114255e+01
9.095597795566161422e-06,1.021070796113225043e+02,1.021070716966618193e+02
9.438926899412710680e-06,1.044854592479992021e+02,1.044854509295020648e+02
9.795215555363336935e-06,1.069192384728005010e+02,1.069192297314544646e+02
1.016495294417436900e-05,1.094097077083451950e+02,1.094096985242537841e+02
1.054864671157779996e-05,1.119581874350809017e+02,1.119581777874183643e+02
1.094682366527365743e-05,1.145660288914121026e+02,1.145660187583884095e+02
1.136003049823137633e-05,1.172346147901464946e+02,1.172346041489637685e+02
