logpressurec2,pressurec2,energy_densityc2,baryon_density 
-9.87926604432,5.12258615871e-05,280.000087678,280.0 
-9.7923330739,5.58783766917e-05,295.793978002,295.793882361 
-9.70540010347,6.09534497803e-05,312.478750193,312.478645865 
-9.61846713305,6.64894590731e-05,330.104656001,330.104542197 
-9.53153416262,7.25282684372e-05,348.724781716,348.724657577 
-9.4446011922,7.91155439648e-05,368.395208056,368.395072642 
-9.35766822177,8.63010993054e-05,389.175179068,389.175031355 
-9.27073525135,9.41392723614e-05,411.127280566,411.127119437 
-9.18380228092,0.000102689336197,434.317628628,434.317452865 
-9.0968693105,0.000112015947267,458.816068726,458.815877 
-9.00993634007,0.000122189634355,484.696386092,484.696176953 
-8.92300336965,0.000133287331921,512.036527943,512.036299809 
-8.83607039922,0.000145392961886,540.918838247,540.918589393 
-8.7491374288,0.000158598068259,571.430305734,571.430034278 
-8.66220445837,0.0001730025094,603.662825885,603.662529774 
-8.57527148795,0.000188715213162,637.71347771,637.713154706 
-8.48833851752,0.000205855000616,673.684816138,673.684463797 
-8.4014055471,0.00022455148458,711.685180887,711.684796546 
-8.31447257667,0.000244946049774,751.829022776,751.828603527 
-8.22753960625,0.00026719292198,794.237248424,794.236791098 
-8.14060663582,0.000291460334315,839.037584408,839.037085545 
-8.0536736654,0.000317931799427,886.36496195,886.36441778 
-7.96674069497,0.000346807497233,936.361923314,936.36132972 
-7.87980772455,0.000378305788707,989.179051116,989.178403609 
-7.79287475412,0.000412664867141,1044.97542186,1044.97471554 
-7.7059417837,0.00045014455939,1103.91908503,1103.91831457 
-7.61900881327,0.000491028290711,1166.18756928,1166.18672884 
-7.53207584285,0.00053562522805,1231.96841706,1231.96750029 
-7.44514287242,0.000584272617995,1301.45974952,1301.45874948 
-7.358209902,0.000637338337071,1374.87086315,1374.86977229 
-7.27127693157,0.000695223673659,1452.42286025,1452.42167031 
-7.18434396115,0.000758366362577,1534.34931475,1534.34801673 
-7.09741099072,0.00082724389528,1620.89697577,1620.89555986 
-7.0104780203,0.000902377130696,1712.32651077,1712.32496626 
-6.92354504987,0.000984334234013,1808.91329062,1808.91160584 
-6.83661207945,0.00107373497321,1910.94821901,1910.94638121 
-6.74967910902,0.00117125540578,2018.73860858,2018.73660386 
-6.6627461386,0.00127763299121,2132.60910651,2132.60691972 
-6.57581316817,0.00139367216762,2252.90267231,2252.9002869 
-6.48888019775,0.00152025043512,2379.98161075,2379.9790087 
-6.40194722732,0.00165832499146,2514.2286631,2514.22582472 
-6.3150142569,0.00180893997054,2656.04815983,2656.04506366 
-6.22808128648,0.00197323433818,2805.86723847,2805.86386109 
-6.14114831605,0.00215245050515,2964.13713001,2964.13344589 
-6.05421534563,0.00234794372238,3131.334518,3131.33049927 
-5.9672823752,0.00256119232952,3307.96297421,3307.95859048 
-5.88034940478,0.00279380893429,3494.55447533,3494.54969345 
-5.79341643435,0.00304755260719,3691.67100521,3691.66578904 
-5.70648346393,0.00332434218373,3899.9062475,3899.90055756 
-5.6195504935,0.00362627077495,4119.88737365,4119.88116694 
-5.53261752308,0.00395562159563,4352.27693198,4352.27016156 
-5.44568455265,0.00431488523027,4597.77484309,4597.76745775 
-5.35875158223,0.00470677846714,4857.12050796,4857.11245186 
-5.2718186118,0.00513426484284,5131.09503493,5131.08624714 
-5.18488564138,0.00560057705297,5420.52359225,5420.51400633 
-5.09795267095,0.00610924139801,5726.27789342,5726.26743687 
-5.01101970053,0.00666410444963,6049.27882264,6049.26741639 
-4.9240867301,0.00726936213881,6390.4992084,6390.48676619 
-4.83715375968,0.00792959148593,6750.9667535,6750.95318124 
-4.75022078925,0.00864978521267,7131.76713035,7131.75232542 
-4.66328781883,0.00943538949743,7534.0472509,7534.03110133 
-4.5763548484,0.01029234516,7959.01872094,7959.00110461 
-4.48942187798,0.0112271325864,8407.96148934,8407.94227303 
-4.40248890755,0.0122468207345,8882.22770306,8882.20674145 
-4.31555593713,0.0133591205902,9383.24577965,9383.22291423 
-4.2286229667,0.0145724434784,9912.52470949,9912.49976736 
-4.14168999628,0.0158959646705,10471.6586006,10471.6313932 
-4.05475702585,0.0173396927687,11062.3314801,11062.3018016 
-3.96782405543,0.0189145453923,11686.322366,11686.2899919 
-3.880891085,0.0206324317374,12345.5106255,12345.4753111 
-3.79395811458,0.0225063426357,13041.8816355,13041.8431138 
-3.70702514415,0.0245504487925,13777.5327625,13777.490742 
-3.62009217373,0.0267802079473,14554.679679,14554.6338421 
-3.5331592033,0.029212481766,15375.6630374,15375.6130374 
-3.44622623288,0.0318656633514,16242.9555198,16242.9009787 
-3.35929326245,0.0347598163332,17159.1692851,17159.1097903 
-3.27236029203,0.0379168265915,18127.0638366,18126.9989383 
-3.1854273216,0.04136056776,19149.5543337,19149.4835411 
-3.09849435118,0.0451170817604,20229.7203717,20229.6431494 
-3.01156138075,0.049214775735,21370.8152571,21370.7310212 
-2.92462841033,0.0536846368634,22576.2758066,22576.1839202 
-2.8376954399,0.0585604666914,23849.7326985,23849.6324666 
-2.75076246948,0.0638791367415,25195.0214074,25194.9120721 
-2.66382949905,0.0696808673391,26616.1937568,26616.0744913 
-2.57689652863,0.0760095317627,28117.5301225,28117.4000249 
-2.48996355821,0.0829129880182,29703.5523252,29703.4104117 
-2.40303058778,0.090443440746,31379.0372492,31378.8824465 
-2.31609761736,0.0986578359977,33149.0312303,33148.8623679 
-2.22916464693,0.107618291868,35018.8652549,35018.6810559 
-2.14223167651,0.117392568238,36994.1710168,36993.9700882 
-2.05529870608,0.128054579183,39080.8978789,39080.6787011 
-1.96836573566,0.139684951916,41285.3307925,41285.0917083 
-1.88143276523,0.152371636504,43614.1092273,43613.8484286 
-1.79449979481,0.166210570948,46074.247169,46073.9626836 
-1.70756682438,0.181306406682,48673.1542445,48672.8439212 
-1.62063385396,0.197773299957,51418.6580401,51418.3195321 
-1.53370088353,0.215735775098,54319.0276771,54318.6584246 
-1.44676791311,0.235329666174,57382.9987181,57382.5959288 
-1.35983494268,0.25670314419,60619.7994782,60619.3601061 
-1.27290197226,0.280017837564,64039.1788204,64038.699543 
-1.18596900183,0.305450054387,67651.4355184,67650.9127113 
-1.09903603141,0.333192115676,71467.4492765,71466.8789862 
-1.01210306098,0.363453809728,75498.7134988,75498.0914127 
-0.925170090557,0.396463978561,79757.3699069,79756.6913207 
-0.838237120132,0.432472248437,84256.2451107,84255.5048929 
-0.751304149707,0.471750917567,89008.8892419,89008.0817949 
-0.664371179282,0.514597015252,94029.6167666,94028.7359843 
-0.577438208858,0.561334548055,99333.5496005,99332.5888225 
-0.490505238433,0.612316949963,104936.662656,104935.614617 
-0.403572268008,0.667929755102,110855.83196,110854.688734 
-0.316639297583,0.728593513175,117108.885481,117107.638423 
-0.229706327158,0.79476696971,123714.656832,123713.296512 
-0.142773356733,0.866950535132,130693.041994,130691.558125 
-0.0558403863083,0.945690068928,138065.059245,138063.440606 
0.0310925841166,1.03158100748,145852.912467,145851.146817 
0.118025554541,1.12527286683,154080.058026,154078.132014 
0.204958524966,1.22747415438,162771.275423,162769.174483 
0.291891495391,1.33895772667,171952.74193,171950.450175 
0.378824465816,1.46056663387,181652.11144,181649.61154 
0.465757436241,1.59322049492,191898.597759,191895.870809 
0.552690406666,1.73792245186,202723.062606,202720.087985 
0.639623377091,1.89576675564,214158.108564,214154.863777 
0.726556347516,2.067947041,226238.177287,226234.637797 
0.813489317941,2.2557653528,238999.653239,238995.79228 
0.900422288365,2.46064199227,252480.973291,252476.761666 
0.98735525879,2.68412625747,266722.742494,266718.148354 
1.07428822922,2.9279081592,281767.856388,281762.844992 
1.16122119964,3.19383120107,297661.630211,297656.163662 
1.24815417006,3.48390632024,314451.935391,314445.972351 
1.33508714049,3.80032709436,332189.343748,332182.839123 
1.42202011091,4.14548632958,350927.279819,350920.184421 
1.50895308134,4.52199415525,370722.181787,370714.441959 
1.59588605176,4.93269776195,391633.671481,391625.228695 
1.68281902219,5.38070293224,413724.733969,413715.524379 
1.76975199261,5.86939752692,437061.907284,437051.861246 
1.85668496304,6.40247710437,461715.482852,461704.524397 
1.94361793346,6.9839728667,487759.717223,487747.763482 
2.03055090389,7.6182821442,515273.055755,515260.016333 
2.11748387431,8.31020164831,544338.368911,544324.145202 
2.20441684474,9.06496374489,575043.201885,575027.686329 
2.29134981516,9.88827602192,607480.038321,607463.113587 
2.37828278559,10.7863644508,641746.578895,641728.116996 
2.46521575601,11.7660204678,677946.035626,677925.896952 
2.55214872644,12.8346523317,716187.442785,716165.475044 
2.63908169686,14.0003411456,756585.985344,756562.022415 
2.72601466729,15.2719019673,799263.34596,799237.206632 
2.81294763771,16.6589504693,844348.071527,844319.558133 
2.89988060814,18.1719756539,891975.960415,891944.857333 
2.98681357856,19.8224191719,942290.471555,942256.543581 
3.07374654899,21.6227618455,995443.156597,995406.147163 
3.16067951941,23.5866180496,1051594.11646,1051553.7457 
3.24761248984,25.7288386652,1110912.48363,1110868.44625 
3.33454546026,28.065623383,1173576.93169,1173528.89468 
3.42147843069,30.6146432074,1239776.21354,1239723.81364 
3.50841140111,33.3951740864,1309709.73009,1309652.57104 
3.59534437154,36.428242678,1383588.13091,1383525.78048 
3.68227734196,39.7367853563,1461633.94887,1461565.93555 
3.76921031239,43.3458216585,1544082.27055,1544008.08001 
3.85614328281,47.2826434852,1631181.44444,1631100.51565 
3.94307625324,51.5770214846,1723193.82919,1723105.55016 
4.03000922366,56.2614301811,1820396.58399,1820300.28714 
4.11694219409,61.3712935512,1923082.50357,1922977.4607 
4.20387516451,66.9452529027,2031560.90035,2031446.31712 
4.29080813494,73.0254590849,2146158.53634,2146033.54625 
4.37774110536,79.6578912371,2267220.60757,2267084.26543 
4.46467407579,86.8927044876,2395111.78418,2394963.05897 
4.55160704621,94.7846092323,2530217.30912,2530055.07616 
4.63854001664,103.39328486,2672944.15884,2672767.1913 
4.72547298706,112.783831053,2823722.26951,2823529.22915 
4.81240595749,123.02726008,2983005.83244,2982795.25946 
4.89933892791,134.201033797,3151274.66255,3151044.96459 
4.98627189833,146.389649419,3329035.64412,3328785.08418 
5.07320486876,159.685278501,3516824.2581,3516550.94141 
5.16013783918,174.188463946,3715206.19557,3714908.05528 
5.24707080961,190.008880323,3924779.06233,3924453.84388 
5.33400378003,207.266163233,4146174.17962,4145819.42367 
5.42093675046,226.090814009,4380058.48648,4379671.51034 
5.50786972088,246.625186582,4627136.54951,4626714.42682 
5.59480269131,269.024563971,4888152.68597,4887692.22458 
5.68173566173,293.458332552,5163893.20675,5163390.92462 
5.76866863216,320.111262975,5455188.78597,5454640.88479 
5.85560160258,349.18490742,5762916.96422,5762319.30071 
5.94253457301,380.89912375,6088004.79315,6087352.84771 
6.02946754343,415.493738104,6431431.62933,6430720.47188 
6.11640051386,453.230358485,6794232.08571,6793456.33841 
6.20333348428,494.394353065,7177499.14982,7176652.94639 
6.29026645471,539.297008169,7582387.47781,7581464.41918 
6.37719942513,588.277882255,8010116.87457,8009109.98046 
6.46413239556,641.70737369,8461975.97016,8460877.62635 
6.55106536598,699.989521736,8939326.10388,8938128.00457 
6.63799833641,763.565061942,9443605.42749,9442298.51253 
6.72493130683,832.914759028,9976333.24017,9974907.62655 
6.81186427726,908.563042476,10539114.5681,10537559.4752 
6.89879724768,991.081972322,11133645.0026,11131948.6706 
6.98573021811,1081.09556513,11761715.8115,11759865.4126 
7.07266318853,1179.28451287,12425219.3388,12423200.8801 
7.15959615896,1286.39133038,13126154.7098,13123952.9274 
7.24652912938,1403.22597033,13866633.8572,13864232.1012 
7.33346209981,1530.6719482,14648887.8891,14646267.997 
7.42039507023,1669.69302347,15475273.8147,15472415.9747 
7.50732804066,1821.34048768,16348281.6516,16345164.2524 
7.59426101108,1986.76111443,17270541.9327,17267141.4002 
7.68119398151,2167.20583137,18244833.6382,18241124.2573 
7.76812695193,2364.03917985,19274092.5754,19270046.2953 
7.85505992236,2578.74963374,20361420.2311,20357006.4534 
7.94199289278,2812.96085538,21510093.1245,21505278.4718 
8.02892586321,3068.44397393,22723572.6882,22718320.7515 
8.11585883363,3347.13097877,24005515.707,23999786.7708 
8.19146533655,3610.00824965,25366100.068,25353536.0884 
8.26210533706,3874.24210581,26797129.5661,26783645.9685 
8.33274533758,4157.81650801,28308894.187,28294423.66 
8.40338533809,4462.14708378,29905949.0642,29890419.3699 
8.47402533861,4788.75307722,31593106.3545,31576439.9672 
8.54466533912,5139.26493324,33375449.7412,33357563.4608 
8.61530533964,5515.43243681,35258349.7567,35239154.2935 
8.68594534016,5919.13344811,37247479.9699,37226879.4985 
8.75658534067,6352.38327692,39348834.087,39326725.7681 
8.82722534119,6817.34474321,41568744.0169,41545017.4839 
8.8978653417,7316.33897417,43913898.9574,43888435.7654 
8.96850534222,7851.85699143,46391365.5576,46364038.5921 
9.03914534273,8426.57214647,49008609.2185,48979282.0611 
9.10978534325,9043.35346622,51773516.5962,51742042.8432 
9.18042534377,9705.27997546,54694419.375,54660641.9067 
9.25106534428,10415.6560676,57780119.3819,57743869.5783 
9.3217053448,11178.0280006,61039915.1192,61001012.0183 
9.39234534531,11996.2015998,64483629.7946,64441879.1887 
9.46298534583,12874.2612575,68121640.9329,68076834.3995 
9.53362534634,13816.5903222,71964911.66,71916825.5209 
9.60426534686,14827.8929806,76025023.7515,75973417.9569 
9.67490534738,15913.2177417,80314212.5483,80258829.4775 
9.74554534789,17077.9826389,84845403.8414,84785967.0175 
9.81618534841,18328.0022777,89632252.8402,89568465.5494 
9.88682534892,19669.5168624,94689185.3391,94620729.1499 
9.95746534944,21109.2233478,100031441.209,99957974.3824 
10.02810535,22654.3088711,105675120.344,105596276.127 
10.0987453505,24312.4866308,111637231.199,111552615.994 
10.169385351,26092.0343911,117935742.071,117844933.473 
10.2400253515,28001.8358058,124589635.275,124492179.959 
10.310665352,30051.424766,131618964.373,131514375.835 
