logpressurec2,pressurec2,energy_densityc2,baryon_density 
-9.87926604432,5.12258615871e-05,280.000087678,280.0 
-9.78367315979,5.636437997e-05,297.415290766,297.415194293 
-9.68808027527,6.20183483688e-05,315.913669708,315.913563558 
-9.59248739074,6.82394721e-05,335.562594961,335.562478162 
-9.49689450622,7.50846430929e-05,356.433627229,356.433498714 
-9.40130162169,8.26164601645e-05,378.602778094,378.602636688 
-9.30570873717,9.09038014825e-05,402.150786842,402.150631251 
-9.21011585264,0.000100022454454,427.163414514,427.163243316 
-9.11452296811,0.000110055808799,453.731756249,453.731567878 
-9.01893008359,0.000121095619144,481.952573042,481.952365775 
-8.92333719906,0.000133242844115,511.928644154,511.928416096 
-8.82774431454,0.000146608569603,543.769141425,543.768890491 
-8.73215143001,0.000161315024637,577.590026877,577.58975077 
-8.63655854548,0.000177496699163,613.514475042,613.514171239 
-8.54096566096,0.000195301573953,651.673321565,651.672987288 
-8.44537277643,0.000214892473879,692.2055397,692.205171891 
-8.34977989191,0.000236448556942,735.258746449,735.258341745 
-8.25418700738,0.000260166952667,780.989740178,780.989294877 
-8.15859412286,0.000286264564839,829.565071671,829.564581702 
-8.06300123833,0.000314980055086,881.161650709,881.161111591 
-7.9674083538,0.000346576025425,935.967390366,935.966797168 
-7.87181546928,0.00038134141975,994.181891386,994.181238684 
-7.77622258475,0.000419594166211,1056.01716912,1056.01645095 
-7.68062970023,0.000461684084655,1121.6984257,1121.69763548 
-7.5850368157,0.000507996085715,1191.46487018,1191.4640007 
-7.48944393118,0.0005589536908,1265.57058977,1265.56963307 
-7.39385104665,0.000615022905184,1344.28547521,1344.28442254 
-7.29825816212,0.000676716479607,1427.89620367,1427.89504541 
-7.2026652776,0.000744598599355,1516.70728288,1516.70600843 
-7.10707239307,0.000819290043717,1611.04216009,1611.04075779 
-7.01147950855,0.000901473862986,1711.24440008,1711.24285712 
-6.91588662402,0.000991901624924,1817.67893642,1817.67723869 
-6.82029373949,0.00109140028782,1930.73340056,1930.73153252 
-6.72470085497,0.001200879763,2050.81953353,2050.81747811 
-6.62910797044,0.00132134123591,2178.37468558,2178.37242397 
-6.53351508592,0.00145388632193,2313.86340889,2313.86092042 
-6.43792220139,0.00159972714062,2457.77914957,2457.77641148 
-6.34232931687,0.00176019740047,2610.64604471,2610.64303196 
-6.24673643234,0.00193676459562,2773.02083131,2773.01751636 
-6.15114354781,0.00213104342607,2945.49487393,2945.49122644 
-6.05555066329,0.002344810564,3128.69631837,3128.692305 
-5.95995777876,0.0025800209014,3323.29237944,3323.28796348 
-5.86436489424,0.00283882542746,3529.99177089,3529.98691197 
-5.76877200971,0.00312359089929,3749.54728659,3749.54194026 
-5.67317912519,0.00343692148582,3982.75854217,3982.75265955 
-5.57758624066,0.00378168258282,4230.47488721,4230.4684145 
-5.48199335613,0.00416102701683,4493.5984986,4493.5913766 
-5.38640047161,0.00457842387761,4773.08766621,4773.0798298 
-5.29080758708,0.0050376902429,5069.96028305,5069.95166056 
-5.19521470256,0.00554302608535,5385.29755235,5385.28806493 
-5.09962181803,0.00609905268118,5720.24792538,5720.23748626 
-5.00402893351,0.0067108548715,6076.03128405,6076.01979778 
-4.90843604898,0.00738402756306,6453.94338377,6453.9307453 
-4.81284316445,0.00812472689338,6855.36057256,6855.34666631 
-4.71725027993,0.00893972652841,7281.74480372,7281.72950252 
-4.6216573954,0.00983647960744,7734.64896029,7734.63212421 
-4.52606451088,0.0108231869018,8215.72251066,8215.70398574 
-4.43047162635,0.0119088718104,8726.71751593,8726.69713276 
-4.33487874182,0.0131034628787,9269.49501096,9269.47258312 
-4.2392858573,0.0144178845945,9846.03178224,9846.00710465 
-4.14369297277,0.0158641572922,10458.4275675,10458.4004144 
-4.04810008825,0.0174555070782,11108.9127027,11108.8828259 
-3.95250720372,0.0192064867831,11799.8562453,11799.8233716 
-3.8569143192,0.0211331090467,12533.7746023,12533.738431 
-3.76132143467,0.0232529927531,13313.340695,13313.3008952 
-3.66572855014,0.0255855241545,14141.3936936,14141.3499016 
-3.57013566562,0.0281520341581,15020.9493583,15020.9011733 
-3.47454278109,0.0309759933958,15955.2110217,15955.1580033 
-3.37894989657,0.0340832268626,16947.5812565,16947.5229197 
-3.28335701204,0.0375021500853,18001.674267,18001.6100784 
-3.18776412752,0.0412640289809,19121.3290526,19121.2584252 
-3.09217124299,0.0454032657824,20310.6233894,20310.5456773 
-2.99657835846,0.049957713646,21573.8886818,21573.8031744 
-2.90098547394,0.0549690228164,22915.7257374,22915.6316526 
-2.80539258941,0.0604830215171,24341.0215236,24340.9180011 
-2.70979970489,0.066550135047,25854.9669661,25854.8530592 
-2.61420682036,0.0732258469185,27463.0758545,27462.9505215 
-2.51861393583,0.0805712062514,29171.2049239,29171.0670186 
-2.42302105131,0.088653386065,30985.5751854,30985.4234466 
-2.32742816678,0.0975462975727,32912.7945835,32912.6276237 
-2.23183528226,0.107331266097,34959.8820627,34959.698355 
-2.13624239773,0.118097774786,37134.2931309,37134.0909952 
-2.04064951321,0.129944282935,39443.947013,39443.7246008 
-1.94505662868,0.14297912639,41897.2554932,41897.0107707 
-1.84946374415,0.157321508276,44503.1535518,44502.8842809 
-1.75387085963,0.173102589106,47271.1319067,47270.835625 
-1.6582779751,0.190466686237,50211.2715799,50210.9455778 
-1.56268509058,0.209572593649,53334.2806131,53333.9219095 
-1.46709220605,0.230595034105,56651.5330681,56651.1383826 
-1.37149932153,0.253726256988,60175.1104517,60174.6761749 
-1.275906437,0.279177796413,63917.8457184,63917.3678788 
-1.18031355247,0.307182405696,67893.3700092,67892.844237 
-1.08472066795,0.337996185878,72116.1622981,72115.5837852 
-0.989127783422,0.371900927754,76601.6021263,76600.9655822 
-0.893534898896,0.409206688841,81366.0256167,81365.3252202 
-0.79794201437,0.450254628844,86426.7849721,86426.0143181 
-0.702349129845,0.495420129542,91802.3116748,91801.4637156 
-0.606756245319,0.545116227647,97512.1836165,97511.2505977 
-0.511163360793,0.599797392,103577.196405,103576.169794 
-0.415570476267,0.659963679678,110019.439103,110018.309512 
-0.319977591741,0.726165308991,116862.374685,116861.131783 
-0.224384707216,0.799007691211,124130.925487,124129.557909 
-0.12879182269,0.879156967029,131851.563987,131850.059225 
-0.0331989381641,0.967346098389,140052.409213,140050.753507 
0.0623939463616,1.06438157139,148763.329167,148761.507375 
0.157986830887,1.17115077159,158016.049606,158014.045069 
0.253579715413,1.28863009907,167844.269597,167842.063983 
0.349172599939,1.41789389762,178283.784255,178281.357393 
0.444765484465,1.56012427955,189372.615116,189369.944814 
0.540358368991,1.71662193604,201151.148628,201148.210464 
0.635951253516,1.88881803194,213662.28324,213659.050346 
0.731544138042,2.07828729373,226951.585657,226948.028468 
0.827137022568,2.28676241026,241067.456804,241063.54279 
0.922729907094,2.51614987819,256061.308118,256057.001485 
1.01832279162,2.76854743682,271987.748802,271983.010167 
1.11391567615,3.04626325179,288904.784734,288899.570762 
1.20950856067,3.35183702319,306874.029738,306868.292747 
1.3051014452,3.68806321103,325960.930009,325954.617535 
1.40069432972,4.05801659043,346235.002488,346228.056803 
1.49628721425,4.46508037037,367770.08807,367762.445656 
1.59188009877,4.91297713293,390644.620562,390636.21153 
1.6874729833,5.40580287621,414941.912372,414932.659822 
1.78306586783,5.94806447208,440750.457967,440740.277283 
1.87865875235,6.54472088127,468164.256207,468153.054289 
1.97425163688,7.20122850295,497283.152738,497270.827143 
2.0698445214,7.92359107325,528213.203669,528199.641682 
2.16543740593,8.71841456918,561067.061891,561052.139487 
2.26103029045,9.59296762002,595964.387407,595947.968121 
2.35662317498,10.5552479787,633032.283204,633014.216883 
2.45221605951,11.6140556609,672405.758231,672385.879659 
2.54780894403,12.7790734207,714228.219178,714206.346566 
2.64340182856,14.0609552994,758651.992851,758627.926175 
2.73899471308,15.4714240558,805838.881041,805812.400212 
2.83458759761,17.0233783706,855960.749907,855931.61276 
2.93018048214,18.7310108044,909200.156033,909168.096109 
3.02577336666,20.609937588,965751.011421,965715.735532 
3.12136625119,22.6773414322,1025819.28986,1025780.47541 
3.21695913571,24.952128663,1089623.77724,1089581.06927 
3.31255202024,27.4551021193,1157396.86853,1157349.87648 
3.40814490476,30.2091513939,1229385.41436,1229333.7085 
3.50373778929,33.239462158,1305851.62026,1305794.72773 
3.59933067382,36.5737464832,1387074.00181,1387011.40233 
3.69492355834,40.2424962672,1473348.3993,1473279.5204 
3.79051644287,44.2792620811,1564989.05538,1564913.26717 
3.88610932739,48.7209599879,1662329.75991,1662246.36931 
3.98170221192,53.6082091385,1765725.06592,1765633.31032 
4.07729509644,58.9857032323,1875551.58127,1875450.62157 
4.17288798097,64.9026192391,1992209.34064,1992098.25358 
4.2684808655,71.4130671207,2116123.26296,2116001.03264 
4.36407375002,78.5765846646,2247744.69939,2247610.20802 
4.45966663455,86.458681954,2387553.07774,2387405.0954 
4.55525951907,95.1314404556,2536057.64912,2535894.82252 
4.6508524036,104.674172201,2693799.34328,2693620.18338 
4.74644528813,115.174145094,2861352.73943,2861155.60782 
4.84203817265,126.727380969,3039328.15967,3039111.25358 
4.93763105718,139.439533709,3228373.89259,3228135.22843 
5.0332239417,153.426855445,3429178.5554,3428915.9506 
5.12881682623,168.817259681,3642473.60289,3642184.65593 
5.22440971075,185.75149105,3869035.99258,3868718.06105 
5.32000259528,204.384412427,4109691.01567,4109341.19212 
