logpressurec2,pressurec2,energy_densityc2,baryon_density 
-9.21034037198,0.0001,1.32630046104e+15,1.32630046104e+15 
-8.69865479576,0.00016681005372,1.32630046104e+15,1.32630046104e+15 
-8.18696921953,0.000278255940221,1.32630046104e+15,1.32630046104e+15 
-7.67528364331,0.000464158883361,1.32630046104e+15,1.32630046104e+15 
-7.16359806709,0.000774263682681,1.32630046104e+15,1.32630046104e+15 
-6.65191249087,0.00129154966501,1.32630046104e+15,1.32630046104e+15 
-6.14022691465,0.00215443469003,1.32630046104e+15,1.32630046104e+15 
-5.62854133843,0.0035938136638,1.32630046104e+15,1.32630046104e+15 
-5.11685576221,0.00599484250319,1.32630046104e+15,1.32630046104e+15 
-4.60517018599,0.01,1.32630046104e+15,1.32630046104e+15 
-4.09348460977,0.016681005372,1.32630046104e+15,1.32630046104e+15 
-3.58179903355,0.0278255940221,1.32630046104e+15,1.32630046104e+15 
-3.07011345733,0.0464158883361,1.32630046104e+15,1.32630046104e+15 
-2.5584278811,0.0774263682681,1.32630046104e+15,1.32630046104e+15 
-2.04674230488,0.129154966501,1.32630046104e+15,1.32630046104e+15 
-1.53505672866,0.215443469003,1.32630046104e+15,1.32630046104e+15 
-1.02337115244,0.35938136638,1.32630046104e+15,1.32630046104e+15 
-0.511685576221,0.599484250319,1.32630046104e+15,1.32630046104e+15 
0.0,1.0,1.32630046104e+15,1.32630046104e+15 
0.511685576221,1.6681005372,1.32630046104e+15,1.32630046104e+15 
1.02337115244,2.78255940221,1.32630046104e+15,1.32630046104e+15 
1.53505672866,4.64158883361,1.32630046104e+15,1.32630046104e+15 
2.04674230488,7.74263682681,1.32630046104e+15,1.32630046104e+15 
2.5584278811,12.9154966501,1.32630046104e+15,1.32630046104e+15 
3.07011345733,21.5443469003,1.32630046104e+15,1.32630046104e+15 
3.58179903355,35.938136638,1.32630046104e+15,1.32630046104e+15 
4.09348460977,59.9484250319,1.32630046104e+15,1.32630046104e+15 
4.60517018599,100.0,1.32630046104e+15,1.32630046104e+15 
5.11685576221,166.81005372,1.32630046104e+15,1.32630046104e+15 
5.62854133843,278.255940221,1.32630046104e+15,1.32630046104e+15 
6.14022691465,464.158883361,1.32630046104e+15,1.32630046104e+15 
6.65191249087,774.263682681,1.32630046104e+15,1.32630046104e+15 
7.16359806709,1291.54966501,1.32630046104e+15,1.32630046104e+15 
7.67528364331,2154.43469003,1.32630046104e+15,1.32630046104e+15 
8.18696921953,3593.8136638,1.32630046104e+15,1.32630046104e+15 
8.69865479576,5994.84250319,1.32630046105e+15,1.32630046105e+15 
9.21034037198,10000.0,1.32630046105e+15,1.32630046105e+15 
9.7220259482,16681.005372,1.32630046106e+15,1.32630046106e+15 
10.2337115244,27825.5940221,1.32630046107e+15,1.32630046107e+15 
10.7453971006,46415.8883361,1.32630046109e+15,1.32630046109e+15 
11.2570826769,77426.3682681,1.32630046112e+15,1.32630046112e+15 
11.7687682531,129154.966501,1.32630046117e+15,1.32630046117e+15 
12.2804538293,215443.469003,1.32630046126e+15,1.32630046126e+15 
12.7921394055,359381.36638,1.3263004614e+15,1.3263004614e+15 
13.3038249817,599484.250319,1.32630046164e+15,1.32630046164e+15 
13.815510558,1000000.0,1.32630046204e+15,1.32630046204e+15 
14.3271961342,1668100.5372,1.32630046271e+15,1.32630046271e+15 
14.8388817104,2782559.40221,1.32630046382e+15,1.32630046382e+15 
15.3505672866,4641588.83361,1.32630046568e+15,1.32630046568e+15 
15.8622528628,7742636.82681,1.32630046878e+15,1.32630046878e+15 
16.3739384391,12915496.6501,1.32630047396e+15,1.32630047396e+15 
16.8856240153,21544346.9003,1.32630048258e+15,1.32630048258e+15 
17.3973095915,35938136.638,1.32630049698e+15,1.32630049698e+15 
17.9089951677,59948425.0319,1.32630052099e+15,1.32630052099e+15 
18.420680744,100000000.0,1.32630056104e+15,1.32630056104e+15 
18.9323663202,166810053.72,1.32630062785e+15,1.32630062785e+15 
19.4440518964,278255940.221,1.3263007393e+15,1.3263007393e+15 
19.9557374726,464158883.361,1.3263009252e+15,1.3263009252e+15 
20.4674230488,774263682.681,1.3263012353e+15,1.3263012353e+15 
20.9791086251,1291549665.01,1.32630175259e+15,1.32630175259e+15 
21.4907942013,2154434690.03,1.32630261547e+15,1.32630261547e+15 
22.0024797775,3593813663.8,1.32630405485e+15,1.32630405485e+15 
22.5141653537,5994842503.19,1.32630645588e+15,1.32630645587e+15 
23.0258509299,10000000000.0,1.32631046104e+15,1.326310461e+15 
23.5375365062,16681005372.0,1.32631714205e+15,1.32631714194e+15 
24.0492220824,27825594022.1,1.32632828663e+15,1.32632828634e+15 
24.5609076586,46415888336.1,1.32634687693e+15,1.32634687612e+15 
25.0725932348,77426368268.1,1.32637788741e+15,1.32637788515e+15 
25.584278811,1.29154966501e+11,1.32642961601e+15,1.32642960972e+15 
26.0959643873,2.15443469003e+11,1.32651590451e+15,1.32651588701e+15 
26.6076499635,3.5938136638e+11,1.32665984241e+15,1.32665979373e+15 
27.1193355397,5.99484250319e+11,1.32689994529e+15,1.32689980987e+15 
27.6310211159,1e+12,1.32730046104e+15,1.32730008434e+15 
28.1427066921,1.6681005372e+12,1.32796856158e+15,1.3279675139e+15 
28.6543922684,2.78255940221e+12,1.32908302044e+15,1.32908010767e+15 
29.1660778446,4.64158883361e+12,1.33094204987e+15,1.3309339562e+15 
29.6777634208,7.74263682681e+12,1.33404309787e+15,1.33402062898e+15 
30.189448997,1.29154966501e+13,1.33921595769e+15,1.33915367724e+15 
30.7011345733,2.15443469003e+13,1.34784480794e+15,1.34767261136e+15 
31.2128201495,3.5938136638e+13,1.36223859768e+15,1.36176446104e+15 
31.7245057257,5.99484250319e+13,1.38624888607e+15,1.38495204266e+15 
32.2361913019,1e+14,1.42630046104e+15,1.42279056968e+15 
32.7478768781,1.6681005372e+14,1.49311051476e+15,1.48376326119e+15 
33.2595624544,2.78255940221e+14,1.60455640126e+15,1.58024519508e+15 
33.7712480306,4.64158883361e+14,1.7904593444e+15,1.72924873715e+15 
34.2829336068,7.74263682681e+14,2.10056414372e+15,1.95266112564e+15 
34.794619183,1.29154966501e+15,2.61785012605e+15,2.27706801508e+15 
35.3063047592,2.15443469003e+15,3.48073515107e+15,2.73384863485e+15 
35.8179903355,3.5938136638e+15,4.92011412484e+15,3.36036104479e+15 
36.3296759117,5.99484250319e+15,7.32114296423e+15,4.20249897854e+15 
36.8413614879,1e+16,1.1326300461e+16,5.31837213194e+15 
37.3530470641,1.6681005372e+16,1.8007305833e+16,6.78285508794e+15 
37.8647326403,2.78255940221e+16,2.91518944831e+16,8.69305868342e+15 
38.3764182166,4.64158883361e+16,4.77421887972e+16,1.11750570966e+16 
38.8881037928,7.74263682681e+16,7.87526687292e+16,1.43923705057e+16 
39.399789369,1.29154966501e+17,1.30481266963e+17,1.85568223612e+16 
39.9114749452,2.15443469003e+17,2.16769769464e+17,2.39425273822e+16 
40.4231605215,3.5938136638e+17,3.60707666842e+17,3.09039547106e+16 
40.9348460977,5.99484250319e+17,6.0081055078e+17,3.98992675131e+16 
41.4465316739,1e+18,1.00132630046e+18,5.15204813156e+16 
