logpressurec2,pressurec2,energy_densityc2,baryon_density 
-9.21034037198,0.0001,1768202500.0,1768202500.0 
-8.72191323104,0.000162975083462,1768202500.0,1768202500.0 
-8.2334860901,0.000265608778295,1768202500.0,1768202500.0 
-7.74505894916,0.000432876128108,1768202500.0,1768202500.0 
-7.25663180822,0.000705480231072,1768202500.0,1768202500.0 
-6.76820466729,0.0011497569954,1768202500.0,1768202500.0 
-6.27977752635,0.00187381742286,1768202500.0,1768202500.0 
-5.79135038541,0.00305385550883,1768202500.0,1768202500.0 
-5.30292324447,0.00497702356433,1768202500.01,1768202500.01 
-4.81449610353,0.0081113083079,1768202500.01,1768202500.01 
-4.32606896259,0.0132194114847,1768202500.02,1768202500.02 
-3.83764182166,0.0215443469003,1768202500.03,1768202500.03 
-3.34921468072,0.0351119173422,1768202500.05,1768202500.05 
-2.86078753978,0.0572236765935,1768202500.09,1768202500.09 
-2.37236039884,0.0932603346883,1768202500.14,1768202500.14 
-1.8839332579,0.151991108295,1768202500.23,1768202500.23 
-1.39550611697,0.247707635599,1768202500.38,1768202500.38 
-0.907078976028,0.40370172586,1768202500.61,1768202500.61 
-0.41865183509,0.657933224658,1768202501.0,1768202501.0 
0.0697753058483,1.07226722201,1768202501.62,1768202501.62 
0.558202446786,1.74752840001,1768202502.65,1768202502.65 
1.04662958772,2.84803586844,1768202504.32,1768202504.32 
1.53505672866,4.64158883361,1768202507.03,1768202507.03 
2.0234838696,7.56463327555,1768202511.46,1768202511.46 
2.51191101054,12.3284673944,1768202518.68,1768202518.68 
3.00033815148,20.0923300257,1768202530.44,1768202530.44 
3.48876529242,32.7454916288,1768202549.61,1768202549.61 
3.97719243335,53.3669923121,1768202580.86,1768202580.86 
4.46561957429,86.9749002618,1768202631.78,1768202631.78 
4.95404671523,141.747416293,1768202714.77,1768202714.77 
5.44247385617,231.012970008,1768202850.02,1768202850.02 
5.93090099711,376.493580679,1768203070.44,1768203070.44 
6.41932813804,613.590727341,1768203429.68,1768203429.68 
6.90775527898,1000.0,1768204015.15,1768204015.15 
7.39618241992,1629.75083462,1768204969.32,1768204969.32 
7.88460956086,2656.08778295,1768206524.38,1768206524.37 
8.3730367018,4328.76128108,1768209058.73,1768209058.72 
8.86146384273,7054.80231072,1768213189.09,1768213189.07 
9.34989098367,11497.569954,1768219920.56,1768219920.5 
9.83831812461,18738.1742286,1768230891.17,1768230891.02 
10.3267452655,30538.5550883,1768248770.54,1768248770.14 
10.8151724065,49770.2356433,1768277909.45,1768277908.39 
11.3035995474,81113.083079,1768325398.61,1768325395.79 
11.7920266884,132194.114847,1768402794.11,1768402786.63 
12.2804538293,215443.469003,1768528929.5,1768528909.61 
12.7688809702,351119.173422,1768734498.75,1768734445.94 
