EoS,M,rhoc,R,Lambda,I 
AP4_LAL,1.4,9.08548601122e+14,11.4242474271,265.229924017,1.32411231618
APR4_EPP,1.4,9.17586476578e+14,11.3216272052,248.399638261,1.30587067947
APR_LAL,1.4,9.19059781264e+14,11.3464297014,247.767404894,1.30570779901
BHF_BBB2_LAL,1.4,1.05167116884e+15,11.1771991402,216.465024203,1.26140715085
H3_LAL,1.4,6.32568842126e+14,13.8571239891,838.975589049,1.79520286502
H4_LAL,1.4,5.7149812995e+14,13.687740512,892.381521747,1.83171494977
HQC18_LAL,1.4,9.00568263141e+14,11.4937576685,257.580710723,1.31687744966
KDE0V1_LAL,1.4,9.54805556492e+14,11.6360595613,272.106979666,1.32819271149
KDE0V_LAL,1.4,9.89347619944e+14,11.4272115502,239.804610489,1.29671877496
MPA1_LAL,1.4,6.72841304456e+14,12.4564788264,487.327041659,1.55386139263
MS1B_LAL,1.4,4.49497034923e+14,14.5507329382,1262.51968888,2.01267804848
MS1B_PP,1.4,4.44984491124e+14,14.5301724916,1238.21187214,2.00108876874
MS1_LAL,1.4,4.40972016812e+14,14.8851126466,1375.59131614,2.06843219094
MS1_PP,1.4,4.31023155819e+14,14.9285768817,1371.8933536,2.06976300365
RS_LAL,1.4,6.98375895827e+14,12.9437100215,591.935176378,1.63268914257
SK255_LAL,1.4,6.9475442017e+14,13.1592525411,586.043577874,1.62833584002
SK272_LAL,1.4,6.54331018962e+14,13.3279772173,640.321129808,1.66943065603
SKA_LAL,1.4,6.8764366011e+14,12.9292135729,564.373587156,1.61329302512
SKB_LAL,1.4,7.33730919109e+14,12.2179015435,417.504689918,1.53888956261
SKI2_LAL,1.4,6.25196387023e+14,13.4982349295,768.313811525,1.75406062644
SKI3_LAL,1.4,6.01981812265e+14,13.5690884508,785.674211687,1.7640917897
SKI4_LAL,1.4,7.33607923568e+14,12.3851239184,481.453022174,1.53664813657
SKI5_LAL,1.4,5.57138672647e+14,14.0979099639,997.142952219,1.89087946705
SKI6_LAL,1.4,7.17523705182e+14,12.5017617308,476.486492896,1.55492983299
SKMP_LAL,1.4,7.52054789289e+14,12.508853284,479.526301755,1.54335108674
SKOP_LAL,1.4,8.63190827615e+14,12.1390190228,360.726057655,1.43434362803
SLY230A_LAL,1.4,8.43018530815e+14,11.8430073906,340.728118973,1.40267655304
SLY2_LAL,1.4,8.80388609074e+14,11.7936721027,305.538960841,1.38029445685
SLY9_LAL,1.4,7.48104784126e+14,12.4796649185,453.462351041,1.51930890564
SLY_LAL,1.4,8.93617974938e+14,11.7258292782,298.13495239,1.36606378649
WFF1_LAL,1.4,1.09950982792e+15,10.4090889714,150.759975627,1.1591929322
