rhoc,M,R,Lambda
4.023607081106438750e+14,2.973129048631245608e-01,1.300877494045660576e+01,7.092288068961646641e+05
4.148794022101799375e+14,3.155036738189627710e-01,1.278807906410080797e+01,5.356009040408023866e+05
4.271129808374020625e+14,3.336944427748009812e-01,1.260476839753197886e+01,4.110642988663117867e+05
4.389541947139041875e+14,3.518852117306391913e-01,1.245082913575534000e+01,3.200101151442137780e+05
4.503538721452308750e+14,3.700759806864774015e-01,1.232043839092799509e+01,2.522290796420173720e+05
4.614070511215361875e+14,3.882667496423156117e-01,1.220920570517070836e+01,2.010969105489484500e+05
4.721434962691871875e+14,4.064575185981538219e-01,1.211369375829594119e+01,1.619468145159883425e+05
4.825719138355249375e+14,4.246482875539919766e-01,1.203121512892012213e+01,1.316019423865616554e+05
4.926947853602806250e+14,4.428390565098302423e-01,1.195965905127440543e+01,1.078393962477479217e+05
5.025653669662646875e+14,4.610298254656683969e-01,1.189735392269733261e+01,8.905688381452174508e+04
5.122237683358636250e+14,4.792205944215066626e-01,1.184294793001746982e+01,7.405477859676274238e+04
5.216236895687307500e+14,4.974113633773448173e-01,1.179529149698936408e+01,6.197124156858089555e+04
5.308016211648309375e+14,5.156021323331829720e-01,1.175346731368339448e+01,5.216783220008257194e+04
5.398326043798260000e+14,5.337929012890212377e-01,1.171668643832563284e+01,4.416061446139385953e+04
5.487290638878891250e+14,5.519836702448595034e-01,1.168429793994957322e+01,3.757253222160620498e+04
5.574973644548058125e+14,5.701744392006976581e-01,1.165573758267911941e+01,3.212016733479614413e+04
5.660654659823536250e+14,5.883652081565358127e-01,1.163052523722986109e+01,2.757761200052893037e+04
5.745064861575042500e+14,6.065559771123740784e-01,1.160826045650564886e+01,2.377464368876992012e+04
5.828363528213910000e+14,6.247467460682123441e-01,1.158860101628993533e+01,2.057628674569961368e+04
5.910456477779117500e+14,6.429375150240504988e-01,1.157123880534737381e+01,1.787379470088122980e+04
5.991667799359812500e+14,6.611282839798886535e-01,1.155591340447732840e+01,1.558098722125739368e+04
6.071884701414778750e+14,6.793190529357269192e-01,1.154238843195626174e+01,1.362344781866650010e+04
6.150948836887712500e+14,6.975098218915651849e-01,1.153045972463363533e+01,1.194880543688385842e+04
6.229557600617457500e+14,7.157005908474033395e-01,1.151994937369395799e+01,1.051013353540948447e+04
6.307158329064561250e+14,7.338913598032414942e-01,1.151070753512245659e+01,9.267561681474429861e+03
6.384398056068222500e+14,7.520821287590797599e-01,1.150259621679060729e+01,8.195021344603384932e+03
6.460998015603468750e+14,7.702728977149179146e-01,1.149549532903786542e+01,7.262989978239967058e+03
6.537122718750581250e+14,7.884636666707560693e-01,1.148929313835298061e+01,6.451231822668638415e+03
6.612797136020801250e+14,8.066544356265943350e-01,1.148388803917143086e+01,5.743211183388575591e+03
