rhoc,M,R,Lambda
3.993121238997700000e+14,2.973219458956981032e-01,1.275218417549631056e+01,6.119131634786799550e+05
4.080411640266998125e+14,3.137339657332303133e-01,1.257646529603574592e+01,4.816370113446211908e+05
4.167161890349516250e+14,3.301459855707625235e-01,1.242982087429824389e+01,3.837300526914747898e+05
4.253526885512150625e+14,3.465580054082947337e-01,1.230634144429410881e+01,3.090832282019179547e+05
4.339735259228038125e+14,3.629700252458269438e-01,1.220156041326323759e+01,2.513468072872340854e+05
4.425890624812729375e+14,3.793820450833591540e-01,1.211204428663032573e+01,2.062287490049396001e+05
4.512223915560831250e+14,3.957940649208913642e-01,1.203511053413306975e+01,1.705252431558912212e+05
4.599100179610638750e+14,4.122060847584235743e-01,1.196862441948247735e+01,1.420307927809328539e+05
4.686394504204092500e+14,4.286181045959557845e-01,1.191086900915482261e+01,1.190512772170432581e+05
4.772518870021006250e+14,4.450301244334879947e-01,1.186047361941327338e+01,1.003901114226229547e+05
4.857166280090872500e+14,4.614421442710202048e-01,1.181633352364215916e+01,8.511463633057448897e+04
4.940729597527168750e+14,4.778541641085524150e-01,1.177756136740426385e+01,7.251889072308597679e+04
5.023356563380055000e+14,4.942661839460846251e-01,1.174341938518024264e+01,6.208390313465892541e+04
5.104898151878342500e+14,5.106782037836168353e-01,1.171328606062664690e+01,5.337143135147845169e+04
5.184607230169653125e+14,5.270902236211489900e-01,1.168664839144755874e+01,4.606807441299963102e+04
5.263341598350656250e+14,5.435022434586812556e-01,1.166307432669754007e+01,3.992534255341468815e+04
5.341182977897033125e+14,5.599142632962135213e-01,1.164219479972174121e+01,3.471877861615348229e+04
5.419366474656798750e+14,5.763262831337456760e-01,1.162368600896732751e+01,3.029448251812538365e+04
5.498150256145053125e+14,5.927383029712778306e-01,1.160725728564438697e+01,2.651659165615849633e+04
5.577785376771066250e+14,6.091503228088100963e-01,1.159263680121320483e+01,2.327749179584988815e+04
5.658237833145011250e+14,6.255623426463423620e-01,1.157959439786026934e+01,2.049471185363713448e+04
5.739210146198503750e+14,6.419743624838745166e-01,1.156792022500266981e+01,1.808861691142536074e+04
5.820842832107791250e+14,6.583863823214066713e-01,1.155743349244421658e+01,1.600226680133616355e+04
5.903339091405975000e+14,6.747984021589389370e-01,1.154797281815038978e+01,1.419164037345960969e+04
5.986533817251323750e+14,6.912104219964712026e-01,1.153939400264014381e+01,1.261480997640850001e+04
6.070704502274458750e+14,7.076224418340033573e-01,1.153156755486273610e+01,1.123435201323883302e+04
6.155673699389828750e+14,7.240344616715355119e-01,1.152438154097409395e+01,1.002556879936558289e+04
6.241427452252047500e+14,7.404464815090677776e-01,1.151772962163371616e+01,8.961865707064382150e+03
6.328703551062972500e+14,7.568585013466000433e-01,1.151152315151215788e+01,8.026268185612496382e+03
6.416970150486837500e+14,7.732705211841321979e-01,1.150567086863592792e+01,7.198572146179312767e+03
6.506295504786935000e+14,7.896825410216643526e-01,1.150009929837955092e+01,6.467953666197809980e+03
6.595225396663540000e+14,8.060945608591967293e-01,1.149473418137636216e+01,5.818553287468099370e+03
6.684025232389762500e+14,8.225065806967288840e-01,1.148953303608032073e+01,5.240925676445554927e+03
6.771531708419787500e+14,8.389186005342610386e-01,1.148444669514012695e+01,4.728974807199304450e+03
6.858795550840827500e+14,8.553306203717931933e-01,1.147944871434093805e+01,4.271134757404815900e+03
6.946076576551370000e+14,8.717426402093255700e-01,1.147451058473235896e+01,3.861762574188084272e+03
7.034523014893681250e+14,8.881546600468577246e-01,1.146960198978195855e+01,3.496785000675906304e+03
7.123975747321928750e+14,9.045666798843898793e-01,1.146468984709654926e+01,3.169133800707344562e+03
7.215592135294273750e+14,9.209786997219220339e-01,1.145973762636238469e+01,2.875898801071743947e+03
7.308449200209737500e+14,9.373907195594544106e-01,1.145470702001446206e+01,2.611584197197667436e+03
7.402798183672781250e+14,9.538027393969865653e-01,1.144956142600231708e+01,2.374083310591661757e+03
7.498663695164988750e+14,9.702147592345187199e-01,1.144426895819278656e+01,2.160117195972930858e+03
7.595876789108248750e+14,9.866267790720508746e-01,1.143879751612532658e+01,1.967092400923798095e+03
7.695673171678036250e+14,1.003038798909583251e+00,1.143311521011539966e+01,1.792701488216508551e+03
7.797091598939180000e+14,1.019450818747115406e+00,1.142718768738408386e+01,1.634836690869802624e+03
7.900573372635603750e+14,1.035862838584647561e+00,1.142098230176134877e+01,1.491843865726365948e+03
