rhoc,M,R,Lambda
3.081200984888970000e+14,2.974183538711987485e-01,1.385910655804429226e+01,1.054114470031298697e+06
3.169523040339160000e+14,3.150765789447086962e-01,1.366466041889129279e+01,8.107381459980378859e+05
3.254484517089806875e+14,3.327348040182186995e-01,1.350271961171535651e+01,6.324713045179890469e+05
3.340048057352208750e+14,3.503930290917286472e-01,1.336669653520173107e+01,4.996638688633574639e+05
3.558951067548930625e+14,3.680512541652385949e-01,1.324984787291787924e+01,3.987950316246762522e+05
4.064148267678371875e+14,3.857094792387485427e-01,1.313361982338422251e+01,3.185082466634871089e+05
4.265835885623906250e+14,4.033677043122585459e-01,1.300386733947368789e+01,2.527083228936006199e+05
4.415876737618011250e+14,4.210259293857684937e-01,1.287830882614398398e+01,2.012808699432800640e+05
4.555729738724956250e+14,4.386841544592784414e-01,1.276255949832006742e+01,1.614499579085556325e+05
4.686538437421788125e+14,4.563423795327884447e-01,1.265743008042383266e+01,1.305732058111346560e+05
4.810445745170750625e+14,4.740006046062983924e-01,1.256248533811389834e+01,1.064588131565292424e+05
4.928306628451751250e+14,4.916588296798083402e-01,1.247689776724454802e+01,8.745511189784416638e+04
5.040822805892480625e+14,5.093170547533183434e-01,1.239974182418798776e+01,7.237748212096258067e+04
5.148937276623413125e+14,5.269752798268283467e-01,1.233012367292611700e+01,6.030721470042066358e+04
5.253191624169796250e+14,5.446335049003382389e-01,1.226721890117839564e+01,5.056328294776730763e+04
5.354192777212749375e+14,5.622917299738482422e-01,1.221029155723440951e+01,4.264474129919605912e+04
5.452640444710466250e+14,5.799499550473581344e-01,1.215867737220911415e+01,3.616635841881349916e+04
5.549117045072150000e+14,5.976081801208681377e-01,1.211178303072617801e+01,3.082769336280037169e+04
5.643953020546892500e+14,6.152664051943781409e-01,1.206907739503226296e+01,2.640393214771105704e+04
5.737230770348447500e+14,6.329246302678881442e-01,1.203010930497130282e+01,2.271318269124487415e+04
5.828907482623238750e+14,6.505828553413980364e-01,1.199446003760133372e+01,1.961868140623436557e+04
5.919269486253420000e+14,6.682410804149080397e-01,1.196177557489082410e+01,1.701080593554421648e+04
6.008427524036020000e+14,6.858993054884179319e-01,1.193174328732841261e+01,1.480328762128418202e+04
6.096482076451200000e+14,7.035575305619279352e-01,1.190409251707133365e+01,1.292570184838790556e+04
6.183358828108063750e+14,7.212157556354379384e-01,1.187857985115633142e+01,1.132288710327430999e+04
6.269023869292998750e+14,7.388739807089479417e-01,1.185498756214689919e+01,9.946363290204795703e+03
6.353810217723581250e+14,7.565322057824578339e-01,1.183313139581748530e+01,8.762424848623475555e+03
6.437792511628331250e+14,7.741904308559677261e-01,1.181284478902111346e+01,7.740164399194625730e+03
6.520444591767602500e+14,7.918486559294777294e-01,1.179396950200549909e+01,6.854135238484437650e+03
6.602400750631887500e+14,8.095068810029877326e-01,1.177638219693041322e+01,6.083841262621585884e+03
6.683635676630575000e+14,8.271651060764977359e-01,1.175995957973388961e+01,5.412090809328290561e+03
6.763661132625475000e+14,8.448233311500076281e-01,1.174459431273444388e+01,4.824853196065657357e+03
6.843189925522801250e+14,8.624815562235176314e-01,1.173018944145775144e+01,4.310387499382953138e+03
6.921737470440270000e+14,8.801397812970276346e-01,1.171666619635468187e+01,3.857702690005455224e+03
6.999504050427613750e+14,8.977980063705375269e-01,1.170393730595365334e+01,3.459577995447274134e+03
7.076760666826728750e+14,9.154562314440475301e-01,1.169193488124389901e+01,3.107025583044120140e+03
7.152869643754188750e+14,9.331144565175575334e-01,1.168059826889620290e+01,2.795552021766594407e+03
7.228802105980266250e+14,9.507726815910674256e-01,1.166986697956559205e+01,2.519033497522031212e+03
7.303406966017067500e+14,9.684309066645774289e-01,1.165968752201785286e+01,2.273284062788635310e+03
7.377914659932085000e+14,9.860891317380874321e-01,1.165001362319797806e+01,2.054392816378302086e+03
7.451254707013796250e+14,1.003747356811597324e+00,1.164080054990198931e+01,1.859417270820586737e+03
7.524457959460410000e+14,1.021405581885107328e+00,1.163200667325224735e+01,1.685057078075195250e+03
7.596599205330177500e+14,1.039063806958617331e+00,1.162359638612736745e+01,1.528937756524221186e+03
7.668657049254547500e+14,1.056722032032127334e+00,1.161553432098157046e+01,1.389124207581101473e+03
7.739638513808136250e+14,1.074380257105637337e+00,1.160778975336089580e+01,1.263339900874944988e+03
7.810706218904097500e+14,1.092038482179147341e+00,1.160033365335880262e+01,1.150455382262614876e+03
7.880599536456232500e+14,1.109696707252657122e+00,1.159313821595257110e+01,1.048165583683286513e+03
7.950750213455658750e+14,1.127354932326167125e+00,1.158617879899272829e+01,9.566968996011165700e+02
8.019741307629620000e+14,1.145013157399677128e+00,1.157943048692276733e+01,8.736966798685647291e+02
8.088907492271046250e+14,1.162671382473186910e+00,1.157287217566779880e+01,7.987935889134830632e+02
8.157385673492651250e+14,1.180329607546696913e+00,1.156648103020726914e+01,7.309037374520207777e+02
8.225737346375040000e+14,1.197987832620206916e+00,1.156024019829565042e+01,6.693502543194661030e+02
8.293913350927835000e+14,1.215646057693716919e+00,1.155412724634048161e+01,6.134519121906163264e+02
8.361639715029686250e+14,1.233304282767226923e+00,1.154812509451504177e+01,5.627079425444956087e+02
8.429713059976363750e+14,1.250962507840736926e+00,1.154221749047560941e+01,5.166273059335599100e+02
8.497061419576167500e+14,1.268620732914246929e+00,1.153638489529207511e+01,4.744697801779456654e+02
8.564820391395790000e+14,1.286278957987756932e+00,1.153061280597705363e+01,4.362469282165998266e+02
8.632499611283807500e+14,1.303937183061266714e+00,1.152488321787401837e+01,4.013063625560558876e+02
8.700297270835551250e+14,1.321595408134776717e+00,1.151918139047877077e+01,3.693731654792801464e+02
8.768501719784873750e+14,1.339253633208286720e+00,1.151348988821295727e+01,3.401780458627680446e+02
8.836765913305896250e+14,1.356911858281796723e+00,1.150779304603648256e+01,3.135014147533912592e+02
8.905571663853486250e+14,1.374570083355306727e+00,1.150207123459263236e+01,2.890523264543944606e+02
8.974907747239236250e+14,1.392228308428816508e+00,1.149631633123543395e+01,2.666253523033361716e+02
9.044832013565090000e+14,1.409886533502326511e+00,1.149050273949673340e+01,2.460748305455270497e+02
9.115502912505623750e+14,1.427544758575836514e+00,1.148461572451185120e+01,2.271988245239624860e+02
9.187242728911866250e+14,1.445202983649346518e+00,1.147863649249749152e+01,2.098695577881446468e+02
9.259747899028808750e+14,1.462861208722856521e+00,1.147254423261343881e+01,1.939086433541462782e+02
9.333848173194495000e+14,1.480519433796366302e+00,1.146632144105793927e+01,1.792673845005120654e+02
9.409113048574440000e+14,1.498177658869876305e+00,1.145994484499274613e+01,1.657657484517776822e+02
9.485945339800542500e+14,1.515835883943386309e+00,1.145339066130866357e+01,1.533118464932622942e+02
9.564954652238572500e+14,1.533494109016896312e+00,1.144663401775494904e+01,1.418305211424351171e+02
9.645195164538818750e+14,1.551152334090406315e+00,1.143964860690141272e+01,1.312496471538245828e+02
9.729074581920571250e+14,1.568810559163916318e+00,1.143240446158025492e+01,1.214565918430358522e+02
9.814342129766277500e+14,1.586468784237426100e+00,1.142486952773831455e+01,1.123969320565497299e+02
9.903763131624931250e+14,1.604127009310936103e+00,1.141700851969744868e+01,1.040719884386927134e+02
9.995462127078702500e+14,1.621785234384446106e+00,1.140878173617990754e+01,9.633605746520267132e+01
1.009191691085553000e+15,1.639443459457956109e+00,1.140014641736582490e+01,8.916037952441627112e+01
1.019157222823436875e+15,1.657101684531466113e+00,1.139105288807605199e+01,8.251645206782708897e+01
1.029714875318984375e+15,1.674759909604976116e+00,1.138144727079531293e+01,7.636489633114433673e+01
1.040654068124025125e+15,1.692418134678485897e+00,1.137126633950314059e+01,7.065149589081575243e+01
1.052390049098641500e+15,1.710076359751995900e+00,1.136043973123364204e+01,6.534964076053836379e+01
1.064656447946423250e+15,1.727734584825505904e+00,1.134888539762070181e+01,6.041240141919817574e+01
1.077765267521675500e+15,1.745392809899015907e+00,1.133650942197664335e+01,5.582711192127025868e+01
1.091770020523399375e+15,1.763051034972525910e+00,1.132320121150798542e+01,5.155214042319786927e+01
1.106684257833708875e+15,1.780709260046035913e+00,1.130883076385051389e+01,4.757126123991848488e+01
1.122758481424983250e+15,1.798367485119545695e+00,1.129324291268042302e+01,4.385416424580046169e+01
1.140212036452577250e+15,1.816025710193055698e+00,1.127625251237070714e+01,4.038444976031329503e+01
1.159124970989491750e+15,1.833683935266565701e+00,1.125763121592899552e+01,3.713532936956622166e+01
1.179752887581801000e+15,1.851342160340075704e+00,1.123709824949028047e+01,3.409254920328961447e+01
1.202388532473534000e+15,1.869000385413585708e+00,1.121430027277663832e+01,3.123292299000061689e+01
1.227369203359517250e+15,1.886658610487095711e+00,1.118878570597695976e+01,2.854140788577799626e+01
1.255080889648799250e+15,1.904316835560605492e+00,1.115996444779558594e+01,2.600462050322330754e+01
1.285986843156840750e+15,1.921975060634115495e+00,1.112705011679448930e+01,2.359433581524643131e+01
1.320599815357411250e+15,1.939633285707625499e+00,1.108897052998273480e+01,2.130162846467602122e+01
1.359334071357782500e+15,1.957291510781135502e+00,1.104423747299668968e+01,1.910158455187074011e+01
1.402863679004139250e+15,1.974949735854645505e+00,1.099077024502007482e+01,1.698036000811063317e+01
1.454721426775932000e+15,1.992607960928155508e+00,1.092529887017560064e+01,1.490681350650898018e+01
