rhoc,M,R,Lambda
3.445067241078646875e+14,2.974529580288093333e-01,1.422249243233600247e+01,9.840635223076146794e+05
3.553001113416623125e+14,3.143465314334156213e-01,1.395667677980496535e+01,7.554328748814208666e+05
3.657917655808233750e+14,3.312401048380219093e-01,1.373266172607823243e+01,5.882143542601123918e+05
3.760202890816981875e+14,3.481336782426281973e-01,1.354191688887449807e+01,4.637817730275156791e+05
3.860145090069024375e+14,3.650272516472344297e-01,1.337803571450205986e+01,3.697783758402675157e+05
3.958138245790018750e+14,3.819208250518407177e-01,1.323612192009571054e+01,2.978331140596295008e+05
4.054300090966279375e+14,3.988143984564470057e-01,1.311237461045238106e+01,2.420068599663018249e+05
4.148770520390225000e+14,4.157079718610532937e-01,1.300379682935861148e+01,1.983474749695020437e+05
4.241807225909342500e+14,4.326015452656595262e-01,1.290800015705831782e+01,1.637775171595108404e+05
4.333575404619674375e+14,4.494951186702658141e-01,1.282304651764136416e+01,1.361491125730869244e+05
4.424209714402533125e+14,4.663886920748721021e-01,1.274735905021289639e+01,1.139086762126201647e+05
4.513825802715199375e+14,4.832822654794783901e-01,1.267964033320370554e+01,9.585869001635117456e+04
4.602532975226595625e+14,5.001758388840846781e-01,1.261880399536999953e+01,8.110138417614137870e+04
4.690432292821896250e+14,5.170694122886909661e-01,1.256394658160080624e+01,6.896509947162607568e+04
4.777618258205412500e+14,5.339629856932972540e-01,1.251430573124372891e+01,5.891819701158125827e+04
4.864169052489205000e+14,5.508565590979035420e-01,1.246922695853748486e+01,5.054989879019750515e+04
4.950162791153282500e+14,5.677501325025098300e-01,1.242816302811561435e+01,4.354934813624828530e+04
5.035671682774793750e+14,5.846437059071161180e-01,1.239063277304596689e+01,3.766189723368028353e+04
5.120769888884693125e+14,6.015372793117224060e-01,1.235622549419049854e+01,3.267995199583783688e+04
5.205509390114553750e+14,6.184308527163285829e-01,1.232458624122111424e+01,2.845447147973961546e+04
5.289882686446620000e+14,6.353244261209348709e-01,1.229540323974325133e+01,2.485352434576618180e+04
5.374039207811615625e+14,6.522179995255411589e-01,1.226840320406825313e+01,2.177024750735422276e+04
5.458032511917395000e+14,6.691115729301474468e-01,1.224334598843229571e+01,1.912703469490331918e+04
5.541916096683388125e+14,6.860051463347537348e-01,1.222001927479715810e+01,1.684344174531792669e+04
5.625727347385266250e+14,7.028987197393600228e-01,1.219823877896740427e+01,1.487173045498916508e+04
5.709406672726196250e+14,7.197922931439661998e-01,1.217783537399822080e+01,1.316367824536296575e+04
5.793126283063063750e+14,7.366858665485724877e-01,1.215866045371350523e+01,1.166983473797861006e+04
5.876930250004770000e+14,7.535794399531787757e-01,1.214058011909085799e+01,1.037554286304976631e+04
5.960833919307873750e+14,7.704730133577850637e-01,1.212347620128724657e+01,9.241246420845744069e+03
6.044769117790796250e+14,7.873665867623913517e-01,1.210723996642405531e+01,8.247397200607085324e+03
6.128915076287248750e+14,8.042601601669976397e-01,1.209177527681372055e+01,7.372213474621218666e+03
6.213310640566138750e+14,8.211537335716039276e-01,1.207699365526226742e+01,6.601197053931065057e+03
6.297884014898626250e+14,8.380473069762102156e-01,1.206281453704756146e+01,5.919861114124887536e+03
6.382744779512378750e+14,8.549408803808165036e-01,1.204916588027475477e+01,5.318059608407708765e+03
6.467981634077635000e+14,8.718344537854227916e-01,1.203598065336229084e+01,4.783381297362964688e+03
6.553553947502070000e+14,8.887280271900290796e-01,1.202319782231609580e+01,4.309618093786134523e+03
6.639500998204908750e+14,9.056216005946353675e-01,1.201076138900892332e+01,3.886950423903578667e+03
6.725943082173272500e+14,9.225151739992416555e-01,1.199861853052057548e+01,3.511087046337873289e+03
6.812843213289377500e+14,9.394087474038478325e-01,1.198672283783766979e+01,3.174597344414475174e+03
6.900235336905971250e+14,9.563023208084541205e-01,1.197502849335946351e+01,2.874346378199693390e+03
6.988243173482686250e+14,9.731958942130604084e-01,1.196349554151210626e+01,2.605008447326366422e+03
7.076815365475336250e+14,9.900894676176666964e-01,1.195208362138734159e+01,2.363302604955841161e+03
7.166021463849228750e+14,1.006983041022273095e+00,1.194075811900445316e+01,2.146136529464341947e+03
7.255965232397192500e+14,1.023876614426879161e+00,1.192948362369229898e+01,1.950738550314664508e+03
7.346580191901096250e+14,1.040770187831485671e+00,1.191822948302834817e+01,1.774795345322191224e+03
7.437985501783663750e+14,1.057663761236091737e+00,1.190696370867230769e+01,1.615954581396549656e+03
7.530261757562772500e+14,1.074557334640698247e+00,1.189565885781108356e+01,1.472635648576924041e+03
7.623307973037260000e+14,1.091450908045304313e+00,1.188428560391979083e+01,1.342888045795908738e+03
7.717321538666821250e+14,1.108344481449910823e+00,1.187281945872212852e+01,1.225661325171603266e+03
7.812308105901901250e+14,1.125238054854516889e+00,1.186123390108225273e+01,1.119262813503195730e+03
7.908261253638641250e+14,1.142131628259123177e+00,1.184950471625369062e+01,1.022820086735897803e+03
8.005338605176648750e+14,1.159025201663729465e+00,1.183760674611994013e+01,9.352224437310981102e+02
8.103519685018747500e+14,1.175918775068335753e+00,1.182551797063604404e+01,8.555201019777118745e+02
8.202892096218497500e+14,1.192812348472942041e+00,1.181321537778944730e+01,7.831872134521363478e+02
8.303568909336640000e+14,1.209705921877548329e+00,1.180067584101440659e+01,7.171203607279292100e+02
8.405505708875393750e+14,1.226599495282154617e+00,1.178787753598108523e+01,6.569915880166388433e+02
8.508869193474933750e+14,1.243493068686760905e+00,1.177479705154453704e+01,6.020172631068991222e+02
8.613721230903217500e+14,1.260386642091367193e+00,1.176141225637798549e+01,5.520612015469092739e+02
8.720071757317581250e+14,1.277280215495973481e+00,1.174770156353935491e+01,5.063659571523742216e+02
8.828093382283075000e+14,1.294173788900579769e+00,1.173364161990897259e+01,4.645256547922117534e+02
8.937823124604952500e+14,1.311067362305185835e+00,1.171920875954167940e+01,4.262751027698951134e+02
9.049345717692645000e+14,1.327960935709792345e+00,1.170438017810722897e+01,3.912765418223168012e+02
9.162816343025323750e+14,1.344854509114398411e+00,1.168913067014431206e+01,3.591839045386176963e+02
9.278275470043801250e+14,1.361748082519004921e+00,1.167343535765628815e+01,3.298043459606814167e+02
9.395870288443921250e+14,1.378641655923610987e+00,1.165726877304480169e+01,3.028331310910571688e+02
9.515751897866412500e+14,1.395535229328217497e+00,1.164060334509087191e+01,2.781129579510811709e+02
9.637980879089775000e+14,1.412428802732823563e+00,1.162341080597387766e+01,2.553878411445308529e+02
9.762754946680082500e+14,1.429322376137430073e+00,1.160566097460535850e+01,2.345257658655459920e+02
9.890238468895072500e+14,1.446215949542036139e+00,1.158732273165975002e+01,2.153628017179843255e+02
1.002054067736952250e+15,1.463109522946642649e+00,1.156836305240445739e+01,1.977297924897840744e+02
1.015388301228519125e+15,1.480003096351248715e+00,1.154874501268950837e+01,1.815172391924543547e+02
1.029047072517857375e+15,1.496896669755855225e+00,1.152843116046025251e+01,1.665960643364190616e+02
1.043047052591065750e+15,1.513790243160461291e+00,1.150738044201027677e+01,1.528628484474185427e+02
1.057415947874347500e+15,1.530683816565067801e+00,1.148554795937625350e+01,1.402133170271662834e+02
1.072180324005273000e+15,1.547577389969673867e+00,1.146288703057757274e+01,1.285505275882560170e+02
1.087369152236213250e+15,1.564470963374279933e+00,1.143934339334882822e+01,1.178185119490270694e+02
1.103012275758056000e+15,1.581364536778886443e+00,1.141486031809560764e+01,1.079347223028993028e+02
1.119149133074560500e+15,1.598258110183492509e+00,1.138937417261362306e+01,9.879565438578518410e+01
1.135819717025278000e+15,1.615151683588099019e+00,1.136281441685217786e+01,9.038447653803044091e+01
1.153068953887312500e+15,1.632045256992705085e+00,1.133510261007885944e+01,8.261243527791164354e+01
1.170946545466908000e+15,1.648938830397311595e+00,1.130615049696933205e+01,7.544823456613110579e+01
1.189513937971872750e+15,1.665832403801917661e+00,1.127585917369531288e+01,6.883731938957963337e+01
1.208838815291077000e+15,1.682725977206524171e+00,1.124411527405491285e+01,6.272968760355130513e+01
1.228999427753715500e+15,1.699619550611130236e+00,1.121078940238442812e+01,5.709322046312775001e+01
1.250086982877797750e+15,1.716513124015736746e+00,1.117573155017049658e+01,5.188322208742611963e+01
1.272209043339794500e+15,1.733406697420342812e+00,1.113876747839448456e+01,4.707056677971469583e+01
1.295494137941287750e+15,1.750300270824949322e+00,1.109969138771171693e+01,4.262441506219270337e+01
1.320097516926544500e+15,1.767193844229555388e+00,1.105825648003443717e+01,3.851226257187811086e+01
1.346208875036116250e+15,1.784087417634161898e+00,1.101416502484663162e+01,3.470736594418124810e+01
1.374063902400680750e+15,1.800980991038767964e+00,1.096704923336931792e+01,3.118702199845002099e+01
1.403962082934050750e+15,1.817874564443374474e+00,1.091644845532422892e+01,2.792664281967148554e+01
1.436288726466717250e+15,1.834768137847980540e+00,1.086176916811967708e+01,2.490621724207875332e+01
1.471561169360601750e+15,1.851661711252587050e+00,1.080222686221175366e+01,2.209790633934621340e+01
1.510502858915936000e+15,1.868555284657193116e+00,1.073674588925381634e+01,1.948477947128486676e+01
1.554161323726378500e+15,1.885448858061799626e+00,1.066377750036735605e+01,1.704467423256478753e+01
1.604159737274087250e+15,1.902342431466405692e+00,1.058094874745298064e+01,1.475164027889482554e+01
1.663264077212846250e+15,1.919236004871012202e+00,1.048426682220210715e+01,1.257667428547245336e+01
1.736930541991697000e+15,1.936129578275618268e+00,1.036595440663317547e+01,1.046885484229939678e+01
1.839432654614293250e+15,1.953023151680224334e+00,1.020595598611388155e+01,8.320071912777249779e+00
2.124211241926017750e+15,1.969916725084830844e+00,9.793583005732838132e+00,4.988307773321929872e+00
