rhoc,M,R,Lambda
3.692208227957249375e+14,2.976283717373117699e-01,1.369080733794098670e+01,7.773169026602044469e+05
3.799547690450294375e+14,3.144257617151731132e-01,1.345231705412450296e+01,6.005487411959811579e+05
3.903892909459288125e+14,3.312231516930344566e-01,1.325151438605350407e+01,4.703912269182199379e+05
4.005862930654635000e+14,3.480205416708957999e-01,1.308073428933228222e+01,3.729791399518745020e+05
4.105604009170871875e+14,3.648179316487571433e-01,1.293424647662818749e+01,2.989508439500398817e+05
4.203301378267138125e+14,3.816153216266184867e-01,1.280764221763115529e+01,2.419931534960806312e+05
4.299302055391110625e+14,3.984127116044797745e-01,1.269749601344276257e+01,1.976000035686408228e+05
4.393785693409078125e+14,4.152101015823411734e-01,1.260109714985302176e+01,1.626252023264650197e+05
4.486911228117752500e+14,4.320074915602024612e-01,1.251628525995245766e+01,1.348597246607686975e+05
4.578815581674195000e+14,4.488048815380638601e-01,1.244130277589612810e+01,1.125620025340530265e+05
4.669628345736858125e+14,4.656022715159251479e-01,1.237472445440743485e+01,9.452946565425627341e+04
4.759467727805788750e+14,4.823996614937865468e-01,1.231536115796630071e+01,7.983747555388011097e+04
4.848441653034831250e+14,4.991970514716478347e-01,1.226223255137952783e+01,6.778554327585930878e+04
4.936651099779346250e+14,5.159944414495092335e-01,1.221451724419059204e+01,5.782797331687628321e+04
5.024187715144375000e+14,5.327918314273705214e-01,1.217151657116192531e+01,4.955248472109682189e+04
5.111137091532571250e+14,5.495892214052318092e-01,1.213264033840337497e+01,4.264639743339869892e+04
5.197577286436070000e+14,5.663866113830932081e-01,1.209738254707090199e+01,3.684518414238630066e+04
5.283580800493515000e+14,5.831840013609546070e-01,1.206531242321273645e+01,3.194619951435219627e+04
5.369194910017916250e+14,5.999813913388158948e-01,1.203605030710403589e+01,2.780062606576172038e+04
5.454399824911198125e+14,6.167787813166771826e-01,1.200927351472408589e+01,2.426541708653117530e+04
5.539355886387575625e+14,6.335761712945385815e-01,1.198469645765571556e+01,2.124672061319948625e+04
5.624127868507710000e+14,6.503735612723999804e-01,1.196207140604377450e+01,1.865601170946980346e+04
5.708771028703093750e+14,6.671709512502612682e-01,1.194117964271794463e+01,1.642568694611175306e+04
5.793278750300537500e+14,6.839683412281225561e-01,1.192182793491395998e+01,1.450008707198859702e+04
5.877670411038650000e+14,7.007657312059838439e-01,1.190384521714805643e+01,1.282794403419795708e+04
5.962084046978957500e+14,7.175631211838452428e-01,1.188708017017502350e+01,1.137649263341665937e+04
