rhoc,M,R,Lambda
3.488315394732128750e+14,2.977746386673974510e-01,1.325343970281120143e+01,7.976772839812833117e+05
3.584979243797931250e+14,3.196440567416842793e-01,1.303102177002332773e+01,5.808094131736375857e+05
3.676387463492818125e+14,3.415134748159711076e-01,1.285609566921565339e+01,4.321035276616947958e+05
3.762444187902608125e+14,3.633828928902579358e-01,1.271704779495801318e+01,3.275170681954504689e+05
3.843760872378980000e+14,3.852523109645447086e-01,1.260574286846286896e+01,2.523496852577493410e+05
3.921353952401623125e+14,4.071217290388315369e-01,1.251626899373895796e+01,1.971998883153827046e+05
3.996071821225767500e+14,4.289911471131183651e-01,1.244421443073329669e+01,1.560846287684481940e+05
4.068559889262788125e+14,4.508605651874051379e-01,1.238621328608699557e+01,1.249489961256572278e+05
4.139269486223425000e+14,4.727299832616920217e-01,1.233966132041770791e+01,1.010438445792699058e+05
4.208858307886075000e+14,4.945994013359787944e-01,1.230249776672863149e+01,8.245321187547770387e+04
4.277759167540781250e+14,5.164688194102655672e-01,1.227309141256640856e+01,6.784911593880511646e+04
4.346183505559775000e+14,5.383382374845524510e-01,1.225011618623995169e+01,5.624489673923877854e+04
4.414373846959343750e+14,5.602076555588393347e-01,1.223248710905547654e+01,4.695209629810867773e+04
4.482095683382413125e+14,5.820770736331261075e-01,1.221931189018022934e+01,3.943742088474074262e+04
4.549402966826545625e+14,6.039464917074128802e-01,1.220990147208603460e+01,3.331868588777307741e+04
4.616184264971067500e+14,6.258159097816997640e-01,1.220362855178444406e+01,2.829363620025680575e+04
4.682382462310852500e+14,6.476853278559865368e-01,1.220001142247497405e+01,2.414286747076048778e+04
4.748131468480291250e+14,6.695547459302733095e-01,1.219863102057531101e+01,2.069691832604236697e+04
4.812949034621158125e+14,6.914241640045601933e-01,1.219915164093543858e+01,1.781500710657099626e+04
4.877198548947185000e+14,7.132935820788469661e-01,1.220128321166794549e+01,1.539805400858203211e+04
4.940635980807531875e+14,7.351630001531337388e-01,1.220477694448600836e+01,1.335429179953184939e+04
5.003316437369297500e+14,7.570324182274206226e-01,1.220943626367612289e+01,1.162215041447559270e+04
5.065547291437599375e+14,7.789018363017075064e-01,1.221507897697989620e+01,1.014834251570583365e+04
5.127152033901924375e+14,8.007712543759941681e-01,1.222155627527849653e+01,8.887167605374414052e+03
5.188609618328661250e+14,8.226406724502810519e-01,1.222873384958087151e+01,7.804947428787096214e+03
5.249370268528807500e+14,8.445100905245679357e-01,1.223648911547665463e+01,6.871586269399983394e+03
5.310074703794740625e+14,8.663795085988548195e-01,1.224472710033676393e+01,6.067851845889829747e+03
5.370111925083188125e+14,8.882489266731414812e-01,1.225335671074008204e+01,5.369304961887447462e+03
5.430132828817010000e+14,9.101183447474283650e-01,1.226230032194427721e+01,4.762412475306296983e+03
5.489465780415041875e+14,9.319877628217152488e-01,1.227148700691887306e+01,4.233711449686155902e+03
5.548861375024609375e+14,9.538571808960019105e-01,1.228085673983146187e+01,3.771047298559547471e+03
5.607517743689446250e+14,9.757265989702887943e-01,1.229035883173949451e+01,3.364576847492630804e+03
5.666268064943027500e+14,9.975960170445756781e-01,1.229994231627149759e+01,3.008488387582637642e+03
5.724386567873605000e+14,1.019465435118862340e+00,1.230957235394107840e+01,2.693976407584154003e+03
5.782522875721378750e+14,1.041334853193149224e+00,1.231920400914683356e+01,2.416956467977305238e+03
5.840288235692147500e+14,1.063204271267436107e+00,1.232880897033536272e+01,2.171570947393302959e+03
5.897956543711485000e+14,1.085073689341722991e+00,1.233835762998151253e+01,1.953954182772482000e+03
5.955533749511450000e+14,1.106943107416009653e+00,1.234782391068862140e+01,1.760900715226556031e+03
6.012889565812362500e+14,1.128812525490296537e+00,1.235717622881621480e+01,1.588797965397830922e+03
6.070427045724996250e+14,1.150681943564583420e+00,1.236640092348758735e+01,1.435613948922837153e+03
6.127654588378046250e+14,1.172551361638870082e+00,1.237546996531753685e+01,1.298680198724427328e+03
6.185137756353828750e+14,1.194420779713156966e+00,1.238436773937930369e+01,1.176519579363349294e+03
6.242526043623518750e+14,1.216290197787443850e+00,1.239307230838580587e+01,1.066652247742525105e+03
6.300034560965682500e+14,1.238159615861730511e+00,1.240156785370022519e+01,9.682163549457690124e+02
6.357672114493095000e+14,1.260029033936017395e+00,1.240983653678705956e+01,8.798545552298343182e+02
6.415069677595197500e+14,1.281898452010304279e+00,1.241786510158285672e+01,8.003208133431876377e+02
6.472815597618115000e+14,1.303767870084590941e+00,1.242563922709297763e+01,7.285510632814996370e+02
6.530425953961475000e+14,1.325637288158877825e+00,1.243314680944133599e+01,6.639205684083360666e+02
6.588260683720680000e+14,1.347506706233164708e+00,1.244037589497260221e+01,6.054194029208092616e+02
6.646442579767150000e+14,1.369376124307451370e+00,1.244731422812527555e+01,5.524852407438023647e+02
6.704847916260382500e+14,1.391245542381738254e+00,1.245394901998411008e+01,5.047141296952545986e+02
6.763715714271703750e+14,1.413114960456025138e+00,1.246026870258189945e+01,4.612796287891885072e+02
6.823168344461700000e+14,1.434984378530312021e+00,1.246626086813324896e+01,4.219595369850859470e+02
6.883195181196062500e+14,1.456853796604598683e+00,1.247190986926756828e+01,3.861694333791715508e+02
6.943828524451800000e+14,1.478723214678885567e+00,1.247720204251390719e+01,3.536025489134657960e+02
7.005323724143587500e+14,1.500592632753172451e+00,1.248212261605046081e+01,3.240086850129497407e+02
7.067471955822776250e+14,1.522462050827459112e+00,1.248665464134869296e+01,2.970419717372487298e+02
7.130383162342187500e+14,1.544331468901745996e+00,1.249078168322472848e+01,2.724420031479495492e+02
7.194079330252950000e+14,1.566200886976032880e+00,1.249448838108401105e+01,2.499894797091201042e+02
7.258569768224981250e+14,1.588070305050319542e+00,1.249775845503984506e+01,2.294783684636956878e+02
7.324026834663422500e+14,1.609939723124606425e+00,1.250057522973548885e+01,2.107208247488228210e+02
7.390365931832106250e+14,1.631809141198893309e+00,1.250292278427510162e+01,1.935776184555557791e+02
7.457802797164075000e+14,1.653678559273180193e+00,1.250478078857524089e+01,1.778488510458749943e+02
7.526338071646628750e+14,1.675547977347466855e+00,1.250613083767403921e+01,1.634791030592146228e+02
7.596002254695026250e+14,1.697417395421753739e+00,1.250695296013085844e+01,1.502701322162998281e+02
7.667114274719603750e+14,1.719286813496040622e+00,1.250722420044136385e+01,1.381632018585416688e+02
7.739431422357450000e+14,1.741156231570327284e+00,1.250692211794845221e+01,1.270477978970675537e+02
7.813376756406481250e+14,1.763025649644614168e+00,1.250602047352833956e+01,1.168311056177828675e+02
7.888786782290088750e+14,1.784895067718901052e+00,1.250449373690211985e+01,1.074418612459191280e+02
7.965834703849128750e+14,1.806764485793187935e+00,1.250231294513847224e+01,9.883768844036951862e+01
8.044647995882740000e+14,1.828633903867474597e+00,1.249944800071252793e+01,9.086755097642014789e+01
8.125192900863496250e+14,1.850503321941761481e+00,1.249586629483920674e+01,8.356438764055891966e+01
8.207752662020032500e+14,1.872372740016048365e+00,1.249153375807656019e+01,7.681595978384270040e+01
8.292228439757072500e+14,1.894242158090335026e+00,1.248641352256193748e+01,7.059541202142408167e+01
8.378946605077780000e+14,1.916111576164621910e+00,1.248046562626579714e+01,6.487238048066070917e+01
8.467865742843703750e+14,1.937980994238908794e+00,1.247364920417078515e+01,5.958416685583058836e+01
8.559453741044440000e+14,1.959850412313195456e+00,1.246591615293822208e+01,5.473183474541300342e+01
8.653637919478922500e+14,1.981719830387482340e+00,1.245721517271926793e+01,5.022053656869854876e+01
8.751157332029103750e+14,2.003589248461769223e+00,1.244748874149176032e+01,4.606737946586093813e+01
8.851811696212940000e+14,2.025458666536056107e+00,1.243667058890999755e+01,4.225144164471505803e+01
8.956641210253291250e+14,2.047328084610342991e+00,1.242468562421549017e+01,3.868324466005142881e+01
9.065264162610975000e+14,2.069197502684629875e+00,1.241144670068968914e+01,3.541248135001243469e+01
9.178928213241087500e+14,2.091066920758916758e+00,1.239685453183181885e+01,3.238144250466040575e+01
9.297339740850841250e+14,2.112936338833203198e+00,1.238079315738018238e+01,2.958048273555364815e+01
9.421641465962403750e+14,2.134805756907490082e+00,1.236313065415210843e+01,2.698450406313995131e+01
9.552295481020863750e+14,2.156675174981776966e+00,1.234371102147111010e+01,2.458365810223217451e+01
9.689926614168797500e+14,2.178544593056063849e+00,1.232235015928622168e+01,2.235993697531501567e+01
9.836358534120426250e+14,2.200414011130350733e+00,1.229882690191208816e+01,2.029675518728154415e+01
9.992042834183625000e+14,2.222283429204637617e+00,1.227287168605914403e+01,1.838665699821169142e+01
1.015853758079304125e+15,2.244152847278924501e+00,1.224415152140608853e+01,1.661363070313523238e+01
1.033801492066258125e+15,2.266022265353210940e+00,1.221224954436937082e+01,1.496394078358835955e+01
1.053303532849507250e+15,2.287891683427497824e+00,1.217662811484117391e+01,1.343056939754070456e+01
1.074670232072568500e+15,2.309761101501784708e+00,1.213657281443853186e+01,1.200030564969567770e+01
1.098350333205328000e+15,2.331630519576071592e+00,1.209110432067422813e+01,1.066508294957893277e+01
1.125009466983343250e+15,2.353499937650358476e+00,1.203882368365787592e+01,9.411623403085219053e+00
1.155678916946363000e+15,2.375369355724645359e+00,1.197759025245383135e+01,8.226764370572619001e+00
1.192116903208773000e+15,2.397238773798932243e+00,1.190382358309777722e+01,7.096989326973419665e+00
1.237835317098196000e+15,2.419108191873219127e+00,1.181060383981883888e+01,5.994831579073554906e+00
1.302335939002376000e+15,2.440977609947505567e+00,1.168011983681940613e+01,4.864446670915346438e+00
1.488043902513132500e+15,2.462847028021792450e+00,1.132713174915021170e+01,3.099508159759281511e+00
