rhoc,M,R,Lambda
2.252507529439630938e+14,2.976460927785019583e-01,1.536025320874910349e+01,1.613363386710752267e+06
2.320280829231588750e+14,3.227158914403095991e-01,1.509088870120571180e+01,1.146955560393044027e+06
2.386220928102827812e+14,3.477856901021171843e-01,1.488736479708613736e+01,8.358424795314555522e+05
2.450418293575898438e+14,3.728554887639248250e-01,1.473145752520564855e+01,6.221306775256025139e+05
2.513039278717719375e+14,3.979252874257324102e-01,1.461092666674367635e+01,4.714007392073714873e+05
2.574143785484623750e+14,4.229950860875400509e-01,1.451726344355991216e+01,3.629224416539142840e+05
2.633779447378571562e+14,4.480648847493476916e-01,1.444435326414913945e+01,2.832498544189494569e+05
2.692257530580369375e+14,4.731346834111552768e-01,1.438776960060980414e+01,2.237949654287719750e+05
2.750026709269786250e+14,4.982044820729629175e-01,1.434414464866090277e+01,1.787556021600386885e+05
2.807270689723297812e+14,5.232742807347705583e-01,1.431089420972343440e+01,1.441699730346621363e+05
2.863974842816291875e+14,5.483440793965781435e-01,1.428601951484731813e+01,1.173428146390909678e+05
2.920124393458690000e+14,5.734138780583857287e-01,1.426794685787843164e+01,9.626559500201029005e+04
2.975698656076685625e+14,5.984836767201934249e-01,1.425542368750517319e+01,7.954923230371069803e+04
3.030602458150396250e+14,6.235534753820010101e-01,1.424746203270016842e+01,6.617717328910336073e+04
3.084800254356943750e+14,6.486232740438087063e-01,1.424325804886889379e+01,5.539950041442822112e+04
3.138315075106188750e+14,6.736930727056162915e-01,1.424217199908852649e+01,4.663121367080771597e+04
3.191150010503413125e+14,6.987628713674238767e-01,1.424367528297895902e+01,3.946599393042720476e+04
3.243260657140545000e+14,7.238326700292314619e-01,1.424733341889631255e+01,3.355457116528378538e+04
3.294381733859298750e+14,7.489024686910390471e-01,1.425278917068265905e+01,2.867312844612194749e+04
3.344911514797046875e+14,7.739722673528467434e-01,1.425975388104881958e+01,2.459249830786836174e+04
3.394918035294138125e+14,7.990420660146543286e-01,1.426797557330858623e+01,2.118004620782988059e+04
3.444250529313767500e+14,8.241118646764620248e-01,1.427724383923519369e+01,1.831358069324913231e+04
3.493220139545600000e+14,8.491816633382696100e-01,1.428737576884513594e+01,1.588588273926058173e+04
3.541816471203113125e+14,8.742514620000771952e-01,1.429821879918175576e+01,1.382937978022746393e+04
3.589853852255516875e+14,8.993212606618848914e-01,1.430963316514891481e+01,1.207216318162353491e+04
3.637653258096706250e+14,9.243910593236924766e-01,1.432150286866748345e+01,1.057286970552574530e+04
3.684982551731899375e+14,9.494608579855000619e-01,1.433372945022770217e+01,9.283121558538787212e+03
3.732013485734116250e+14,9.745306566473076471e-01,1.434622278923168004e+01,8.173709659453986205e+03
3.778764937507846875e+14,9.996004553091153433e-01,1.435890690754565213e+01,7.210227746093716632e+03
