rhoc,M,R,Lambda
1.953613408441965625e+14,2.979047056419363848e-01,1.584755852698089740e+01,1.835939121345042717e+06
2.001245039770098750e+14,3.228860323445423841e-01,1.559493095026270915e+01,1.324340995269709500e+06
2.052860746905642188e+14,3.478673590471484389e-01,1.540812970097450219e+01,9.783052442669662414e+05
2.107233204018633438e+14,3.728486857497544382e-01,1.526806559557791765e+01,7.370682975112039130e+05
2.164510027798030938e+14,3.978300124523604375e-01,1.516193227089241624e+01,5.646643991960487328e+05
2.224897044423182812e+14,4.228113391549664923e-01,1.508081195804960650e+01,4.387882257359367795e+05
2.288240617494742812e+14,4.477926658575724916e-01,1.501830992592369185e+01,3.452143638505057315e+05
2.353755134229836250e+14,4.727739925601784909e-01,1.496979524464132894e+01,2.744851315075366292e+05
2.420645457957216875e+14,4.977553192627844902e-01,1.493182471428578317e+01,2.202855827961455507e+05
2.487777860776688438e+14,5.227366459653906006e-01,1.490192006374852340e+01,1.782532523202640295e+05
2.553907140312815000e+14,5.477179726679965999e-01,1.487825704617937639e+01,1.453367935125796357e+05
2.618114080461525625e+14,5.726992993706025992e-01,1.485956781329726795e+01,1.193235906442804262e+05
2.680247849704434375e+14,5.976806260732085985e-01,1.484494515201434695e+01,9.857275900398391241e+04
2.741481152431581250e+14,6.226619527758145978e-01,1.483372248688689332e+01,8.193099179665805423e+04
2.802523214068942188e+14,6.476432794784205971e-01,1.482532145209169627e+01,6.847471935157808184e+04
2.863326046099454375e+14,6.726246061810265964e-01,1.481923499185311854e+01,5.752842702381640993e+04
2.923806327110438125e+14,6.976059328836325957e-01,1.481504541043674017e+01,4.856959986069923616e+04
2.983893337189494375e+14,7.225872595862385950e-01,1.481240392897356450e+01,4.118964215820207028e+04
3.043524775931200625e+14,7.475685862888447053e-01,1.481103387801576865e+01,3.507470885209998960e+04
3.102647190866443125e+14,7.725499129914507046e-01,1.481070353243805826e+01,2.998966063810502237e+04
3.161138347959117500e+14,7.975312396940567039e-01,1.481122398643079130e+01,2.573502467678058383e+04
3.218895641443949375e+14,8.225125663966627032e-01,1.481244388821427371e+01,2.216404222557761750e+04
3.275978392538570000e+14,8.474938930992687025e-01,1.481423561929932120e+01,1.915492100396548267e+04
3.332425436126261875e+14,8.724752198018748128e-01,1.481649912342164299e+01,1.660700009736500942e+04
3.388284419286252500e+14,8.974565465044808121e-01,1.481914218013867490e+01,1.443903949307538278e+04
3.443386161749538750e+14,9.224378732070868114e-01,1.482210119029502415e+01,1.259253297498127904e+04
3.497940672806896250e+14,9.474191999096928107e-01,1.482530660045892290e+01,1.100928574032126198e+04
3.552067560130743750e+14,9.724005266122988100e-01,1.482870681747262509e+01,9.652096398732854141e+03
3.605633265490145000e+14,9.973818533149048093e-01,1.483225482825285901e+01,8.482248746821536770e+03
3.658586935479903125e+14,1.022363180017511031e+00,1.483590639225829833e+01,7.473766525458941032e+03
3.711226791082668125e+14,1.047344506720116808e+00,1.483962046067786389e+01,6.597121542140981546e+03
3.763319931973113750e+14,1.072325833422723029e+00,1.484337044598160560e+01,5.837103342213392352e+03
3.814939355090208750e+14,1.097307160125328807e+00,1.484712073557942169e+01,5.175175706089308733e+03
3.866365467217526250e+14,1.122288486827935028e+00,1.485084807818954467e+01,4.597345682742583449e+03
3.917099346311859375e+14,1.147269813530540805e+00,1.485452339687425471e+01,4.092182281242958652e+03
3.967659477597883750e+14,1.172251140233147026e+00,1.485812621142333434e+01,3.648580200437918393e+03
4.017682382565185625e+14,1.197232466935753026e+00,1.486163426661262754e+01,3.257811747741201543e+03
4.067224028082858125e+14,1.222213793638359025e+00,1.486503450252530989e+01,2.914631066695329537e+03
4.116374894274676875e+14,1.247195120340965024e+00,1.486831043233893013e+01,2.610649638334044539e+03
4.164942390111061875e+14,1.272176447043571024e+00,1.487145652128450379e+01,2.343232163505872904e+03
4.213341356429084375e+14,1.297157773746177023e+00,1.487446222280783914e+01,2.105354344922052860e+03
4.261232406284656875e+14,1.322139100448783022e+00,1.487731569124686182e+01,1.894815042427891285e+03
4.309106416087025000e+14,1.347120427151389022e+00,1.488000874312970900e+01,1.707354694396345849e+03
4.356615733348391875e+14,1.372101753853995021e+00,1.488252783144575275e+01,1.540279142986837314e+03
4.404187505341585000e+14,1.397083080556601020e+00,1.488486338643314610e+01,1.391111689621604228e+03
4.451570801007205625e+14,1.422064407259207242e+00,1.488699812151654456e+01,1.258190802400895791e+03
4.499063517421611875e+14,1.447045733961813241e+00,1.488892128489389144e+01,1.139005570338337293e+03
4.546595336798050625e+14,1.472027060664419240e+00,1.489061687142181434e+01,1.032356206226824725e+03
4.594303082085490625e+14,1.497008387367025239e+00,1.489206942584752724e+01,9.367178760240421980e+02
4.642067421576773750e+14,1.521989714069631239e+00,1.489325915234797115e+01,8.504813909521908499e+02
4.689957214819406875e+14,1.546971040772237238e+00,1.489417106179128680e+01,7.730769632196645489e+02
4.737897385264239375e+14,1.571952367474843237e+00,1.489479000291346722e+01,7.031433239144381560e+02
4.785748794770795000e+14,1.596933694177449237e+00,1.489510393389594789e+01,6.402762926112617379e+02
4.833851302725709375e+14,1.621915020880055236e+00,1.489509947233455733e+01,5.834481590212251376e+02
4.881837764354230625e+14,1.646896347582661235e+00,1.489476565079333525e+01,5.319961508480470229e+02
4.930228901865482500e+14,1.671877674285267235e+00,1.489409322920973544e+01,4.854777855500964279e+02
4.978718070705558750e+14,1.696859000987873234e+00,1.489306597153076694e+01,4.432748018904843548e+02
5.027639844710053750e+14,1.721840327690479233e+00,1.489167241192308566e+01,4.050099466560441783e+02
5.076959632758581250e+14,1.746821654393085455e+00,1.488989565914295099e+01,3.702473530061126326e+02
5.126753391540148750e+14,1.771802981095691454e+00,1.488771763814830607e+01,3.386236903012263042e+02
5.177167050724995000e+14,1.796784307798297453e+00,1.488512241746414944e+01,3.099581865319335066e+02
5.228277294329758125e+14,1.821765634500903452e+00,1.488208806279051011e+01,2.838029521037690870e+02
5.280050789747195625e+14,1.846746961203509452e+00,1.487859091186543203e+01,2.599519012189115301e+02
5.332689698218744375e+14,1.871728287906115451e+00,1.487460727743107292e+01,2.382132117995774649e+02
5.386055053897913750e+14,1.896709614608721450e+00,1.487011044032739981e+01,2.183464767590284907e+02
5.440141358984863750e+14,1.921690941311327450e+00,1.486507522230365730e+01,2.002236051472266354e+02
5.495043535075097500e+14,1.946672268013933449e+00,1.485947587895682176e+01,1.836214339190902365e+02
5.550837951947729375e+14,1.971653594716539448e+00,1.485328509928546481e+01,1.684594091022023008e+02
5.607570349661460625e+14,1.996634921419145448e+00,1.484647684981170990e+01,1.545290258362588247e+02
5.665424653104498750e+14,2.021616248121751447e+00,1.483902018064701167e+01,1.418552813129225854e+02
5.724459483006397500e+14,2.046597574824357224e+00,1.483088042199128331e+01,1.301979852721660222e+02
5.784816888635343750e+14,2.071578901526963890e+00,1.482202123063704668e+01,1.194779104915383101e+02
5.846707514192553750e+14,2.096560228229569667e+00,1.481240471253000202e+01,1.096538801957490676e+02
5.910137067865566250e+14,2.121541554932175444e+00,1.480198545409486677e+01,1.006421077927169705e+02
5.975503033953522500e+14,2.146522881634781665e+00,1.479071285090308585e+01,9.234979680764115528e+01
6.042618483202850000e+14,2.171504208337387887e+00,1.477853266877117022e+01,8.472104863601009583e+01
6.111894730962933750e+14,2.196485535039993664e+00,1.476538375570826211e+01,7.770765460260956559e+01
6.183244284923007500e+14,2.221466861742599441e+00,1.475120106432010658e+01,7.125366078698615979e+01
6.257019064617166250e+14,2.246448188445205663e+00,1.473591119580768449e+01,6.528241566015971387e+01
6.333393958465655000e+14,2.271429515147811884e+00,1.471943306536778096e+01,5.982059723428388764e+01
6.412603633721418750e+14,2.296410841850417661e+00,1.470167623544531743e+01,5.476682007852701162e+01
6.495176819507691250e+14,2.321392168553023883e+00,1.468253838596676353e+01,5.011307703377309508e+01
6.580997442975728750e+14,2.346373495255629660e+00,1.466190152163821026e+01,4.580678653202843975e+01
6.671295551273473750e+14,2.371354821958235881e+00,1.463963078136343476e+01,4.183060433737942674e+01
6.765780503897531250e+14,2.396336148660841658e+00,1.461556940151945838e+01,3.817677766487548752e+01
6.865225922167852500e+14,2.421317475363447880e+00,1.458953206269919711e+01,3.478968076854941671e+01
6.970612952519965000e+14,2.446298802066053657e+00,1.456130162489891333e+01,3.165461714713966046e+01
7.082254271422170000e+14,2.471280128768659878e+00,1.453061673145071708e+01,2.875351876956416675e+01
7.201164357460523750e+14,2.496261455471265656e+00,1.449716270590914213e+01,2.607166593710045532e+01
7.328946131602328750e+14,2.521242782173871877e+00,1.446055335513170803e+01,2.357352876426044830e+01
7.467045549009720000e+14,2.546224108876478098e+00,1.442030108463028348e+01,2.127012375668007493e+01
7.617426549839558750e+14,2.571205435579083876e+00,1.437577542488104498e+01,1.911962861889938026e+01
7.782790459325921250e+14,2.596186762281690097e+00,1.432613781846466061e+01,1.711957489860424531e+01
7.966834435755968750e+14,2.621168088984295874e+00,1.427024096449305368e+01,1.524736334044812480e+01
8.175118505160131250e+14,2.646149415686902096e+00,1.420644339786170107e+01,1.349391259179141223e+01
8.416476203457823750e+14,2.671130742389507873e+00,1.413221523084129672e+01,1.183635287380645451e+01
8.705722667924758750e+14,2.696112069092114094e+00,1.404329362560077676e+01,1.025669628502072506e+01
9.071902735733536250e+14,2.721093395794719871e+00,1.393139027476984815e+01,8.711123657116120356e+00
9.591500177874751250e+14,2.746074722497326093e+00,1.377507235285697718e+01,7.119035393065801465e+00
1.110039996406689500e+15,2.771056049199931870e+00,1.334867557034175789e+01,4.596882869441166086e+00
